0,1,2,3,4,5,6,7,8,9
0,1,2,4,3,5,6,7,8,9
0,1,3,2,4,5,6,7,8,9
0,2,1,3,4,5,6,7,8,9
2,0,1,3,4,5,7,6,9,8
1,0,2,3,4,5,7,6,8,9
0,1,2,3,4,5,6,7,8,9
0,2,1,3,4,5,6,9,8,7
0,2,1,4,3,5,6,7,8,9
0,1,2,3,4,6,5,7,8,9
0,1,2,3,5,4,6,9,8,7
0,1,2,3,4,6,5,9,7,8
0,1,2,3,5,4,6,7,9,8
0,1,3,2,4,5,6,7,8,9
0,1,2,3,4,5,6,7,8,9
0,1,2,3,4,5,6,7,8,9
0,1,2,3,4,5,6,8,7,9
0,1,2,3,4,5,6,9,7,8
0,1,3,2,4,6,5,7,8,9
0,1,2,3,4,5,7,6,8,9
1,0,2,3,4,6,5,7,8,9
0,1,2,3,4,5,6,8,9,7
0,2,1,3,4,5,6,7,8,9
1,0,2,3,5,6,4,7,9,8
1,0,2,3,4,7,5,6,8,9
0,1,2,4,3,5,7,6,8,9
0,1,2,4,3,5,6,7,8,9
0,1,2,3,4,5,7,8,6,9
0,1,3,2,4,6,8,5,7,9
1,0,2,3,5,4,6,7,8,9
0,1,2,3,4,5,6,7,8,9
2,0,1,3,4,6,5,7,8,9
0,1,4,2,3,5,6,7,8,9
0,4,1,2,3,6,5,7,8,9
0,2,3,1,4,5,6,7,9,8
0,1,2,3,4,5,6,7,8,9
1,0,2,3,4,5,6,7,8,9
0,1,2,3,4,5,6,7,9,8
0,1,2,3,4,5,6,8,7,9
0,1,2,3,4,5,6,7,8,9
0,1,2,3,4,6,5,8,7,9
2,0,3,5,1,4,6,7,8,9
2,0,1,3,4,6,5,7,8,9
0,1,2,3,4,5,7,8,6,9
1,0,2,3,4,5,8,6,7,9
0,1,2,3,4,5,6,8,7,9
2,0,1,3,4,5,6,9,7,8
0,1,2,3,4,5,6,8,9,7
0,1,2,3,4,6,7,5,8,9
0,1,2,4,3,5,6,7,8,9
1,0,2,3,4,5,7,6,9,8
0,1,2,3,4,9,5,8,6,7
0,2,1,3,4,5,6,7,8,9
0,1,2,4,5,6,3,7,8,9
0,1,2,3,4,5,6,7,8,9
0,1,3,2,4,5,6,7,8,9
0,1,2,3,4,5,7,6,8,9
0,1,2,3,5,4,6,8,7,9
0,1,2,3,4,5,6,8,7,9
1,0,2,3,4,5,6,7,8,9
0,1,2,3,4,5,6,7,9,8
0,1,2,3,4,5,6,7,8,9
2,0,1,4,3,5,6,7,8,9
0,1,2,3,4,5,6,8,9,7
0,1,2,4,3,5,7,6,8,9
2,0,1,3,4,5,6,8,7,9
2,0,1,3,4,5,6,7,8,9
0,1,3,2,4,5,6,8,7,9
1,0,2,3,4,5,6,7,8,9
0,1,2,3,4,5,6,7,8,9
0,2,1,3,5,4,6,7,9,8
1,0,3,2,4,5,6,7,8,9
0,1,3,2,4,5,6,7,8,9
0,2,1,3,6,4,5,7,9,8
0,1,2,3,4,5,6,7,8,9
0,1,2,3,4,6,7,5,9,8
0,1,2,3,4,5,6,7,8,9
0,1,2,3,4,5,6,7,8,9
0,1,3,5,2,4,6,7,9,8
3,0,1,4,2,6,5,7,9,8
0,1,2,3,4,5,6,7,8,9
0,1,3,2,4,5,6,7,9,8
0,1,2,3,4,5,6,8,9,7
0,1,2,3,4,5,6,7,9,8
0,2,1,4,5,3,7,6,8,9
0,1,2,3,4,5,7,6,8,9
0,2,1,3,4,5,6,7,8,9
0,1,2,3,4,5,6,8,7,9
0,1,3,2,4,5,6,7,8,9
0,1,5,2,3,4,6,7,8,9
0,1,2,3,4,5,7,6,9,8
0,1,2,3,4,6,8,7,5,9
0,1,2,3,4,5,6,8,7,9
0,1,2,3,4,6,5,7,9,8
0,2,3,4,1,5,6,7,8,9
0,1,3,4,5,2,7,6,8,9
1,0,2,3,4,5,6,8,7,9
0,1,2,3,4,5,6,7,8,9
0,1,2,3,4,5,6,7,8,9
0,1,2,3,4,5,6,7,9,8
0,1,2,3,4,5,7,6,9,8
