0,1,2,3,4,5,6,7,8,9
9,8,7,3,6,5,4,1,2,0
8,9,3,1,6,5,7,0,4,2
1,0,2,3,4,6,8,5,7,9
3,8,1,9,6,5,0,4,7,2
9,8,3,6,1,7,5,4,0,2
3,1,0,8,6,5,9,2,4,7
9,8,3,7,6,5,1,4,2,0
3,1,0,8,6,2,5,4,9,7
1,0,2,3,4,6,5,8,7,9
1,0,3,2,6,4,8,5,7,9
8,9,3,1,6,5,7,0,4,2
8,3,9,1,6,5,0,7,4,2
3,1,0,8,6,2,5,9,4,7
3,8,1,6,9,5,0,2,4,7
1,0,3,2,4,6,8,5,7,9
9,8,3,6,7,1,5,4,0,2
9,8,7,6,5,3,4,1,2,0
3,1,0,8,6,5,9,2,4,7
9,8,7,6,5,4,3,2,1,0
3,8,1,6,5,9,0,2,4,7
3,1,0,8,2,6,5,4,9,7
0,1,2,3,4,5,6,7,8,9
9,8,3,6,7,1,5,4,0,2
0,1,2,3,4,5,6,8,7,9
8,9,3,1,6,5,0,7,4,2
9,8,3,7,6,5,1,4,2,0
3,1,0,8,2,6,5,4,9,7
9,8,3,1,6,7,5,0,4,2
9,8,3,6,7,1,5,4,2,0
1,0,3,8,2,6,5,4,9,7
3,1,0,8,6,5,2,9,4,7
3,1,0,8,6,2,5,9,4,7
9,8,3,7,6,5,4,1,2,0
9,8,7,6,5,4,3,1,2,0
3,1,0,8,2,6,5,4,9,7
9,8,7,3,6,5,4,1,2,0
9,8,3,6,7,1,5,4,0,2
9,8,7,6,5,3,4,1,2,0
9,8,7,6,3,5,4,1,2,0
0,1,2,3,4,5,6,7,8,9
9,8,7,6,5,3,4,1,2,0
3,1,0,8,2,6,5,4,9,7
9,8,7,3,6,5,4,1,2,0
3,8,1,9,6,5,0,4,7,2
1,0,2,3,4,6,5,8,7,9
9,8,3,6,1,7,5,4,0,2
1,3,0,8,2,6,5,4,9,7
3,1,0,8,6,5,9,2,4,7
1,0,3,2,6,4,8,5,7,9
8,3,9,1,6,5,0,4,7,2
1,3,0,8,2,6,5,4,9,7
1,0,3,2,8,6,4,5,7,9
9,8,7,6,3,5,4,1,2,0
3,1,8,6,0,5,9,2,4,7
9,8,7,3,6,5,4,1,2,0
8,9,3,1,6,5,0,7,4,2
1,0,3,2,6,8,4,5,7,9
3,1,0,8,6,2,5,9,4,7
8,3,9,1,6,5,0,4,7,2
3,8,1,6,9,5,0,2,4,7
1,0,3,2,4,6,8,5,7,9
9,8,7,6,5,4,3,2,1,0
3,1,8,0,6,5,9,2,4,7
1,0,3,2,4,6,8,5,7,9
9,8,7,6,5,4,3,1,2,0
3,8,1,6,5,9,0,2,4,7
9,8,3,1,6,7,5,0,4,2
0,1,2,3,4,5,6,7,8,9
1,0,3,8,2,6,5,4,9,7
8,9,3,1,6,5,0,7,4,2
1,0,3,8,2,6,4,5,7,9
9,8,3,1,6,7,5,0,4,2
3,8,1,6,0,5,9,2,4,7
9,8,7,6,5,3,4,1,2,0
1,0,3,8,2,6,5,4,9,7
9,8,3,6,1,7,5,4,0,2
3,1,0,8,6,5,2,9,4,7
9,8,7,6,5,3,4,1,2,0
1,0,3,8,2,6,5,4,9,7
9,8,3,1,6,7,5,0,4,2
1,0,3,8,2,6,5,4,9,7
9,8,3,1,6,7,5,0,4,2
3,1,0,8,6,2,5,4,9,7
1,0,3,2,4,6,8,5,7,9
3,8,1,6,9,5,0,4,2,7
3,1,0,8,6,2,5,9,4,7
3,8,1,9,6,5,0,4,7,2
0,1,2,3,4,5,6,8,7,9
9,8,3,7,6,5,1,4,2,0
1,0,3,8,2,6,5,4,9,7
8,3,9,1,6,5,0,7,4,2
1,0,3,8,2,6,4,5,9,7
8,9,3,1,6,7,5,0,4,2
3,1,0,8,6,2,5,4,9,7
1,0,3,8,2,6,5,4,9,7
3,1,0,8,6,5,2,9,4,7
3,1,8,0,6,5,9,2,4,7
9,8,3,7,6,5,1,4,2,0
8,3,9,1,6,5,0,4,7,2
1,0,3,8,2,6,4,5,9,7
