0,1,2,3,4,5,6,7,8,9
6,0,3,2,1,9,8,4,7,5
1,2,0,8,7,5,9,3,4,6
8,7,1,9,4,5,3,0,2,6
1,8,5,3,4,2,0,9,6,7
1,2,0,8,7,5,9,3,4,6
1,8,5,3,4,2,0,9,6,7
1,8,5,3,4,2,0,9,6,7
1,2,0,8,7,5,9,3,4,6
1,2,0,8,7,5,9,3,4,6
1,8,5,3,4,2,0,9,6,7
0,4,8,6,7,1,9,5,3,2
1,2,0,8,7,5,9,3,4,6
1,2,0,8,7,5,9,3,4,6
1,2,0,8,7,5,9,3,4,6
1,2,0,8,7,5,9,3,4,6
1,2,0,8,7,5,9,3,4,6
8,7,1,9,4,5,3,0,2,6
5,9,8,4,0,6,2,7,1,3
1,2,0,8,7,5,9,3,4,6
1,8,5,3,4,2,0,9,6,7
1,2,0,8,7,5,9,3,4,6
1,2,0,8,7,5,9,3,4,6
1,2,0,8,7,5,9,3,4,6
1,8,5,3,4,2,0,9,6,7
1,8,5,3,4,2,0,9,6,7
1,8,5,3,4,2,0,9,6,7
1,8,5,3,4,2,0,9,6,7
1,8,5,3,4,2,0,9,6,7
1,2,0,8,7,5,9,3,4,6
6,0,3,2,1,9,8,4,7,5
1,2,0,8,7,5,9,3,4,6
1,8,5,3,4,2,0,9,6,7
1,8,5,3,4,2,0,9,6,7
6,0,3,2,1,9,8,4,7,5
1,2,0,8,7,5,9,3,4,6
6,0,3,2,1,9,8,4,7,5
6,0,3,2,1,9,8,4,7,5
1,2,0,8,7,5,9,3,4,6
5,7,1,8,2,0,9,3,4,6
8,7,1,9,4,5,3,0,2,6
1,2,0,8,7,5,9,3,4,6
1,2,0,8,7,5,9,3,4,6
8,7,1,9,4,5,3,0,2,6
8,7,1,9,4,5,3,0,2,6
8,7,1,9,4,5,3,0,2,6
1,8,5,3,4,2,0,9,6,7
6,0,3,2,1,9,8,4,7,5
1,2,0,8,7,5,9,3,4,6
1,2,0,8,7,5,9,3,4,6
1,2,0,8,7,5,9,3,4,6
1,2,0,8,7,5,9,3,4,6
1,2,0,8,7,5,9,3,4,6
8,7,1,9,4,5,3,0,2,6
1,2,0,8,7,5,9,3,4,6
6,0,3,2,1,9,8,4,7,5
1,8,5,3,4,2,0,9,6,7
1,2,0,8,7,5,9,3,4,6
1,2,0,8,7,5,9,3,4,6
1,2,0,8,7,5,9,3,4,6
1,8,5,3,4,2,0,9,6,7
6,0,3,2,1,9,8,4,7,5
1,2,0,8,7,5,9,3,4,6
8,7,1,9,4,5,3,0,2,6
6,0,3,2,1,9,8,4,7,5
1,2,0,8,7,5,9,3,4,6
1,2,0,8,7,5,9,3,4,6
1,2,0,8,7,5,9,3,4,6
5,7,1,8,2,0,9,3,4,6
1,2,0,8,7,5,9,3,4,6
1,2,0,8,7,5,9,3,4,6
1,2,0,8,7,5,9,3,4,6
5,9,8,4,0,6,2,7,1,3
1,2,0,8,7,5,9,3,4,6
1,2,0,8,7,5,9,3,4,6
1,2,0,8,7,5,9,3,4,6
1,2,0,8,7,5,9,3,4,6
1,8,5,3,4,2,0,9,6,7
5,7,1,8,2,0,9,3,4,6
5,9,8,4,0,6,2,7,1,3
1,2,0,8,7,5,9,3,4,6
3,5,1,0,8,9,4,7,6,2
1,2,0,8,7,5,9,3,4,6
6,0,3,2,1,9,8,4,7,5
1,2,0,8,7,5,9,3,4,6
1,2,0,8,7,5,9,3,4,6
1,2,0,8,7,5,9,3,4,6
6,0,3,2,1,9,8,4,7,5
5,9,8,4,0,6,2,7,1,3
1,8,5,3,4,2,0,9,6,7
1,2,0,8,7,5,9,3,4,6
1,2,0,8,7,5,9,3,4,6
1,8,5,3,4,2,0,9,6,7
5,7,1,8,2,0,9,3,4,6
1,2,0,8,7,5,9,3,4,6
1,2,0,8,7,5,9,3,4,6
1,2,0,8,7,5,9,3,4,6
8,7,1,9,4,5,3,0,2,6
1,2,0,8,7,5,9,3,4,6
1,8,5,3,4,2,0,9,6,7
1,2,0,8,7,5,9,3,4,6
