,0,1
1,Write-In cells: 125,
2,Overvote cells: 4,
3,"Haase, Elijah D.: 0",
4,"Rauscher, George: 1",
5,0,
6,1,
7,1,
8,1,
9,1,
10,1,
11,0,1.0
13,0,
14,1,
15,0,1.0
162,0,
163,1,
164,1,
165,1,
166,0,
167,0,1.0
168,0,
169,1,0.0
170,0,
171,0,1.0
172,1,
173,0,
174,0,
176,0,1.0
177,1,
178,0,
179,1,0.0
180,0,1.0
181,1,0.0
182,0,1.0
183,1,
184,1,
185,1,
186,1,
188,1,0.0
190,0,
191,1,0.0
192,1,
193,1,
194,1,0.0
195,1,
196,0,
197,0,
198,1,
199,1,
200,1,
201,0,
202,1,
204,1,
206,1,
207,0,1.0
208,1,
209,1,0.0
210,1,0.0
211,1,
212,1,
213,0,
214,0,1.0
215,0,
216,1,
217,0,
218,0,
219,0,1.0
220,1,
221,0,
223,1,0.0
225,1,0.0
226,1,0.0
228,1,
229,0,
232,1,
233,1,0.0
234,1,
235,0,1.0
236,1,
237,1,
238,0,1.0
239,1,
282,0,1.0
283,1,
284,1,
286,1,
287,0,
288,0,
289,0,
290,1,
291,1,
292,0,
293,1,
294,1,
295,1,
296,1,
297,1,0.0
298,1,
299,1,
300,1,
301,0,1.0
302,1,0.0
304,1,
305,1,
306,0,
307,0,
308,1,
309,0,
310,1,0.0
311,1,
312,0,1.0
313,0,
314,0,1.0
315,0,
316,1,
317,1,0.0
319,0,
320,0,1.0
321,0,1.0
322,1,0.0
323,1,
324,0,1.0
326,0,
327,1,0.0
328,0,1.0
329,1,
330,0,
331,1,0.0
332,0,1.0
334,1,
335,0,
337,0,
338,0,
339,1,
340,1,0.0
341,0,1.0
342,1,
343,0,1.0
344,1,0.0
345,0,
346,0,
347,0,
348,1,
349,1,
351,1,
352,0,1.0
353,0,
354,1,0.0
355,1,
356,1,0.0
357,0,
358,1,
359,1,
360,1,
361,1,0.0
362,1,
363,1,
364,0,1.0
365,0,
366,0,
367,0,
368,1,
369,0,1.0
370,1,
371,1,0.0
372,0,1.0
373,0,
374,1,
375,1,
376,1,
377,1,0.0
378,1,0.0
379,1,
380,0,
381,1,
382,0,1.0
383,1,
384,1,0.0
385,1,
386,1,
387,1,
388,1,
389,1,
390,1,
392,1,
393,1,0.0
394,1,0.0
395,0,
396,1,
397,1,
398,1,0.0
399,0,
401,1,
402,1,
403,1,
404,1,
405,1,
407,0,1.0
408,1,
409,1,
410,1,0.0
411,1,
412,1,0.0
414,1,
415,1,0.0
416,1,
417,0,
418,1,
419,1,
421,1,
422,1,
423,1,
424,1,
425,0,
426,1,0.0
427,1,
428,1,
429,0,
430,1,0.0
431,1,
432,1,
433,1,
434,1,
435,0,1.0
436,0,
437,0,1.0
438,0,1.0
439,1,
440,1,
442,1,0.0
443,1,
444,1,
445,1,0.0
446,0,
447,1,0.0
448,1,
450,1,0.0
451,1,
452,1,
453,0,1.0
454,1,0.0
455,1,
456,0,1.0
457,1,0.0
458,1,
459,1,
460,1,
461,1,
462,0,
463,1,
464,1,
465,1,
466,0,
468,0,1.0
469,0,
470,1,
471,1,0.0
472,1,0.0
473,0,
474,1,
475,0,
476,1,0.0
478,1,
479,0,
480,1,
481,1,
482,1,
483,0,
484,0,
485,0,1.0
486,0,
487,1,
488,1,
489,1,
490,0,1.0
491,0,
492,1,0.0
493,1,
494,0,1.0
495,0,1.0
496,1,
498,1,
499,1,
500,0,
501,1,
502,0,
503,0,
504,1,
505,1,0.0
506,1,
507,1,0.0
509,0,
510,1,
511,1,0.0
512,0,1.0
513,1,0.0
514,0,1.0
515,1,0.0
516,1,
517,1,0.0
519,0,
520,0,
521,1,
522,1,
523,0,
525,1,
526,1,0.0
527,0,
528,0,
529,0,
530,1,
531,0,1.0
532,1,
533,1,0.0
534,1,
535,1,0.0
536,1,0.0
537,1,0.0
538,1,
539,0,1.0
540,1,0.0
541,1,
542,0,1.0
543,1,
544,0,
545,1,
546,0,1.0
547,1,
548,0,
549,0,
551,0,1.0
552,1,0.0
553,1,0.0
554,1,
555,0,1.0
556,1,
557,0,
558,1,
559,0,
560,1,
561,1,0.0
562,1,
563,0,
564,1,
565,1,
566,1,
567,1,
568,1,
569,1,
570,0,1.0
571,1,
572,1,
573,1,
574,1,0.0
575,1,
576,1,
577,1,
578,0,1.0
579,0,1.0
580,0,
581,1,0.0
582,1,
583,1,
584,1,
585,1,
586,1,0.0
587,0,1.0
588,0,
589,1,
590,1,
591,1,
592,1,0.0
593,0,
594,1,
595,1,
596,1,
597,0,1.0
598,0,
599,1,
600,1,
601,1,
602,1,0.0
603,1,
604,0,
605,1,
606,0,
607,1,
608,0,
609,1,0.0
610,1,
611,1,
612,0,
613,0,
614,0,
615,1,
616,0,
617,1,
618,1,
619,0,
620,1,
621,1,
622,1,
623,0,1.0
624,1,0.0
625,0,
626,1,
628,1,
629,1,
630,1,
631,1,
632,0,1.0
633,0,
635,1,
636,1,
637,1,
639,0,
640,1,
641,1,
642,1,0.0
643,1,
644,0,
645,1,0.0
647,1,
648,1,
649,0,
650,1,
652,0,
653,1,
654,1,0.0
655,1,
656,0,
657,1,0.0
658,1,
659,0,
660,1,
661,1,
662,1,0.0
663,1,0.0
664,1,0.0
665,0,
666,1,
667,1,
668,1,
669,0,
670,1,
671,0,
672,1,
673,1,
674,1,
675,0,
676,1,
677,0,1.0
678,1,
680,1,0.0
681,1,
682,0,
683,1,
684,1,
685,0,
686,0,1.0
687,1,
688,1,
689,0,
691,1,
692,1,
693,1,
694,0,1.0
695,1,
696,0,
697,1,
698,1,
699,1,
700,0,1.0
702,1,
703,0,
704,1,0.0
705,0,1.0
706,1,
707,1,
708,0,
709,1,
710,1,0.0
711,0,1.0
712,1,0.0
713,1,
714,1,
715,0,
716,1,
717,1,
718,1,
719,1,
720,1,
721,1,
722,0,
723,1,
724,1,
725,1,
728,0,
729,1,
730,1,
732,1,
733,1,
735,1,
736,1,
737,1,
738,1,
739,1,
740,1,
