,0,1,2
1,Write-In cells: 67,,
2,Overvote cells: 7,,
3,"Lawrence, Van: 0",,
4,"Stapp, Will B.: 1",,
5,"Givens, Timothy W.: 2",,
6,0,1.0,2.0
7,0,,
8,0,,
9,1,2.0,
10,1,,
11,1,2.0,
12,1,2.0,
13,1,2.0,
14,2,1.0,0.0
15,1,2.0,0.0
16,1,2.0,
17,1,2.0,
18,2,1.0,
19,0,,
20,2,,
21,1,2.0,
22,1,,
23,1,2.0,
24,2,1.0,0.0
25,2,,
26,0,,
27,1,2.0,
28,1,,
29,0,1.0,
30,1,2.0,
31,0,2.0,1.0
32,0,,
33,0,2.0,1.0
34,0,1.0,2.0
35,1,2.0,0.0
36,0,1.0,2.0
37,1,2.0,
38,2,1.0,0.0
39,0,,
40,0,1.0,2.0
41,1,2.0,0.0
42,1,2.0,0.0
43,0,,
44,0,,
45,0,,
46,0,,
47,1,2.0,
48,1,2.0,
49,1,2.0,
50,2,,
51,1,2.0,
52,0,2.0,1.0
53,0,,
54,0,2.0,1.0
55,0,,
56,0,,
57,0,,
58,0,1.0,
59,1,,
60,0,,
61,1,2.0,0.0
62,0,,
63,1,0.0,2.0
64,2,,
65,0,1.0,2.0
66,0,1.0,
67,1,2.0,
68,2,1.0,
69,2,1.0,
70,1,0.0,2.0
71,1,2.0,0.0
72,0,1.0,2.0
73,1,,
74,1,2.0,0.0
75,2,1.0,0.0
76,2,1.0,
77,0,,
78,1,2.0,
79,0,,
80,2,1.0,0.0
81,1,2.0,
82,0,,
83,1,2.0,
84,1,2.0,
85,0,,
86,2,1.0,0.0
87,1,2.0,
88,0,1.0,2.0
89,1,,
90,0,,
91,1,,
92,1,,
93,1,0.0,2.0
94,2,,
95,1,,
96,0,,
97,0,,
112,0,,
113,0,,
114,2,1.0,
115,0,1.0,2.0
116,0,,
117,2,1.0,
118,1,2.0,
119,1,2.0,0.0
120,1,,
121,1,2.0,
122,1,,
123,0,,
124,1,2.0,
125,1,2.0,
126,1,,
127,0,,
128,1,2.0,
129,1,,
131,0,,
132,1,2.0,
133,1,0.0,
134,2,1.0,
135,1,,
136,0,2.0,1.0
137,0,,
138,1,,
139,0,,
140,1,2.0,0.0
141,1,0.0,2.0
142,0,1.0,2.0
143,1,2.0,
144,0,,
145,1,,
146,1,2.0,
147,1,0.0,2.0
148,1,2.0,
149,1,2.0,
150,0,,
151,1,,
152,1,2.0,
153,0,1.0,2.0
154,1,2.0,0.0
155,1,2.0,
156,2,1.0,
157,1,0.0,2.0
158,1,2.0,
159,1,,
160,1,2.0,
161,2,1.0,0.0
162,1,,
163,1,2.0,
164,2,1.0,0.0
165,2,1.0,
166,1,2.0,0.0
167,1,,
168,1,2.0,
169,1,2.0,0.0
170,1,2.0,0.0
172,0,,
173,1,2.0,
174,1,2.0,
175,2,1.0,
176,1,2.0,0.0
178,1,2.0,
179,1,,
180,1,2.0,
181,1,2.0,
182,1,2.0,0.0
183,0,,
184,2,1.0,
185,1,2.0,
186,1,0.0,2.0
187,1,,
188,2,1.0,
189,2,1.0,
190,1,2.0,
191,1,2.0,0.0
192,1,2.0,
193,1,2.0,0.0
194,1,,
195,1,,
196,2,,
197,1,2.0,
198,2,1.0,
199,1,,
200,2,1.0,
201,0,2.0,1.0
202,1,,
203,1,2.0,0.0
204,1,2.0,
205,1,,
206,1,2.0,
207,2,1.0,
208,2,1.0,
209,0,1.0,2.0
210,1,,
211,1,2.0,
212,2,1.0,
213,2,1.0,
214,2,1.0,0.0
215,0,2.0,1.0
216,1,,
217,1,,
218,1,2.0,
219,2,,
220,1,0.0,
221,1,,
222,1,2.0,0.0
223,2,,
225,0,,
226,1,2.0,
227,2,1.0,
228,1,,
229,1,2.0,
230,1,2.0,0.0
231,0,1.0,2.0
232,1,2.0,
233,2,,
234,1,,
235,1,2.0,
236,1,2.0,
237,1,,
238,0,,
239,1,2.0,
240,1,,
242,1,2.0,
243,1,,
244,1,,
245,2,1.0,
247,0,,
248,1,2.0,
249,0,,
250,1,2.0,
251,1,,
252,0,,
253,1,2.0,
254,1,2.0,0.0
255,1,2.0,
256,1,2.0,
257,1,2.0,
258,1,2.0,0.0
259,1,2.0,
260,1,2.0,
261,1,,
262,1,2.0,
263,1,2.0,
264,1,,
265,1,,
266,1,0.0,2.0
267,2,1.0,0.0
268,1,2.0,0.0
269,1,2.0,0.0
270,1,2.0,
271,1,2.0,
272,2,,
273,1,,
274,1,,
275,1,2.0,
276,1,,
277,1,2.0,
278,1,,
280,0,,
281,1,,
282,1,,
283,1,,
284,1,2.0,0.0
285,1,2.0,0.0
286,1,0.0,2.0
287,1,2.0,
288,2,,
289,1,2.0,0.0
290,2,1.0,
291,1,2.0,
292,1,2.0,
293,1,2.0,
295,1,2.0,0.0
296,1,2.0,
297,0,,
298,1,2.0,
299,1,,
300,2,,
301,1,,
302,1,,
303,1,2.0,
304,1,2.0,
305,1,2.0,0.0
306,1,2.0,
307,1,,
308,1,,
309,1,2.0,0.0
310,1,,
311,0,1.0,2.0
312,2,,
313,1,2.0,0.0
314,1,2.0,0.0
315,1,0.0,2.0
316,1,,
317,1,2.0,
318,1,,
319,1,2.0,0.0
320,2,,
321,0,,
322,1,2.0,0.0
323,1,,
324,1,2.0,
325,0,2.0,1.0
326,1,2.0,
327,0,2.0,
329,1,,
330,1,2.0,
331,1,,
332,0,,
333,1,2.0,
334,1,,
335,1,2.0,
336,1,,
337,1,,
338,1,,
339,1,2.0,
340,1,,
341,1,2.0,0.0
342,0,1.0,2.0
343,1,0.0,2.0
344,1,,
345,1,2.0,0.0
346,1,2.0,
347,1,,
348,0,1.0,2.0
349,2,1.0,0.0
350,0,1.0,2.0
351,1,,
352,1,2.0,
353,1,2.0,
355,1,0.0,
356,0,,
357,2,1.0,0.0
358,1,2.0,0.0
359,1,2.0,
360,1,2.0,0.0
361,1,2.0,
362,0,,
363,1,,
365,1,2.0,0.0
366,2,1.0,
367,1,,
368,1,2.0,
369,1,2.0,
370,1,2.0,
371,1,2.0,
372,1,2.0,
373,1,,
374,1,2.0,
375,2,,
377,0,,
378,0,,
379,2,1.0,
380,1,2.0,0.0
381,0,,
382,2,1.0,
383,1,2.0,0.0
384,1,2.0,0.0
385,1,,
386,1,2.0,
387,1,,
388,0,1.0,2.0
389,1,,
390,2,1.0,
391,0,,
392,1,2.0,
393,1,2.0,0.0
394,2,1.0,0.0
395,1,2.0,0.0
396,0,,
397,1,2.0,
398,1,2.0,
399,1,0.0,2.0
400,1,2.0,
401,1,2.0,0.0
402,1,,
403,1,2.0,
404,1,2.0,
405,2,1.0,0.0
406,1,2.0,0.0
407,0,1.0,2.0
408,0,,
409,1,2.0,
410,1,2.0,0.0
411,1,2.0,
412,1,,
413,1,2.0,
414,1,2.0,0.0
415,1,2.0,
416,2,,
417,2,1.0,0.0
418,2,1.0,
420,1,2.0,0.0
421,2,1.0,
422,0,,
423,1,2.0,
424,1,,
425,0,,
426,1,,
427,0,,
428,1,2.0,
429,1,2.0,0.0
430,0,,
431,2,,
432,1,,
433,0,1.0,
434,2,,
435,1,2.0,
436,1,,
437,1,2.0,
438,2,1.0,
439,1,,
440,1,,
441,1,2.0,
442,1,,
443,1,,
444,1,,
445,1,,
446,1,2.0,
447,1,2.0,
448,1,,
449,1,,
450,1,0.0,2.0
451,0,1.0,2.0
453,2,1.0,
454,1,0.0,2.0
455,1,2.0,0.0
456,1,2.0,
457,2,,
458,0,,
459,1,2.0,0.0
460,2,1.0,
461,1,,
462,1,,
463,1,2.0,
464,2,1.0,0.0
465,1,,
466,1,2.0,
467,2,1.0,
468,0,2.0,1.0
469,1,2.0,
470,1,,
471,1,2.0,
472,0,,
473,1,,
474,1,2.0,
475,1,2.0,0.0
476,1,2.0,0.0
477,1,2.0,
478,1,,
479,1,2.0,0.0
480,1,2.0,
481,1,,
482,1,2.0,0.0
483,0,,
484,1,2.0,
485,1,2.0,
486,1,,
487,2,1.0,
488,1,2.0,
489,2,1.0,
490,1,2.0,
491,1,,
492,2,1.0,
493,1,2.0,
494,0,,
496,1,2.0,
497,1,,
498,2,1.0,
499,1,,
500,1,2.0,
501,1,,
502,1,,
503,1,2.0,
504,1,2.0,0.0
505,2,1.0,
506,2,,
507,1,2.0,
508,2,1.0,0.0
509,1,2.0,
510,1,,
511,0,2.0,
512,1,,
513,2,,
514,2,,
515,1,,
516,1,,
517,1,0.0,
518,1,2.0,
519,1,,
520,1,,
521,1,2.0,0.0
522,1,,
523,0,1.0,2.0
524,1,2.0,0.0
525,1,2.0,0.0
526,1,2.0,
527,1,,
528,0,1.0,
529,1,,
531,2,1.0,
532,2,1.0,
533,1,2.0,
534,0,2.0,1.0
535,2,1.0,
536,1,2.0,0.0
537,1,,
538,1,,
539,1,,
540,1,2.0,
541,1,2.0,
543,2,1.0,
544,1,,
545,1,,
546,0,,
547,1,,
548,1,2.0,0.0
549,1,,
550,1,2.0,0.0
551,1,2.0,0.0
552,1,2.0,0.0
553,0,,
554,0,1.0,2.0
555,1,2.0,
556,0,,
557,2,,
558,1,,
559,1,2.0,
560,1,2.0,0.0
561,0,,
562,2,,
563,1,,
564,0,2.0,1.0
565,1,,
566,0,1.0,2.0
567,0,1.0,2.0
568,1,2.0,
569,1,2.0,0.0
570,1,2.0,
571,0,,
572,1,2.0,
573,1,0.0,2.0
574,0,,
575,1,,
576,0,1.0,2.0
577,1,,
578,2,,
579,1,,
580,1,2.0,
581,1,2.0,
582,0,,
584,1,2.0,0.0
585,0,1.0,2.0
586,2,1.0,
587,2,1.0,0.0
588,2,1.0,0.0
589,1,2.0,
590,1,2.0,0.0
591,2,1.0,
592,1,2.0,
593,1,2.0,0.0
594,1,,
595,2,1.0,0.0
596,0,2.0,1.0
598,2,,
599,1,,
600,0,,
601,0,,
602,0,2.0,1.0
603,1,,
604,1,,
605,1,2.0,
606,1,0.0,2.0
607,1,0.0,2.0
608,1,,
609,1,2.0,
610,0,1.0,2.0
611,0,,
612,0,2.0,1.0
613,1,2.0,
614,0,,
615,0,,
616,1,2.0,
617,1,,
618,0,,
619,0,,
620,0,1.0,2.0
621,1,2.0,0.0
622,0,,
623,2,,
624,1,2.0,
625,2,1.0,0.0
626,1,2.0,
627,0,,
628,1,2.0,
629,0,,
630,0,,
631,1,2.0,
632,1,,
633,2,1.0,0.0
634,1,,
635,0,,
636,0,1.0,2.0
637,1,,
638,1,2.0,
639,2,,
640,2,1.0,
641,2,1.0,
642,1,2.0,
643,0,,
644,1,2.0,
645,1,,
646,2,,
647,1,2.0,
648,1,2.0,0.0
649,2,1.0,0.0
650,1,2.0,
651,2,,
652,1,2.0,
653,0,,
654,1,2.0,
656,2,,
657,1,,
658,0,1.0,2.0
659,1,,
660,1,2.0,0.0
661,1,0.0,
662,1,2.0,
663,1,2.0,
664,0,,
665,2,,
666,1,2.0,0.0
667,1,2.0,
668,0,1.0,2.0
669,1,2.0,0.0
670,2,,
671,2,,
672,2,1.0,
673,1,2.0,
674,1,2.0,
675,1,2.0,
676,2,1.0,0.0
677,1,2.0,
678,1,2.0,0.0
679,0,,
680,1,2.0,0.0
681,1,2.0,
682,0,,
683,1,,
684,1,2.0,
685,1,2.0,
686,1,2.0,
687,2,1.0,
688,0,,
689,0,,
690,1,0.0,2.0
691,1,,
692,1,2.0,
693,1,,
694,2,1.0,
695,1,,
696,1,,
697,0,,
698,0,2.0,1.0
699,2,1.0,
700,1,,
701,1,2.0,0.0
702,1,,
703,0,2.0,1.0
704,2,1.0,
705,1,2.0,
707,1,,
708,1,0.0,2.0
709,1,2.0,
710,1,2.0,
711,2,1.0,0.0
712,1,2.0,0.0
713,0,2.0,1.0
714,1,,
715,1,,
716,1,,
717,1,,
718,0,,
719,1,,
720,1,,
721,1,0.0,2.0
722,1,,
723,0,,
724,2,1.0,0.0
725,1,,
726,2,1.0,0.0
727,1,2.0,
728,1,2.0,0.0
729,1,2.0,0.0
730,0,1.0,2.0
731,0,1.0,2.0
732,0,,
733,1,,
734,1,,
735,2,1.0,
736,2,1.0,
737,1,,
738,1,2.0,0.0
739,1,,
740,1,2.0,
741,1,2.0,0.0
742,1,,
743,1,,
744,1,,
745,1,,
746,1,,
747,0,1.0,2.0
748,1,0.0,2.0
749,1,,
750,0,,
751,0,,
753,1,2.0,
754,1,2.0,
755,2,,
756,0,,
757,0,2.0,1.0
758,2,,
759,0,1.0,2.0
760,1,2.0,0.0
761,1,,
762,1,2.0,0.0
763,1,2.0,
764,2,1.0,
765,1,,
766,1,,
767,1,2.0,
768,1,,
769,1,,
770,0,,
771,1,,
772,0,1.0,2.0
774,1,2.0,
775,1,2.0,
776,2,1.0,
777,1,,
778,1,2.0,
779,1,2.0,0.0
780,1,2.0,0.0
781,1,,
782,1,2.0,
783,1,,
784,0,,
785,0,2.0,1.0
786,0,1.0,2.0
787,1,2.0,
788,1,2.0,
789,0,2.0,
790,2,1.0,
791,2,1.0,
792,1,2.0,
793,0,1.0,
794,0,2.0,1.0
795,1,,
796,2,,
797,1,2.0,
798,1,0.0,2.0
799,1,,
800,1,2.0,0.0
801,2,1.0,0.0
802,1,2.0,
803,0,,
804,1,,
805,0,,
806,2,,
807,2,1.0,
808,1,2.0,
809,2,1.0,
810,1,2.0,
811,1,2.0,
812,1,0.0,2.0
813,1,2.0,0.0
814,0,1.0,2.0
815,1,,
816,2,1.0,
