,0,1,2,3
1,Write-In cells: 156,,,
2,Overvote cells: 12,,,
3,"Carrick, Ashley E.: 0",,,
4,"McNeill, Ruben A. Jr.: 1",,,
5,"McKinley, Kevin: 2",,,
6,"Brown, Kieran C.: 3",,,
7,0,,,
8,0,,,
9,0,,,
10,0,,,
11,1,2.0,3.0,0.0
12,1,,,
13,2,1.0,,
14,0,1.0,3.0,2.0
15,0,1.0,,
16,0,,,
17,2,1.0,,
18,2,,,
19,0,2.0,,
20,3,2.0,,
21,0,1.0,3.0,2.0
22,0,,,
23,1,,,
24,0,,,
25,2,,,
26,0,1.0,3.0,2.0
27,0,3.0,2.0,
28,0,1.0,3.0,2.0
29,2,0.0,,
30,0,,,
31,2,1.0,,
32,0,,,
33,2,1.0,,
34,0,,,
36,0,,,
37,1,2.0,3.0,
38,1,3.0,,
39,2,0.0,,
40,2,,,
41,0,,,
42,2,1.0,,
43,2,,,
44,2,1.0,,
45,2,1.0,,
46,0,,,
47,0,,,
48,0,,,
49,0,,,
50,2,1.0,,
51,1,,,
52,2,,,
53,0,,,
54,2,0.0,1.0,3.0
55,2,,,
56,2,1.0,3.0,
57,0,,,
58,2,,,
59,0,,,
60,0,,,
61,2,0.0,3.0,
62,0,3.0,,
63,0,,,
64,2,1.0,,
65,0,1.0,2.0,
66,0,3.0,,
68,0,2.0,1.0,3.0
69,3,2.0,1.0,
70,0,,,
71,0,3.0,,
72,0,,,
73,3,0.0,2.0,1.0
74,2,,,
75,0,3.0,,
76,1,2.0,,
77,1,2.0,,
78,1,2.0,,
79,2,1.0,,
80,0,,,
81,0,,,
82,1,,,
83,0,,,
84,0,2.0,1.0,
85,2,1.0,,
86,2,1.0,,
87,2,,,
88,2,1.0,,
89,0,,,
90,2,1.0,,
91,1,,,
92,1,,,
93,0,3.0,,
94,2,1.0,,
95,2,1.0,,
96,0,,,
97,2,,,
98,0,1.0,2.0,3.0
99,0,,,
100,2,1.0,3.0,
101,0,,,
102,2,1.0,3.0,0.0
104,0,,,
105,1,,,
106,0,,,
107,0,3.0,2.0,1.0
108,3,0.0,2.0,1.0
109,2,,,
110,0,2.0,,
111,0,2.0,1.0,3.0
112,0,3.0,2.0,1.0
113,3,,,
114,2,,,
115,0,,,
116,2,1.0,,
117,2,1.0,3.0,
118,0,2.0,1.0,3.0
119,2,1.0,,
120,0,2.0,,
121,2,1.0,,
122,0,2.0,,
123,0,3.0,2.0,1.0
124,0,3.0,1.0,2.0
125,2,1.0,0.0,3.0
126,0,2.0,,
127,1,2.0,3.0,0.0
128,1,2.0,,
129,2,3.0,1.0,0.0
130,3,0.0,2.0,
131,0,,,
132,0,3.0,,
133,1,2.0,,
134,2,1.0,,
135,0,,,
136,1,2.0,0.0,3.0
137,2,,,
138,2,1.0,,
139,0,,,
140,0,,,
141,0,1.0,3.0,
142,3,2.0,1.0,
143,2,1.0,0.0,3.0
144,2,,,
145,3,,,
146,2,1.0,3.0,
147,2,1.0,,
148,0,,,
149,2,,,
150,0,,,
151,1,2.0,,
152,0,,,
153,2,,,
154,1,2.0,,
155,0,3.0,,
156,3,,,
157,1,2.0,3.0,0.0
158,0,,,
159,1,2.0,,
160,1,,,
161,3,2.0,1.0,
162,0,3.0,,
163,0,,,
164,0,,,
165,0,2.0,,
166,2,,,
167,2,1.0,3.0,0.0
168,1,2.0,3.0,
169,0,,,
170,2,0.0,,
171,2,,,
172,2,0.0,1.0,
173,2,,,
175,2,1.0,0.0,3.0
177,0,,,
178,2,1.0,,
179,0,2.0,1.0,
180,0,3.0,,
181,0,,,
182,0,,,
183,2,1.0,,
184,0,2.0,1.0,
185,2,,,
186,2,,,
187,0,,,
188,1,,,
189,2,1.0,3.0,
190,2,1.0,,
191,0,,,
192,2,,,
193,1,,,
194,2,,,
195,0,,,
196,3,1.0,2.0,
197,2,1.0,3.0,
198,0,,,
199,0,1.0,2.0,3.0
200,0,3.0,2.0,1.0
201,2,1.0,3.0,0.0
202,2,,,
203,0,,,
204,1,2.0,,
205,0,,,
206,2,,,
207,0,,,
208,2,1.0,3.0,
209,2,,,
210,2,,,
211,2,,,
212,1,2.0,0.0,3.0
213,0,2.0,1.0,3.0
214,2,,,
215,2,1.0,3.0,
216,2,1.0,3.0,
217,0,1.0,3.0,
218,0,,,
219,0,,,
220,2,1.0,3.0,0.0
221,0,3.0,2.0,1.0
222,2,1.0,3.0,0.0
223,0,1.0,,
224,2,,,
225,2,1.0,,
226,0,,,
227,0,,,
228,0,1.0,2.0,3.0
229,0,,,
230,1,3.0,,
231,2,,,
232,2,,,
233,0,3.0,2.0,1.0
234,0,,,
235,2,1.0,,
236,2,,,
237,3,2.0,1.0,0.0
238,0,1.0,3.0,
239,0,3.0,1.0,2.0
240,1,,,
241,0,,,
242,2,1.0,3.0,0.0
243,1,0.0,3.0,
244,3,,,
245,0,,,
246,2,,,
247,2,,,
248,2,1.0,,
249,2,,,
250,1,2.0,3.0,
251,0,,,
252,0,3.0,2.0,
253,3,1.0,2.0,0.0
254,0,,,
255,0,,,
