ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3,rank4
91910_00000_346353,Ballot 33 - Type 33,Early Voting,Judicial District 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region I,"LeBon, Barton S.","Nash, Kelly",skipped,skipped
93200_00054_000001,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Dibert, Maxine L.",skipped,skipped,skipped
93200_00054_000002,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Dibert, Maxine L.","LeBon, Barton S.","Nash, Kelly",skipped
93200_00054_000003,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"LeBon, Barton S.","Nash, Kelly","Dibert, Maxine L.",skipped
93200_00054_000004,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"LeBon, Barton S.","Nash, Kelly",skipped,skipped
93200_00054_000005,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"LeBon, Barton S.","Nash, Kelly",skipped,skipped
93200_00054_000006,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Nash, Kelly",skipped,skipped,skipped
93200_00054_000007,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Nash, Kelly",skipped,skipped,skipped
93200_00054_000008,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Dibert, Maxine L.","LeBon, Barton S.","Nash, Kelly",skipped
93200_00054_000009,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Dibert, Maxine L.",skipped,skipped,skipped
93200_00054_000010,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Dibert, Maxine L.",skipped,skipped,skipped
93200_00054_000011,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Dibert, Maxine L.","LeBon, Barton S.",skipped,skipped
93200_00054_000012,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Dibert, Maxine L.",skipped,skipped,skipped
93200_00054_000013,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Dibert, Maxine L.",skipped,skipped,skipped
93200_00054_000014,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"LeBon, Barton S.",skipped,skipped,skipped
93200_00054_000015,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Dibert, Maxine L.",skipped,skipped,skipped
93200_00054_000016,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Dibert, Maxine L.",skipped,skipped,skipped
93200_00054_000017,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"LeBon, Barton S.","Nash, Kelly","Dibert, Maxine L.",skipped
93200_00054_000018,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Dibert, Maxine L.","Nash, Kelly",skipped,skipped
93200_00054_000019,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Dibert, Maxine L.",skipped,skipped,skipped
93200_00054_000020,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Dibert, Maxine L.",skipped,skipped,skipped
93200_00054_000021,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Nash, Kelly",skipped,skipped,skipped
93200_00054_000022,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Nash, Kelly",skipped,skipped,skipped
93200_00054_000023,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Nash, Kelly","Dibert, Maxine L.",skipped,skipped
93200_00054_000024,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Nash, Kelly","LeBon, Barton S.",skipped,skipped
93200_00054_000025,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Dibert, Maxine L.",Write-in,skipped,skipped
93200_00054_000026,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"LeBon, Barton S.",skipped,skipped,skipped
93200_00054_000027,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Dibert, Maxine L.",skipped,skipped,skipped
93200_00054_000028,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"LeBon, Barton S.","Dibert, Maxine L.","Nash, Kelly",skipped
