ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3,rank4,rank5
91910_00000_031999,Ballot 37 - Type 37,Early Voting,Judicial District 4,Judicial,District 35 - Early Voting,District 35 - Early Voting,Region I,"Carrick, Ashley E.",skipped,skipped,skipped,skipped
91910_00000_108514,Ballot 37 - Type 37,Early Voting,Judicial District 4,Judicial,District 35 - Early Voting,District 35 - Early Voting,Region I,"Carrick, Ashley E.",skipped,skipped,skipped,skipped
91910_00000_314728,Ballot 37 - Type 37,Early Voting,Judicial District 4,Judicial,District 35 - Early Voting,District 35 - Early Voting,Region I,"Carrick, Ashley E.",skipped,skipped,skipped,skipped
35586_00000_000378,Ballot 37 - Type 37,Election Day,Judicial District 4,Judicial,35-586 Geist,35-586 Geist,Region III,"Carrick, Ashley E.",skipped,skipped,skipped,skipped
35586_00000_001739,Ballot 37 - Type 37,Election Day,Judicial District 4,Judicial,35-586 Geist,35-586 Geist,Region III,"McNeill, Ruben A. Jr.","McKinley, Kevin","Brown, Kieran C.","Carrick, Ashley E.",skipped
35586_00000_002295,Ballot 37 - Type 37,Election Day,Judicial District 4,Judicial,35-586 Geist,35-586 Geist,Region III,skipped,"McNeill, Ruben A. Jr.",skipped,skipped,skipped
35586_00000_003467,Ballot 37 - Type 37,Election Day,Judicial District 4,Judicial,35-586 Geist,35-586 Geist,Region III,"McKinley, Kevin","McNeill, Ruben A. Jr.",skipped,skipped,skipped
35586_00000_007501,Ballot 37 - Type 37,Election Day,Judicial District 4,Judicial,35-586 Geist,35-586 Geist,Region III,"Carrick, Ashley E.","McNeill, Ruben A. Jr.","Brown, Kieran C.","McKinley, Kevin",skipped
35586_00000_008052,Ballot 37 - Type 37,Election Day,Judicial District 4,Judicial,35-586 Geist,35-586 Geist,Region III,"Carrick, Ashley E.","McNeill, Ruben A. Jr.",skipped,skipped,skipped
35586_00000_010570,Ballot 37 - Type 37,Election Day,Judicial District 4,Judicial,35-586 Geist,35-586 Geist,Region III,"Carrick, Ashley E.",skipped,skipped,skipped,skipped
35586_00000_013664,Ballot 37 - Type 37,Election Day,Judicial District 4,Judicial,35-586 Geist,35-586 Geist,Region III,"McKinley, Kevin","McNeill, Ruben A. Jr.",skipped,skipped,skipped
35586_00000_014758,Ballot 37 - Type 37,Election Day,Judicial District 4,Judicial,35-586 Geist,35-586 Geist,Region III,"McKinley, Kevin",skipped,skipped,skipped,skipped
35586_00000_016482,Ballot 37 - Type 37,Election Day,Judicial District 4,Judicial,35-586 Geist,35-586 Geist,Region III,"Carrick, Ashley E.","McKinley, Kevin",skipped,skipped,skipped
35586_00000_018921,Ballot 37 - Type 37,Election Day,Judicial District 4,Judicial,35-586 Geist,35-586 Geist,Region III,"Brown, Kieran C.","McKinley, Kevin",skipped,skipped,skipped
35586_00000_020457,Ballot 37 - Type 37,Election Day,Judicial District 4,Judicial,35-586 Geist,35-586 Geist,Region III,"Carrick, Ashley E.","McNeill, Ruben A. Jr.","Brown, Kieran C.","McKinley, Kevin",skipped
35586_00000_021862,Ballot 37 - Type 37,Election Day,Judicial District 4,Judicial,35-586 Geist,35-586 Geist,Region III,"Carrick, Ashley E.",skipped,skipped,skipped,skipped
35586_00000_022749,Ballot 37 - Type 37,Election Day,Judicial District 4,Judicial,35-586 Geist,35-586 Geist,Region III,"McNeill, Ruben A. Jr.",skipped,skipped,skipped,skipped
35586_00000_027338,Ballot 37 - Type 37,Election Day,Judicial District 4,Judicial,35-586 Geist,35-586 Geist,Region III,"Carrick, Ashley E.",skipped,skipped,skipped,skipped
35586_00000_028285,Ballot 37 - Type 37,Election Day,Judicial District 4,Judicial,35-586 Geist,35-586 Geist,Region III,"McKinley, Kevin",skipped,skipped,skipped,skipped
35586_00000_029511,Ballot 37 - Type 37,Election Day,Judicial District 4,Judicial,35-586 Geist,35-586 Geist,Region III,"Carrick, Ashley E.","McNeill, Ruben A. Jr.","Brown, Kieran C.","McKinley, Kevin",skipped
35586_00000_032971,Ballot 37 - Type 37,Election Day,Judicial District 4,Judicial,35-586 Geist,35-586 Geist,Region III,"Carrick, Ashley E.","Brown, Kieran C.","McKinley, Kevin",skipped,skipped
35586_00000_033520,Ballot 37 - Type 37,Election Day,Judicial District 4,Judicial,35-586 Geist,35-586 Geist,Region III,"Carrick, Ashley E.","McNeill, Ruben A. Jr.","Brown, Kieran C.","McKinley, Kevin",skipped
35586_00000_035718,Ballot 37 - Type 37,Election Day,Judicial District 4,Judicial,35-586 Geist,35-586 Geist,Region III,"McKinley, Kevin","Carrick, Ashley E.",skipped,skipped,skipped
35586_00000_036654,Ballot 37 - Type 37,Election Day,Judicial District 4,Judicial,35-586 Geist,35-586 Geist,Region III,"Carrick, Ashley E.",skipped,skipped,skipped,skipped
35586_00000_039492,Ballot 37 - Type 37,Election Day,Judicial District 4,Judicial,35-586 Geist,35-586 Geist,Region III,"McKinley, Kevin","McNeill, Ruben A. Jr.",skipped,skipped,skipped
35586_00000_040309,Ballot 37 - Type 37,Election Day,Judicial District 4,Judicial,35-586 Geist,35-586 Geist,Region III,"Carrick, Ashley E.",skipped,skipped,skipped,skipped
