ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2
91910_00000_699510,Ballot 9 - Type 9,Early Voting,Judicial District 3,Judicial,District 8 - Early Voting,District 8 - Early Voting,Region I,"Carpenter, Ben",skipped
93600_00021_000001,Ballot 9 - Type 9,Early Voting,Judicial District 3,Judicial,District 8 - Early Voting,District 8 - Early Voting,Region III,"Carpenter, Ben",skipped
93600_00021_000002,Ballot 9 - Type 9,Early Voting,Judicial District 3,Judicial,District 8 - Early Voting,District 8 - Early Voting,Region III,"Carpenter, Ben",skipped
93600_00021_000003,Ballot 9 - Type 9,Early Voting,Judicial District 3,Judicial,District 8 - Early Voting,District 8 - Early Voting,Region III,skipped,skipped
93600_00021_000004,Ballot 9 - Type 9,Early Voting,Judicial District 3,Judicial,District 8 - Early Voting,District 8 - Early Voting,Region III,"Carpenter, Ben",skipped
93600_00021_000005,Ballot 9 - Type 9,Early Voting,Judicial District 3,Judicial,District 8 - Early Voting,District 8 - Early Voting,Region III,skipped,skipped
93600_00021_000006,Ballot 9 - Type 9,Early Voting,Judicial District 3,Judicial,District 8 - Early Voting,District 8 - Early Voting,Region III,"Carpenter, Ben",skipped
95500_00001_000001,Ballot 9 - Type 9,Early Voting,Judicial District 3,Judicial,District 8 - Early Voting,District 8 - Early Voting,Region V,skipped,skipped
95500_00001_000002,Ballot 9 - Type 9,Early Voting,Judicial District 3,Judicial,District 8 - Early Voting,District 8 - Early Voting,Region V,"Carpenter, Ben",skipped
95500_00004_000001,Ballot 9 - Type 9,Early Voting,Judicial District 3,Judicial,District 8 - Early Voting,District 8 - Early Voting,Region V,"Carpenter, Ben",skipped
95500_00004_000002,Ballot 9 - Type 9,Early Voting,Judicial District 3,Judicial,District 8 - Early Voting,District 8 - Early Voting,Region V,skipped,skipped
95500_00004_000003,Ballot 9 - Type 9,Early Voting,Judicial District 3,Judicial,District 8 - Early Voting,District 8 - Early Voting,Region V,"Carpenter, Ben",skipped
95500_00004_000004,Ballot 9 - Type 9,Early Voting,Judicial District 3,Judicial,District 8 - Early Voting,District 8 - Early Voting,Region V,"Carpenter, Ben",skipped
95500_00004_000005,Ballot 9 - Type 9,Early Voting,Judicial District 3,Judicial,District 8 - Early Voting,District 8 - Early Voting,Region V,"Carpenter, Ben",skipped
95500_00004_000006,Ballot 9 - Type 9,Early Voting,Judicial District 3,Judicial,District 8 - Early Voting,District 8 - Early Voting,Region V,skipped,skipped
95500_00004_000007,Ballot 9 - Type 9,Early Voting,Judicial District 3,Judicial,District 8 - Early Voting,District 8 - Early Voting,Region V,skipped,skipped
95500_00004_000008,Ballot 9 - Type 9,Early Voting,Judicial District 3,Judicial,District 8 - Early Voting,District 8 - Early Voting,Region V,skipped,skipped
95500_00004_000009,Ballot 9 - Type 9,Early Voting,Judicial District 3,Judicial,District 8 - Early Voting,District 8 - Early Voting,Region V,"Carpenter, Ben",skipped
