,0,1,2
1,Write-In cells: 286,,
2,Overvote cells: 23,,
3,"Stevens, Gary: 0",,
4,"Smith, Heath: 1",,
5,"Jones, Walter H.: 2",,
7,0,,
8,0,1.0,2.0
9,0,,
10,0,2.0,1.0
11,0,2.0,1.0
12,1,0.0,2.0
13,0,,
14,0,1.0,2.0
15,2,,
17,1,0.0,2.0
18,0,,
20,0,1.0,2.0
21,0,,
23,0,,
25,0,1.0,2.0
26,1,,
28,0,,
29,0,,
31,0,,
32,0,1.0,
33,0,,
34,1,0.0,2.0
35,0,1.0,2.0
36,1,2.0,0.0
37,1,0.0,2.0
39,0,,
40,1,0.0,2.0
41,1,,
42,0,,
43,1,,
44,0,,
45,0,1.0,2.0
46,2,0.0,1.0
47,0,,
49,0,,
50,0,,
51,2,,
52,0,1.0,2.0
54,0,1.0,2.0
55,1,0.0,2.0
56,0,,
57,2,0.0,1.0
58,1,0.0,
60,0,,
61,2,,
62,0,,
64,1,0.0,2.0
65,0,,
66,0,,
67,0,,
68,0,1.0,2.0
69,1,0.0,2.0
70,2,,
71,2,0.0,1.0
73,1,,
74,1,,
75,0,,
76,2,,
77,2,,
78,2,,
79,0,1.0,
80,1,,
81,2,,
83,0,2.0,1.0
84,0,,
85,2,1.0,
86,1,,
89,0,,
90,0,,
91,0,1.0,
93,1,,
94,1,0.0,
95,0,,
96,0,,
97,1,2.0,0.0
98,2,,
99,2,1.0,
100,0,1.0,2.0
101,1,2.0,0.0
102,0,,
103,0,1.0,2.0
105,1,2.0,
106,0,2.0,
107,1,0.0,2.0
110,0,,
111,0,2.0,1.0
113,0,,
115,1,,
116,0,1.0,2.0
118,0,2.0,1.0
120,2,1.0,0.0
121,1,,
122,0,,
123,0,2.0,1.0
124,1,,
125,2,,
126,0,,
127,1,0.0,2.0
128,1,,
130,0,,
132,0,,
134,0,,
135,0,,
136,1,2.0,0.0
137,1,,
138,1,2.0,
139,0,1.0,2.0
140,0,,
141,1,2.0,
142,0,,
144,1,0.0,2.0
146,0,2.0,1.0
149,2,1.0,
151,1,,
152,2,0.0,1.0
153,0,,
154,0,,
155,2,1.0,
156,1,0.0,2.0
157,2,1.0,0.0
158,0,,
159,0,1.0,
160,0,1.0,
161,1,0.0,
162,1,,
163,0,,
164,2,,
165,1,,
166,1,2.0,
167,0,1.0,2.0
168,2,,
170,1,0.0,2.0
171,0,,
173,1,2.0,0.0
176,2,1.0,0.0
177,0,,
178,2,0.0,1.0
179,1,,
180,0,1.0,2.0
181,0,,
182,0,1.0,
185,1,0.0,
186,0,,
187,0,,
188,0,,
189,2,,
190,0,,
191,0,,
193,2,1.0,
194,0,,
195,2,1.0,
196,0,2.0,1.0
197,0,1.0,2.0
198,1,0.0,2.0
199,0,,
200,0,,
201,1,,
202,2,,
204,0,,
205,1,,
206,1,,
207,2,,
208,1,2.0,
209,0,1.0,2.0
210,2,1.0,0.0
212,2,1.0,
213,1,0.0,2.0
214,0,,
215,1,2.0,
216,1,2.0,0.0
217,0,1.0,2.0
218,1,2.0,0.0
219,1,0.0,2.0
220,0,1.0,
221,0,1.0,
222,2,,
223,0,1.0,
224,1,,
225,0,,
226,2,,
227,0,,
228,0,1.0,
229,0,,
230,1,,
232,2,,
233,0,,
234,1,2.0,0.0
235,0,2.0,1.0
236,0,,
237,1,2.0,
238,0,2.0,1.0
239,0,,
240,0,,
241,1,,
242,0,,
243,2,0.0,1.0
244,1,,
245,0,1.0,2.0
248,2,,
250,0,1.0,2.0
251,1,2.0,0.0
252,0,,
253,1,,
254,2,1.0,0.0
255,0,,
256,0,1.0,2.0
257,0,,
258,2,,
260,1,2.0,
261,2,,
262,1,0.0,2.0
263,1,,
264,0,,
265,0,1.0,2.0
266,2,1.0,
270,0,,
271,0,1.0,2.0
273,0,,
274,0,,
275,1,,
277,0,,
278,0,,
279,2,,
281,1,,
285,1,,
286,0,1.0,2.0
