,0,1,2
1,Write-In cells: 389,,
2,Overvote cells: 40,,
3,"Babcock, Tuckerman: 0",,
4,"Cizek, Andy: 1",,
5,"Bjorkman, Jesse J.: 2",,
6,0,,
7,1,2.0,0.0
8,2,,
9,0,,
10,0,,
11,0,,
12,2,,
13,0,,
15,2,0.0,1.0
16,2,,
17,2,1.0,0.0
18,0,,
19,2,0.0,
20,0,2.0,
21,2,0.0,1.0
22,0,2.0,
23,2,,
24,2,,
25,0,,
26,0,2.0,
27,2,,
28,2,1.0,
29,0,2.0,1.0
30,1,,
31,0,2.0,1.0
32,2,,
33,2,,
34,2,0.0,
35,1,,
36,0,2.0,
37,0,2.0,1.0
38,0,2.0,
39,0,2.0,
40,2,,
41,2,1.0,
42,2,,
43,0,,
44,1,,
45,2,1.0,
46,0,2.0,
47,0,2.0,
49,2,0.0,1.0
50,0,,
51,0,,
52,0,2.0,1.0
53,2,0.0,
54,2,1.0,
55,2,,
56,2,0.0,1.0
57,2,,
58,2,0.0,
59,2,,
60,2,,
61,0,,
62,2,0.0,1.0
63,2,,
64,0,,
65,0,2.0,
66,2,0.0,
67,1,2.0,0.0
68,2,1.0,0.0
69,0,,
70,0,,
71,2,,
72,1,2.0,
73,2,1.0,0.0
74,2,,
76,0,2.0,
77,2,,
78,2,,
79,0,1.0,
80,1,2.0,0.0
81,0,2.0,
82,0,,
83,2,,
84,2,,
85,0,2.0,
87,2,,
88,2,,
89,0,,
90,2,0.0,
91,2,0.0,1.0
93,2,0.0,
94,1,,
95,0,,
96,1,,
97,2,,
98,2,,
99,2,0.0,1.0
100,1,2.0,0.0
101,1,,
102,2,0.0,1.0
103,2,,
104,0,2.0,
105,2,,
106,2,0.0,
107,2,0.0,
108,2,,
109,0,1.0,
110,2,1.0,0.0
111,2,1.0,0.0
112,0,2.0,1.0
113,2,0.0,
114,2,,
115,2,1.0,0.0
116,2,0.0,
117,0,,
118,2,0.0,1.0
119,0,2.0,
120,0,,
121,2,0.0,
122,2,,
123,0,2.0,
124,2,,
125,2,0.0,
126,1,,
127,1,0.0,
128,1,,
129,2,0.0,
131,2,0.0,
132,1,0.0,2.0
133,2,0.0,
134,2,,
135,0,,
136,2,0.0,1.0
137,2,0.0,
138,2,0.0,1.0
139,2,,
140,2,0.0,1.0
141,2,0.0,
142,2,1.0,0.0
143,0,,
144,2,1.0,
145,2,,
146,2,0.0,
147,0,,
148,2,,
149,0,,
150,0,2.0,
151,2,,
