,0,1,2
1,Write-In cells: 302,,
2,Overvote cells: 14,,
3,"Cacy, Roselynn: 0",,
4,"Holland, Roger: 1",,
5,"Giessel, Cathy: 2",,
6,0,1.0,
7,2,,
8,2,,
9,1,2.0,0.0
10,1,2.0,
11,2,1.0,0.0
12,0,2.0,1.0
14,2,1.0,0.0
15,0,2.0,
16,0,,
17,1,2.0,
18,0,1.0,2.0
19,1,,
20,1,,
21,0,,
22,1,2.0,
24,1,2.0,
25,1,,
26,1,2.0,0.0
27,0,,
28,0,,
29,2,0.0,1.0
31,0,2.0,1.0
32,0,2.0,1.0
60,0,2.0,1.0
61,1,2.0,
63,0,1.0,2.0
64,2,,
66,1,2.0,
67,1,2.0,
68,1,,
69,0,,
70,1,,
72,1,2.0,
73,1,,
74,1,2.0,0.0
75,0,,
76,0,,
78,0,2.0,1.0
79,1,,
80,2,1.0,0.0
81,2,1.0,0.0
82,1,,
83,2,,
84,1,,
153,0,,
182,1,2.0,0.0
195,0,2.0,
204,1,,
252,2,,
253,0,,
254,1,,
255,1,0.0,2.0
256,2,1.0,0.0
257,1,0.0,2.0
258,1,0.0,2.0
259,1,0.0,
260,0,2.0,1.0
261,2,,
262,2,,
263,1,2.0,0.0
264,0,2.0,1.0
265,2,1.0,
266,2,1.0,0.0
267,0,2.0,1.0
269,2,0.0,1.0
270,0,,
271,1,2.0,
272,0,,
273,2,1.0,0.0
274,2,0.0,1.0
275,2,1.0,
276,2,1.0,
277,0,,
278,2,1.0,0.0
280,1,0.0,2.0
281,0,2.0,1.0
282,0,2.0,
283,2,,
284,0,1.0,2.0
285,2,1.0,
286,0,,
287,2,0.0,1.0
288,0,2.0,1.0
290,1,,
291,0,,
292,0,,
293,1,,
294,2,1.0,
295,2,0.0,
296,0,,
297,0,,
298,0,2.0,1.0
299,0,2.0,
300,0,,
301,0,,
302,1,0.0,2.0
303,2,1.0,
304,2,1.0,0.0
305,0,,
306,0,2.0,
307,0,,
308,0,,
309,0,2.0,1.0
310,0,,
311,0,2.0,1.0
312,0,2.0,1.0
313,1,2.0,0.0
314,2,,
315,1,,
316,0,,
318,0,2.0,1.0
319,1,2.0,
320,1,2.0,0.0
322,0,2.0,
323,0,2.0,1.0
324,0,2.0,
325,0,2.0,
326,0,,
327,2,,
328,2,1.0,
329,2,1.0,
330,1,,
331,1,2.0,
332,2,1.0,
333,1,,
334,1,2.0,
335,0,2.0,1.0
336,1,,
337,1,2.0,
338,1,2.0,
339,1,2.0,
341,2,,
342,2,,
343,1,2.0,
344,2,1.0,0.0
345,1,,
347,0,,
348,0,2.0,1.0
349,2,1.0,
350,2,,
351,1,,
352,2,0.0,
353,0,2.0,
354,0,,
355,0,2.0,1.0
357,2,1.0,
358,0,2.0,
359,2,,
360,2,,
362,0,2.0,
363,2,,
364,0,2.0,
365,0,2.0,1.0
366,1,,
367,0,,
368,1,2.0,
369,2,0.0,1.0
370,1,2.0,
371,0,2.0,1.0
372,0,2.0,1.0
373,2,,
374,1,2.0,
375,2,0.0,1.0
376,0,,
377,1,,
378,2,,
379,0,2.0,1.0
380,0,2.0,
381,0,2.0,
382,0,,
384,0,2.0,
385,2,0.0,1.0
386,2,,
387,1,,
388,2,,
389,1,,
390,2,,
391,0,2.0,1.0
392,2,1.0,0.0
393,2,0.0,1.0
394,1,2.0,
395,1,2.0,
396,0,2.0,1.0
397,2,0.0,1.0
398,1,,
399,2,,
400,1,,
401,2,0.0,
402,2,1.0,
403,2,1.0,0.0
404,2,,
405,0,2.0,
406,0,2.0,
407,1,,
408,0,2.0,1.0
409,0,2.0,1.0
410,0,,
411,0,,
412,2,1.0,0.0
414,1,,
415,0,2.0,
416,2,0.0,
417,0,,
418,2,0.0,
419,0,,
420,1,,
421,0,2.0,1.0
422,0,,
423,2,1.0,
424,0,,
426,0,,
427,2,1.0,
428,1,,
429,1,,
430,0,,
431,2,,
432,2,0.0,
433,0,2.0,
434,1,,
435,1,2.0,
436,1,0.0,2.0
437,1,2.0,0.0
439,0,,
440,0,2.0,
441,0,2.0,1.0
442,0,,
443,1,2.0,0.0
444,2,,
445,0,2.0,
446,0,2.0,1.0
447,0,2.0,
448,2,0.0,
449,0,,
450,0,2.0,
451,0,2.0,
452,0,2.0,
453,0,,
454,1,,
455,0,2.0,
456,2,1.0,
457,0,1.0,2.0
458,1,,
459,2,,
460,1,2.0,
461,1,,
462,2,1.0,
463,2,1.0,
464,1,,
465,1,,
466,2,,
467,0,2.0,1.0
468,0,,
469,0,,
470,0,,
471,0,,
473,1,,
474,2,0.0,1.0
475,1,0.0,
476,2,1.0,
477,0,,
478,0,,
479,2,0.0,
480,1,,
481,1,0.0,2.0
482,2,1.0,
483,0,,
484,0,2.0,
485,2,0.0,
486,1,,
487,1,2.0,
488,2,1.0,0.0
489,0,1.0,2.0
490,0,,
491,2,1.0,
492,0,,
493,0,,
494,0,2.0,1.0
495,0,,
496,1,,
497,1,2.0,
498,0,2.0,
499,0,,
500,0,,
501,2,,
502,0,,
504,2,1.0,
505,0,,
506,2,1.0,0.0
508,1,,
509,1,2.0,
510,0,,
511,2,,
512,2,0.0,
514,0,2.0,
515,1,2.0,
516,2,1.0,
517,2,0.0,
518,1,2.0,
519,1,2.0,
520,1,2.0,
521,1,,
522,2,,
523,2,,
524,2,1.0,0.0
525,2,,
526,2,,
527,0,2.0,
528,2,,
529,0,2.0,
530,0,2.0,
531,2,1.0,
532,1,,
533,0,2.0,1.0
534,0,,
535,1,,
536,1,,
537,1,,
538,0,,
539,1,2.0,0.0
540,0,,
541,0,2.0,
542,0,,
543,0,2.0,
544,0,,
545,0,2.0,
546,0,,
547,0,,
548,2,0.0,1.0
549,0,2.0,
550,0,2.0,1.0
551,2,,
552,0,,
553,2,0.0,1.0
554,1,2.0,
555,0,2.0,1.0
556,0,,
557,1,2.0,
558,2,1.0,0.0
559,1,,
560,1,,
561,2,1.0,
562,2,1.0,
563,2,0.0,1.0
564,2,0.0,1.0
565,2,1.0,
566,0,2.0,1.0
568,2,1.0,
569,0,2.0,1.0
570,1,,
571,2,0.0,
573,0,2.0,
574,2,0.0,
575,2,,
576,1,2.0,
577,2,1.0,0.0
578,0,2.0,1.0
579,0,2.0,
580,2,1.0,
581,0,1.0,2.0
582,2,1.0,0.0
583,2,1.0,0.0
584,0,,
585,0,1.0,2.0
586,0,,
587,2,0.0,
588,1,,
589,0,,
590,0,,
591,0,,
592,2,0.0,
593,0,,
594,1,2.0,
595,0,,
596,1,2.0,
597,0,1.0,2.0
598,0,,
599,2,0.0,
600,0,2.0,1.0
601,0,1.0,
602,2,0.0,
603,1,,
604,2,0.0,
605,1,2.0,
606,0,,
607,2,,
608,2,,
609,2,,
610,2,0.0,1.0
611,2,,
612,1,2.0,
613,0,,
614,2,1.0,0.0
615,1,2.0,
616,1,2.0,
617,0,,
618,0,2.0,
619,2,,
620,0,2.0,
621,2,0.0,
622,1,2.0,
623,0,,
624,1,2.0,0.0
625,1,2.0,0.0
626,1,2.0,0.0
627,1,,
628,1,2.0,
629,2,0.0,
630,0,,
631,2,1.0,
632,2,1.0,
633,2,,
634,2,1.0,
635,1,,
636,1,2.0,
637,0,,
638,2,,
639,2,0.0,
640,1,,
641,2,1.0,
642,0,,
643,1,,
644,0,,
645,2,,
646,2,1.0,
647,1,,
648,1,,
649,1,2.0,
650,1,2.0,
651,2,1.0,0.0
652,2,0.0,
653,0,,
654,2,1.0,0.0
655,1,2.0,
656,2,1.0,0.0
657,2,,
658,1,,
659,0,,
660,0,,
661,2,1.0,0.0
662,0,,
663,1,,
664,1,2.0,
665,0,1.0,2.0
666,2,0.0,1.0
667,1,,
668,0,,
669,2,,
670,2,1.0,0.0
671,1,,
672,1,2.0,
673,1,2.0,
674,0,,
675,2,0.0,
676,1,,
677,0,2.0,
678,1,2.0,
679,1,2.0,
680,0,,
681,2,,
682,0,1.0,2.0
683,1,2.0,
684,2,1.0,
685,0,,
686,0,,
687,1,,
688,2,,
689,1,,
690,0,,
691,1,,
692,2,0.0,
693,0,2.0,
694,2,,
695,0,2.0,
696,0,,
697,2,0.0,1.0
698,2,1.0,0.0
699,2,,
700,2,,
701,1,2.0,
702,0,2.0,
703,1,2.0,
704,0,,
705,0,,
706,2,1.0,
707,0,,
708,0,,
709,1,2.0,
710,2,1.0,
711,1,,
712,1,,
713,2,0.0,1.0
714,1,,
715,1,,
716,0,,
717,0,,
718,1,,
719,2,0.0,1.0
720,2,1.0,
721,0,2.0,
722,2,0.0,1.0
723,0,2.0,
724,2,,
725,0,,
727,2,1.0,0.0
728,0,,
729,0,2.0,1.0
730,1,,
731,0,,
732,1,,
733,2,0.0,
734,0,,
735,2,1.0,
737,0,1.0,2.0
738,1,2.0,
739,2,,
740,0,,
741,1,2.0,
742,1,,
