,0,1,2
1,Write-In cells: 160,,
2,Overvote cells: 32,,
3,"Satterfield, Andrew E.: 0",,
4,"Dunbar, Forrest: 1",,
5,"Tarr, Geran: 2",,
6,0,,
7,1,2.0,0.0
8,2,1.0,0.0
9,1,2.0,
10,1,,
11,1,2.0,0.0
12,1,2.0,
13,0,,
37,1,2.0,0.0
38,1,2.0,0.0
39,0,2.0,1.0
40,1,2.0,
41,0,2.0,1.0
42,1,2.0,0.0
43,1,2.0,0.0
44,1,0.0,
45,2,0.0,1.0
46,0,,
47,1,2.0,0.0
48,1,2.0,0.0
49,0,,
50,0,,
51,2,,
52,0,1.0,2.0
53,1,,
54,2,,
56,1,,
283,1,2.0,0.0
284,0,,
285,1,,
286,1,2.0,0.0
287,1,2.0,0.0
288,0,,
289,1,0.0,2.0
290,2,,
291,0,,
292,2,1.0,
293,0,,
294,1,2.0,
295,1,2.0,
296,1,2.0,0.0
297,1,0.0,
298,1,2.0,
299,1,2.0,0.0
300,1,,
301,1,2.0,0.0
302,1,,
303,2,0.0,1.0
304,1,,
305,1,2.0,
306,1,2.0,
307,1,2.0,0.0
308,1,,
309,2,1.0,
310,2,1.0,
311,1,2.0,
312,1,2.0,0.0
313,1,,
314,1,2.0,0.0
315,0,2.0,
316,1,,
318,1,2.0,
319,1,,
320,2,1.0,0.0
321,2,,
322,0,,
323,1,,
324,1,2.0,0.0
325,1,2.0,
326,2,,
327,2,0.0,
328,1,2.0,
329,1,,
330,1,2.0,0.0
331,1,2.0,0.0
332,2,,
333,0,2.0,1.0
334,2,,
335,0,,
336,0,,
337,1,2.0,
338,0,,
339,1,2.0,0.0
340,2,1.0,
341,1,2.0,
342,0,,
343,2,0.0,
344,2,1.0,
345,1,0.0,2.0
346,0,2.0,
347,1,2.0,0.0
348,0,2.0,
349,0,,
350,1,,
351,0,,
352,2,1.0,0.0
353,0,,
354,1,,
355,0,,
356,1,,
357,1,,
358,1,2.0,0.0
360,0,,
361,1,2.0,0.0
362,1,2.0,0.0
363,1,2.0,0.0
364,2,1.0,
365,2,,
366,0,,
367,1,2.0,
368,2,,
369,0,2.0,1.0
370,2,1.0,
371,0,,
372,1,2.0,
373,2,,
374,1,2.0,
375,2,,
376,0,,
377,1,,
378,1,,
379,0,,
380,0,,
381,0,2.0,1.0
382,2,,
383,0,2.0,1.0
384,2,,
385,0,,
386,1,,
387,0,,
388,0,1.0,2.0
389,1,2.0,0.0
390,1,,
391,1,,
392,0,,
393,0,,
394,1,2.0,0.0
395,0,,
396,2,1.0,0.0
397,0,1.0,2.0
398,1,2.0,0.0
400,0,,
401,1,2.0,
402,2,1.0,
403,2,1.0,
404,2,1.0,
405,1,,
406,1,,
407,1,2.0,
408,0,,
409,1,,
410,2,1.0,
411,1,2.0,
412,0,,
413,0,1.0,
414,1,2.0,
415,1,2.0,
416,1,2.0,
417,1,2.0,
418,1,2.0,
419,1,2.0,
420,1,,
421,1,,
423,0,,
424,0,,
425,0,,
426,1,2.0,0.0
427,1,,
428,0,,
429,0,,
430,2,,
431,1,2.0,0.0
432,1,0.0,2.0
433,2,,
434,0,2.0,1.0
435,1,2.0,0.0
436,0,,
437,0,,
438,0,2.0,1.0
439,0,2.0,1.0
440,0,,
441,1,,
442,0,,
443,0,,
444,1,2.0,
445,0,2.0,1.0
446,0,,
447,0,,
448,1,2.0,
449,1,2.0,
450,1,2.0,
451,1,2.0,
452,1,,
453,1,2.0,
454,1,2.0,
455,1,,
456,1,,
457,1,2.0,
458,1,2.0,0.0
459,1,2.0,
460,1,2.0,
461,2,1.0,0.0
462,1,,
463,1,,
464,1,,
465,1,,
466,1,2.0,
467,0,,
468,1,0.0,2.0
469,1,,
470,0,1.0,2.0
471,0,,
472,0,,
473,1,2.0,
474,1,2.0,0.0
475,1,2.0,
476,1,2.0,
477,1,2.0,
478,1,0.0,2.0
479,0,,
480,0,,
481,2,0.0,
482,1,,
483,0,1.0,
484,0,,
485,2,1.0,
486,1,,
487,1,,
488,1,2.0,0.0
489,1,2.0,
490,1,2.0,
491,1,2.0,
492,2,1.0,
493,0,,
494,1,2.0,
495,1,,
496,1,2.0,
497,1,,
498,1,2.0,
499,0,,
500,1,,
501,1,2.0,
502,1,2.0,
503,1,,
504,1,2.0,
505,1,2.0,0.0
506,0,2.0,
507,0,,
508,1,2.0,
509,1,2.0,
510,0,,
511,1,2.0,0.0
512,0,,
513,1,,
514,2,1.0,
515,1,2.0,
517,1,,
518,1,,
519,1,,
520,2,1.0,
521,2,1.0,
522,1,2.0,
523,2,1.0,
524,1,2.0,
525,1,2.0,0.0
