,0,1
1,Write-In cells: 395,
2,Overvote cells: 13,
3,"McCarty, Ken: 0",
4,"Merrick, Kelly R.: 1",
5,0,1.0
6,1,0.0
7,1,0.0
8,1,
9,1,
10,1,0.0
11,0,1.0
12,1,0.0
13,1,0.0
14,0,1.0
16,0,
17,1,0.0
37,1,0.0
38,0,
39,1,0.0
40,0,1.0
41,1,0.0
42,0,1.0
43,0,
44,1,
45,0,1.0
46,0,1.0
47,1,0.0
48,0,
49,0,
51,1,0.0
52,0,1.0
54,1,
55,0,1.0
56,1,0.0
57,1,
58,1,
59,0,
60,0,
61,0,
62,1,
63,1,0.0
64,0,
65,1,0.0
67,1,0.0
68,1,
69,1,
70,0,
71,1,0.0
72,1,
73,1,
74,0,
75,0,1.0
76,1,0.0
78,1,
79,1,0.0
80,1,0.0
82,1,0.0
84,1,
85,1,0.0
86,1,0.0
87,0,
88,1,0.0
89,1,0.0
90,0,1.0
91,1,
92,0,1.0
93,0,1.0
94,0,1.0
95,0,1.0
96,0,
97,1,
99,1,0.0
100,1,0.0
101,1,0.0
102,1,
104,1,
106,1,
107,1,
108,1,0.0
109,1,
110,0,
111,0,
112,0,
113,1,0.0
238,0,1.0
239,1,
241,1,
242,1,
243,1,0.0
244,1,0.0
245,1,
246,1,0.0
247,0,
250,0,1.0
252,1,0.0
254,0,
255,0,
257,0,
258,0,
259,1,0.0
260,1,
261,0,1.0
263,0,1.0
264,0,
265,1,
267,0,
268,1,0.0
269,1,
270,0,
271,0,1.0
273,1,0.0
274,0,
275,0,
276,1,
277,0,1.0
278,1,0.0
280,1,
281,1,0.0
283,0,1.0
284,1,0.0
285,1,0.0
286,1,
287,0,
288,1,0.0
289,1,0.0
290,1,0.0
292,0,1.0
293,0,1.0
294,0,1.0
295,1,0.0
296,1,0.0
297,1,
298,1,
299,1,
301,0,1.0
302,0,
303,0,1.0
304,1,
305,0,1.0
306,0,1.0
307,1,0.0
308,1,
309,0,
311,1,
312,0,1.0
313,0,1.0
314,1,0.0
315,0,1.0
316,1,0.0
317,1,0.0
318,0,1.0
320,1,0.0
322,1,
323,1,
326,1,0.0
327,0,1.0
328,0,1.0
329,0,
330,1,
331,0,
332,1,0.0
334,1,
335,1,
336,1,
338,0,1.0
341,1,
342,0,1.0
344,1,0.0
345,0,
346,0,
347,1,0.0
348,1,
349,0,1.0
350,0,1.0
351,0,1.0
353,0,
354,0,1.0
355,1,
356,0,
358,1,0.0
359,0,1.0
360,1,
361,1,
362,0,
363,1,
364,1,
365,0,1.0
366,0,1.0
367,1,
368,1,0.0
369,1,
370,0,
371,1,
373,1,0.0
374,1,0.0
376,1,0.0
377,1,
378,1,0.0
379,0,1.0
380,1,0.0
381,1,0.0
382,1,
383,0,1.0
384,1,0.0
385,0,1.0
386,0,1.0
387,0,1.0
388,1,
389,0,
390,0,
391,1,
392,1,
394,1,
396,1,
397,1,
398,1,
399,1,
400,1,
401,0,1.0
402,1,0.0
403,0,1.0
405,0,
406,0,
407,0,1.0
410,0,
411,0,1.0
412,1,
413,1,
414,0,
415,0,1.0
416,0,1.0
418,1,0.0
419,1,0.0
421,0,
422,0,
423,1,0.0
424,1,
425,1,
427,0,1.0
428,1,
429,1,0.0
430,1,
431,1,
432,1,0.0
433,0,
434,1,
435,1,
436,1,
437,0,
439,1,
440,1,
441,0,1.0
442,1,0.0
443,1,
444,0,
445,1,0.0
447,0,1.0
448,0,1.0
450,1,
452,1,
453,1,
455,0,
456,1,0.0
457,0,
458,1,
459,1,
460,1,
461,0,1.0
463,1,
464,1,0.0
465,1,
466,1,
467,0,
468,0,
469,1,0.0
470,1,
471,1,0.0
472,0,
473,0,
474,0,
475,1,0.0
477,1,
478,0,1.0
481,1,
482,0,
483,0,1.0
484,0,
486,1,0.0
487,0,
488,1,0.0
490,1,
491,1,
492,1,
493,0,
494,0,
495,1,
498,0,
499,0,1.0
501,0,1.0
502,0,1.0
503,1,
504,1,0.0
505,1,0.0
506,0,1.0
507,0,1.0
508,0,
509,0,
510,1,0.0
511,1,
512,1,0.0
513,1,
514,1,
515,0,
516,0,1.0
517,0,1.0
520,1,
522,0,1.0
523,1,0.0
524,1,0.0
525,1,0.0
526,0,1.0
528,1,
529,0,
530,0,
531,0,
532,1,0.0
533,0,
534,1,
535,0,1.0
536,0,1.0
537,1,0.0
538,0,
539,0,
540,0,
541,1,0.0
542,1,0.0
544,1,0.0
545,1,0.0
546,0,
547,1,0.0
548,1,0.0
549,1,
550,0,1.0
551,0,1.0
552,0,1.0
553,1,0.0
555,1,
556,1,
557,1,
558,1,
559,0,1.0
560,1,
561,0,1.0
562,0,1.0
563,0,1.0
566,0,
567,1,0.0
568,1,
569,1,
571,1,0.0
572,1,
573,1,
574,1,
576,0,
577,1,0.0
578,1,
579,1,
580,1,0.0
581,1,
583,1,
584,0,
586,0,
587,0,
588,1,0.0
589,1,
591,1,
592,1,0.0
593,0,1.0
594,1,0.0
595,1,
596,1,
598,1,
599,0,1.0
601,1,
602,1,
603,0,
604,0,1.0
605,0,
606,0,
607,1,
608,0,1.0
609,0,1.0
610,1,0.0
611,1,0.0
613,0,1.0
614,0,1.0
615,0,
616,1,0.0
617,1,0.0
618,1,0.0
619,0,
620,1,
621,0,
622,0,1.0
623,1,
624,0,1.0
625,0,
627,1,0.0
628,1,0.0
629,1,0.0
630,1,0.0
631,1,
632,1,
633,0,
634,1,0.0
635,1,0.0
637,0,
638,1,0.0
639,0,
640,0,
641,1,0.0
642,0,1.0
643,1,
646,1,
647,0,
648,1,0.0
649,0,1.0
650,0,
651,0,
653,0,1.0
654,0,1.0
