,0,1,2
1,Write-In cells: 255,,
2,Overvote cells: 48,,
3,"Wright, Stephen: 0",,
4,"Clayton, Scott D.: 1",,
5,"Wilson, David S.: 2",,
7,0,1.0,
8,2,,
9,0,,
10,0,1.0,2.0
11,2,0.0,1.0
13,0,2.0,1.0
14,2,0.0,1.0
15,1,2.0,0.0
16,2,1.0,0.0
18,2,0.0,1.0
19,0,2.0,1.0
33,1,2.0,0.0
34,1,2.0,0.0
35,0,1.0,
36,2,,
38,2,,
40,1,,
41,0,2.0,1.0
42,0,2.0,1.0
43,1,2.0,0.0
44,1,2.0,0.0
45,0,,
46,0,1.0,2.0
47,2,1.0,0.0
48,1,,
50,2,1.0,
51,0,,
52,1,0.0,2.0
53,0,,
54,2,1.0,
56,1,2.0,0.0
57,0,2.0,1.0
58,2,0.0,1.0
60,0,1.0,2.0
61,0,,
62,1,0.0,2.0
63,2,1.0,
64,0,,
65,1,,
66,2,1.0,0.0
67,1,,
68,1,0.0,2.0
69,0,2.0,1.0
70,1,0.0,2.0
71,1,0.0,2.0
73,2,1.0,0.0
76,0,2.0,1.0
77,1,0.0,
78,2,,
79,0,,
80,2,1.0,0.0
81,2,0.0,1.0
82,2,1.0,
83,2,0.0,1.0
84,2,,
85,0,2.0,1.0
86,0,,
87,2,1.0,0.0
88,2,1.0,0.0
89,1,0.0,2.0
92,1,,
93,1,0.0,2.0
94,1,0.0,2.0
95,0,,
96,2,0.0,1.0
97,2,,
98,0,,
99,0,2.0,1.0
100,2,0.0,1.0
101,2,0.0,1.0
103,0,,
333,2,,
334,0,,
336,1,,
337,1,2.0,0.0
338,2,1.0,0.0
339,2,,
342,1,,
343,1,2.0,0.0
344,2,0.0,
345,2,1.0,0.0
346,0,1.0,2.0
347,2,1.0,0.0
348,1,2.0,0.0
349,1,,
350,2,0.0,1.0
351,2,1.0,0.0
352,1,,
353,2,0.0,1.0
354,1,2.0,0.0
358,2,1.0,0.0
359,0,,
360,2,1.0,0.0
361,1,0.0,2.0
362,2,0.0,1.0
364,2,,
365,1,2.0,0.0
368,0,2.0,1.0
369,2,1.0,0.0
371,1,2.0,0.0
372,1,,
374,1,2.0,0.0
377,1,2.0,0.0
378,1,,
380,2,,
381,2,1.0,0.0
383,2,,
385,2,,
388,1,,
389,0,2.0,1.0
390,1,,
391,0,,
393,1,2.0,0.0
396,0,,
397,0,2.0,1.0
398,1,,
401,2,1.0,
402,2,,
405,2,0.0,1.0
407,0,2.0,1.0
409,2,0.0,
410,0,,
411,2,0.0,
412,0,2.0,1.0
413,1,,
414,0,,
415,2,1.0,
416,1,2.0,0.0
417,1,2.0,0.0
418,1,2.0,
419,0,1.0,
420,0,2.0,1.0
421,2,,
422,1,,
423,2,,
424,2,,
425,2,,
426,1,,
427,2,,
428,1,0.0,2.0
429,0,,
431,1,,
432,0,,
434,2,0.0,1.0
435,0,,
437,1,,
439,0,1.0,2.0
440,2,,
441,0,2.0,1.0
442,0,1.0,2.0
443,2,,
444,0,2.0,1.0
445,2,,
446,2,0.0,1.0
447,2,,
448,0,2.0,1.0
449,1,,
451,0,2.0,1.0
452,2,0.0,1.0
453,0,,
454,2,0.0,1.0
455,2,0.0,1.0
456,1,0.0,2.0
457,2,0.0,1.0
458,2,1.0,
459,2,0.0,1.0
460,1,0.0,2.0
462,2,,
463,1,,
464,2,,
467,1,,
468,2,0.0,1.0
469,2,1.0,
470,0,,
472,0,,
473,1,0.0,2.0
474,1,0.0,2.0
476,2,,
477,2,0.0,1.0
478,2,0.0,1.0
480,2,0.0,1.0
483,2,,
484,1,,
486,2,0.0,
487,1,0.0,
488,0,2.0,
489,1,2.0,
490,1,0.0,2.0
491,0,,
492,0,,
493,2,0.0,1.0
494,0,1.0,2.0
496,2,0.0,1.0
498,1,,
517,1,0.0,2.0
518,1,2.0,0.0
519,1,,
520,2,1.0,0.0
521,2,1.0,0.0
522,0,,
523,1,2.0,0.0
524,0,2.0,1.0
526,2,0.0,1.0
527,1,0.0,2.0
528,0,,
529,0,2.0,1.0
531,1,0.0,2.0
533,2,,
534,0,2.0,1.0
535,0,2.0,1.0
536,0,2.0,1.0
582,2,0.0,1.0
584,0,,
585,2,,
586,1,2.0,0.0
587,2,,
588,2,,
589,2,,
590,2,1.0,0.0
591,1,2.0,
592,1,2.0,0.0
594,2,,
595,1,,
596,2,0.0,1.0
597,0,1.0,2.0
598,1,2.0,
599,1,,
600,1,,
601,1,,
603,0,1.0,2.0
604,0,2.0,1.0
605,2,,
607,0,1.0,
608,2,0.0,1.0
609,2,,
610,2,,
611,2,,
612,1,0.0,2.0
615,2,1.0,0.0
616,2,0.0,1.0
617,0,2.0,1.0
618,1,0.0,2.0
619,0,,
620,2,,
