,0,1
1,Write-In cells: 304,
2,Overvote cells: 20,
3,"Massie, Doug A.: 0",
4,"Shower, Michael K.: 1",
5,0,
6,1,
8,0,1.0
11,0,
12,0,
16,0,1.0
17,1,
18,1,
19,0,
21,1,0.0
22,0,
27,1,
30,0,
31,0,1.0
34,0,
36,0,1.0
37,1,
38,0,
39,0,
41,0,
44,0,1.0
46,0,
49,0,1.0
51,1,0.0
54,0,
56,0,
57,0,1.0
59,0,
63,0,
65,1,
66,1,
67,0,
69,0,1.0
70,0,1.0
71,0,1.0
73,0,1.0
75,1,0.0
76,0,1.0
78,0,1.0
80,0,
81,0,
82,0,1.0
84,1,
90,0,1.0
91,0,1.0
92,0,1.0
93,1,0.0
94,0,
95,0,1.0
98,1,0.0
99,1,
100,1,
101,0,1.0
102,0,1.0
103,0,
104,0,1.0
106,0,
107,1,0.0
108,0,1.0
110,1,
111,1,
112,1,0.0
150,0,1.0
151,1,
152,1,
153,0,1.0
154,1,0.0
155,0,
156,1,0.0
157,0,1.0
158,1,
159,0,1.0
160,0,1.0
161,1,0.0
162,1,
163,1,0.0
166,0,
168,0,
169,1,
170,0,1.0
172,0,1.0
407,0,
409,1,0.0
410,0,
411,0,
412,0,
413,0,1.0
414,1,
415,1,
416,1,
417,1,
418,0,1.0
419,1,
420,1,0.0
421,0,
423,0,1.0
424,0,1.0
425,0,1.0
426,1,0.0
427,0,1.0
430,1,0.0
432,0,1.0
433,0,1.0
434,0,1.0
435,0,
436,0,
437,0,1.0
438,0,1.0
439,0,1.0
440,1,0.0
441,0,1.0
442,1,0.0
443,1,0.0
444,0,1.0
445,1,0.0
446,1,
448,1,
449,1,
450,1,0.0
451,1,0.0
452,1,0.0
454,1,0.0
455,0,1.0
456,0,
457,1,0.0
459,0,
461,0,
463,0,1.0
464,0,1.0
465,1,0.0
466,1,0.0
467,0,
468,0,1.0
469,0,
470,1,
471,0,1.0
472,0,1.0
473,0,1.0
474,1,0.0
475,1,0.0
476,1,
477,0,1.0
479,0,
480,1,0.0
481,1,
482,1,
483,1,
484,0,1.0
485,0,
486,1,
488,1,
489,0,1.0
490,0,
491,1,0.0
492,0,
493,1,
495,0,
497,0,
498,0,
499,0,1.0
500,0,
501,0,1.0
503,1,0.0
505,0,1.0
506,0,
507,0,
509,1,
511,0,
513,0,
514,0,1.0
515,0,
516,0,1.0
517,0,1.0
518,0,
519,1,
520,1,0.0
521,0,
522,1,0.0
524,0,
525,1,0.0
526,1,
527,0,
528,1,0.0
529,1,
530,0,
531,0,1.0
532,1,
533,1,
534,0,
535,1,
536,0,1.0
538,1,
540,0,
541,0,1.0
542,1,0.0
543,0,1.0
544,1,0.0
545,1,
546,1,0.0
548,0,1.0
550,0,
553,1,
554,1,
557,1,0.0
559,1,0.0
560,1,0.0
562,1,
563,1,
565,0,
566,1,0.0
567,1,
568,0,
569,1,0.0
570,1,
571,1,0.0
572,0,1.0
573,0,
592,1,
593,0,
594,0,
595,1,0.0
596,1,0.0
597,1,
667,1,
668,0,
669,1,0.0
670,0,1.0
671,1,
672,0,
673,1,
674,1,0.0
675,1,
676,1,
677,1,0.0
679,0,
680,1,0.0
681,1,0.0
682,1,0.0
683,0,1.0
684,0,
685,1,0.0
686,1,0.0
689,0,
692,1,
693,1,0.0
694,1,
695,1,
696,0,1.0
697,1,0.0
698,1,
699,0,
700,1,0.0
701,1,
702,1,
703,1,
704,1,
705,1,
706,0,
707,1,0.0
708,0,
709,0,
710,1,
711,1,
713,0,1.0
714,1,0.0
715,0,
716,1,0.0
717,1,
718,0,1.0
719,0,
720,0,1.0
721,1,0.0
722,0,1.0
723,0,
724,1,
725,1,
726,1,
727,1,0.0
728,1,0.0
729,0,
730,1,0.0
731,0,
732,0,1.0
733,0,
734,1,
736,0,
737,0,
738,1,
739,0,
740,0,1.0
741,0,1.0
742,0,1.0
743,0,
744,0,
745,1,
746,1,
747,0,
748,0,
749,0,
750,0,
751,1,
752,0,1.0
753,1,0.0
754,1,
755,0,1.0
756,0,1.0
757,0,
758,0,
759,0,
760,0,
761,0,1.0
762,0,1.0
