,0,1,2
1,Write-In cells: 238,,
2,Overvote cells: 20,,
3,"Myers, Robert H. Jr.: 0",,
4,"Bennett, John D.: 1",,
5,"Serkov, Arthur P.: 2",,
6,0,1.0,2.0
13,0,,
14,0,,
15,0,2.0,1.0
16,1,,
17,0,1.0,2.0
19,0,,
48,0,,
49,0,1.0,2.0
50,0,,
51,1,,
52,1,0.0,
55,0,1.0,2.0
56,1,2.0,0.0
57,1,0.0,2.0
58,0,,
59,0,1.0,2.0
60,1,2.0,
61,1,,
62,0,1.0,2.0
63,0,2.0,
64,0,,
65,1,,
66,1,,
67,1,2.0,0.0
68,0,,
69,0,1.0,2.0
70,0,,
71,1,,
72,1,2.0,
73,1,,
74,1,2.0,
75,1,,
76,1,,
77,0,,
78,1,,
80,1,,
81,1,2.0,
82,0,1.0,
83,2,1.0,0.0
84,1,,
85,0,2.0,1.0
86,1,,
87,0,,
88,1,0.0,
89,1,,
90,1,,
91,0,1.0,2.0
92,0,,
93,1,0.0,2.0
94,0,,
95,0,1.0,
96,0,,
97,1,,
98,2,1.0,0.0
99,1,,
100,1,,
101,2,1.0,0.0
103,1,,
104,0,1.0,2.0
105,0,,
106,0,,
107,1,,
108,1,0.0,
109,1,0.0,
110,0,1.0,2.0
111,0,1.0,
112,0,,
113,0,,
114,1,,
115,0,2.0,
116,2,0.0,
117,2,0.0,1.0
118,2,0.0,1.0
119,0,1.0,
120,0,2.0,
121,1,,
122,1,,
123,1,,
124,1,,
125,0,1.0,2.0
126,0,2.0,
127,0,2.0,
128,0,,
129,1,,
130,1,,
131,1,2.0,
132,1,2.0,
133,1,0.0,
134,1,0.0,
135,1,,
136,1,,
137,1,,
138,1,,
139,1,,
140,0,2.0,
141,0,2.0,
142,1,,
143,1,0.0,2.0
144,1,,
145,0,2.0,
146,0,,
147,0,,
148,2,1.0,
149,0,,
150,1,,
151,0,1.0,
152,1,,
153,1,2.0,
154,0,,
155,0,,
156,0,,
157,1,,
158,1,2.0,0.0
159,0,1.0,
160,0,1.0,
161,0,,
162,0,,
163,1,0.0,2.0
164,1,0.0,
165,0,,
166,0,,
167,0,,
168,0,2.0,
169,1,,
170,2,1.0,0.0
171,1,2.0,0.0
172,1,2.0,0.0
173,1,,
174,0,2.0,
175,0,2.0,
176,1,,
177,1,,
178,0,1.0,
179,1,,
180,1,,
181,1,0.0,
183,1,2.0,
185,1,,
186,1,2.0,0.0
187,0,,
188,0,1.0,2.0
189,0,1.0,2.0
190,0,,
191,1,2.0,0.0
192,0,,
193,0,,
194,1,,
195,0,2.0,1.0
196,0,,
197,1,0.0,
198,0,2.0,
199,1,,
200,1,2.0,
201,1,,
202,1,,
204,0,1.0,2.0
205,2,0.0,1.0
206,1,0.0,
207,1,2.0,0.0
208,1,2.0,0.0
209,1,0.0,2.0
210,0,1.0,
211,0,1.0,
212,1,,
213,1,,
215,1,,
216,0,,
217,1,,
218,0,,
221,1,,
224,0,2.0,1.0
225,0,1.0,2.0
226,1,2.0,0.0
227,1,2.0,0.0
228,1,,
229,0,,
230,0,,
231,1,0.0,
232,1,2.0,0.0
234,0,,
235,1,2.0,0.0
236,0,,
237,0,,
238,1,,
239,0,2.0,
240,1,0.0,
241,1,2.0,
242,1,,
243,1,,
244,1,,
245,0,,
246,2,1.0,0.0
247,2,,
248,1,,
249,1,,
250,0,2.0,1.0
251,0,,
252,0,,
253,1,,
255,0,1.0,
256,0,,
258,0,1.0,2.0
259,0,,
260,0,,
261,1,2.0,0.0
262,0,,
263,1,,
264,0,1.0,2.0
265,0,,
266,0,,
267,1,,
268,0,,
269,0,,
270,0,2.0,
271,0,2.0,1.0
272,0,2.0,1.0
273,1,,
274,1,,
276,1,,
277,1,2.0,0.0
278,0,2.0,1.0
279,1,,
280,1,,
281,1,2.0,
282,0,,
283,0,,
284,0,,
285,1,,
286,0,2.0,1.0
287,0,,
290,1,,
291,0,,
292,1,,
293,1,0.0,
294,0,1.0,
295,0,2.0,1.0
296,0,,
297,0,,
298,0,1.0,2.0
299,1,,
300,1,2.0,0.0
301,0,1.0,2.0
302,0,1.0,2.0
303,0,,
304,1,2.0,0.0
305,1,,
306,0,,
307,0,,
308,1,0.0,
309,1,0.0,
310,0,1.0,
311,0,,
312,0,,
313,0,,
314,1,0.0,
315,0,,
316,0,,
317,0,,
318,2,1.0,0.0
319,0,2.0,
320,1,0.0,2.0
321,0,2.0,
322,1,,
323,1,2.0,0.0
324,0,1.0,2.0
325,0,1.0,2.0
326,0,,
327,0,,
328,1,,
329,0,1.0,2.0
331,1,,
332,0,,
333,0,,
334,1,,
335,2,0.0,
336,2,0.0,
337,0,1.0,
338,0,1.0,
339,0,,
340,1,,
341,0,,
342,0,2.0,
343,0,,
344,0,,
345,0,,
346,0,2.0,
347,0,2.0,
348,1,2.0,
349,2,,
350,0,1.0,2.0
352,1,0.0,2.0
353,1,,
354,1,,
355,0,,
356,0,,
357,1,0.0,2.0
358,1,0.0,
359,1,0.0,
360,0,1.0,
361,0,,
362,1,,
363,0,1.0,2.0
364,0,,
366,0,,
367,0,,
369,1,,
370,0,,
371,0,,
372,1,,
373,1,2.0,0.0
374,0,2.0,1.0
376,1,2.0,0.0
377,1,2.0,0.0
378,0,1.0,2.0
379,0,,
380,1,,
381,0,,
382,0,1.0,2.0
383,2,0.0,1.0
384,0,,
387,1,,
388,0,,
389,1,0.0,2.0
390,0,,
391,1,2.0,
392,1,,
393,0,1.0,2.0
394,1,,
395,0,2.0,1.0
396,2,0.0,
397,0,,
398,1,,
399,0,,
400,0,,
401,0,,
402,0,,
403,1,,
404,0,,
405,0,,
406,0,2.0,
407,2,,
408,0,,
409,0,,
410,0,,
411,0,2.0,
412,1,,
413,0,,
414,0,,
415,0,2.0,
416,1,2.0,0.0
417,1,,
418,0,,
419,0,2.0,
420,0,,
421,1,,
422,0,,
423,0,,
425,0,,
426,0,2.0,
427,0,,
428,0,,
429,1,,
430,0,,
431,0,,
432,0,,
433,0,2.0,
434,2,1.0,
435,0,,
436,0,,
437,0,,
438,2,1.0,
439,1,,
440,0,,
441,0,,
442,1,2.0,
443,0,,
444,1,2.0,0.0
445,0,1.0,2.0
446,0,1.0,2.0
