,0,1,2
1,Write-In cells: 290,,
2,Overvote cells: 30,,
3,"Bishop, Click: 0",,
4,"Verhagen, Elijah M.: 1",,
5,"Williams, Robert ""Bert"": 2",,
6,0,,
8,0,,
10,1,,
11,1,2.0,0.0
12,1,0.0,
13,1,0.0,
14,0,2.0,1.0
15,1,2.0,
16,0,1.0,2.0
17,0,1.0,
18,0,,
19,0,,
20,1,0.0,
21,1,0.0,2.0
23,0,,
24,0,,
25,1,,
26,0,2.0,1.0
27,0,2.0,
28,0,1.0,2.0
29,0,,
30,2,0.0,1.0
31,0,2.0,1.0
32,0,,
33,0,2.0,1.0
34,2,0.0,
35,1,,
36,0,2.0,
37,1,0.0,
38,2,0.0,1.0
39,0,,
40,0,,
41,2,,
42,0,1.0,
43,1,,
44,0,1.0,2.0
45,0,,
46,0,,
47,0,,
48,2,,
49,0,,
50,1,,
51,0,,
52,0,,
54,1,0.0,2.0
55,1,,
56,0,2.0,
57,0,,
58,1,2.0,
59,0,,
60,0,,
61,0,1.0,2.0
62,0,2.0,
63,0,,
64,0,1.0,
65,0,,
66,0,2.0,
68,2,1.0,0.0
69,0,2.0,1.0
70,0,,
71,2,,
72,1,0.0,
73,2,0.0,1.0
74,0,,
75,1,,
76,1,0.0,
77,1,0.0,
78,1,,
79,1,0.0,
80,0,,
82,0,,
83,0,,
84,0,1.0,
85,0,,
86,1,,
87,0,,
88,0,1.0,
89,0,,
90,0,1.0,
91,0,,
92,0,1.0,
94,0,1.0,
95,1,,
96,2,,
97,1,,
98,2,0.0,1.0
99,2,,
100,0,1.0,2.0
101,0,,
102,1,2.0,0.0
104,0,,
105,1,,
106,0,,
107,0,2.0,1.0
108,0,2.0,1.0
109,1,,
110,0,,
111,2,0.0,1.0
112,2,1.0,0.0
113,2,,
114,0,,
115,0,,
116,0,1.0,
117,0,1.0,
118,0,2.0,1.0
119,0,2.0,
120,2,0.0,
121,0,1.0,
122,1,0.0,
123,2,0.0,1.0
124,1,0.0,2.0
125,0,1.0,2.0
126,0,,
127,1,0.0,2.0
128,1,0.0,
129,0,2.0,1.0
130,2,1.0,
131,0,2.0,
132,1,,
133,0,1.0,
134,1,0.0,
135,0,,
136,0,1.0,2.0
137,0,1.0,
138,1,0.0,
139,0,1.0,2.0
140,2,,
141,0,2.0,
142,0,2.0,1.0
143,0,1.0,2.0
144,0,2.0,1.0
145,1,0.0,
146,1,0.0,2.0
147,1,2.0,
148,0,,
149,0,,
150,0,,
151,1,,
152,0,,
153,0,1.0,
154,1,0.0,
155,2,0.0,
156,1,,
157,1,0.0,2.0
158,0,,
159,0,1.0,
160,1,,
161,2,0.0,1.0
162,0,2.0,1.0
163,0,,
165,0,1.0,
166,1,0.0,
167,0,1.0,2.0
168,2,1.0,0.0
169,2,,
170,0,,
171,1,,
172,0,1.0,
173,0,,
174,2,,
175,1,0.0,2.0
176,0,,
178,0,1.0,2.0
179,0,1.0,
180,2,,
181,2,,
182,0,,
183,0,1.0,
184,0,1.0,
185,0,1.0,
186,1,0.0,
187,0,,
188,1,,
189,1,,
190,0,1.0,
191,2,,
192,0,,
193,1,,
194,1,,
195,0,,
196,0,1.0,2.0
197,0,1.0,2.0
198,0,,
199,0,2.0,1.0
200,2,0.0,1.0
201,0,2.0,1.0
202,0,,
203,0,,
204,1,0.0,
205,2,,
206,0,,
207,2,,
208,1,0.0,2.0
209,0,,
210,0,,
211,1,,
212,0,2.0,1.0
213,0,2.0,1.0
214,0,,
215,1,0.0,2.0
216,1,0.0,
217,0,1.0,
218,0,,
219,0,,
220,0,1.0,2.0
221,1,2.0,0.0
222,0,1.0,2.0
223,0,,
224,1,,
225,0,1.0,
226,0,,
227,0,,
228,2,1.0,0.0
229,0,2.0,
230,0,,
231,1,,
232,0,,
233,0,1.0,2.0
235,1,0.0,
236,0,,
237,2,1.0,0.0
238,0,1.0,
239,2,1.0,0.0
240,1,0.0,
241,2,,
242,1,0.0,2.0
243,1,0.0,2.0
