ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3
91902_00000_179877,Ballot 3 - Type 3,Early Voting,Judicial District 1,Judicial,District 2 - Early Voting,District 2 - Early Voting,Region I,"Stedman, Bert K.",skipped,skipped
91902_00000_206032,Ballot 3 - Type 3,Early Voting,Judicial District 1,Judicial,District 2 - Early Voting,District 2 - Early Voting,Region I,"Stedman, Bert K.",skipped,skipped
91902_00000_513350,Ballot 3 - Type 3,Early Voting,Judicial District 1,Judicial,District 2 - Early Voting,District 2 - Early Voting,Region I,skipped,skipped,skipped
91902_00000_568677,Ballot 3 - Type 3,Early Voting,Judicial District 1,Judicial,District 2 - Early Voting,District 2 - Early Voting,Region I,"Stedman, Bert K.",skipped,skipped
91902_00000_627140,Ballot 3 - Type 3,Early Voting,Judicial District 1,Judicial,District 2 - Early Voting,District 2 - Early Voting,Region I,skipped,skipped,skipped
91910_00000_200193,Ballot 3 - Type 3,Early Voting,Judicial District 1,Judicial,District 2 - Early Voting,District 2 - Early Voting,Region I,"Stedman, Bert K.",skipped,skipped
91910_00000_218584,Ballot 3 - Type 3,Early Voting,Judicial District 1,Judicial,District 2 - Early Voting,District 2 - Early Voting,Region I,"Stedman, Bert K.","Sheldon, Mike",skipped
91910_00000_230561,Ballot 3 - Type 3,Early Voting,Judicial District 1,Judicial,District 2 - Early Voting,District 2 - Early Voting,Region I,skipped,"Sheldon, Mike",skipped
91910_00000_255789,Ballot 3 - Type 3,Early Voting,Judicial District 1,Judicial,District 2 - Early Voting,District 2 - Early Voting,Region I,"Stedman, Bert K.","Sheldon, Mike",skipped
91910_00000_294296,Ballot 3 - Type 3,Early Voting,Judicial District 1,Judicial,District 2 - Early Voting,District 2 - Early Voting,Region I,"Sheldon, Mike",skipped,skipped
91910_00000_344817,Ballot 3 - Type 3,Early Voting,Judicial District 1,Judicial,District 2 - Early Voting,District 2 - Early Voting,Region I,"Stedman, Bert K.",skipped,skipped
91910_00000_384670,Ballot 3 - Type 3,Early Voting,Judicial District 1,Judicial,District 2 - Early Voting,District 2 - Early Voting,Region I,"Sheldon, Mike",skipped,skipped
91910_00000_441854,Ballot 3 - Type 3,Early Voting,Judicial District 1,Judicial,District 2 - Early Voting,District 2 - Early Voting,Region I,"Stedman, Bert K.","Sheldon, Mike",skipped
91910_00000_500480,Ballot 3 - Type 3,Early Voting,Judicial District 1,Judicial,District 2 - Early Voting,District 2 - Early Voting,Region I,skipped,skipped,skipped
91910_00000_545794,Ballot 1 - Type 1,Early Voting,Judicial District 1,Judicial,District 1 - Early Voting,District 1 - Early Voting,Region I,skipped,skipped,skipped
91910_00000_595423,Ballot 3 - Type 3,Early Voting,Judicial District 1,Judicial,District 2 - Early Voting,District 2 - Early Voting,Region I,"Stedman, Bert K.",skipped,skipped
91910_00000_678146,Ballot 3 - Type 3,Early Voting,Judicial District 1,Judicial,District 2 - Early Voting,District 2 - Early Voting,Region I,"Stedman, Bert K.",skipped,skipped
91910_00000_710494,Ballot 3 - Type 3,Early Voting,Judicial District 1,Judicial,District 2 - Early Voting,District 2 - Early Voting,Region I,"Sheldon, Mike",skipped,skipped
91910_00000_913407,Ballot 3 - Type 3,Early Voting,Judicial District 1,Judicial,District 2 - Early Voting,District 2 - Early Voting,Region I,"Sheldon, Mike",skipped,skipped
91910_00000_967984,Ballot 1 - Type 1,Early Voting,Judicial District 1,Judicial,District 1 - Early Voting,District 1 - Early Voting,Region I,"Sheldon, Mike",skipped,skipped
91910_00000_980944,Ballot 3 - Type 3,Early Voting,Judicial District 1,Judicial,District 2 - Early Voting,District 2 - Early Voting,Region I,"Stedman, Bert K.",skipped,skipped
02760_00000_010869,Ballot 3 - Type 3,Election Day,Judicial District 1,Judicial,02-760 Port Alexander,02-760 Port Alexander,Region I,"Stedman, Bert K.",skipped,skipped
02760_00000_082489,Ballot 3 - Type 3,Election Day,Judicial District 1,Judicial,02-760 Port Alexander,02-760 Port Alexander,Region I,"Sheldon, Mike",skipped,skipped
02760_00000_129639,Ballot 3 - Type 3,Election Day,Judicial District 1,Judicial,02-760 Port Alexander,02-760 Port Alexander,Region I,"Stedman, Bert K.",skipped,skipped
02760_00000_142711,Ballot 3 - Type 3,Election Day,Judicial District 1,Judicial,02-760 Port Alexander,02-760 Port Alexander,Region I,"Stedman, Bert K.",skipped,skipped
02760_00000_155004,Ballot 3 - Type 3,Election Day,Judicial District 1,Judicial,02-760 Port Alexander,02-760 Port Alexander,Region I,"Stedman, Bert K.",skipped,skipped
02760_00000_311842,Ballot 3 - Type 3,Election Day,Judicial District 1,Judicial,02-760 Port Alexander,02-760 Port Alexander,Region I,"Stedman, Bert K.",skipped,skipped
02760_00000_387462,Ballot 3 - Type 3,Election Day,Judicial District 1,Judicial,02-760 Port Alexander,02-760 Port Alexander,Region I,"Stedman, Bert K.",skipped,skipped
02760_00000_428692,Ballot 3 - Type 3,Election Day,Judicial District 1,Judicial,02-760 Port Alexander,02-760 Port Alexander,Region I,"Stedman, Bert K.",skipped,skipped
02760_00000_456026,Ballot 3 - Type 3,Election Day,Judicial District 1,Judicial,02-760 Port Alexander,02-760 Port Alexander,Region I,"Stedman, Bert K.","Sheldon, Mike",skipped
02760_00000_549274,Ballot 3 - Type 3,Election Day,Judicial District 1,Judicial,02-760 Port Alexander,02-760 Port Alexander,Region I,"Stedman, Bert K.",skipped,skipped
02760_00000_826551,Ballot 3 - Type 3,Election Day,Judicial District 1,Judicial,02-760 Port Alexander,02-760 Port Alexander,Region I,skipped,skipped,skipped
02760_00000_848236,Ballot 3 - Type 3,Election Day,Judicial District 1,Judicial,02-760 Port Alexander,02-760 Port Alexander,Region I,"Stedman, Bert K.",skipped,skipped
02760_00000_854191,Ballot 3 - Type 3,Election Day,Judicial District 1,Judicial,02-760 Port Alexander,02-760 Port Alexander,Region I,"Stedman, Bert K.",skipped,skipped
02760_00000_914906,Ballot 3 - Type 3,Election Day,Judicial District 1,Judicial,02-760 Port Alexander,02-760 Port Alexander,Region I,"Stedman, Bert K.","Sheldon, Mike",skipped
02760_00000_980371,Ballot 3 - Type 3,Election Day,Judicial District 1,Judicial,02-760 Port Alexander,02-760 Port Alexander,Region I,"Stedman, Bert K.",skipped,skipped
02750_00000_029423,Ballot 3 - Type 3,Election Day,Judicial District 1,Judicial,02-750 Pelican-Elfin Cove,02-750 Pelican-Elfin Cove,Region I,"Sheldon, Mike",skipped,skipped
02750_00000_042893,Ballot 3 - Type 3,Election Day,Judicial District 1,Judicial,02-750 Pelican-Elfin Cove,02-750 Pelican-Elfin Cove,Region I,"Sheldon, Mike",skipped,skipped
02750_00000_055282,Ballot 3 - Type 3,Election Day,Judicial District 1,Judicial,02-750 Pelican-Elfin Cove,02-750 Pelican-Elfin Cove,Region I,"Sheldon, Mike",skipped,skipped
02750_00000_115613,Ballot 3 - Type 3,Election Day,Judicial District 1,Judicial,02-750 Pelican-Elfin Cove,02-750 Pelican-Elfin Cove,Region I,"Stedman, Bert K.","Sheldon, Mike",skipped
