ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3,rank4
91902_00000_961399,Ballot 7 - Type 7,Early Voting,Judicial District 3,Judicial,District 6 - Early Voting,District 6 - Early Voting,Region I,skipped,skipped,skipped,skipped
91910_00000_311938,Ballot 6 - Type 6,Early Voting,Judicial District 3,Judicial,District 5 - Early Voting,District 5 - Early Voting,Region I,"Stevens, Gary",skipped,skipped,skipped
91910_00000_387353,Ballot 6 - Type 6,Early Voting,Judicial District 3,Judicial,District 5 - Early Voting,District 5 - Early Voting,Region I,"Stevens, Gary","Smith, Heath","Jones, Walter H.",skipped
91910_00000_750526,Ballot 7 - Type 7,Early Voting,Judicial District 3,Judicial,District 6 - Early Voting,District 6 - Early Voting,Region I,"Stevens, Gary",skipped,skipped,skipped
06260_00000_000741,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,"Stevens, Gary","Jones, Walter H.","Smith, Heath",skipped
06260_00000_001330,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,"Stevens, Gary",skipped,"Jones, Walter H.","Smith, Heath"
06260_00000_001896,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,"Smith, Heath","Stevens, Gary","Jones, Walter H.",skipped
06260_00000_002754,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,"Stevens, Gary",skipped,skipped,skipped
06260_00000_003079,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,"Stevens, Gary","Smith, Heath","Jones, Walter H.",skipped
06260_00000_003863,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,"Jones, Walter H.",skipped,skipped,skipped
06260_00000_004474,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,skipped,skipped,skipped,skipped
06260_00000_005096,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,"Smith, Heath","Stevens, Gary","Jones, Walter H.",skipped
06260_00000_007363,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,"Stevens, Gary",skipped,skipped,skipped
06260_00000_008220,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,skipped,skipped,skipped,skipped
06260_00000_009549,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,"Stevens, Gary","Smith, Heath","Jones, Walter H.",skipped
06260_00000_010687,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,"Stevens, Gary",skipped,skipped,skipped
06260_00000_011793,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,skipped,skipped,skipped,skipped
06260_00000_012159,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,"Stevens, Gary",skipped,skipped,skipped
06260_00000_013476,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,skipped,skipped,skipped,skipped
06260_00000_014825,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,"Stevens, Gary","Smith, Heath","Jones, Walter H.",skipped
06260_00000_015909,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,"Smith, Heath",skipped,skipped,skipped
06260_00000_016018,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,skipped,skipped,skipped,skipped
06260_00000_017568,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,"Stevens, Gary",skipped,skipped,skipped
06260_00000_018025,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,"Stevens, Gary",skipped,skipped,skipped
06260_00000_018542,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,skipped,skipped,skipped,skipped
06260_00000_019187,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,"Stevens, Gary",skipped,skipped,skipped
06260_00000_019946,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,"Stevens, Gary","Smith, Heath",skipped,skipped
06260_00000_020029,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,"Stevens, Gary",skipped,skipped,skipped
06260_00000_020853,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,"Smith, Heath","Stevens, Gary","Jones, Walter H.",skipped
06260_00000_021424,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,"Stevens, Gary","Smith, Heath","Jones, Walter H.",skipped
06260_00000_021670,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,"Smith, Heath","Jones, Walter H.","Stevens, Gary",skipped
06260_00000_022340,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,"Smith, Heath","Stevens, Gary","Jones, Walter H.",skipped
06260_00000_022886,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,skipped,skipped,skipped,skipped
06260_00000_024006,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,"Stevens, Gary",skipped,skipped,skipped
06260_00000_024567,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,"Smith, Heath","Stevens, Gary","Jones, Walter H.",skipped
06260_00000_025270,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,"Smith, Heath",skipped,skipped,skipped
06260_00000_026539,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,"Stevens, Gary",skipped,skipped,skipped
06260_00000_028764,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,"Smith, Heath",skipped,skipped,skipped
06260_00000_029353,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,"Stevens, Gary",skipped,skipped,skipped
06260_00000_030508,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,"Stevens, Gary","Smith, Heath","Jones, Walter H.",skipped
06260_00000_031169,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,"Jones, Walter H.","Stevens, Gary","Smith, Heath",skipped
06260_00000_032075,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,"Stevens, Gary",skipped,skipped,skipped
06260_00000_032532,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,skipped,skipped,skipped,skipped
06260_00000_033697,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,"Stevens, Gary",skipped,skipped,skipped
06260_00000_034783,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,"Stevens, Gary",skipped,skipped,skipped
06260_00000_035855,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,"Jones, Walter H.",skipped,skipped,skipped
06260_00000_036426,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,"Stevens, Gary",skipped,"Smith, Heath","Jones, Walter H."
06260_00000_037197,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,skipped,skipped,skipped,skipped
06260_00000_037936,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,"Stevens, Gary","Smith, Heath","Jones, Walter H.",skipped
06260_00000_038483,Ballot 7 - Type 7,Election Day,Judicial District 3,Judicial,06-260 Kasilof,06-260 Kasilof,Region I,"Smith, Heath","Stevens, Gary","Jones, Walter H.",skipped
