ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3,rank4
91902_00000_425595,Ballot 11 - Type 11,Early Voting,Judicial District 3,Judicial,District 10 - Early Voting,District 10 - Early Voting,Region I,"Cacy, Roselynn","Holland, Roger",skipped,skipped
91910_00000_743895,Ballot 10 - Type 10,Early Voting,Judicial District 3,Judicial,District 9 - Early Voting,District 9 - Early Voting,Region I,"Giessel, Cathy",skipped,skipped,skipped
93600_00023_000001,Ballot 11 - Type 11,Early Voting,Judicial District 3,Judicial,District 10 - Early Voting,District 10 - Early Voting,Region III,"Giessel, Cathy",skipped,skipped,skipped
93600_00023_000002,Ballot 11 - Type 11,Early Voting,Judicial District 3,Judicial,District 10 - Early Voting,District 10 - Early Voting,Region III,"Holland, Roger","Giessel, Cathy","Cacy, Roselynn",skipped
93600_00023_000003,Ballot 11 - Type 11,Early Voting,Judicial District 3,Judicial,District 10 - Early Voting,District 10 - Early Voting,Region III,"Holland, Roger","Giessel, Cathy",skipped,skipped
93600_00023_000004,Ballot 11 - Type 11,Early Voting,Judicial District 3,Judicial,District 10 - Early Voting,District 10 - Early Voting,Region III,"Giessel, Cathy","Holland, Roger","Cacy, Roselynn",skipped
93600_00023_000005,Ballot 11 - Type 11,Early Voting,Judicial District 3,Judicial,District 10 - Early Voting,District 10 - Early Voting,Region III,"Cacy, Roselynn","Giessel, Cathy","Holland, Roger",skipped
93600_00023_000006,Ballot 11 - Type 11,Early Voting,Judicial District 3,Judicial,District 10 - Early Voting,District 10 - Early Voting,Region III,Write-in,skipped,skipped,skipped
93600_00023_000007,Ballot 11 - Type 11,Early Voting,Judicial District 3,Judicial,District 10 - Early Voting,District 10 - Early Voting,Region III,"Giessel, Cathy","Holland, Roger","Cacy, Roselynn",skipped
93600_00023_000008,Ballot 11 - Type 11,Early Voting,Judicial District 3,Judicial,District 10 - Early Voting,District 10 - Early Voting,Region III,"Cacy, Roselynn","Giessel, Cathy",skipped,skipped
93600_00022_000001,Ballot 10 - Type 10,Early Voting,Judicial District 3,Judicial,District 9 - Early Voting,District 9 - Early Voting,Region III,"Cacy, Roselynn",skipped,skipped,skipped
93600_00022_000002,Ballot 10 - Type 10,Early Voting,Judicial District 3,Judicial,District 9 - Early Voting,District 9 - Early Voting,Region III,"Holland, Roger","Giessel, Cathy",skipped,skipped
93600_00022_000003,Ballot 10 - Type 10,Early Voting,Judicial District 3,Judicial,District 9 - Early Voting,District 9 - Early Voting,Region III,"Cacy, Roselynn","Holland, Roger","Giessel, Cathy",skipped
93600_00022_000004,Ballot 10 - Type 10,Early Voting,Judicial District 3,Judicial,District 9 - Early Voting,District 9 - Early Voting,Region III,"Holland, Roger",skipped,skipped,skipped
93600_00022_000005,Ballot 10 - Type 10,Early Voting,Judicial District 3,Judicial,District 9 - Early Voting,District 9 - Early Voting,Region III,"Holland, Roger",skipped,skipped,skipped
93600_00022_000006,Ballot 10 - Type 10,Early Voting,Judicial District 3,Judicial,District 9 - Early Voting,District 9 - Early Voting,Region III,"Cacy, Roselynn",skipped,skipped,skipped
93600_00022_000007,Ballot 10 - Type 10,Early Voting,Judicial District 3,Judicial,District 9 - Early Voting,District 9 - Early Voting,Region III,"Holland, Roger","Giessel, Cathy",skipped,skipped
93600_00022_000008,Ballot 10 - Type 10,Early Voting,Judicial District 3,Judicial,District 9 - Early Voting,District 9 - Early Voting,Region III,skipped,skipped,skipped,skipped
93600_00022_000009,Ballot 10 - Type 10,Early Voting,Judicial District 3,Judicial,District 9 - Early Voting,District 9 - Early Voting,Region III,"Holland, Roger","Giessel, Cathy",skipped,skipped
