ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3
91902_00000_538893,Ballot 12 - Type 12,Early Voting,Judicial District 3,Judicial,District 11 - Early Voting,District 11 - Early Voting,Region I,"Park, Janice L.",skipped,skipped
93600_00025_000001,Ballot 12 - Type 12,Early Voting,Judicial District 3,Judicial,District 11 - Early Voting,District 11 - Early Voting,Region III,"Kaufman, James D.","Park, Janice L.",skipped
93600_00025_000002,Ballot 12 - Type 12,Early Voting,Judicial District 3,Judicial,District 11 - Early Voting,District 11 - Early Voting,Region III,"Kaufman, James D.",skipped,skipped
93600_00025_000003,Ballot 12 - Type 12,Early Voting,Judicial District 3,Judicial,District 11 - Early Voting,District 11 - Early Voting,Region III,"Park, Janice L.","Kaufman, James D.",skipped
93600_00025_000004,Ballot 12 - Type 12,Early Voting,Judicial District 3,Judicial,District 11 - Early Voting,District 11 - Early Voting,Region III,"Park, Janice L.",skipped,skipped
93600_00025_000005,Ballot 12 - Type 12,Early Voting,Judicial District 3,Judicial,District 11 - Early Voting,District 11 - Early Voting,Region III,"Park, Janice L.",skipped,skipped
93600_00025_000006,Ballot 12 - Type 12,Early Voting,Judicial District 3,Judicial,District 11 - Early Voting,District 11 - Early Voting,Region III,skipped,skipped,skipped
93600_00025_000007,Ballot 12 - Type 12,Early Voting,Judicial District 3,Judicial,District 11 - Early Voting,District 11 - Early Voting,Region III,"Kaufman, James D.","Park, Janice L.",skipped
93600_00024_000001,Ballot 13 - Type 13,Early Voting,Judicial District 3,Judicial,District 12 - Early Voting,District 12 - Early Voting,Region III,"Kaufman, James D.","Park, Janice L.",skipped
93600_00024_000002,Ballot 13 - Type 13,Early Voting,Judicial District 3,Judicial,District 12 - Early Voting,District 12 - Early Voting,Region III,"Kaufman, James D.",skipped,skipped
93600_00024_000003,Ballot 13 - Type 13,Early Voting,Judicial District 3,Judicial,District 12 - Early Voting,District 12 - Early Voting,Region III,"Kaufman, James D.",skipped,skipped
93600_00024_000004,Ballot 13 - Type 13,Early Voting,Judicial District 3,Judicial,District 12 - Early Voting,District 12 - Early Voting,Region III,"Park, Janice L.","Kaufman, James D.",skipped
93600_00024_000005,Ballot 13 - Type 13,Early Voting,Judicial District 3,Judicial,District 12 - Early Voting,District 12 - Early Voting,Region III,"Park, Janice L.","Kaufman, James D.",skipped
92607_00004_000001,Ballot 13 - Type 13,Question,Judicial District 3,Judicial,District 12  - Question,District 12  - Question,Region II,skipped,skipped,skipped
92607_00004_000002,Ballot 13 - Type 13,Question,Judicial District 3,Judicial,District 12  - Question,District 12  - Question,Region II,skipped,skipped,skipped
92607_00004_000003,Ballot 13 - Type 13,Question,Judicial District 3,Judicial,District 12  - Question,District 12  - Question,Region II,skipped,skipped,skipped
92607_00004_000004,Ballot 13 - Type 13,Question,Judicial District 3,Judicial,District 12  - Question,District 12  - Question,Region II,skipped,skipped,skipped
92607_00004_000005,Ballot 13 - Type 13,Question,Judicial District 3,Judicial,District 12  - Question,District 12  - Question,Region II,skipped,skipped,skipped
92607_00004_000006,Ballot 13 - Type 13,Question,Judicial District 3,Judicial,District 12  - Question,District 12  - Question,Region II,skipped,skipped,skipped
92607_00004_000007,Ballot 13 - Type 13,Question,Judicial District 3,Judicial,District 12  - Question,District 12  - Question,Region II,skipped,skipped,skipped
92607_00004_000008,Ballot 13 - Type 13,Question,Judicial District 3,Judicial,District 12  - Question,District 12  - Question,Region II,skipped,skipped,skipped
92607_00003_000001,Ballot 12 - Type 12,Question,Judicial District 3,Judicial,District 11  - Question,District 11  - Question,Region II,skipped,skipped,skipped
92607_00003_000002,Ballot 12 - Type 12,Question,Judicial District 3,Judicial,District 11  - Question,District 11  - Question,Region II,skipped,skipped,skipped
92607_00003_000003,Ballot 12 - Type 12,Question,Judicial District 3,Judicial,District 11  - Question,District 11  - Question,Region II,skipped,skipped,skipped
92607_00003_000004,Ballot 12 - Type 12,Question,Judicial District 3,Judicial,District 11  - Question,District 11  - Question,Region II,skipped,skipped,skipped
92607_00003_000005,Ballot 12 - Type 12,Question,Judicial District 3,Judicial,District 11  - Question,District 11  - Question,Region II,skipped,skipped,skipped
92607_00003_000006,Ballot 12 - Type 12,Question,Judicial District 3,Judicial,District 11  - Question,District 11  - Question,Region II,skipped,skipped,skipped
92607_00003_000007,Ballot 12 - Type 12,Question,Judicial District 3,Judicial,District 11  - Question,District 11  - Question,Region II,skipped,skipped,skipped
92607_00003_000008,Ballot 12 - Type 12,Question,Judicial District 3,Judicial,District 11  - Question,District 11  - Question,Region II,skipped,skipped,skipped
92607_00003_000009,Ballot 12 - Type 12,Question,Judicial District 3,Judicial,District 11  - Question,District 11  - Question,Region II,skipped,skipped,skipped
92506_00004_000001,Ballot 13 - Type 13,Question,Judicial District 3,Judicial,District 12  - Question,District 12  - Question,Region II,skipped,skipped,skipped
92506_00004_000002,Ballot 13 - Type 13,Question,Judicial District 3,Judicial,District 12  - Question,District 12  - Question,Region II,"Kaufman, James D.",skipped,skipped
92506_00004_000003,Ballot 13 - Type 13,Question,Judicial District 3,Judicial,District 12  - Question,District 12  - Question,Region II,skipped,skipped,skipped
92506_00004_000004,Ballot 13 - Type 13,Question,Judicial District 3,Judicial,District 12  - Question,District 12  - Question,Region II,"Kaufman, James D.",skipped,skipped
92506_00004_000005,Ballot 13 - Type 13,Question,Judicial District 3,Judicial,District 12  - Question,District 12  - Question,Region II,"Park, Janice L.",skipped,skipped
