ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3
91902_00000_764881,Ballot 14 - Type 14,Early Voting,Judicial District 3,Judicial,District 13 - Early Voting,District 13 - Early Voting,Region I,"Gray-Jackson, Elvi",skipped,skipped
93600_00026_000001,Ballot 14 - Type 14,Early Voting,Judicial District 3,Judicial,District 13 - Early Voting,District 13 - Early Voting,Region III,"Gray-Jackson, Elvi","Sanders, Marcus D.",skipped
93600_00026_000002,Ballot 14 - Type 14,Early Voting,Judicial District 3,Judicial,District 13 - Early Voting,District 13 - Early Voting,Region III,"Sanders, Marcus D.","Gray-Jackson, Elvi",skipped
93600_00026_000003,Ballot 14 - Type 14,Early Voting,Judicial District 3,Judicial,District 13 - Early Voting,District 13 - Early Voting,Region III,"Sanders, Marcus D.",skipped,skipped
93600_00026_000004,Ballot 14 - Type 14,Early Voting,Judicial District 3,Judicial,District 13 - Early Voting,District 13 - Early Voting,Region III,"Sanders, Marcus D.",skipped,skipped
93600_00026_000005,Ballot 14 - Type 14,Early Voting,Judicial District 3,Judicial,District 13 - Early Voting,District 13 - Early Voting,Region III,"Sanders, Marcus D.",skipped,skipped
93600_00026_000006,Ballot 14 - Type 14,Early Voting,Judicial District 3,Judicial,District 13 - Early Voting,District 13 - Early Voting,Region III,"Gray-Jackson, Elvi",skipped,skipped
93600_00027_000001,Ballot 15 - Type 15,Early Voting,Judicial District 3,Judicial,District 14 - Early Voting,District 14 - Early Voting,Region III,"Gray-Jackson, Elvi",skipped,"Sanders, Marcus D."
93600_00027_000002,Ballot 15 - Type 15,Early Voting,Judicial District 3,Judicial,District 14 - Early Voting,District 14 - Early Voting,Region III,"Gray-Jackson, Elvi",skipped,skipped
93600_00027_000003,Ballot 15 - Type 15,Early Voting,Judicial District 3,Judicial,District 14 - Early Voting,District 14 - Early Voting,Region III,"Gray-Jackson, Elvi",skipped,skipped
92607_00006_000001,Ballot 15 - Type 15,Question,Judicial District 3,Judicial,District 14  - Question,District 14  - Question,Region II,skipped,skipped,skipped
92607_00006_000002,Ballot 15 - Type 15,Question,Judicial District 3,Judicial,District 14  - Question,District 14  - Question,Region II,skipped,skipped,skipped
92607_00006_000003,Ballot 15 - Type 15,Question,Judicial District 3,Judicial,District 14  - Question,District 14  - Question,Region II,skipped,skipped,skipped
92607_00006_000004,Ballot 15 - Type 15,Question,Judicial District 3,Judicial,District 14  - Question,District 14  - Question,Region II,skipped,skipped,skipped
92607_00006_000005,Ballot 15 - Type 15,Question,Judicial District 3,Judicial,District 14  - Question,District 14  - Question,Region II,skipped,skipped,skipped
92607_00006_000006,Ballot 15 - Type 15,Question,Judicial District 3,Judicial,District 14  - Question,District 14  - Question,Region II,skipped,skipped,skipped
92607_00006_000007,Ballot 15 - Type 15,Question,Judicial District 3,Judicial,District 14  - Question,District 14  - Question,Region II,skipped,skipped,skipped
92607_00006_000008,Ballot 15 - Type 15,Question,Judicial District 3,Judicial,District 14  - Question,District 14  - Question,Region II,skipped,skipped,skipped
92607_00006_000009,Ballot 15 - Type 15,Question,Judicial District 3,Judicial,District 14  - Question,District 14  - Question,Region II,skipped,skipped,skipped
92607_00006_000010,Ballot 15 - Type 15,Question,Judicial District 3,Judicial,District 14  - Question,District 14  - Question,Region II,skipped,skipped,skipped
92607_00006_000011,Ballot 15 - Type 15,Question,Judicial District 3,Judicial,District 14  - Question,District 14  - Question,Region II,skipped,skipped,skipped
92607_00006_000012,Ballot 15 - Type 15,Question,Judicial District 3,Judicial,District 14  - Question,District 14  - Question,Region II,skipped,skipped,skipped
92607_00006_000013,Ballot 15 - Type 15,Question,Judicial District 3,Judicial,District 14  - Question,District 14  - Question,Region II,skipped,skipped,skipped
92607_00006_000014,Ballot 15 - Type 15,Question,Judicial District 3,Judicial,District 14  - Question,District 14  - Question,Region II,skipped,skipped,skipped
92607_00006_000015,Ballot 15 - Type 15,Question,Judicial District 3,Judicial,District 14  - Question,District 14  - Question,Region II,skipped,skipped,skipped
92607_00006_000016,Ballot 15 - Type 15,Question,Judicial District 3,Judicial,District 14  - Question,District 14  - Question,Region II,skipped,skipped,skipped
92607_00006_000017,Ballot 15 - Type 15,Question,Judicial District 3,Judicial,District 14  - Question,District 14  - Question,Region II,skipped,skipped,skipped
92607_00006_000018,Ballot 15 - Type 15,Question,Judicial District 3,Judicial,District 14  - Question,District 14  - Question,Region II,skipped,skipped,skipped
92607_00006_000019,Ballot 15 - Type 15,Question,Judicial District 3,Judicial,District 14  - Question,District 14  - Question,Region II,skipped,skipped,skipped
92607_00006_000020,Ballot 15 - Type 15,Question,Judicial District 3,Judicial,District 14  - Question,District 14  - Question,Region II,skipped,skipped,skipped
92607_00006_000021,Ballot 15 - Type 15,Question,Judicial District 3,Judicial,District 14  - Question,District 14  - Question,Region II,skipped,skipped,skipped
92607_00005_000001,Ballot 14 - Type 14,Question,Judicial District 3,Judicial,District 13  - Question,District 13  - Question,Region II,skipped,skipped,skipped
92607_00005_000002,Ballot 14 - Type 14,Question,Judicial District 3,Judicial,District 13  - Question,District 13  - Question,Region II,skipped,skipped,skipped
92607_00005_000003,Ballot 14 - Type 14,Question,Judicial District 3,Judicial,District 13  - Question,District 13  - Question,Region II,skipped,skipped,skipped
92607_00005_000004,Ballot 14 - Type 14,Question,Judicial District 3,Judicial,District 13  - Question,District 13  - Question,Region II,skipped,skipped,skipped
92607_00005_000005,Ballot 14 - Type 14,Question,Judicial District 3,Judicial,District 13  - Question,District 13  - Question,Region II,skipped,skipped,skipped
92607_00005_000006,Ballot 14 - Type 14,Question,Judicial District 3,Judicial,District 13  - Question,District 13  - Question,Region II,skipped,skipped,skipped
92607_00005_000007,Ballot 14 - Type 14,Question,Judicial District 3,Judicial,District 13  - Question,District 13  - Question,Region II,skipped,skipped,skipped
92607_00005_000008,Ballot 14 - Type 14,Question,Judicial District 3,Judicial,District 13  - Question,District 13  - Question,Region II,skipped,skipped,skipped
