ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3
91902_00000_240386,Ballot 16 - Type 16,Early Voting,Judicial District 3,Judicial,District 15 - Early Voting,District 15 - Early Voting,Region I,"Claman, Matt",skipped,skipped
91902_00000_635808,Ballot 16 - Type 16,Early Voting,Judicial District 3,Judicial,District 15 - Early Voting,District 15 - Early Voting,Region I,"Claman, Matt",skipped,skipped
93600_00028_000001,Ballot 16 - Type 16,Early Voting,Judicial District 3,Judicial,District 15 - Early Voting,District 15 - Early Voting,Region III,"Claman, Matt",skipped,skipped
93600_00028_000002,Ballot 16 - Type 16,Early Voting,Judicial District 3,Judicial,District 15 - Early Voting,District 15 - Early Voting,Region III,"Claman, Matt","Costello, Mia",skipped
93600_00028_000003,Ballot 16 - Type 16,Early Voting,Judicial District 3,Judicial,District 15 - Early Voting,District 15 - Early Voting,Region III,"Costello, Mia","Claman, Matt",skipped
93600_00028_000004,Ballot 16 - Type 16,Early Voting,Judicial District 3,Judicial,District 15 - Early Voting,District 15 - Early Voting,Region III,"Claman, Matt",skipped,skipped
93600_00028_000005,Ballot 16 - Type 16,Early Voting,Judicial District 3,Judicial,District 15 - Early Voting,District 15 - Early Voting,Region III,"Claman, Matt",skipped,skipped
93600_00028_000006,Ballot 16 - Type 16,Early Voting,Judicial District 3,Judicial,District 15 - Early Voting,District 15 - Early Voting,Region III,"Claman, Matt",skipped,skipped
93600_00028_000007,Ballot 16 - Type 16,Early Voting,Judicial District 3,Judicial,District 15 - Early Voting,District 15 - Early Voting,Region III,"Claman, Matt",skipped,skipped
93600_00028_000008,Ballot 16 - Type 16,Early Voting,Judicial District 3,Judicial,District 15 - Early Voting,District 15 - Early Voting,Region III,"Claman, Matt",skipped,skipped
93600_00028_000009,Ballot 16 - Type 16,Early Voting,Judicial District 3,Judicial,District 15 - Early Voting,District 15 - Early Voting,Region III,"Claman, Matt",skipped,skipped
93600_00029_000001,Ballot 17 - Type 17,Early Voting,Judicial District 3,Judicial,District 16 - Early Voting,District 16 - Early Voting,Region III,"Claman, Matt","Costello, Mia",skipped
93600_00029_000002,Ballot 17 - Type 17,Early Voting,Judicial District 3,Judicial,District 16 - Early Voting,District 16 - Early Voting,Region III,"Costello, Mia",skipped,skipped
93600_00029_000003,Ballot 17 - Type 17,Early Voting,Judicial District 3,Judicial,District 16 - Early Voting,District 16 - Early Voting,Region III,"Costello, Mia",skipped,skipped
93600_00029_000004,Ballot 17 - Type 17,Early Voting,Judicial District 3,Judicial,District 16 - Early Voting,District 16 - Early Voting,Region III,"Costello, Mia",skipped,skipped
93600_00029_000005,Ballot 17 - Type 17,Early Voting,Judicial District 3,Judicial,District 16 - Early Voting,District 16 - Early Voting,Region III,"Claman, Matt","Costello, Mia",skipped
93600_00029_000006,Ballot 17 - Type 17,Early Voting,Judicial District 3,Judicial,District 16 - Early Voting,District 16 - Early Voting,Region III,"Claman, Matt",skipped,skipped
93600_00029_000007,Ballot 17 - Type 17,Early Voting,Judicial District 3,Judicial,District 16 - Early Voting,District 16 - Early Voting,Region III,"Costello, Mia",skipped,skipped
93600_00029_000008,Ballot 17 - Type 17,Early Voting,Judicial District 3,Judicial,District 16 - Early Voting,District 16 - Early Voting,Region III,"Claman, Matt",skipped,skipped
92607_00008_000001,Ballot 17 - Type 17,Question,Judicial District 3,Judicial,District 16  - Question,District 16  - Question,Region II,skipped,skipped,skipped
92607_00008_000002,Ballot 17 - Type 17,Question,Judicial District 3,Judicial,District 16  - Question,District 16  - Question,Region II,skipped,skipped,skipped
92607_00008_000003,Ballot 17 - Type 17,Question,Judicial District 3,Judicial,District 16  - Question,District 16  - Question,Region II,skipped,skipped,skipped
92607_00008_000004,Ballot 17 - Type 17,Question,Judicial District 3,Judicial,District 16  - Question,District 16  - Question,Region II,skipped,skipped,skipped
92607_00008_000005,Ballot 17 - Type 17,Question,Judicial District 3,Judicial,District 16  - Question,District 16  - Question,Region II,skipped,skipped,skipped
92607_00008_000006,Ballot 17 - Type 17,Question,Judicial District 3,Judicial,District 16  - Question,District 16  - Question,Region II,skipped,skipped,skipped
92607_00008_000007,Ballot 17 - Type 17,Question,Judicial District 3,Judicial,District 16  - Question,District 16  - Question,Region II,skipped,skipped,skipped
92607_00007_000001,Ballot 16 - Type 16,Question,Judicial District 3,Judicial,District 15  - Question,District 15  - Question,Region II,skipped,skipped,skipped
92607_00007_000002,Ballot 16 - Type 16,Question,Judicial District 3,Judicial,District 15  - Question,District 15  - Question,Region II,skipped,skipped,skipped
92607_00007_000003,Ballot 16 - Type 16,Question,Judicial District 3,Judicial,District 15  - Question,District 15  - Question,Region II,skipped,skipped,skipped
92607_00007_000004,Ballot 16 - Type 16,Question,Judicial District 3,Judicial,District 15  - Question,District 15  - Question,Region II,skipped,skipped,skipped
92607_00007_000005,Ballot 16 - Type 16,Question,Judicial District 3,Judicial,District 15  - Question,District 15  - Question,Region II,skipped,skipped,skipped
92607_00007_000006,Ballot 16 - Type 16,Question,Judicial District 3,Judicial,District 15  - Question,District 15  - Question,Region II,skipped,skipped,skipped
92607_00007_000007,Ballot 16 - Type 16,Question,Judicial District 3,Judicial,District 15  - Question,District 15  - Question,Region II,skipped,skipped,skipped
92607_00007_000008,Ballot 16 - Type 16,Question,Judicial District 3,Judicial,District 15  - Question,District 15  - Question,Region II,skipped,skipped,skipped
92607_00007_000009,Ballot 16 - Type 16,Question,Judicial District 3,Judicial,District 15  - Question,District 15  - Question,Region II,skipped,skipped,skipped
92607_00007_000010,Ballot 16 - Type 16,Question,Judicial District 3,Judicial,District 15  - Question,District 15  - Question,Region II,skipped,skipped,skipped
92607_00007_000011,Ballot 16 - Type 16,Question,Judicial District 3,Judicial,District 15  - Question,District 15  - Question,Region II,skipped,skipped,skipped
92506_00007_000001,Ballot 16 - Type 16,Question,Judicial District 3,Judicial,District 15  - Question,District 15  - Question,Region II,"Claman, Matt","Costello, Mia",skipped
92506_00007_000002,Ballot 16 - Type 16,Question,Judicial District 3,Judicial,District 15  - Question,District 15  - Question,Region II,"Costello, Mia",skipped,skipped
92506_00007_000003,Ballot 16 - Type 16,Question,Judicial District 3,Judicial,District 15  - Question,District 15  - Question,Region II,"Costello, Mia","Claman, Matt",skipped
92506_00007_000004,Ballot 16 - Type 16,Question,Judicial District 3,Judicial,District 15  - Question,District 15  - Question,Region II,"Claman, Matt",skipped,skipped
92506_00007_000005,Ballot 16 - Type 16,Question,Judicial District 3,Judicial,District 15  - Question,District 15  - Question,Region II,"Costello, Mia","Claman, Matt",skipped
