ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3,rank4
91902_00000_263396,Ballot 21 - Type 21,Early Voting,Judicial District 3,Judicial,District 20 - Early Voting,District 20 - Early Voting,Region I,"Satterfield, Andrew E.",skipped,skipped,skipped
93600_00031_000001,Ballot 20 - Type 20,Early Voting,Judicial District 3,Judicial,District 19 - Early Voting,District 19 - Early Voting,Region III,"Dunbar, Forrest","Tarr, Geran","Satterfield, Andrew E.",skipped
93600_00031_000002,Ballot 20 - Type 20,Early Voting,Judicial District 3,Judicial,District 19 - Early Voting,District 19 - Early Voting,Region III,"Tarr, Geran","Dunbar, Forrest","Satterfield, Andrew E.",skipped
93600_00032_000001,Ballot 21 - Type 21,Early Voting,Judicial District 3,Judicial,District 20 - Early Voting,District 20 - Early Voting,Region III,"Dunbar, Forrest","Tarr, Geran",skipped,skipped
93600_00032_000002,Ballot 21 - Type 21,Early Voting,Judicial District 3,Judicial,District 20 - Early Voting,District 20 - Early Voting,Region III,"Dunbar, Forrest",skipped,skipped,skipped
93600_00032_000003,Ballot 21 - Type 21,Early Voting,Judicial District 3,Judicial,District 20 - Early Voting,District 20 - Early Voting,Region III,"Dunbar, Forrest","Tarr, Geran","Satterfield, Andrew E.",skipped
93600_00032_000004,Ballot 21 - Type 21,Early Voting,Judicial District 3,Judicial,District 20 - Early Voting,District 20 - Early Voting,Region III,"Dunbar, Forrest","Tarr, Geran",skipped,skipped
93600_00032_000005,Ballot 21 - Type 21,Early Voting,Judicial District 3,Judicial,District 20 - Early Voting,District 20 - Early Voting,Region III,"Satterfield, Andrew E.",skipped,skipped,skipped
92607_00011_000001,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped,skipped
92607_00011_000002,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped,skipped
92607_00011_000003,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped,skipped
92607_00011_000004,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped,skipped
92607_00011_000005,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped,skipped
92607_00011_000006,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped,skipped
92607_00011_000007,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped,skipped
92607_00012_000001,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped
92607_00012_000002,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped
