ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3
91902_00000_499277,Ballot 23 - Type 23,Early Voting,Judicial District 3,Judicial,District 22 - Early Voting,District 22 - Early Voting,Region I,"Cunningham, John W.",skipped,skipped
93600_00034_000001,Ballot 23 - Type 23,Early Voting,Judicial District 3,Judicial,District 22 - Early Voting,District 22 - Early Voting,Region III,"Wielechowski, Bill","Cunningham, John W.",skipped
93600_00033_000001,Ballot 22 - Type 22,Early Voting,Judicial District 3,Judicial,District 21 - Early Voting,District 21 - Early Voting,Region III,"Cunningham, John W.",skipped,skipped
93600_00033_000002,Ballot 22 - Type 22,Early Voting,Judicial District 3,Judicial,District 21 - Early Voting,District 21 - Early Voting,Region III,"Wielechowski, Bill",skipped,skipped
93600_00033_000003,Ballot 22 - Type 22,Early Voting,Judicial District 3,Judicial,District 21 - Early Voting,District 21 - Early Voting,Region III,"Wielechowski, Bill","Cunningham, John W.",skipped
93600_00033_000004,Ballot 22 - Type 22,Early Voting,Judicial District 3,Judicial,District 21 - Early Voting,District 21 - Early Voting,Region III,"Wielechowski, Bill",skipped,"Cunningham, John W."
93600_00033_000005,Ballot 22 - Type 22,Early Voting,Judicial District 3,Judicial,District 21 - Early Voting,District 21 - Early Voting,Region III,"Wielechowski, Bill",skipped,skipped
93600_00033_000006,Ballot 22 - Type 22,Early Voting,Judicial District 3,Judicial,District 21 - Early Voting,District 21 - Early Voting,Region III,"Wielechowski, Bill","Cunningham, John W.",skipped
93600_00033_000007,Ballot 22 - Type 22,Early Voting,Judicial District 3,Judicial,District 21 - Early Voting,District 21 - Early Voting,Region III,"Wielechowski, Bill",Write-in,"Cunningham, John W."
93600_00033_000008,Ballot 22 - Type 22,Early Voting,Judicial District 3,Judicial,District 21 - Early Voting,District 21 - Early Voting,Region III,"Wielechowski, Bill","Cunningham, John W.",skipped
93600_00033_000009,Ballot 22 - Type 22,Early Voting,Judicial District 3,Judicial,District 21 - Early Voting,District 21 - Early Voting,Region III,"Wielechowski, Bill","Cunningham, John W.",skipped
92607_00014_000001,Ballot 23 - Type 23,Question,Judicial District 3,Judicial,District 22  - Question,District 22  - Question,Region II,skipped,skipped,skipped
92607_00014_000002,Ballot 23 - Type 23,Question,Judicial District 3,Judicial,District 22  - Question,District 22  - Question,Region II,skipped,skipped,skipped
92607_00014_000003,Ballot 23 - Type 23,Question,Judicial District 3,Judicial,District 22  - Question,District 22  - Question,Region II,skipped,skipped,skipped
92607_00014_000004,Ballot 23 - Type 23,Question,Judicial District 3,Judicial,District 22  - Question,District 22  - Question,Region II,skipped,skipped,skipped
92607_00014_000005,Ballot 23 - Type 23,Question,Judicial District 3,Judicial,District 22  - Question,District 22  - Question,Region II,skipped,skipped,skipped
92607_00014_000006,Ballot 23 - Type 23,Question,Judicial District 3,Judicial,District 22  - Question,District 22  - Question,Region II,skipped,skipped,skipped
92607_00014_000007,Ballot 23 - Type 23,Question,Judicial District 3,Judicial,District 22  - Question,District 22  - Question,Region II,skipped,skipped,skipped
92607_00014_000008,Ballot 23 - Type 23,Question,Judicial District 3,Judicial,District 22  - Question,District 22  - Question,Region II,skipped,skipped,skipped
92607_00014_000009,Ballot 23 - Type 23,Question,Judicial District 3,Judicial,District 22  - Question,District 22  - Question,Region II,skipped,skipped,skipped
92607_00014_000010,Ballot 23 - Type 23,Question,Judicial District 3,Judicial,District 22  - Question,District 22  - Question,Region II,skipped,skipped,skipped
92607_00014_000011,Ballot 23 - Type 23,Question,Judicial District 3,Judicial,District 22  - Question,District 22  - Question,Region II,skipped,skipped,skipped
92607_00014_000012,Ballot 23 - Type 23,Question,Judicial District 3,Judicial,District 22  - Question,District 22  - Question,Region II,skipped,skipped,skipped
92607_00013_000001,Ballot 22 - Type 22,Question,Judicial District 3,Judicial,District 21  - Question,District 21  - Question,Region II,skipped,skipped,skipped
92607_00013_000002,Ballot 22 - Type 22,Question,Judicial District 3,Judicial,District 21  - Question,District 21  - Question,Region II,skipped,skipped,skipped
92607_00013_000003,Ballot 22 - Type 22,Question,Judicial District 3,Judicial,District 21  - Question,District 21  - Question,Region II,skipped,skipped,skipped
92607_00013_000004,Ballot 22 - Type 22,Question,Judicial District 3,Judicial,District 21  - Question,District 21  - Question,Region II,skipped,skipped,skipped
92607_00013_000005,Ballot 22 - Type 22,Question,Judicial District 3,Judicial,District 21  - Question,District 21  - Question,Region II,skipped,skipped,skipped
92607_00013_000006,Ballot 22 - Type 22,Question,Judicial District 3,Judicial,District 21  - Question,District 21  - Question,Region II,skipped,skipped,skipped
92607_00013_000007,Ballot 22 - Type 22,Question,Judicial District 3,Judicial,District 21  - Question,District 21  - Question,Region II,skipped,skipped,skipped
92506_00017_000001,Ballot 23 - Type 23,Question,Judicial District 3,Judicial,District 22  - Question,District 22  - Question,Region II,"Wielechowski, Bill",skipped,skipped
92506_00014_000001,Ballot 22 - Type 22,Question,Judicial District 3,Judicial,District 21  - Question,District 21  - Question,Region II,"Wielechowski, Bill","Cunningham, John W.",skipped
92506_00015_000001,Ballot 22 - Type 22,Question,Judicial District 3,Judicial,District 21  - Question,District 21  - Question,Region II,"Wielechowski, Bill",skipped,skipped
92506_00016_000001,Ballot 23 - Type 23,Question,Judicial District 3,Judicial,District 22  - Question,District 22  - Question,Region II,"Cunningham, John W.","Wielechowski, Bill",skipped
92506_00016_000002,Ballot 23 - Type 23,Question,Judicial District 3,Judicial,District 22  - Question,District 22  - Question,Region II,"Wielechowski, Bill","Cunningham, John W.",skipped
92506_00016_000003,Ballot 23 - Type 23,Question,Judicial District 3,Judicial,District 22  - Question,District 22  - Question,Region II,"Wielechowski, Bill",skipped,skipped
92506_00016_000004,Ballot 23 - Type 23,Question,Judicial District 3,Judicial,District 22  - Question,District 22  - Question,Region II,"Wielechowski, Bill",skipped,skipped
92506_00016_000005,Ballot 23 - Type 23,Question,Judicial District 3,Judicial,District 22  - Question,District 22  - Question,Region II,"Wielechowski, Bill",skipped,skipped
92506_00016_000006,Ballot 23 - Type 23,Question,Judicial District 3,Judicial,District 22  - Question,District 22  - Question,Region II,"Wielechowski, Bill","Cunningham, John W.",skipped
92506_00016_000007,Ballot 23 - Type 23,Question,Judicial District 3,Judicial,District 22  - Question,District 22  - Question,Region II,"Wielechowski, Bill",skipped,skipped
92506_00016_000008,Ballot 23 - Type 23,Question,Judicial District 3,Judicial,District 22  - Question,District 22  - Question,Region II,"Wielechowski, Bill",skipped,skipped
92506_00013_000001,Ballot 22 - Type 22,Question,Judicial District 3,Judicial,District 21  - Question,District 21  - Question,Region II,"Wielechowski, Bill",skipped,skipped
92506_00013_000002,Ballot 22 - Type 22,Question,Judicial District 3,Judicial,District 21  - Question,District 21  - Question,Region II,"Wielechowski, Bill",skipped,skipped
92506_00013_000003,Ballot 22 - Type 22,Question,Judicial District 3,Judicial,District 21  - Question,District 21  - Question,Region II,skipped,skipped,skipped
92506_00013_000004,Ballot 22 - Type 22,Question,Judicial District 3,Judicial,District 21  - Question,District 21  - Question,Region II,"Cunningham, John W.",skipped,skipped
92506_00013_000005,Ballot 22 - Type 22,Question,Judicial District 3,Judicial,District 21  - Question,District 21  - Question,Region II,"Cunningham, John W.",skipped,skipped
92506_00013_000006,Ballot 22 - Type 22,Question,Judicial District 3,Judicial,District 21  - Question,District 21  - Question,Region II,"Wielechowski, Bill",skipped,skipped
92506_00013_000007,Ballot 22 - Type 22,Question,Judicial District 3,Judicial,District 21  - Question,District 21  - Question,Region II,"Cunningham, John W.",skipped,skipped
92506_00013_000008,Ballot 22 - Type 22,Question,Judicial District 3,Judicial,District 21  - Question,District 21  - Question,Region II,"Cunningham, John W.",skipped,skipped
92506_00013_000009,Ballot 22 - Type 22,Question,Judicial District 3,Judicial,District 21  - Question,District 21  - Question,Region II,"Cunningham, John W.",skipped,skipped
92506_00013_000010,Ballot 22 - Type 22,Question,Judicial District 3,Judicial,District 21  - Question,District 21  - Question,Region II,"Cunningham, John W.","Wielechowski, Bill",skipped
92506_00013_000011,Ballot 22 - Type 22,Question,Judicial District 3,Judicial,District 21  - Question,District 21  - Question,Region II,"Wielechowski, Bill",skipped,skipped
92506_00013_000012,Ballot 22 - Type 22,Question,Judicial District 3,Judicial,District 21  - Question,District 21  - Question,Region II,"Wielechowski, Bill",Write-in,"Cunningham, John W."
92506_00013_000013,Ballot 22 - Type 22,Question,Judicial District 3,Judicial,District 21  - Question,District 21  - Question,Region II,skipped,"Cunningham, John W.",skipped
92506_00013_000014,Ballot 22 - Type 22,Question,Judicial District 3,Judicial,District 21  - Question,District 21  - Question,Region II,"Cunningham, John W.",skipped,skipped
92506_00013_000015,Ballot 22 - Type 22,Question,Judicial District 3,Judicial,District 21  - Question,District 21  - Question,Region II,"Wielechowski, Bill",skipped,skipped
92506_00013_000016,Ballot 22 - Type 22,Question,Judicial District 3,Judicial,District 21  - Question,District 21  - Question,Region II,"Cunningham, John W.",skipped,skipped
