ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3
93600_00035_000001,Ballot 24 - Type 24,Early Voting,Judicial District 3,Judicial,District 23 - Early Voting,District 23 - Early Voting,Region III,"McCarty, Ken","Merrick, Kelly R.",skipped
93600_00035_000002,Ballot 24 - Type 24,Early Voting,Judicial District 3,Judicial,District 23 - Early Voting,District 23 - Early Voting,Region III,"Merrick, Kelly R.","McCarty, Ken",skipped
93600_00035_000003,Ballot 24 - Type 24,Early Voting,Judicial District 3,Judicial,District 23 - Early Voting,District 23 - Early Voting,Region III,"Merrick, Kelly R.","McCarty, Ken",skipped
93600_00035_000004,Ballot 24 - Type 24,Early Voting,Judicial District 3,Judicial,District 23 - Early Voting,District 23 - Early Voting,Region III,"Merrick, Kelly R.",skipped,skipped
93600_00035_000005,Ballot 24 - Type 24,Early Voting,Judicial District 3,Judicial,District 23 - Early Voting,District 23 - Early Voting,Region III,"Merrick, Kelly R.",skipped,skipped
93600_00035_000006,Ballot 24 - Type 24,Early Voting,Judicial District 3,Judicial,District 23 - Early Voting,District 23 - Early Voting,Region III,"Merrick, Kelly R.","McCarty, Ken",skipped
93600_00035_000007,Ballot 24 - Type 24,Early Voting,Judicial District 3,Judicial,District 23 - Early Voting,District 23 - Early Voting,Region III,"McCarty, Ken","Merrick, Kelly R.",skipped
93600_00035_000008,Ballot 24 - Type 24,Early Voting,Judicial District 3,Judicial,District 23 - Early Voting,District 23 - Early Voting,Region III,"Merrick, Kelly R.","McCarty, Ken",skipped
93600_00035_000009,Ballot 24 - Type 24,Early Voting,Judicial District 3,Judicial,District 23 - Early Voting,District 23 - Early Voting,Region III,"Merrick, Kelly R.","McCarty, Ken",skipped
93600_00036_000001,Ballot 25 - Type 25,Early Voting,Judicial District 3,Judicial,District 24 - Early Voting,District 24 - Early Voting,Region III,"McCarty, Ken","Merrick, Kelly R.",skipped
93600_00036_000002,Ballot 25 - Type 25,Early Voting,Judicial District 3,Judicial,District 24 - Early Voting,District 24 - Early Voting,Region III,skipped,skipped,skipped
93600_00036_000003,Ballot 25 - Type 25,Early Voting,Judicial District 3,Judicial,District 24 - Early Voting,District 24 - Early Voting,Region III,"McCarty, Ken",skipped,skipped
93600_00036_000004,Ballot 25 - Type 25,Early Voting,Judicial District 3,Judicial,District 24 - Early Voting,District 24 - Early Voting,Region III,"Merrick, Kelly R.","McCarty, Ken",skipped
93600_00036_000005,Ballot 25 - Type 25,Early Voting,Judicial District 3,Judicial,District 24 - Early Voting,District 24 - Early Voting,Region III,skipped,skipped,skipped
92607_00016_000001,Ballot 25 - Type 25,Question,Judicial District 3,Judicial,District 24  - Question,District 24  - Question,Region II,skipped,skipped,skipped
92607_00016_000002,Ballot 25 - Type 25,Question,Judicial District 3,Judicial,District 24  - Question,District 24  - Question,Region II,skipped,skipped,skipped
92607_00016_000003,Ballot 25 - Type 25,Question,Judicial District 3,Judicial,District 24  - Question,District 24  - Question,Region II,skipped,skipped,skipped
92607_00016_000004,Ballot 25 - Type 25,Question,Judicial District 3,Judicial,District 24  - Question,District 24  - Question,Region II,skipped,skipped,skipped
92607_00016_000005,Ballot 25 - Type 25,Question,Judicial District 3,Judicial,District 24  - Question,District 24  - Question,Region II,skipped,skipped,skipped
92607_00016_000006,Ballot 25 - Type 25,Question,Judicial District 3,Judicial,District 24  - Question,District 24  - Question,Region II,skipped,skipped,skipped
92607_00016_000007,Ballot 25 - Type 25,Question,Judicial District 3,Judicial,District 24  - Question,District 24  - Question,Region II,skipped,skipped,skipped
92607_00016_000008,Ballot 25 - Type 25,Question,Judicial District 3,Judicial,District 24  - Question,District 24  - Question,Region II,skipped,skipped,skipped
92607_00016_000009,Ballot 25 - Type 25,Question,Judicial District 3,Judicial,District 24  - Question,District 24  - Question,Region II,skipped,skipped,skipped
92607_00016_000010,Ballot 25 - Type 25,Question,Judicial District 3,Judicial,District 24  - Question,District 24  - Question,Region II,skipped,skipped,skipped
92607_00015_000001,Ballot 24 - Type 24,Question,Judicial District 3,Judicial,District 23  - Question,District 23  - Question,Region II,skipped,skipped,skipped
92607_00015_000002,Ballot 24 - Type 24,Question,Judicial District 3,Judicial,District 23  - Question,District 23  - Question,Region II,skipped,skipped,skipped
92607_00015_000003,Ballot 24 - Type 24,Question,Judicial District 3,Judicial,District 23  - Question,District 23  - Question,Region II,skipped,skipped,skipped
92607_00015_000004,Ballot 24 - Type 24,Question,Judicial District 3,Judicial,District 23  - Question,District 23  - Question,Region II,skipped,skipped,skipped
92607_00015_000005,Ballot 24 - Type 24,Question,Judicial District 3,Judicial,District 23  - Question,District 23  - Question,Region II,skipped,skipped,skipped
92607_00015_000006,Ballot 24 - Type 24,Question,Judicial District 3,Judicial,District 23  - Question,District 23  - Question,Region II,skipped,skipped,skipped
92607_00015_000007,Ballot 24 - Type 24,Question,Judicial District 3,Judicial,District 23  - Question,District 23  - Question,Region II,skipped,skipped,skipped
92607_00015_000008,Ballot 24 - Type 24,Question,Judicial District 3,Judicial,District 23  - Question,District 23  - Question,Region II,skipped,skipped,skipped
