ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3
91902_00000_386542,Ballot 27 - Type 27,Early Voting,Judicial District 3,Judicial,District 26 - Early Voting,District 26 - Early Voting,Region I,"Cooper, Jim",skipped,skipped
91902_00000_689738,Ballot 26 - Type 26,Early Voting,Judicial District 3,Judicial,District 25 - Early Voting,District 25 - Early Voting,Region I,"Cooper, Jim",skipped,skipped
93600_00037_000001,Ballot 26 - Type 26,Early Voting,Judicial District 3,Judicial,District 25 - Early Voting,District 25 - Early Voting,Region III,"Cooper, Jim",skipped,skipped
93600_00037_000002,Ballot 26 - Type 26,Early Voting,Judicial District 3,Judicial,District 25 - Early Voting,District 25 - Early Voting,Region III,"Cooper, Jim",skipped,skipped
93600_00037_000003,Ballot 26 - Type 26,Early Voting,Judicial District 3,Judicial,District 25 - Early Voting,District 25 - Early Voting,Region III,"Hughes, Shelley",skipped,skipped
93600_00037_000004,Ballot 26 - Type 26,Early Voting,Judicial District 3,Judicial,District 25 - Early Voting,District 25 - Early Voting,Region III,"Cooper, Jim",skipped,skipped
93600_00037_000005,Ballot 26 - Type 26,Early Voting,Judicial District 3,Judicial,District 25 - Early Voting,District 25 - Early Voting,Region III,"Cooper, Jim",skipped,skipped
93600_00037_000006,Ballot 26 - Type 26,Early Voting,Judicial District 3,Judicial,District 25 - Early Voting,District 25 - Early Voting,Region III,"Cooper, Jim",skipped,skipped
93600_00037_000007,Ballot 26 - Type 26,Early Voting,Judicial District 3,Judicial,District 25 - Early Voting,District 25 - Early Voting,Region III,"Cooper, Jim",skipped,"Hughes, Shelley"
93600_00037_000008,Ballot 26 - Type 26,Early Voting,Judicial District 3,Judicial,District 25 - Early Voting,District 25 - Early Voting,Region III,"Hughes, Shelley",skipped,skipped
93600_00037_000009,Ballot 26 - Type 26,Early Voting,Judicial District 3,Judicial,District 25 - Early Voting,District 25 - Early Voting,Region III,"Hughes, Shelley","Cooper, Jim",skipped
93600_00037_000010,Ballot 26 - Type 26,Early Voting,Judicial District 3,Judicial,District 25 - Early Voting,District 25 - Early Voting,Region III,"Hughes, Shelley","Cooper, Jim",skipped
93600_00038_000001,Ballot 27 - Type 27,Early Voting,Judicial District 3,Judicial,District 26 - Early Voting,District 26 - Early Voting,Region III,"Hughes, Shelley","Cooper, Jim",skipped
93600_00038_000002,Ballot 27 - Type 27,Early Voting,Judicial District 3,Judicial,District 26 - Early Voting,District 26 - Early Voting,Region III,"Hughes, Shelley","Cooper, Jim",skipped
93600_00038_000003,Ballot 27 - Type 27,Early Voting,Judicial District 3,Judicial,District 26 - Early Voting,District 26 - Early Voting,Region III,"Cooper, Jim",skipped,skipped
93600_00038_000004,Ballot 27 - Type 27,Early Voting,Judicial District 3,Judicial,District 26 - Early Voting,District 26 - Early Voting,Region III,"Hughes, Shelley",skipped,skipped
93600_00038_000005,Ballot 27 - Type 27,Early Voting,Judicial District 3,Judicial,District 26 - Early Voting,District 26 - Early Voting,Region III,"Hughes, Shelley",skipped,skipped
93600_00038_000006,Ballot 27 - Type 27,Early Voting,Judicial District 3,Judicial,District 26 - Early Voting,District 26 - Early Voting,Region III,"Cooper, Jim",skipped,skipped
93600_00038_000007,Ballot 27 - Type 27,Early Voting,Judicial District 3,Judicial,District 26 - Early Voting,District 26 - Early Voting,Region III,"Cooper, Jim","Hughes, Shelley",skipped
93600_00038_000008,Ballot 27 - Type 27,Early Voting,Judicial District 3,Judicial,District 26 - Early Voting,District 26 - Early Voting,Region III,"Hughes, Shelley",skipped,skipped
93600_00038_000009,Ballot 27 - Type 27,Early Voting,Judicial District 3,Judicial,District 26 - Early Voting,District 26 - Early Voting,Region III,"Cooper, Jim",skipped,skipped
95307_00003_000001,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95307_00003_000002,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95307_00003_000003,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95307_00003_000004,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95307_00003_000005,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95307_00003_000006,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95307_00003_000007,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95307_00003_000008,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95307_00003_000009,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95307_00003_000010,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95307_00003_000011,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95307_00003_000012,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95307_00003_000013,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95307_00003_000014,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95307_00004_000001,Ballot 27 - Type 27,Question,Judicial District 3,Judicial,District 26  - Question,District 26  - Question,Region V,skipped,skipped,skipped
95307_00004_000002,Ballot 27 - Type 27,Question,Judicial District 3,Judicial,District 26  - Question,District 26  - Question,Region V,skipped,skipped,skipped
95307_00004_000003,Ballot 27 - Type 27,Question,Judicial District 3,Judicial,District 26  - Question,District 26  - Question,Region V,skipped,skipped,skipped
95307_00004_000004,Ballot 27 - Type 27,Question,Judicial District 3,Judicial,District 26  - Question,District 26  - Question,Region V,skipped,skipped,skipped
95307_00004_000005,Ballot 27 - Type 27,Question,Judicial District 3,Judicial,District 26  - Question,District 26  - Question,Region V,skipped,skipped,skipped
95307_00004_000006,Ballot 27 - Type 27,Question,Judicial District 3,Judicial,District 26  - Question,District 26  - Question,Region V,skipped,skipped,skipped
95307_00004_000007,Ballot 27 - Type 27,Question,Judicial District 3,Judicial,District 26  - Question,District 26  - Question,Region V,skipped,skipped,skipped
95307_00004_000008,Ballot 27 - Type 27,Question,Judicial District 3,Judicial,District 26  - Question,District 26  - Question,Region V,skipped,skipped,skipped
95307_00004_000009,Ballot 27 - Type 27,Question,Judicial District 3,Judicial,District 26  - Question,District 26  - Question,Region V,skipped,skipped,skipped
95307_00004_000010,Ballot 27 - Type 27,Question,Judicial District 3,Judicial,District 26  - Question,District 26  - Question,Region V,skipped,skipped,skipped
95307_00004_000011,Ballot 27 - Type 27,Question,Judicial District 3,Judicial,District 26  - Question,District 26  - Question,Region V,skipped,skipped,skipped
95307_00004_000012,Ballot 27 - Type 27,Question,Judicial District 3,Judicial,District 26  - Question,District 26  - Question,Region V,skipped,skipped,skipped
95306_00003_000001,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,"Hughes, Shelley","Cooper, Jim",skipped
95306_00003_000002,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,"Hughes, Shelley",skipped,skipped
95306_00003_000003,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,"Hughes, Shelley",skipped,skipped
95306_00003_000004,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,"Hughes, Shelley",skipped,skipped
95306_00003_000005,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,"Hughes, Shelley",skipped,skipped
95306_00003_000006,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,"Hughes, Shelley",skipped,skipped
95306_00003_000007,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,"Hughes, Shelley",skipped,skipped
95306_00003_000008,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,"Hughes, Shelley",skipped,skipped
95306_00003_000009,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,"Cooper, Jim",skipped,skipped
95306_00003_000010,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,"Hughes, Shelley",skipped,skipped
95306_00003_000011,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,"Hughes, Shelley",skipped,skipped
95306_00003_000012,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,"Cooper, Jim",skipped,skipped
95306_00003_000013,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,"Cooper, Jim","Hughes, Shelley",skipped
95306_00003_000014,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
