ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3,rank4
93600_00040_000001,Ballot 29 - Type 29,Early Voting,Judicial District 3,Judicial,District 28 - Early Voting,District 28 - Early Voting,Region III,skipped,skipped,skipped,skipped
93600_00040_000002,Ballot 29 - Type 29,Early Voting,Judicial District 3,Judicial,District 28 - Early Voting,District 28 - Early Voting,Region III,"Wright, Stephen","Clayton, Scott D.",skipped,skipped
93600_00040_000003,Ballot 29 - Type 29,Early Voting,Judicial District 3,Judicial,District 28 - Early Voting,District 28 - Early Voting,Region III,"Wilson, David S.",skipped,skipped,skipped
93600_00040_000004,Ballot 29 - Type 29,Early Voting,Judicial District 3,Judicial,District 28 - Early Voting,District 28 - Early Voting,Region III,"Wright, Stephen",skipped,skipped,skipped
93600_00040_000005,Ballot 29 - Type 29,Early Voting,Judicial District 3,Judicial,District 28 - Early Voting,District 28 - Early Voting,Region III,"Wright, Stephen","Clayton, Scott D.","Wilson, David S.",skipped
93600_00040_000006,Ballot 29 - Type 29,Early Voting,Judicial District 3,Judicial,District 28 - Early Voting,District 28 - Early Voting,Region III,"Wilson, David S.","Wright, Stephen","Clayton, Scott D.",skipped
93600_00039_000001,Ballot 28 - Type 28,Early Voting,Judicial District 3,Judicial,District 27 - Early Voting,District 27 - Early Voting,Region III,skipped,skipped,skipped,skipped
93600_00039_000002,Ballot 28 - Type 28,Early Voting,Judicial District 3,Judicial,District 27 - Early Voting,District 27 - Early Voting,Region III,"Wright, Stephen","Wilson, David S.","Clayton, Scott D.",skipped
93600_00039_000003,Ballot 28 - Type 28,Early Voting,Judicial District 3,Judicial,District 27 - Early Voting,District 27 - Early Voting,Region III,"Wilson, David S.","Wright, Stephen","Clayton, Scott D.",skipped
93600_00039_000004,Ballot 28 - Type 28,Early Voting,Judicial District 3,Judicial,District 27 - Early Voting,District 27 - Early Voting,Region III,"Clayton, Scott D.","Wilson, David S.","Wright, Stephen",skipped
93600_00039_000005,Ballot 28 - Type 28,Early Voting,Judicial District 3,Judicial,District 27 - Early Voting,District 27 - Early Voting,Region III,"Wilson, David S.","Clayton, Scott D.","Wright, Stephen",skipped
93600_00039_000006,Ballot 28 - Type 28,Early Voting,Judicial District 3,Judicial,District 27 - Early Voting,District 27 - Early Voting,Region III,skipped,skipped,skipped,skipped
93600_00039_000007,Ballot 28 - Type 28,Early Voting,Judicial District 3,Judicial,District 27 - Early Voting,District 27 - Early Voting,Region III,"Wilson, David S.",skipped,"Wright, Stephen","Clayton, Scott D."
93600_00039_000008,Ballot 28 - Type 28,Early Voting,Judicial District 3,Judicial,District 27 - Early Voting,District 27 - Early Voting,Region III,"Wright, Stephen","Wilson, David S.","Clayton, Scott D.",skipped
95307_00005_000001,Ballot 28 - Type 28,Question,Judicial District 3,Judicial,District 27  - Question,District 27  - Question,Region V,skipped,skipped,skipped,skipped
95307_00005_000002,Ballot 28 - Type 28,Question,Judicial District 3,Judicial,District 27  - Question,District 27  - Question,Region V,skipped,skipped,skipped,skipped
95307_00005_000003,Ballot 28 - Type 28,Question,Judicial District 3,Judicial,District 27  - Question,District 27  - Question,Region V,skipped,skipped,skipped,skipped
95307_00005_000004,Ballot 28 - Type 28,Question,Judicial District 3,Judicial,District 27  - Question,District 27  - Question,Region V,skipped,skipped,skipped,skipped
95307_00005_000005,Ballot 28 - Type 28,Question,Judicial District 3,Judicial,District 27  - Question,District 27  - Question,Region V,skipped,skipped,skipped,skipped
95307_00005_000006,Ballot 28 - Type 28,Question,Judicial District 3,Judicial,District 27  - Question,District 27  - Question,Region V,skipped,skipped,skipped,skipped
