ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3
91910_00000_148027,Ballot 30 - Type 30,Early Voting,Judicial District 3,Judicial,District 29 - Early Voting,District 29 - Early Voting,Region I,"Massie, Doug A.",skipped,skipped
91910_00000_598562,Ballot 32 - Type 32,Early Voting,Judicial District 3,Judicial,District 30 - Early Voting,District 30 - Early Voting - 1,Region I,"Shower, Michael K.",skipped,skipped
30565_00000_011864,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,skipped,skipped,skipped
30565_00000_023463,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,"Massie, Doug A.","Shower, Michael K.",skipped
30565_00000_030371,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,skipped,skipped,skipped
30565_00000_045843,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,skipped,skipped,skipped
30565_00000_051282,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,"Massie, Doug A.",skipped,skipped
30565_00000_087484,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,"Massie, Doug A.",skipped,skipped
30565_00000_094906,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,skipped,skipped,skipped
30565_00000_109191,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,skipped,skipped,skipped
30565_00000_111613,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,skipped,skipped,skipped
30565_00000_128624,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,"Massie, Doug A.","Shower, Michael K.",skipped
30565_00000_147719,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,"Shower, Michael K.",skipped,skipped
30565_00000_153160,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,"Shower, Michael K.",skipped,skipped
