ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3,rank4
91910_00000_885989,Ballot 35 - Type 35,Early Voting,Judicial District 4,Judicial,District 33 - Early Voting,District 33 - Early Voting,Region I,"Myers, Robert H. Jr.","Bennett, John D.","Serkov, Arthur P.",skipped
93207_00001_000001,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,skipped,skipped,skipped,skipped
93207_00001_000002,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,skipped,skipped,skipped,skipped
93207_00002_000001,Ballot 36 - Type 36,Absentee,Judicial District 4,Judicial,District 34 - Absentee,District 34 - Absentee,Region III,skipped,skipped,skipped,skipped
93207_00002_000002,Ballot 36 - Type 36,Absentee,Judicial District 4,Judicial,District 34 - Absentee,District 34 - Absentee,Region III,skipped,skipped,skipped,skipped
93207_00002_000003,Ballot 36 - Type 36,Absentee,Judicial District 4,Judicial,District 34 - Absentee,District 34 - Absentee,Region III,skipped,skipped,skipped,skipped
93207_00002_000004,Ballot 36 - Type 36,Absentee,Judicial District 4,Judicial,District 34 - Absentee,District 34 - Absentee,Region III,skipped,skipped,skipped,skipped
93206_00001_000001,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,"Myers, Robert H. Jr.",skipped,skipped,skipped
93206_00001_000002,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,"Myers, Robert H. Jr.","Myers, Robert H. Jr.","Myers, Robert H. Jr.","Myers, Robert H. Jr."
93206_00002_000001,Ballot 36 - Type 36,Absentee,Judicial District 4,Judicial,District 34 - Absentee,District 34 - Absentee,Region III,"Myers, Robert H. Jr.","Serkov, Arthur P.","Bennett, John D.",skipped
93206_00002_000002,Ballot 36 - Type 36,Absentee,Judicial District 4,Judicial,District 34 - Absentee,District 34 - Absentee,Region III,"Bennett, John D.",skipped,skipped,skipped
93206_00002_000003,Ballot 36 - Type 36,Absentee,Judicial District 4,Judicial,District 34 - Absentee,District 34 - Absentee,Region III,"Myers, Robert H. Jr.","Bennett, John D.","Serkov, Arthur P.",skipped
93206_00002_000004,Ballot 36 - Type 36,Absentee,Judicial District 4,Judicial,District 34 - Absentee,District 34 - Absentee,Region III,Write-in,skipped,skipped,skipped
93206_00002_000005,Ballot 36 - Type 36,Absentee,Judicial District 4,Judicial,District 34 - Absentee,District 34 - Absentee,Region III,"Myers, Robert H. Jr.",skipped,skipped,skipped
93203_00001_000001,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,skipped,skipped,skipped,skipped
93203_00001_000002,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,skipped,skipped,skipped,skipped
93203_00001_000003,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,skipped,skipped,skipped,skipped
93203_00001_000004,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,skipped,skipped,skipped,skipped
93203_00001_000005,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,skipped,skipped,skipped,skipped
93203_00001_000006,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,skipped,skipped,skipped,skipped
93203_00001_000007,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,skipped,skipped,skipped,skipped
93203_00001_000008,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,skipped,skipped,skipped,skipped
93203_00001_000009,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,skipped,skipped,skipped,skipped
93203_00001_000010,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,skipped,skipped,skipped,skipped
93203_00001_000011,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,skipped,skipped,skipped,skipped
93203_00001_000012,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,skipped,skipped,skipped,skipped
93203_00001_000013,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,skipped,skipped,skipped,skipped
93203_00002_000001,Ballot 36 - Type 36,Absentee,Judicial District 4,Judicial,District 34 - Absentee,District 34 - Absentee,Region III,skipped,skipped,skipped,skipped
93203_00002_000002,Ballot 36 - Type 36,Absentee,Judicial District 4,Judicial,District 34 - Absentee,District 34 - Absentee,Region III,skipped,skipped,skipped,skipped
93203_00002_000003,Ballot 36 - Type 36,Absentee,Judicial District 4,Judicial,District 34 - Absentee,District 34 - Absentee,Region III,skipped,skipped,skipped,skipped
93203_00002_000004,Ballot 36 - Type 36,Absentee,Judicial District 4,Judicial,District 34 - Absentee,District 34 - Absentee,Region III,skipped,skipped,skipped,skipped
93203_00002_000005,Ballot 36 - Type 36,Absentee,Judicial District 4,Judicial,District 34 - Absentee,District 34 - Absentee,Region III,skipped,skipped,skipped,skipped
93203_00002_000006,Ballot 36 - Type 36,Absentee,Judicial District 4,Judicial,District 34 - Absentee,District 34 - Absentee,Region III,skipped,skipped,skipped,skipped
93203_00002_000007,Ballot 36 - Type 36,Absentee,Judicial District 4,Judicial,District 34 - Absentee,District 34 - Absentee,Region III,skipped,skipped,skipped,skipped
93203_00002_000008,Ballot 36 - Type 36,Absentee,Judicial District 4,Judicial,District 34 - Absentee,District 34 - Absentee,Region III,skipped,skipped,skipped,skipped
93203_00002_000009,Ballot 36 - Type 36,Absentee,Judicial District 4,Judicial,District 34 - Absentee,District 34 - Absentee,Region III,skipped,skipped,skipped,skipped
93203_00002_000010,Ballot 36 - Type 36,Absentee,Judicial District 4,Judicial,District 34 - Absentee,District 34 - Absentee,Region III,skipped,skipped,skipped,skipped
93203_00002_000011,Ballot 36 - Type 36,Absentee,Judicial District 4,Judicial,District 34 - Absentee,District 34 - Absentee,Region III,skipped,skipped,skipped,skipped
93203_00002_000012,Ballot 36 - Type 36,Absentee,Judicial District 4,Judicial,District 34 - Absentee,District 34 - Absentee,Region III,skipped,skipped,skipped,skipped
93203_00002_000013,Ballot 36 - Type 36,Absentee,Judicial District 4,Judicial,District 34 - Absentee,District 34 - Absentee,Region III,skipped,skipped,skipped,skipped
93203_00002_000014,Ballot 36 - Type 36,Absentee,Judicial District 4,Judicial,District 34 - Absentee,District 34 - Absentee,Region III,skipped,skipped,skipped,skipped
93203_00002_000015,Ballot 36 - Type 36,Absentee,Judicial District 4,Judicial,District 34 - Absentee,District 34 - Absentee,Region III,skipped,skipped,skipped,skipped
93200_00056_000001,Ballot 36 - Type 36,Absentee,Judicial District 4,Judicial,District 34 - Absentee,District 34 - Absentee,Region III,"Myers, Robert H. Jr.",skipped,skipped,skipped
93200_00056_000002,Ballot 36 - Type 36,Absentee,Judicial District 4,Judicial,District 34 - Absentee,District 34 - Absentee,Region III,"Myers, Robert H. Jr.","Bennett, John D.","Serkov, Arthur P.",skipped
93200_00056_000003,Ballot 36 - Type 36,Absentee,Judicial District 4,Judicial,District 34 - Absentee,District 34 - Absentee,Region III,"Myers, Robert H. Jr.",skipped,skipped,skipped
93200_00056_000004,Ballot 36 - Type 36,Absentee,Judicial District 4,Judicial,District 34 - Absentee,District 34 - Absentee,Region III,"Bennett, John D.",skipped,skipped,skipped
93200_00056_000005,Ballot 36 - Type 36,Absentee,Judicial District 4,Judicial,District 34 - Absentee,District 34 - Absentee,Region III,"Bennett, John D.","Myers, Robert H. Jr.",skipped,skipped
93200_00056_000006,Ballot 36 - Type 36,Absentee,Judicial District 4,Judicial,District 34 - Absentee,District 34 - Absentee,Region III,skipped,skipped,skipped,skipped
93200_00056_000007,Ballot 36 - Type 36,Absentee,Judicial District 4,Judicial,District 34 - Absentee,District 34 - Absentee,Region III,skipped,skipped,skipped,skipped
93200_00056_000008,Ballot 36 - Type 36,Absentee,Judicial District 4,Judicial,District 34 - Absentee,District 34 - Absentee,Region III,"Myers, Robert H. Jr.","Bennett, John D.","Serkov, Arthur P.",skipped
93200_00056_000009,Ballot 36 - Type 36,Absentee,Judicial District 4,Judicial,District 34 - Absentee,District 34 - Absentee,Region III,"Bennett, John D.","Serkov, Arthur P.","Myers, Robert H. Jr.",skipped
93200_00056_000010,Ballot 36 - Type 36,Absentee,Judicial District 4,Judicial,District 34 - Absentee,District 34 - Absentee,Region III,"Bennett, John D.","Myers, Robert H. Jr.","Serkov, Arthur P.",skipped
93200_00056_000011,Ballot 36 - Type 36,Absentee,Judicial District 4,Judicial,District 34 - Absentee,District 34 - Absentee,Region III,"Myers, Robert H. Jr.",skipped,skipped,skipped
93200_00056_000012,Ballot 36 - Type 36,Absentee,Judicial District 4,Judicial,District 34 - Absentee,District 34 - Absentee,Region III,"Myers, Robert H. Jr.","Bennett, John D.","Serkov, Arthur P.",skipped
93200_00056_000013,Ballot 36 - Type 36,Absentee,Judicial District 4,Judicial,District 34 - Absentee,District 34 - Absentee,Region III,"Bennett, John D.","Serkov, Arthur P.",Write-in,skipped
93200_00056_000014,Ballot 36 - Type 36,Absentee,Judicial District 4,Judicial,District 34 - Absentee,District 34 - Absentee,Region III,"Bennett, John D.",skipped,skipped,skipped
93200_00056_000015,Ballot 36 - Type 36,Absentee,Judicial District 4,Judicial,District 34 - Absentee,District 34 - Absentee,Region III,"Myers, Robert H. Jr.","Bennett, John D.","Serkov, Arthur P.",skipped
93200_00056_000016,Ballot 36 - Type 36,Absentee,Judicial District 4,Judicial,District 34 - Absentee,District 34 - Absentee,Region III,"Myers, Robert H. Jr.","Serkov, Arthur P.",skipped,skipped
93200_00056_000017,Ballot 36 - Type 36,Absentee,Judicial District 4,Judicial,District 34 - Absentee,District 34 - Absentee,Region III,"Myers, Robert H. Jr.",skipped,skipped,skipped
93200_00056_000018,Ballot 36 - Type 36,Absentee,Judicial District 4,Judicial,District 34 - Absentee,District 34 - Absentee,Region III,"Bennett, John D.",skipped,skipped,skipped
