ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3
91902_00000_830055,Ballot 40 - Type 40,Early Voting,Judicial District 3,Judicial,District 37 - Early Voting,District 37 - Early Voting - 1 ,Region I,"Hoffman, Lyman F.",skipped,skipped
91910_00000_447228,Ballot 40 - Type 40,Early Voting,Judicial District 3,Judicial,District 37 - Early Voting,District 37 - Early Voting - 1 ,Region I,"Hoffman, Lyman F.","Keppel, Willy",skipped
37742_00000_506414,Ballot 40 - Type 40,Election Day,Judicial District 3,Judicial,37-742 Port Heiden,37-742 Port Heiden,Region IV,"Hoffman, Lyman F.",skipped,skipped
37746_00000_023377,Ballot 41 - Type 41,Election Day,Judicial District 4,Judicial,37-746 Sleetmute,37-746 Sleetmute,Region IV,"Hoffman, Lyman F.",skipped,skipped
37746_00000_045984,Ballot 41 - Type 41,Election Day,Judicial District 4,Judicial,37-746 Sleetmute,37-746 Sleetmute,Region IV,"Hoffman, Lyman F.",skipped,skipped
37746_00000_051717,Ballot 41 - Type 41,Election Day,Judicial District 4,Judicial,37-746 Sleetmute,37-746 Sleetmute,Region IV,"Keppel, Willy","Hoffman, Lyman F.",skipped
37746_00000_111557,Ballot 41 - Type 41,Election Day,Judicial District 4,Judicial,37-746 Sleetmute,37-746 Sleetmute,Region IV,"Hoffman, Lyman F.","Keppel, Willy",skipped
37746_00000_187197,Ballot 41 - Type 41,Election Day,Judicial District 4,Judicial,37-746 Sleetmute,37-746 Sleetmute,Region IV,"Hoffman, Lyman F.","Keppel, Willy",skipped
37746_00000_232128,Ballot 41 - Type 41,Election Day,Judicial District 4,Judicial,37-746 Sleetmute,37-746 Sleetmute,Region IV,skipped,skipped,skipped
37746_00000_290598,Ballot 41 - Type 41,Election Day,Judicial District 4,Judicial,37-746 Sleetmute,37-746 Sleetmute,Region IV,"Hoffman, Lyman F.",skipped,skipped
37746_00000_350751,Ballot 41 - Type 41,Election Day,Judicial District 4,Judicial,37-746 Sleetmute,37-746 Sleetmute,Region IV,"Keppel, Willy","Hoffman, Lyman F.",skipped
37746_00000_365473,Ballot 41 - Type 41,Election Day,Judicial District 4,Judicial,37-746 Sleetmute,37-746 Sleetmute,Region IV,Write-in,"Keppel, Willy","Hoffman, Lyman F."
37746_00000_379803,Ballot 41 - Type 41,Election Day,Judicial District 4,Judicial,37-746 Sleetmute,37-746 Sleetmute,Region IV,"Keppel, Willy","Hoffman, Lyman F.",skipped
37746_00000_431092,Ballot 41 - Type 41,Election Day,Judicial District 4,Judicial,37-746 Sleetmute,37-746 Sleetmute,Region IV,"Hoffman, Lyman F.","Keppel, Willy",skipped
37746_00000_482101,Ballot 41 - Type 41,Election Day,Judicial District 4,Judicial,37-746 Sleetmute,37-746 Sleetmute,Region IV,"Hoffman, Lyman F.","Keppel, Willy",skipped
37746_00000_493653,Ballot 41 - Type 41,Election Day,Judicial District 4,Judicial,37-746 Sleetmute,37-746 Sleetmute,Region IV,"Hoffman, Lyman F.","Keppel, Willy",skipped
37746_00000_538000,Ballot 41 - Type 41,Election Day,Judicial District 4,Judicial,37-746 Sleetmute,37-746 Sleetmute,Region IV,"Keppel, Willy","Hoffman, Lyman F.",skipped
37746_00000_597635,Ballot 41 - Type 41,Election Day,Judicial District 4,Judicial,37-746 Sleetmute,37-746 Sleetmute,Region IV,"Keppel, Willy",skipped,skipped
