,0,1,2
1,Write-In cells: 144,,
2,Overvote cells: 22,,
3,GORDON WOZNIAK: 0,,
4,JACQUELYN McCORMICK: 1,,
5,STEWART JONES: 2,,
6,0,,
7,0,1.0,2.0
8,2,0.0,1.0
9,0,,
10,2,0.0,1.0
11,1,0.0,2.0
12,2,0.0,1.0
13,0,,
14,0,1.0,2.0
16,1,2.0,
18,0,,
19,2,1.0,0.0
20,1,2.0,
21,1,2.0,0.0
22,1,2.0,
23,0,,
24,0,2.0,1.0
25,0,2.0,1.0
26,0,1.0,2.0
27,0,2.0,1.0
28,0,2.0,1.0
29,2,1.0,0.0
30,0,2.0,
31,2,1.0,
32,2,1.0,
33,1,0.0,2.0
34,0,,
35,0,,
36,0,1.0,2.0
37,0,,
38,1,2.0,0.0
39,2,0.0,1.0
40,1,0.0,2.0
41,0,2.0,1.0
42,0,2.0,1.0
43,0,2.0,1.0
44,1,2.0,
45,1,2.0,0.0
46,0,,
47,0,,
48,0,1.0,
49,0,2.0,1.0
50,0,1.0,2.0
51,0,1.0,2.0
52,0,2.0,
53,0,,
54,1,2.0,
55,0,1.0,2.0
56,0,1.0,
57,1,0.0,2.0
58,2,1.0,0.0
59,1,2.0,
60,0,1.0,2.0
61,2,0.0,1.0
62,2,0.0,1.0
63,0,1.0,2.0
64,2,0.0,1.0
65,1,,
66,1,2.0,
67,0,1.0,2.0
68,2,1.0,
69,0,1.0,2.0
70,0,2.0,1.0
71,1,2.0,0.0
72,0,1.0,2.0
73,1,2.0,0.0
74,1,2.0,
75,0,2.0,1.0
76,0,,
77,0,2.0,1.0
78,1,2.0,0.0
79,0,,
81,0,1.0,2.0
82,0,1.0,2.0
83,0,,
84,0,2.0,
85,0,,
86,0,,
87,2,0.0,1.0
88,0,,
89,0,,
90,0,1.0,2.0
91,0,,
92,1,0.0,2.0
93,0,1.0,2.0
94,0,,
95,0,1.0,2.0
96,1,0.0,
97,0,,
98,0,1.0,
99,0,1.0,2.0
100,0,1.0,
101,0,,
102,0,,
103,0,2.0,
104,1,2.0,0.0
105,2,1.0,0.0
106,0,1.0,2.0
107,0,1.0,2.0
108,1,,
109,0,1.0,
110,0,,
111,0,1.0,
112,0,1.0,
113,0,1.0,
114,1,0.0,
115,0,2.0,1.0
116,0,2.0,1.0
117,1,0.0,
118,1,2.0,0.0
119,1,2.0,
120,0,1.0,
121,1,0.0,
122,0,1.0,
123,0,1.0,
124,2,,
125,0,1.0,2.0
126,2,0.0,
127,1,2.0,
128,0,2.0,1.0
129,0,1.0,
130,0,2.0,1.0
131,0,2.0,1.0
132,0,1.0,2.0
133,1,,
134,0,,
135,0,,
136,1,2.0,
137,0,,
138,0,,
139,1,0.0,
140,1,2.0,0.0
141,1,2.0,0.0
142,1,2.0,0.0
143,2,1.0,0.0
144,0,,
145,0,2.0,1.0
146,2,0.0,1.0
147,0,,
148,0,2.0,1.0
149,0,1.0,
150,2,1.0,0.0
151,1,0.0,2.0
152,0,2.0,1.0
153,0,,
154,0,,
155,0,1.0,2.0
156,2,1.0,
157,0,1.0,
158,0,2.0,1.0
159,1,2.0,
160,2,0.0,1.0
161,0,,
162,0,,
163,1,0.0,
164,0,1.0,
165,0,1.0,
166,0,1.0,2.0
167,2,0.0,
168,1,0.0,
169,2,,
170,2,0.0,1.0
171,0,,
172,0,1.0,2.0
173,1,2.0,0.0
174,1,2.0,0.0
175,0,,
176,2,1.0,
177,0,1.0,
178,1,2.0,
179,0,,
180,2,1.0,
181,1,0.0,2.0
182,1,2.0,0.0
183,1,2.0,
184,1,2.0,0.0
185,2,,
186,0,,
187,0,2.0,1.0
188,0,2.0,1.0
189,2,0.0,1.0
190,0,2.0,1.0
191,0,2.0,1.0
192,1,2.0,0.0
193,1,0.0,2.0
194,2,0.0,1.0
195,1,2.0,0.0
196,0,1.0,
197,0,2.0,1.0
198,0,1.0,2.0
199,0,,
200,0,,
201,1,,
202,2,1.0,0.0
203,0,,
204,0,,
205,0,1.0,2.0
206,0,2.0,1.0
207,0,,
208,1,2.0,0.0
209,0,1.0,2.0
210,0,1.0,2.0
211,0,,
212,0,1.0,2.0
213,0,2.0,
214,0,,
215,0,1.0,2.0
216,1,2.0,0.0
217,0,,
218,0,1.0,2.0
