,0,1,2,3
1,Write-In cells: 326,,,
2,Overvote cells: 106,,,
3,ALEX SHARENKO: 0,,,
4,TIMOTHY W. CARTER: 1,,,
5,TERRY TAPLIN: 2,,,
6,CHERYL DAVILA: 3,,,
7,0,1.0,2.0,3.0
8,0,2.0,3.0,1.0
9,0,,,
10,0,2.0,1.0,
11,3,0.0,2.0,1.0
12,3,,,
13,3,0.0,2.0,1.0
14,3,2.0,,
15,2,0.0,,
16,3,0.0,1.0,2.0
17,3,,,
18,0,2.0,3.0,1.0
19,3,,,
20,3,,,
21,3,,,
22,0,,,
23,3,,,
24,0,2.0,3.0,1.0
25,2,0.0,1.0,3.0
26,3,,,
27,0,2.0,1.0,3.0
28,2,0.0,,
29,2,3.0,1.0,
30,1,2.0,0.0,
31,0,2.0,3.0,1.0
32,2,0.0,3.0,
33,3,2.0,,
34,0,,,
35,2,0.0,,
36,0,2.0,,
37,3,0.0,1.0,2.0
38,2,,,
39,2,,,
40,2,0.0,,
41,2,3.0,,
42,0,,,
43,0,2.0,,
44,3,2.0,0.0,1.0
45,0,2.0,1.0,3.0
46,3,1.0,0.0,2.0
47,2,0.0,1.0,3.0
48,3,,,
49,3,2.0,,
50,3,,,
51,0,2.0,3.0,1.0
52,2,0.0,3.0,1.0
53,0,1.0,2.0,
54,0,2.0,,
55,3,0.0,2.0,
56,0,2.0,3.0,1.0
57,3,0.0,2.0,1.0
58,0,1.0,2.0,
59,0,1.0,2.0,3.0
60,3,1.0,2.0,0.0
61,0,1.0,2.0,3.0
62,2,1.0,,
63,0,2.0,,
64,3,0.0,2.0,1.0
65,0,2.0,,
66,0,2.0,,
67,2,1.0,0.0,
68,0,2.0,3.0,1.0
69,2,0.0,3.0,1.0
70,2,0.0,3.0,
71,3,2.0,0.0,1.0
72,0,2.0,,
73,2,,,
74,2,3.0,0.0,1.0
75,0,3.0,2.0,1.0
76,0,3.0,,
77,2,0.0,3.0,
78,2,0.0,3.0,
79,3,0.0,2.0,1.0
80,2,0.0,1.0,
81,3,,,
82,2,0.0,,
83,2,0.0,1.0,3.0
85,0,2.0,3.0,1.0
86,2,1.0,,
87,2,1.0,0.0,3.0
88,2,1.0,0.0,
89,0,,,
90,2,,,
91,3,,,
92,0,1.0,2.0,3.0
93,3,2.0,,
94,3,,,
95,3,1.0,2.0,0.0
96,0,1.0,2.0,
97,0,2.0,1.0,
98,0,2.0,3.0,1.0
99,2,0.0,,
100,2,0.0,1.0,3.0
101,1,,,
102,0,3.0,,
103,0,2.0,1.0,
104,0,1.0,2.0,3.0
105,2,0.0,,
106,3,0.0,2.0,1.0
108,0,2.0,3.0,1.0
109,2,,,
110,1,0.0,3.0,2.0
111,3,2.0,0.0,1.0
112,3,2.0,0.0,
113,0,,,
115,0,2.0,,
118,2,0.0,1.0,
119,2,3.0,1.0,
120,3,,,
121,3,0.0,,
122,0,,,
123,3,1.0,0.0,2.0
124,2,3.0,0.0,1.0
125,2,,,
126,2,,,
127,3,2.0,1.0,0.0
128,2,0.0,3.0,1.0
129,3,2.0,1.0,0.0
130,2,,,
131,0,2.0,3.0,1.0
132,0,2.0,,
133,2,,,
134,2,3.0,0.0,1.0
135,3,2.0,1.0,0.0
136,2,0.0,3.0,1.0
137,1,2.0,3.0,0.0
138,2,0.0,,
139,3,2.0,1.0,0.0
140,0,2.0,3.0,1.0
141,2,,,
143,2,,,
144,3,,,
145,2,,,
146,2,0.0,1.0,3.0
147,1,3.0,0.0,
148,2,0.0,3.0,
149,2,0.0,3.0,
150,1,2.0,0.0,
151,1,0.0,3.0,2.0
152,2,0.0,1.0,
153,2,0.0,3.0,
154,3,0.0,2.0,
155,3,2.0,,
156,2,3.0,0.0,
157,2,0.0,3.0,1.0
158,2,0.0,3.0,1.0
159,3,,,
160,3,0.0,2.0,1.0
161,0,,,
162,3,2.0,1.0,0.0
163,0,2.0,,
164,0,2.0,,
165,0,2.0,1.0,
