,0,1,2
1,Write-In cells: 244,,
2,Overvote cells: 44,,
3,DEBORAH MATTHEWS: 0,,
4,BEN BARTLETT: 1,,
5,ORLANDO MARTINEZ: 2,,
6,0,,
7,1,,
8,1,0.0,2.0
9,1,0.0,
10,1,0.0,2.0
11,1,2.0,0.0
12,1,2.0,0.0
13,1,,
14,1,,
15,1,2.0,0.0
16,1,,
18,0,,
19,1,0.0,2.0
20,0,1.0,2.0
22,1,0.0,2.0
23,1,,
24,0,,
25,1,,
26,2,0.0,1.0
27,1,2.0,0.0
28,1,0.0,
29,1,2.0,0.0
30,1,,
31,2,0.0,1.0
32,1,0.0,2.0
33,0,2.0,
34,0,2.0,1.0
35,0,1.0,
36,1,2.0,0.0
37,1,2.0,0.0
38,1,,
40,1,0.0,2.0
41,2,0.0,1.0
42,1,,
43,1,0.0,2.0
44,1,2.0,0.0
45,0,2.0,1.0
46,0,1.0,2.0
47,1,0.0,2.0
48,1,2.0,
49,1,,
50,1,0.0,2.0
51,1,,
52,1,2.0,
53,1,,
54,1,0.0,
55,1,,
56,0,1.0,2.0
57,1,0.0,2.0
58,1,0.0,2.0
59,1,,
60,1,0.0,2.0
61,0,,
62,2,1.0,
63,0,1.0,2.0
64,1,,
65,1,0.0,
66,0,,
67,1,,
68,0,1.0,2.0
69,1,0.0,
70,1,0.0,
71,0,,
72,1,0.0,2.0
73,1,,
74,1,,
75,0,1.0,2.0
76,0,2.0,
77,2,0.0,1.0
78,2,1.0,0.0
79,1,0.0,2.0
80,1,,
81,1,0.0,2.0
82,1,0.0,2.0
83,0,,
84,0,2.0,1.0
85,0,,
86,1,0.0,
87,1,,
88,1,0.0,2.0
90,1,,
91,2,,
92,0,1.0,
93,0,2.0,
94,1,,
95,1,,
96,1,2.0,0.0
97,1,0.0,2.0
98,1,0.0,2.0
99,2,1.0,0.0
100,0,2.0,1.0
102,1,0.0,2.0
103,1,0.0,2.0
104,0,2.0,1.0
105,0,2.0,
106,0,1.0,
108,1,0.0,2.0
109,1,2.0,0.0
110,1,,
112,1,2.0,
113,1,2.0,0.0
114,0,,
115,2,0.0,1.0
116,1,0.0,2.0
117,1,0.0,
118,1,0.0,
119,2,0.0,1.0
120,1,0.0,2.0
121,0,1.0,2.0
123,1,,
124,1,,
125,0,,
126,1,0.0,2.0
127,0,1.0,2.0
128,1,,
129,1,,
130,1,0.0,2.0
131,1,2.0,0.0
133,1,2.0,0.0
134,1,2.0,0.0
135,1,0.0,2.0
136,0,2.0,
137,1,,
138,1,2.0,0.0
139,0,1.0,
140,2,0.0,
141,0,,
142,0,,
143,0,1.0,2.0
144,1,,
145,1,0.0,2.0
146,0,2.0,
147,1,,
148,1,,
149,1,,
150,1,,
151,0,,
152,1,,
153,1,2.0,0.0
154,1,0.0,2.0
155,0,1.0,2.0
156,0,1.0,2.0
157,1,0.0,2.0
158,1,0.0,2.0
159,0,2.0,1.0
160,1,0.0,2.0
161,0,1.0,
162,1,2.0,0.0
163,1,,
164,1,0.0,
165,1,0.0,2.0
166,1,,
168,1,2.0,0.0
169,0,1.0,2.0
170,1,2.0,0.0
171,1,,
172,1,0.0,2.0
173,1,,
174,0,1.0,2.0
175,0,1.0,2.0
176,1,,
177,1,,
178,1,,
179,1,0.0,2.0
180,2,0.0,
181,0,1.0,
182,1,,
183,1,,
184,1,2.0,0.0
185,0,,
186,1,2.0,0.0
187,1,,
189,1,2.0,
190,1,,
191,1,,
192,1,2.0,
193,0,1.0,2.0
194,1,,
195,1,0.0,
196,1,,
198,1,,
199,1,,
200,0,1.0,
201,0,,
202,1,,
203,0,1.0,2.0
204,1,0.0,2.0
205,2,,
206,1,2.0,0.0
207,1,0.0,
208,1,,
209,1,,
210,0,1.0,2.0
211,1,0.0,2.0
212,2,0.0,
213,1,0.0,
214,0,1.0,
215,1,0.0,2.0
216,0,1.0,
217,1,,
218,0,1.0,2.0
219,1,,
220,1,0.0,2.0
221,0,2.0,
222,0,,
225,2,0.0,1.0
227,1,,
228,0,,
229,1,0.0,2.0
230,1,,
232,0,1.0,2.0
233,1,,
235,2,0.0,1.0
236,2,1.0,0.0
237,0,,
239,1,0.0,2.0
240,2,0.0,
241,1,2.0,0.0
243,1,,
244,1,,
245,1,,
246,1,,
247,1,,
248,1,,
249,1,0.0,2.0
250,0,2.0,1.0
251,1,0.0,2.0
252,1,,
253,0,1.0,2.0
254,1,,
255,1,0.0,2.0
256,2,0.0,
257,1,2.0,0.0
258,1,,
259,1,0.0,2.0
260,1,0.0,
261,1,0.0,2.0
262,1,0.0,
263,1,2.0,0.0
264,1,2.0,0.0
265,1,2.0,0.0
266,1,,
267,0,1.0,2.0
268,1,0.0,2.0
269,1,,
270,1,0.0,2.0
271,0,1.0,2.0
272,0,2.0,1.0
273,1,0.0,2.0
274,1,,
275,1,,
276,1,0.0,2.0
277,0,,
278,1,0.0,2.0
279,0,1.0,2.0
280,1,,
281,0,,
282,1,,
283,1,,
284,1,,
285,1,,
286,0,1.0,
287,1,,
288,1,,
289,1,0.0,2.0
290,1,2.0,0.0
291,1,0.0,2.0
292,1,,
293,1,0.0,
294,0,,
295,0,,
296,1,0.0,
297,1,0.0,
298,1,,
299,1,0.0,
300,1,0.0,
301,1,,
302,1,2.0,0.0
303,1,0.0,2.0
304,1,,
305,1,0.0,2.0
306,1,0.0,
307,0,1.0,2.0
308,1,,
309,1,,
310,1,,
311,0,1.0,2.0
312,1,,
313,1,2.0,0.0
314,1,,
315,1,0.0,2.0
316,1,0.0,2.0
317,1,,
318,1,0.0,2.0
319,0,,
320,1,0.0,2.0
321,1,,
322,1,,
323,1,2.0,0.0
324,1,,
325,1,,
326,0,1.0,2.0
327,1,0.0,
328,1,0.0,2.0
329,1,0.0,2.0
330,1,,
331,0,,
332,0,2.0,
333,0,1.0,
334,0,1.0,2.0
335,1,,
336,1,0.0,2.0
337,1,0.0,2.0
338,1,0.0,2.0
339,1,0.0,2.0
340,1,,
341,1,0.0,2.0
342,1,,
343,1,0.0,2.0
344,1,,
345,1,,
346,1,,
348,1,0.0,2.0
353,1,0.0,2.0
354,1,0.0,2.0
355,1,2.0,0.0
356,0,1.0,
357,1,,
358,1,2.0,0.0
359,0,2.0,
360,2,,
361,1,,
362,1,,
363,1,0.0,
364,1,0.0,2.0
365,0,1.0,2.0
366,1,,
367,1,,
368,1,,
369,1,,
370,1,0.0,
371,1,0.0,2.0
372,1,0.0,
373,1,0.0,2.0
374,1,0.0,2.0
375,1,2.0,0.0
376,1,,
377,1,,
378,1,,
379,1,,
380,1,,
381,1,2.0,0.0
383,1,0.0,2.0
384,1,0.0,2.0
385,0,2.0,1.0
386,1,,
387,1,0.0,2.0
388,0,,
389,0,2.0,
390,1,,
391,1,0.0,
392,0,,
393,0,2.0,
394,1,,
395,1,0.0,
396,1,,
397,1,,
398,0,1.0,
399,1,,
401,1,,
402,0,1.0,
403,2,1.0,0.0
404,0,,
406,1,,
407,0,,
409,1,0.0,2.0
410,0,1.0,
411,0,1.0,
412,0,2.0,
413,1,,
414,0,,
415,1,0.0,2.0
416,1,0.0,
417,1,2.0,0.0
418,0,2.0,1.0
419,1,,
420,0,2.0,
421,1,0.0,
422,1,,
423,1,0.0,2.0
424,0,1.0,
425,1,,
426,1,2.0,0.0
427,1,0.0,
428,1,0.0,2.0
429,1,,
430,1,0.0,
431,2,0.0,1.0
432,0,,
433,1,2.0,0.0
434,0,2.0,1.0
435,1,0.0,2.0
436,1,0.0,
437,0,1.0,
438,0,2.0,
439,1,0.0,2.0
440,0,,
441,0,1.0,
442,1,0.0,
443,1,,
444,2,1.0,0.0
445,1,0.0,2.0
446,1,,
447,1,,
448,1,,
449,1,,
450,0,,
451,1,,
452,1,2.0,0.0
453,1,,
454,1,,
455,1,,
456,1,0.0,
457,2,0.0,1.0
458,0,1.0,
459,1,2.0,0.0
460,1,,
461,1,,
462,1,0.0,2.0
464,1,2.0,0.0
465,1,0.0,
466,0,,
467,0,,
468,0,2.0,1.0
469,1,,
470,0,2.0,
471,1,,
472,0,1.0,2.0
473,1,,
474,1,,
475,0,1.0,2.0
476,1,,
477,1,,
478,1,0.0,2.0
479,0,,
480,1,,
481,1,0.0,2.0
482,1,,
483,1,,
484,1,,
485,0,,
486,1,0.0,
487,1,,
488,1,,
489,1,2.0,0.0
490,1,2.0,0.0
491,0,1.0,2.0
492,1,0.0,2.0
493,1,,
494,1,,
495,1,0.0,
496,1,,
497,0,1.0,
498,1,,
499,1,2.0,0.0
501,0,1.0,2.0
502,1,0.0,
503,1,0.0,
504,1,0.0,2.0
505,1,,
506,1,2.0,0.0
507,1,0.0,2.0
508,1,0.0,2.0
509,1,2.0,0.0
510,1,0.0,2.0
511,1,,
512,1,0.0,
513,1,,
515,1,,
516,1,0.0,2.0
517,2,,
518,1,,
519,1,,
520,1,,
521,0,1.0,2.0
522,1,,
523,0,2.0,1.0
524,2,0.0,
525,1,0.0,2.0
526,1,,
527,1,0.0,
528,0,1.0,2.0
529,1,0.0,2.0
530,1,,
531,0,2.0,1.0
532,1,,
533,1,,
534,1,,
535,1,,
536,0,,
537,0,1.0,2.0
538,1,,
539,2,1.0,0.0
540,1,,
541,1,0.0,2.0
543,0,,
544,1,0.0,
545,0,1.0,
546,0,1.0,
547,1,,
548,1,,
549,1,0.0,
550,0,1.0,2.0
551,0,1.0,2.0
552,1,,
553,0,1.0,2.0
554,0,,
555,1,,
556,1,0.0,2.0
557,1,,
558,0,1.0,
559,1,,
560,1,0.0,2.0
561,1,,
562,0,2.0,1.0
563,1,0.0,2.0
564,2,1.0,0.0
566,0,1.0,2.0
567,0,1.0,
569,0,,
573,1,0.0,2.0
574,0,,
575,1,0.0,
576,1,,
577,1,0.0,2.0
578,1,,
579,1,,
580,1,,
581,0,1.0,
582,0,,
583,0,1.0,2.0
584,1,,
585,1,0.0,
586,0,,
588,2,0.0,1.0
589,1,0.0,
590,0,1.0,
591,1,0.0,2.0
592,1,0.0,2.0
593,1,0.0,
594,2,0.0,1.0
595,0,,
596,1,0.0,2.0
597,0,1.0,2.0
598,1,,
599,1,,
600,0,1.0,2.0
602,0,1.0,2.0
603,1,0.0,
604,0,1.0,2.0
606,1,0.0,2.0
607,1,2.0,0.0
608,1,0.0,2.0
609,1,,
610,1,0.0,2.0
611,1,0.0,
612,0,1.0,2.0
613,1,2.0,0.0
614,1,,
615,0,2.0,
616,0,,
617,1,,
618,2,1.0,0.0
619,1,,
620,0,,
621,1,,
622,0,1.0,
623,1,,
624,0,,
626,0,1.0,2.0
627,0,1.0,2.0
628,0,2.0,1.0
629,1,0.0,2.0
630,2,,
632,1,,
633,1,,
634,0,1.0,
635,1,,
636,0,1.0,2.0
637,1,,
638,0,,
639,1,,
640,1,,
641,1,0.0,
643,1,0.0,2.0
644,1,0.0,2.0
645,1,,
646,1,,
647,1,,
648,1,,
649,1,,
650,1,0.0,2.0
651,1,,
653,1,,
654,2,0.0,1.0
655,1,,
656,0,1.0,
657,1,0.0,2.0
658,2,0.0,1.0
659,0,1.0,
660,1,0.0,
661,0,1.0,2.0
662,1,0.0,2.0
663,1,0.0,2.0
664,0,1.0,
665,1,0.0,
667,0,2.0,1.0
671,1,,
672,2,0.0,1.0
673,1,2.0,0.0
674,1,0.0,2.0
675,1,0.0,2.0
677,1,,
678,1,2.0,0.0
679,1,,
680,1,,
681,1,0.0,2.0
682,1,,
683,0,,
684,1,,
685,1,0.0,
686,1,0.0,2.0
687,1,,
688,1,0.0,2.0
689,1,,
690,1,,
691,1,,
692,0,2.0,1.0
693,0,,
695,0,1.0,
696,1,0.0,
697,1,2.0,0.0
698,1,,
699,1,0.0,2.0
700,1,0.0,2.0
701,1,0.0,
702,1,2.0,0.0
703,1,,
704,1,0.0,
705,1,,
706,1,0.0,
707,1,0.0,2.0
708,0,2.0,1.0
709,0,1.0,2.0
710,2,0.0,1.0
711,1,,
712,0,,
713,2,1.0,0.0
714,0,1.0,2.0
715,1,,
716,1,0.0,
717,0,,
718,0,2.0,
719,1,0.0,
720,0,2.0,1.0
721,0,,
722,1,0.0,
723,1,2.0,0.0
724,1,2.0,0.0
725,1,,
726,1,0.0,
727,2,,
728,1,0.0,
729,1,,
730,1,,
731,2,,
732,1,,
733,0,1.0,2.0
734,1,0.0,2.0
735,1,0.0,2.0
736,1,0.0,2.0
737,1,0.0,
738,1,,
739,2,0.0,1.0
740,1,0.0,2.0
741,1,2.0,0.0
742,1,0.0,2.0
743,1,,
744,1,2.0,
745,0,,
746,0,1.0,
747,1,2.0,
748,0,,
749,1,0.0,
750,1,0.0,
751,0,1.0,2.0
752,1,,
753,1,2.0,0.0
754,1,,
755,0,,
756,2,0.0,1.0
757,1,0.0,
758,1,2.0,0.0
759,1,0.0,2.0
761,1,0.0,2.0
762,0,2.0,1.0
763,1,,
764,1,2.0,
765,1,,
766,1,0.0,2.0
767,1,0.0,2.0
768,0,1.0,
769,1,2.0,0.0
770,2,0.0,1.0
771,1,,
772,0,1.0,2.0
773,1,0.0,2.0
774,1,0.0,2.0
775,0,1.0,
776,1,,
778,1,,
780,1,2.0,0.0
781,0,1.0,2.0
782,1,,
783,2,1.0,0.0
784,1,0.0,2.0
787,2,0.0,
788,1,0.0,
789,1,,
790,0,,
791,1,,
792,1,0.0,2.0
793,0,1.0,2.0
794,1,,
795,0,1.0,2.0
796,0,1.0,
797,0,1.0,2.0
798,1,0.0,2.0
799,2,,
800,1,,
801,1,0.0,
802,1,0.0,2.0
803,1,,
804,2,0.0,1.0
805,0,1.0,
806,0,,
807,1,0.0,2.0
808,0,1.0,2.0
809,1,,
810,1,2.0,0.0
811,1,0.0,2.0
812,1,,
813,1,0.0,
814,1,0.0,2.0
815,1,,
816,0,2.0,1.0
817,1,0.0,2.0
819,1,0.0,2.0
820,1,0.0,2.0
821,1,,
822,1,,
823,1,0.0,
824,0,1.0,2.0
825,1,,
826,1,0.0,
827,0,1.0,2.0
829,1,2.0,0.0
830,1,2.0,0.0
831,1,2.0,
832,0,2.0,
833,1,,
834,1,0.0,2.0
835,1,,
836,1,0.0,
837,0,,
839,0,,
840,1,0.0,
841,0,1.0,2.0
842,1,,
843,0,,
844,1,0.0,
845,0,1.0,
846,1,,
848,1,2.0,0.0
849,0,1.0,
850,1,,
