,0,1
1,Write-In cells: 0,
2,Overvote cells: 5,
3,SEAN BARRY: 0,
4,KRISS WORTHINGTON: 1,
5,0,1.0
6,0,1.0
7,0,1.0
8,0,1.0
9,0,
10,0,
11,0,
12,0,
13,0,
14,0,
15,0,
16,0,
17,0,
18,0,
19,0,
20,0,
21,0,
22,0,
23,0,
24,0,
25,0,
26,0,
27,0,
28,0,
29,0,
30,0,
31,0,
32,0,
33,0,
34,0,1.0
35,0,1.0
36,0,1.0
37,0,1.0
38,0,1.0
39,0,1.0
40,0,1.0
41,0,1.0
42,0,1.0
43,0,1.0
44,0,1.0
45,0,1.0
46,0,1.0
47,0,1.0
48,0,1.0
49,0,1.0
50,0,1.0
51,0,1.0
52,0,1.0
53,0,1.0
54,0,1.0
55,0,1.0
56,0,1.0
57,0,
58,0,
59,0,
60,0,
61,0,
62,0,
63,0,
64,0,
65,0,
66,0,
67,0,
68,0,
69,0,
70,1,
71,1,
72,1,
73,1,
74,1,
75,1,
76,1,
77,1,
78,1,
79,1,0.0
80,1,0.0
81,1,0.0
82,1,0.0
83,1,0.0
84,1,0.0
85,1,0.0
86,1,0.0
87,1,0.0
88,1,0.0
89,1,0.0
90,1,0.0
91,1,0.0
92,1,0.0
93,1,
94,1,
95,1,
96,1,
97,1,
98,1,
99,1,
100,1,
101,1,
102,1,
103,0,1.0
104,0,1.0
130,1,0.0
131,1,0.0
132,1,0.0
136,0,
137,0,
138,0,
139,0,
140,0,
141,0,
142,0,
143,1,
144,1,
145,1,
146,1,
147,1,
148,1,
149,1,
150,1,
151,1,
152,1,
153,1,
154,1,
155,1,
156,1,
157,1,
158,1,
159,1,
160,1,
161,1,
162,1,
163,1,
164,1,
165,1,
166,1,
167,1,
168,1,
169,1,
170,1,
171,1,
172,1,
173,1,
174,0,1.0
175,0,
176,0,1.0
177,0,
178,1,0.0
179,1,0.0
180,1,
181,1,
182,1,
183,1,
184,1,
185,1,
186,0,
187,1,0.0
188,1,
189,1,0.0
190,1,0.0
191,0,
192,0,1.0
193,0,1.0
194,1,0.0
195,1,0.0
196,0,1.0
197,0,1.0
198,0,
199,0,
201,1,0.0
202,1,
203,1,
204,1,
205,1,
206,1,
207,1,
208,1,
209,1,
210,1,
211,1,
212,1,
213,1,
214,1,0.0
215,0,
216,1,
217,1,
218,1,
219,1,
220,1,
221,1,0.0
222,1,0.0
223,1,0.0
224,1,0.0
225,1,0.0
226,1,0.0
227,1,0.0
228,1,0.0
229,1,
230,0,
231,0,
232,0,
233,0,
245,0,1.0
246,0,1.0
247,0,
248,0,
249,0,
250,0,
251,0,1.0
252,1,0.0
253,0,1.0
254,0,1.0
255,0,1.0
256,0,1.0
257,0,
258,0,
259,0,
260,0,
261,0,
262,0,
270,0,
271,0,
272,0,
273,1,
274,1,
275,1,
276,1,
277,1,0.0
278,1,0.0
279,1,0.0
280,1,0.0
281,1,0.0
282,1,0.0
283,1,0.0
284,1,0.0
285,1,0.0
286,1,0.0
287,1,0.0
288,1,0.0
289,1,0.0
290,1,0.0
291,1,
292,1,0.0
293,1,
294,1,
295,1,
296,1,
297,1,
298,1,
303,0,
304,0,
305,0,
306,0,1.0
307,0,1.0
308,0,1.0
309,0,1.0
310,0,1.0
311,0,1.0
312,0,1.0
313,0,
314,0,
316,1,0.0
317,1,0.0
318,1,
319,1,
320,1,
321,1,0.0
322,1,0.0
323,1,
324,1,0.0
325,1,0.0
326,1,0.0
327,1,0.0
328,1,0.0
329,1,
330,1,0.0
331,1,0.0
332,1,0.0
333,1,0.0
334,1,
335,1,
336,0,
345,0,
346,0,
347,0,
348,0,
349,0,
350,0,
351,0,1.0
352,0,1.0
353,1,0.0
354,0,1.0
355,0,1.0
356,0,1.0
357,0,1.0
358,0,1.0
359,0,1.0
360,0,1.0
361,0,
362,0,
363,0,
364,0,
365,0,
366,0,1.0
367,1,0.0
368,1,
377,0,
378,1,
379,1,
380,1,
381,1,
382,1,
383,1,
384,1,
385,1,
386,1,
387,1,
388,1,
389,1,
390,1,0.0
391,1,0.0
392,1,0.0
393,1,0.0
394,1,0.0
395,1,0.0
396,1,0.0
397,1,0.0
398,1,0.0
399,1,0.0
400,1,0.0
401,1,0.0
402,1,0.0
403,1,0.0
404,1,0.0
405,1,0.0
406,0,
407,0,
408,1,0.0
409,1,
410,1,
411,1,
412,1,
413,1,
414,1,
415,1,
416,1,
417,1,
418,1,
419,1,
420,1,
421,1,
422,1,
423,1,
424,1,
425,1,0.0
427,1,
428,1,
438,1,
439,1,
440,1,
441,1,
442,1,
443,1,0.0
444,1,0.0
445,1,0.0
446,1,0.0
447,1,0.0
448,1,0.0
449,1,0.0
450,1,0.0
451,1,0.0
452,1,0.0
453,1,0.0
454,1,0.0
455,1,0.0
456,1,0.0
457,0,
458,0,
459,0,
460,0,
461,0,
462,0,
463,1,
464,1,
465,1,
466,1,
467,1,
468,1,0.0
469,0,1.0
470,0,
474,1,0.0
475,1,0.0
476,0,
477,0,
478,0,1.0
479,0,1.0
480,0,1.0
481,0,1.0
482,0,1.0
483,0,1.0
484,0,1.0
485,0,1.0
486,1,0.0
487,1,0.0
488,1,0.0
489,1,0.0
490,0,
491,0,
493,0,
494,1,0.0
495,1,0.0
496,1,
497,1,
498,0,
499,1,0.0
500,1,0.0
501,1,0.0
502,1,0.0
503,1,0.0
504,1,0.0
505,1,0.0
506,1,0.0
507,1,0.0
508,1,
509,1,
510,1,
511,1,0.0
512,1,0.0
513,1,0.0
524,0,1.0
525,0,
526,0,
527,0,
528,1,0.0
529,1,0.0
530,1,0.0
531,1,0.0
532,1,0.0
533,0,1.0
534,0,1.0
535,0,1.0
536,0,1.0
537,0,1.0
538,0,1.0
539,0,1.0
540,0,1.0
541,0,1.0
542,0,1.0
543,0,1.0
544,0,1.0
545,0,1.0
546,0,1.0
547,0,
548,0,
549,1,0.0
552,1,
553,1,
554,1,
555,1,
556,1,
557,1,
558,1,
559,1,
560,1,
561,1,
562,1,0.0
563,0,
564,0,
565,0,
566,1,
567,1,
568,1,0.0
569,1,0.0
570,1,0.0
571,1,0.0
572,1,0.0
573,1,0.0
574,1,0.0
575,1,0.0
576,1,0.0
577,1,0.0
578,1,0.0
579,1,0.0
580,1,0.0
581,1,
582,1,
583,1,0.0
598,0,
599,1,0.0
600,1,0.0
601,0,1.0
602,0,1.0
603,0,1.0
604,0,1.0
605,0,1.0
606,0,1.0
607,0,1.0
608,0,1.0
609,0,1.0
610,0,1.0
611,0,1.0
612,0,1.0
613,0,1.0
614,0,1.0
615,0,1.0
616,0,
617,0,
618,0,
619,1,
620,0,
621,1,0.0
622,0,1.0
623,0,1.0
624,0,1.0
625,0,1.0
626,0,1.0
627,0,1.0
628,0,1.0
629,0,1.0
630,0,1.0
631,0,1.0
632,0,1.0
633,1,0.0
634,0,
635,0,
636,0,
637,0,
638,0,
639,0,
640,0,
641,0,1.0
642,0,1.0
643,1,0.0
644,1,0.0
645,1,
646,1,
647,1,
648,1,
649,1,
650,1,
651,1,
652,1,0.0
671,1,
672,1,
673,1,
674,1,0.0
675,1,0.0
676,1,0.0
677,1,0.0
678,1,0.0
679,1,0.0
680,1,0.0
681,1,0.0
682,1,
683,0,
684,0,
685,1,
686,0,
687,0,
688,1,
689,1,0.0
690,0,
691,0,
692,1,0.0
693,1,0.0
694,1,
695,1,
696,1,0.0
697,0,1.0
698,0,
699,0,
700,1,0.0
701,0,
702,1,0.0
703,1,0.0
704,0,
705,1,
706,0,
707,0,
708,0,
709,0,
710,1,
711,1,
712,1,
713,0,
714,0,
715,0,1.0
716,0,
717,1,0.0
718,0,1.0
719,0,
720,1,
721,0,
722,0,
723,1,
724,0,
725,1,
726,0,1.0
727,0,1.0
728,0,
729,1,
730,0,1.0
731,0,
732,0,
733,1,
734,1,
735,1,0.0
736,1,0.0
737,0,1.0
738,1,
739,0,
740,1,
741,0,1.0
742,1,
743,0,1.0
744,0,
745,1,
746,1,0.0
747,0,1.0
748,1,
749,1,0.0
750,0,1.0
751,1,
752,1,
753,0,1.0
754,1,0.0
755,1,0.0
756,1,
757,0,
758,0,
759,0,1.0
761,1,0.0
762,1,0.0
763,1,0.0
764,0,1.0
765,1,
766,0,
767,0,
768,0,1.0
769,0,
770,0,1.0
771,1,
772,0,
773,1,
774,0,
775,1,0.0
776,0,
777,0,
778,0,
779,0,
780,1,
781,0,
782,0,
783,0,
784,0,
785,0,1.0
786,0,
787,1,0.0
788,0,
789,0,
790,0,1.0
791,1,
792,1,
793,0,
795,1,
796,0,
797,0,
798,1,
799,1,0.0
800,1,
801,0,
802,0,1.0
803,0,
804,0,1.0
805,0,
806,1,0.0
807,1,0.0
808,0,
809,1,
810,1,
811,1,0.0
812,0,
813,1,
814,1,
815,1,
816,1,
817,1,
818,1,
819,1,
820,1,0.0
821,0,1.0
822,0,1.0
824,1,
825,0,
826,1,
827,1,
828,0,1.0
829,1,0.0
830,0,1.0
831,1,0.0
832,0,
833,1,
834,1,
835,1,0.0
836,1,
837,0,
838,1,
839,1,0.0
840,1,
841,0,1.0
842,1,
844,0,
845,0,
846,0,
847,0,
848,1,
849,1,
850,0,
851,1,
852,0,
853,0,
854,1,0.0
855,1,
856,1,0.0
857,0,
859,0,
861,1,
862,0,
863,0,
864,0,
865,0,
866,1,
867,0,1.0
868,1,
869,0,
870,0,
871,1,0.0
872,1,0.0
873,1,0.0
875,0,
877,1,
880,0,
882,0,1.0
883,0,1.0
884,1,
885,1,0.0
886,1,0.0
887,0,1.0
888,1,0.0
889,1,
890,0,1.0
902,0,1.0
903,0,1.0
904,1,
905,1,
906,1,0.0
908,0,1.0
909,0,1.0
910,0,
911,0,1.0
912,1,
913,1,0.0
914,0,1.0
915,1,
916,0,
917,1,0.0
918,0,1.0
919,1,0.0
920,0,
921,1,0.0
922,0,
923,0,
924,1,0.0
925,0,1.0
926,1,0.0
927,0,1.0
928,1,
929,0,
930,0,
931,1,0.0
932,0,1.0
933,1,0.0
934,1,
935,1,
936,1,
937,1,
938,1,0.0
939,1,
940,1,
941,0,1.0
942,1,0.0
943,0,1.0
944,0,1.0
945,1,0.0
946,0,1.0
947,1,0.0
948,0,
949,1,0.0
951,1,
952,0,
953,1,
954,1,0.0
955,1,0.0
956,0,1.0
957,0,1.0
958,1,0.0
959,1,
960,1,
961,0,1.0
962,1,0.0
963,0,1.0
964,1,
965,0,1.0
966,0,1.0
967,1,
968,1,
969,1,
970,0,
971,0,
972,1,0.0
973,1,
974,0,
975,1,0.0
976,0,
977,1,0.0
978,1,
979,1,
980,1,0.0
981,1,
982,1,0.0
983,0,
984,0,1.0
985,1,
986,0,1.0
987,0,
988,1,
989,1,
990,1,
991,1,0.0
992,0,1.0
993,1,0.0
995,1,
996,1,0.0
997,1,0.0
998,1,0.0
999,0,
1000,1,0.0
1001,0,
1002,0,
1003,1,0.0
1004,1,
1005,0,1.0
1006,0,1.0
1007,1,0.0
1008,0,
1009,0,1.0
1010,1,
1011,1,
1012,1,
1013,1,
1014,0,1.0
1015,0,
1016,0,1.0
1017,1,
1018,0,1.0
1019,0,
1020,1,0.0
1021,0,1.0
1022,0,1.0
1023,1,
1024,0,
1025,1,
1026,0,
1027,1,
1028,0,1.0
1029,0,1.0
1030,0,1.0
1031,0,1.0
1032,0,1.0
1033,1,
1034,1,0.0
1035,0,
1036,0,
1037,1,0.0
1038,0,
1039,0,1.0
1040,1,
1041,0,
1042,1,0.0
1043,1,0.0
1044,1,0.0
1045,0,1.0
1046,1,0.0
1047,1,
1048,0,
1049,1,0.0
1050,0,1.0
1051,0,
1052,0,
1053,1,
1054,1,
1055,0,
1056,1,0.0
1057,0,
1058,0,
1059,0,1.0
1060,0,1.0
1061,1,
1062,1,
1063,1,
1064,1,
1065,1,0.0
1066,1,
1067,1,
1068,0,1.0
1069,0,1.0
1070,0,
1071,1,0.0
1072,1,
1073,0,
1074,1,
1075,0,
1076,1,
1077,1,0.0
1078,1,0.0
1079,1,
1080,1,
1081,0,1.0
1082,1,
1083,1,
1084,1,
1085,0,1.0
1086,0,1.0
1087,0,
1088,1,
1089,1,
1090,1,
1091,0,1.0
1092,0,
1093,0,
1094,1,
1095,0,1.0
1096,1,
1097,0,1.0
1098,1,
1099,1,
1100,0,
1101,0,
1102,1,
1103,1,
1104,0,1.0
1105,1,0.0
1106,1,0.0
1107,0,1.0
1108,0,1.0
1109,1,
1110,1,0.0
1111,0,1.0
1112,1,0.0
1113,0,
1114,1,0.0
1115,1,0.0
1116,0,1.0
1117,0,1.0
1118,0,1.0
1119,1,
1120,1,
1121,1,0.0
1122,0,
1123,0,1.0
1124,0,
1125,0,1.0
1126,1,
1127,1,0.0
1128,0,1.0
1129,0,
1130,1,
1131,1,
1132,1,0.0
1133,0,1.0
1134,1,
1135,0,
1136,0,1.0
1137,0,1.0
1138,1,
1139,1,
1140,1,
1141,1,
1142,1,
1143,1,
1144,1,
1145,1,
1146,1,0.0
1147,0,
1148,1,
1149,0,
1150,1,
1151,1,
1152,0,1.0
1153,1,
1154,1,
1155,1,
1156,1,
1157,1,
1158,0,
1159,1,
1160,0,
1161,0,
1162,1,0.0
1163,1,
1164,1,
1165,0,1.0
1166,0,
1167,0,1.0
1168,0,1.0
1169,0,1.0
1170,1,
1171,0,
1172,1,0.0
1173,0,
1174,1,0.0
1175,0,1.0
1176,1,
1177,0,1.0
1178,1,
1179,0,
1180,0,
1181,1,
1182,1,
1185,1,
1186,0,1.0
1187,0,1.0
1188,1,
1189,1,0.0
1190,1,0.0
1191,1,
1192,0,
1193,0,1.0
1194,1,
1195,1,
1196,1,
1197,0,
1198,0,
1199,1,
1200,0,1.0
1201,0,1.0
1202,1,
1203,1,0.0
1204,0,
1205,0,
1206,1,
1207,0,
1208,0,
1209,1,
1210,1,
1211,1,0.0
1212,0,
1213,1,0.0
1214,1,0.0
1215,0,
1217,0,
1218,0,
1219,0,
1220,1,
1221,1,
1222,0,
1223,1,0.0
1224,0,
1225,0,
1226,1,0.0
