,0,1,2,3
1,Write-In cells: 0,,,
2,Overvote cells: 46,,,
3,IGOR A. TREGUB: 0,,,
4,MARGO SCHUELER: 1,,,
5,RASHI KESARWANI: 2,,,
6,MARY BEHM-STEINBERG: 3,,,
7,0,1.0,2.0,
8,2,1.0,0.0,
9,1,3.0,0.0,
10,1,2.0,0.0,
11,2,0.0,1.0,
12,2,,,
13,2,1.0,0.0,
14,2,0.0,,
15,0,2.0,1.0,
16,2,0.0,1.0,
17,2,1.0,0.0,
18,2,0.0,,
19,2,1.0,0.0,
20,0,1.0,2.0,
21,2,0.0,1.0,
22,0,2.0,1.0,
23,0,2.0,1.0,
24,0,2.0,1.0,
25,2,0.0,1.0,
26,2,0.0,1.0,
27,2,0.0,1.0,
28,2,,,
29,0,1.0,2.0,
30,0,2.0,,
31,2,,,
32,2,0.0,1.0,
33,2,,,
34,2,1.0,0.0,
35,2,1.0,3.0,
36,2,0.0,,
37,0,2.0,1.0,
38,2,0.0,1.0,
39,1,3.0,,
40,1,0.0,3.0,
41,1,2.0,0.0,
42,2,,,
44,2,3.0,0.0,
45,2,3.0,1.0,
46,2,,,
47,2,1.0,3.0,
48,0,3.0,1.0,
49,2,1.0,3.0,
50,2,,,
51,0,3.0,1.0,
52,3,,,
53,0,3.0,1.0,
54,2,0.0,1.0,
55,2,1.0,0.0,
56,2,1.0,,
57,0,3.0,1.0,
58,2,1.0,3.0,
59,1,0.0,3.0,
60,2,0.0,1.0,
61,2,3.0,0.0,
62,0,,,
63,2,,,
65,2,0.0,3.0,
66,2,,,
68,1,2.0,,
69,3,0.0,2.0,
71,0,1.0,,
72,2,,,
73,2,0.0,1.0,
74,2,1.0,3.0,
75,0,1.0,2.0,
76,2,,,
77,2,0.0,1.0,
78,2,1.0,3.0,
79,2,1.0,3.0,
80,2,0.0,1.0,
81,2,0.0,1.0,
82,0,1.0,,
83,0,,,
84,0,,,
85,2,0.0,1.0,
86,0,,,
87,2,0.0,1.0,
88,0,2.0,,
89,2,0.0,1.0,
90,0,2.0,1.0,
91,2,0.0,,
92,2,,,
93,0,2.0,3.0,
94,2,,,
95,2,0.0,,
96,2,,,
97,2,1.0,0.0,
98,2,0.0,1.0,
99,1,,,
100,2,,,
101,0,,,
102,0,1.0,2.0,
103,0,3.0,2.0,
104,2,,,
105,2,1.0,,
106,3,,,
107,2,1.0,,
108,0,,,
109,0,3.0,1.0,
110,0,2.0,1.0,
111,0,1.0,,
112,1,,,
113,2,0.0,1.0,
114,0,1.0,2.0,
115,0,2.0,,
116,2,3.0,0.0,
117,0,2.0,,
118,0,1.0,2.0,
119,1,3.0,0.0,
120,0,2.0,1.0,
121,0,3.0,1.0,
122,2,1.0,3.0,
123,1,,,
124,1,2.0,,
125,0,2.0,1.0,
126,2,0.0,1.0,
127,1,0.0,3.0,
128,3,1.0,,
129,2,1.0,,
130,2,3.0,1.0,
131,0,2.0,1.0,
132,0,,,
133,1,3.0,0.0,
134,2,0.0,1.0,
135,2,1.0,3.0,
136,1,0.0,3.0,
137,1,3.0,2.0,
138,2,0.0,1.0,
140,2,,,
141,2,3.0,1.0,
142,3,1.0,,
143,2,,,
144,0,2.0,1.0,
145,3,,,
146,1,,,
147,2,1.0,3.0,
148,2,,,
149,2,,,
150,2,0.0,1.0,
151,2,0.0,1.0,
152,2,1.0,0.0,
