ballotID,precinctPortion,ballot_type,countingGroup,votingLocation,district,districtType,precinct,rank1,rank2,rank3,rank4,rank5
01004_00005_000832,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,SUSAN WENGRAF,RICHARD ILLGEN,skipped,skipped,skipped
01004_00005_000652,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,SUSAN WENGRAF,skipped,skipped,skipped,skipped
01004_00005_000550,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,SUSAN WENGRAF,skipped,skipped,skipped,skipped
01004_00005_000544,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,SUSAN WENGRAF,RICHARD ILLGEN,skipped,skipped,skipped
01004_00005_000417,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,RICHARD ILLGEN,skipped,skipped,skipped,skipped
01004_00005_000334,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,RICHARD ILLGEN,skipped,skipped,skipped,skipped
01004_00005_000208,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,SUSAN WENGRAF,skipped,skipped,skipped,skipped
01004_00005_000057,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,RICHARD ILLGEN,skipped,skipped,skipped,skipped
01004_00005_000003,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,SUSAN WENGRAF,skipped,skipped,skipped,skipped
01004_00005_000706,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,RICHARD ILLGEN,skipped,skipped,skipped,skipped
01004_00005_000700,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,SUSAN WENGRAF,RICHARD ILLGEN,skipped,skipped,skipped
01004_00005_000586,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,SUSAN WENGRAF,skipped,skipped,skipped,skipped
01004_00005_000453,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,RICHARD ILLGEN,SUSAN WENGRAF,skipped,skipped,skipped
01004_00005_000447,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,SUSAN WENGRAF,RICHARD ILLGEN,skipped,skipped,skipped
01004_00005_000441,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,SUSAN WENGRAF,RICHARD ILLGEN,skipped,skipped,skipped
01004_00005_000298,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,SUSAN WENGRAF,skipped,skipped,skipped,skipped
01004_00005_000292,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,SUSAN WENGRAF,RICHARD ILLGEN,skipped,skipped,skipped
01004_00005_000219,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,SUSAN WENGRAF,RICHARD ILLGEN,skipped,skipped,skipped
01004_00005_000188,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,SUSAN WENGRAF,skipped,skipped,skipped,skipped
01004_00005_000141,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,SUSAN WENGRAF,skipped,skipped,skipped,skipped
01004_00005_000033,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,SUSAN WENGRAF,skipped,skipped,skipped,skipped
01004_00005_000724,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,SUSAN WENGRAF,RICHARD ILLGEN,skipped,skipped,skipped
01004_00005_000718,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,SUSAN WENGRAF,skipped,skipped,skipped,skipped
01004_00005_000712,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,RICHARD ILLGEN,skipped,skipped,skipped,skipped
01004_00005_000598,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,skipped,skipped,skipped,skipped,skipped
01004_00005_000592,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,RICHARD ILLGEN,SUSAN WENGRAF,skipped,skipped,skipped
01004_00005_000477,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,RICHARD ILLGEN,SUSAN WENGRAF,skipped,skipped,skipped
01004_00005_000471,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,SUSAN WENGRAF,RICHARD ILLGEN,skipped,skipped,skipped
01004_00005_000351,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,SUSAN WENGRAF,skipped,skipped,skipped,skipped
01004_00005_000123,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,SUSAN WENGRAF,skipped,skipped,skipped,skipped
01004_00005_000019,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,SUSAN WENGRAF,RICHARD ILLGEN,skipped,skipped,skipped
01004_00005_000772,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,SUSAN WENGRAF,skipped,skipped,skipped,skipped
01004_00005_000766,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,RICHARD ILLGEN,skipped,skipped,skipped,skipped
01004_00005_000628,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,SUSAN WENGRAF,skipped,skipped,skipped,skipped
01004_00005_000514,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,SUSAN WENGRAF,skipped,skipped,skipped,skipped
01004_00005_000393,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,SUSAN WENGRAF,skipped,skipped,skipped,skipped
01004_00005_000316,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,SUSAN WENGRAF,RICHARD ILLGEN,skipped,skipped,skipped
01004_00005_000115,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,SUSAN WENGRAF,RICHARD ILLGEN,skipped,skipped,skipped
01004_00005_000051,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,SUSAN WENGRAF,skipped,skipped,skipped,skipped
01004_00005_000015,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,SUSAN WENGRAF,skipped,skipped,skipped,skipped
01004_00005_000804,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,SUSAN WENGRAF,skipped,skipped,skipped,skipped
01004_00005_000802,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,RICHARD ILLGEN,skipped,skipped,skipped,SUSAN WENGRAF
01004_00005_000796,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,RICHARD ILLGEN,skipped,skipped,skipped,skipped
01004_00005_000646,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,RICHARD ILLGEN,SUSAN WENGRAF,skipped,skipped,skipped
01004_00005_000640,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,SUSAN WENGRAF,RICHARD ILLGEN,skipped,skipped,skipped
01004_00005_000538,200100,BT8,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,200100,SUSAN WENGRAF,RICHARD ILLGEN,skipped,skipped,skipped
