precincts,tally_type,ballotID,rank1,rank2,rank3
208910,Vote by Mail - 400C,000016500,NANCI IRA ARMSTRONG-TEMPLE,skipped,skipped
208910,Vote by Mail - 400C,000016501,CHERYL DAVILA,DARRYL MOORE,NANCI IRA ARMSTRONG-TEMPLE
208910,Vote by Mail - 400C,000016502,CHERYL DAVILA,NANCI IRA ARMSTRONG-TEMPLE,DARRYL MOORE
208910,Vote by Mail - 400C,000016503,NANCI IRA ARMSTRONG-TEMPLE,CHERYL DAVILA,DARRYL MOORE
208910,Vote by Mail - 400C,000016504,NANCI IRA ARMSTRONG-TEMPLE,NANCI IRA ARMSTRONG-TEMPLE,NANCI IRA ARMSTRONG-TEMPLE
208910,Vote by Mail - 400C,000016505,DARRYL MOORE,NANCI IRA ARMSTRONG-TEMPLE,CHERYL DAVILA
208910,Vote by Mail - 400C,000016506,NANCI IRA ARMSTRONG-TEMPLE,CHERYL DAVILA,skipped
208910,Vote by Mail - 400C,000016507,NANCI IRA ARMSTRONG-TEMPLE,CHERYL DAVILA,DARRYL MOORE
208910,Vote by Mail - 400C,000016508,NANCI IRA ARMSTRONG-TEMPLE,skipped,skipped
208910,Vote by Mail - 400C,000016509,DARRYL MOORE,CHERYL DAVILA,NANCI IRA ARMSTRONG-TEMPLE
208910,Vote by Mail - 400C,000016510,skipped,skipped,skipped
208910,Vote by Mail - 400C,000016511,CHERYL DAVILA,NANCI IRA ARMSTRONG-TEMPLE,DARRYL MOORE
208910,Vote by Mail - 400C,000016512,CHERYL DAVILA,NANCI IRA ARMSTRONG-TEMPLE,DARRYL MOORE
208910,Vote by Mail - 400C,000016513,NANCI IRA ARMSTRONG-TEMPLE,CHERYL DAVILA,DARRYL MOORE
208910,Vote by Mail - 400C,000016514,NANCI IRA ARMSTRONG-TEMPLE,CHERYL DAVILA,skipped
208910,Vote by Mail - 400C,000016515,DARRYL MOORE,skipped,skipped
208910,Vote by Mail - 400C,000016516,DARRYL MOORE,CHERYL DAVILA,skipped
208910,Vote by Mail - 400C,000016517,CHERYL DAVILA,CHERYL DAVILA,NANCI IRA ARMSTRONG-TEMPLE
208910,Vote by Mail - 400C,000016518,DARRYL MOORE,NANCI IRA ARMSTRONG-TEMPLE,skipped
208910,Vote by Mail - 400C,000016519,CHERYL DAVILA,NANCI IRA ARMSTRONG-TEMPLE,skipped
208910,Vote by Mail - 400C,000016520,NANCI IRA ARMSTRONG-TEMPLE,CHERYL DAVILA,skipped
208910,Vote by Mail - 400C,000016521,NANCI IRA ARMSTRONG-TEMPLE,CHERYL DAVILA,skipped
208910,Vote by Mail - 400C,000016522,CHERYL DAVILA,CHERYL DAVILA,CHERYL DAVILA
208910,Vote by Mail - 400C,000016523,skipped,skipped,skipped
208910,Vote by Mail - 400C,000016524,CHERYL DAVILA,DARRYL MOORE,NANCI IRA ARMSTRONG-TEMPLE
208910,Vote by Mail - 400C,000016525,DARRYL MOORE,NANCI IRA ARMSTRONG-TEMPLE,CHERYL DAVILA
208910,Vote by Mail - 400C,000016526,NANCI IRA ARMSTRONG-TEMPLE,CHERYL DAVILA,DARRYL MOORE
208910,Vote by Mail - 400C,000016527,NANCI IRA ARMSTRONG-TEMPLE,CHERYL DAVILA,DARRYL MOORE
208910,Vote by Mail - 400C,000016528,NANCI IRA ARMSTRONG-TEMPLE,CHERYL DAVILA,DARRYL MOORE
