,0,1,2
1,Write-In cells: 325,,
2,Overvote cells: 13,,
3,LaTrisha Vetaw: 0,,
4,Phillipe M. Cunningham: 1,,
5,Leslie Davis: 2,,
6,0,,
7,0,,
8,0,,
9,0,,
10,0,,
11,0,,
12,0,,
13,0,,
14,0,,
15,0,,
16,0,,
17,0,,
18,0,,
19,0,,
20,0,,
21,0,,
22,0,,
23,0,,
24,0,,
25,0,,
26,0,,
27,0,,
28,0,,
29,0,,
30,0,,
31,0,,
32,0,,
33,0,,
34,0,,
35,0,,
36,0,,
37,0,,
38,0,,
39,0,,
40,0,,
41,0,,
42,0,,
43,0,,
44,0,,
45,0,,
46,0,,
47,0,,
48,0,,
49,0,,
50,0,,
51,0,,
52,0,,
53,0,,
54,0,,
55,0,,
56,0,,
57,0,,
58,0,,
59,0,,
60,0,,
61,0,,
62,0,,
63,0,,
64,0,,
65,0,,
66,0,,
67,0,,
68,0,,
69,0,,
70,0,,
71,0,,
72,0,,
73,0,,
74,0,,
75,0,,
76,0,,
77,0,,
78,0,,
79,0,,
80,0,,
81,0,,
82,0,,
83,0,,
84,0,,
85,0,,
86,0,,
87,0,,
88,0,,
89,0,,
90,0,,
91,0,,
92,0,,
93,0,,
94,0,,
95,0,,
96,0,,
97,0,,
98,0,,
99,0,,
100,0,,
101,0,,
102,0,,
103,0,,
104,0,,
105,0,,
106,0,,
107,0,,
108,0,,
109,0,,
110,0,,
111,0,,
112,0,,
113,0,,
114,0,,
115,0,,
116,0,,
117,0,,
118,0,,
119,0,,
120,0,,
121,0,,
122,0,,
123,0,,
124,0,,
125,0,,
126,0,,
127,0,,
128,0,,
129,0,,
130,0,,
131,0,,
132,0,,
133,0,,
134,0,,
135,0,,
136,0,,
137,0,,
138,0,,
139,0,,
140,0,,
141,0,,
142,0,,
143,0,,
144,0,,
145,0,,
146,0,,
147,0,,
148,0,,
149,0,,
150,0,,
151,0,,
152,0,,
153,0,,
154,0,,
155,0,,
156,0,,
157,0,,
158,0,,
159,0,,
160,0,,
161,0,,
162,0,,
163,0,,
164,0,,
165,0,,
166,0,,
167,0,,
168,0,,
169,0,,
170,0,,
171,0,,
172,0,,
173,0,,
174,0,,
175,0,,
176,0,,
177,0,,
178,0,,
179,0,,
180,0,,
181,0,,
182,0,,
183,0,,
184,0,,
185,0,,
186,0,,
187,0,,
188,0,,
189,0,,
190,0,,
191,0,,
192,0,,
193,0,,
194,0,,
195,0,,
196,0,,
197,0,,
198,0,,
199,0,,
200,0,,
201,0,,
202,0,,
203,0,,
204,0,,
205,0,,
206,0,,
207,0,,
208,0,,
209,0,,
210,0,,
211,0,,
212,0,,
213,0,,
214,0,,
215,0,,
216,0,,
217,0,,
218,0,,
219,0,,
220,0,,
221,0,,
222,0,,
223,0,,
224,0,,
225,0,,
226,0,,
227,1,2.0,
228,1,2.0,
229,1,2.0,
230,1,2.0,
231,1,2.0,
232,1,2.0,
233,1,2.0,
234,1,2.0,
235,1,2.0,
236,0,1.0,2.0
237,0,1.0,2.0
238,0,1.0,2.0
239,0,1.0,2.0
240,0,1.0,2.0
241,0,1.0,2.0
242,0,1.0,2.0
243,0,1.0,2.0
244,0,1.0,2.0
245,0,1.0,2.0
246,0,1.0,2.0
247,0,1.0,2.0
248,0,1.0,2.0
249,0,1.0,2.0
250,0,1.0,2.0
251,0,1.0,2.0
252,0,1.0,2.0
253,0,1.0,2.0
254,0,1.0,2.0
255,0,1.0,2.0
256,0,1.0,2.0
257,0,1.0,2.0
258,0,1.0,2.0
259,0,1.0,2.0
260,0,1.0,2.0
261,0,1.0,2.0
262,0,1.0,2.0
263,0,1.0,2.0
264,0,1.0,2.0
265,0,1.0,2.0
266,0,1.0,2.0
267,0,1.0,2.0
268,0,1.0,2.0
269,0,1.0,2.0
270,0,1.0,2.0
271,0,1.0,2.0
272,0,1.0,2.0
273,0,1.0,2.0
274,0,1.0,2.0
275,0,1.0,2.0
276,0,1.0,2.0
277,0,1.0,2.0
278,0,1.0,2.0
279,0,1.0,2.0
280,0,1.0,2.0
281,0,1.0,2.0
282,0,1.0,2.0
283,0,1.0,2.0
284,0,1.0,2.0
285,0,1.0,2.0
286,0,1.0,2.0
287,0,1.0,2.0
288,0,1.0,2.0
289,0,1.0,2.0
290,0,1.0,2.0
291,0,1.0,2.0
292,0,1.0,2.0
293,0,1.0,2.0
294,0,1.0,2.0
295,0,1.0,2.0
296,0,1.0,2.0
297,0,1.0,2.0
298,0,1.0,2.0
299,0,1.0,2.0
300,0,1.0,2.0
301,0,1.0,2.0
302,0,1.0,2.0
303,0,1.0,2.0
304,0,1.0,2.0
305,0,1.0,2.0
306,0,1.0,2.0
307,0,1.0,2.0
308,0,1.0,2.0
309,0,1.0,2.0
310,0,1.0,2.0
311,0,1.0,2.0
312,0,1.0,2.0
313,0,1.0,2.0
314,0,1.0,2.0
315,0,1.0,2.0
316,0,1.0,2.0
317,0,1.0,2.0
318,0,1.0,2.0
319,0,1.0,2.0
320,0,1.0,2.0
321,0,1.0,2.0
322,0,1.0,2.0
323,0,1.0,2.0
324,0,1.0,2.0
325,0,1.0,2.0
326,0,1.0,2.0
327,0,1.0,2.0
328,0,1.0,2.0
329,0,1.0,2.0
366,0,1.0,
367,0,1.0,
368,0,1.0,
369,0,1.0,
370,0,1.0,
371,0,1.0,
372,0,1.0,
373,0,1.0,
374,0,1.0,
375,0,1.0,
376,0,1.0,
377,0,1.0,
378,0,1.0,
379,0,1.0,
380,0,1.0,
381,0,1.0,
382,0,1.0,
383,0,1.0,
384,0,1.0,
385,0,1.0,
386,0,1.0,
387,0,1.0,
388,0,1.0,
389,0,1.0,
390,0,1.0,
391,0,1.0,
392,0,1.0,
393,0,1.0,
394,0,1.0,
395,0,1.0,
396,0,1.0,
397,0,1.0,
398,0,1.0,
399,0,1.0,
400,0,1.0,
401,0,1.0,
402,0,1.0,
403,0,1.0,
404,0,1.0,
405,0,1.0,
406,0,1.0,
407,0,1.0,
408,0,1.0,
409,0,1.0,
410,0,1.0,
411,0,1.0,
412,0,1.0,
413,0,1.0,
414,0,1.0,
415,0,1.0,
416,0,1.0,
417,0,1.0,
418,0,1.0,
419,0,1.0,
420,0,1.0,
421,0,1.0,
422,0,1.0,
423,0,1.0,
424,0,1.0,
425,0,1.0,
426,0,1.0,
427,0,1.0,
428,0,1.0,
429,0,1.0,
430,0,1.0,
431,0,1.0,
432,0,1.0,
433,0,1.0,
434,0,1.0,
435,0,1.0,
436,0,1.0,
437,0,1.0,
438,0,1.0,
439,0,1.0,
440,0,1.0,
441,0,1.0,
442,0,1.0,
443,0,1.0,
444,0,1.0,
445,0,1.0,
446,0,1.0,
447,1,2.0,0.0
448,1,2.0,0.0
449,1,2.0,0.0
450,1,2.0,0.0
451,1,2.0,0.0
452,1,2.0,0.0
453,1,2.0,0.0
454,1,2.0,0.0
455,1,2.0,0.0
456,1,2.0,0.0
457,1,2.0,0.0
458,1,2.0,0.0
459,1,2.0,0.0
460,1,2.0,0.0
461,1,2.0,0.0
462,1,2.0,0.0
463,1,2.0,0.0
464,1,2.0,0.0
465,1,2.0,0.0
466,1,2.0,0.0
467,1,0.0,
468,1,0.0,
469,1,0.0,
470,1,0.0,
471,1,0.0,
472,1,0.0,
473,1,0.0,
474,1,0.0,
475,1,0.0,
476,1,0.0,
477,1,0.0,
478,1,0.0,
479,1,0.0,
480,1,0.0,
481,1,0.0,
482,1,0.0,
483,1,0.0,
484,1,0.0,
485,1,0.0,
486,1,0.0,
487,1,0.0,
488,1,0.0,
489,1,0.0,
490,1,0.0,
491,1,0.0,
492,1,0.0,
493,1,0.0,
494,1,0.0,
495,1,0.0,
496,1,0.0,
497,1,0.0,
498,1,0.0,
499,1,0.0,
500,1,0.0,
501,1,0.0,
502,1,0.0,
503,1,0.0,
504,1,0.0,
505,1,0.0,
506,1,0.0,
507,1,0.0,
508,1,0.0,
509,1,0.0,
510,1,0.0,
511,1,0.0,
512,1,0.0,
513,1,0.0,
514,1,0.0,
515,1,0.0,
516,1,0.0,
517,1,0.0,
518,1,0.0,
519,1,0.0,
520,1,0.0,
521,1,0.0,
522,1,0.0,
523,1,0.0,
524,1,0.0,
525,1,0.0,
526,1,0.0,
527,1,0.0,
528,1,0.0,
529,1,0.0,
530,1,0.0,
531,1,0.0,
532,1,0.0,
533,1,0.0,
534,1,0.0,
535,1,0.0,
536,1,0.0,
537,1,0.0,
538,1,0.0,
539,1,0.0,
540,1,0.0,
541,1,0.0,
542,1,0.0,
543,0,2.0,
544,0,2.0,
545,0,2.0,
546,0,2.0,
547,0,2.0,
548,0,2.0,
549,0,2.0,
550,0,2.0,
551,0,2.0,
552,0,2.0,
553,0,2.0,
554,1,,
555,1,,
556,1,,
557,1,,
558,1,,
559,1,,
560,1,,
561,1,,
562,1,,
563,1,,
564,1,,
565,1,,
566,1,,
567,1,,
568,1,,
569,1,,
570,1,,
571,1,,
572,1,,
573,1,,
574,1,,
575,1,,
576,1,,
577,1,,
578,1,,
579,1,,
580,1,,
581,1,,
582,1,,
583,1,,
584,1,,
585,1,,
586,1,,
587,1,,
588,1,,
589,1,,
590,1,,
591,1,,
592,1,,
593,1,,
594,1,,
595,1,,
596,1,,
597,1,,
598,1,,
599,1,,
600,1,,
601,1,,
602,1,,
603,1,,
604,1,,
605,1,,
606,1,,
607,1,,
608,1,,
609,1,,
610,1,,
611,1,,
612,1,,
613,1,,
614,1,,
615,1,,
616,1,,
617,1,,
618,1,,
619,1,,
620,1,,
621,1,,
622,1,,
623,1,,
624,1,,
625,1,,
626,1,,
627,1,,
628,1,,
629,1,,
630,1,,
631,1,,
632,1,,
633,1,,
634,1,,
635,1,,
636,1,,
637,1,,
638,1,,
639,1,,
640,1,,
641,1,,
642,1,,
643,1,,
644,1,,
645,1,,
646,1,,
647,1,,
648,1,,
649,1,,
650,1,,
651,1,,
652,1,,
653,1,,
654,1,,
655,1,,
656,1,,
657,1,,
658,1,,
659,1,,
660,1,,
661,1,,
662,1,,
663,1,,
664,1,,
665,1,,
666,1,,
667,1,,
668,1,,
669,1,,
670,1,,
671,1,,
672,1,,
673,1,,
674,1,,
675,1,,
676,1,,
677,1,,
678,1,,
679,1,,
680,1,,
681,1,,
682,1,,
683,1,,
684,1,,
685,1,,
686,1,,
687,1,,
688,1,2.0,
689,1,2.0,
690,2,,
691,2,,
692,2,,
693,2,,
694,2,,
695,2,,
696,2,,
697,2,,
698,2,,
699,2,,
700,2,,
701,2,,
702,2,,
703,2,,
704,2,,
705,2,,
706,2,,
707,2,,
708,2,,
709,2,,
710,2,,
711,2,,
712,2,,
713,2,,
714,2,,
715,2,,
716,2,,
717,2,,
718,2,,
719,2,,
720,2,,
721,2,,
722,2,,
723,2,,
724,1,0.0,2.0
725,1,0.0,2.0
726,1,0.0,2.0
727,1,0.0,2.0
728,1,0.0,2.0
729,1,0.0,2.0
730,1,0.0,2.0
731,1,0.0,2.0
732,1,0.0,2.0
