,0,1,2,3,4,5,6
1,Write-In cells: 72,,,,,,
2,Overvote cells: 30,,,,,,
3,Cathy Spann: 0,,,,,,
4,Jeremiah Ellison: 1,,,,,,
5,Kristel Porter: 2,,,,,,
6,Elijah Norris-Holliday: 3,,,,,,
7,Victor Martinez: 4,,,,,,
8,Suleiman Isse: 5,,,,,,
9,"James ""Jim"" Seymour: 6",,,,,,
10,0,1.0,2.0,,,,
11,0,1.0,2.0,,,,
12,3,0.0,4.0,,,,
13,3,0.0,4.0,,,,
14,3,0.0,4.0,,,,
15,5,,,,,,
16,5,,,,,,
17,5,,,,,,
18,5,,,,,,
19,5,,,,,,
20,5,,,,,,
21,5,,,,,,
22,5,,,,,,
23,5,,,,,,
24,5,,,,,,
25,5,,,,,,
26,5,,,,,,
27,5,,,,,,
28,5,,,,,,
29,5,,,,,,
30,5,,,,,,
31,5,,,,,,
32,5,,,,,,
33,5,,,,,,
34,5,,,,,,
35,5,,,,,,
36,5,,,,,,
37,5,,,,,,
38,5,,,,,,
39,5,,,,,,
40,5,,,,,,
41,2,4.0,,,,,
42,2,4.0,,,,,
43,2,4.0,,,,,
44,2,4.0,,,,,
45,2,4.0,,,,,
46,2,4.0,,,,,
47,2,4.0,,,,,
48,2,4.0,,,,,
49,2,4.0,,,,,
50,2,4.0,,,,,
51,2,4.0,,,,,
52,2,4.0,,,,,
53,2,4.0,,,,,
54,2,4.0,,,,,
55,2,4.0,,,,,
56,2,4.0,,,,,
57,2,4.0,,,,,
58,5,,,,,,
59,5,4.0,,,,,
60,1,,,,,,
61,1,,,,,,
62,1,,,,,,
63,1,,,,,,
64,1,,,,,,
65,1,,,,,,
66,1,,,,,,
67,1,,,,,,
68,1,,,,,,
69,1,,,,,,
70,1,,,,,,
71,1,,,,,,
72,1,,,,,,
73,1,,,,,,
74,1,,,,,,
75,1,,,,,,
76,1,,,,,,
77,1,,,,,,
78,1,,,,,,
79,1,,,,,,
80,1,,,,,,
81,1,,,,,,
82,1,,,,,,
83,1,,,,,,
84,1,,,,,,
85,1,,,,,,
86,1,,,,,,
87,1,,,,,,
88,1,,,,,,
89,1,,,,,,
90,1,,,,,,
91,1,,,,,,
92,1,,,,,,
93,1,,,,,,
94,1,,,,,,
95,1,,,,,,
96,1,,,,,,
97,1,,,,,,
98,1,,,,,,
99,1,,,,,,
100,1,,,,,,
101,1,,,,,,
102,1,,,,,,
103,1,,,,,,
104,1,,,,,,
105,1,,,,,,
106,1,,,,,,
107,1,,,,,,
108,1,,,,,,
109,1,,,,,,
110,1,,,,,,
111,1,,,,,,
112,1,,,,,,
113,1,,,,,,
114,1,,,,,,
115,1,,,,,,
116,2,,,,,,
117,2,,,,,,
118,2,,,,,,
119,2,,,,,,
120,2,,,,,,
121,2,,,,,,
122,2,,,,,,
123,2,,,,,,
124,2,,,,,,
125,2,,,,,,
126,2,,,,,,
127,2,,,,,,
128,2,,,,,,
129,2,,,,,,
130,2,,,,,,
131,2,,,,,,
132,2,,,,,,
133,2,,,,,,
134,2,,,,,,
135,2,,,,,,
136,2,,,,,,
137,2,,,,,,
138,2,,,,,,
139,2,,,,,,
140,2,,,,,,
141,2,,,,,,
142,2,,,,,,
143,2,,,,,,
144,2,,,,,,
145,2,,,,,,
146,2,,,,,,
147,2,,,,,,
148,2,,,,,,
149,2,,,,,,
150,2,,,,,,
151,2,,,,,,
152,2,,,,,,
153,2,,,,,,
154,4,,,,,,
155,4,,,,,,
156,4,,,,,,
157,4,,,,,,
158,1,2.0,0.0,,,,
159,1,2.0,0.0,,,,
160,1,2.0,0.0,,,,
161,1,2.0,0.0,,,,
162,1,2.0,0.0,,,,
163,1,2.0,0.0,,,,
164,1,2.0,0.0,,,,
165,1,2.0,0.0,,,,
166,1,2.0,0.0,,,,
167,1,2.0,0.0,,,,
168,1,2.0,0.0,,,,
169,1,2.0,0.0,,,,
170,1,2.0,0.0,,,,
171,1,2.0,0.0,,,,
172,1,2.0,0.0,,,,
173,2,1.0,4.0,,,,
174,2,1.0,4.0,,,,
175,2,1.0,4.0,,,,
176,2,1.0,4.0,,,,
177,2,1.0,4.0,,,,
178,2,1.0,4.0,,,,
179,2,1.0,4.0,,,,
180,2,4.0,1.0,,,,
181,2,4.0,1.0,,,,
182,2,4.0,1.0,,,,
183,2,4.0,1.0,,,,
184,2,4.0,1.0,,,,
185,2,4.0,1.0,,,,
186,2,4.0,1.0,,,,
199,2,0.0,5.0,,,,
200,2,0.0,5.0,,,,
201,2,0.0,5.0,,,,
202,2,0.0,5.0,,,,
203,2,0.0,5.0,,,,
204,2,0.0,5.0,,,,
205,2,0.0,4.0,,,,
206,2,0.0,4.0,,,,
207,2,0.0,4.0,,,,
208,2,0.0,4.0,,,,
209,2,0.0,4.0,,,,
210,2,0.0,4.0,,,,
211,2,0.0,4.0,,,,
212,2,0.0,4.0,,,,
213,2,0.0,4.0,,,,
214,2,0.0,4.0,,,,
215,2,0.0,4.0,,,,
216,2,0.0,4.0,,,,
217,2,0.0,4.0,,,,
218,2,4.0,0.0,,,,
219,2,4.0,0.0,,,,
220,2,4.0,0.0,,,,
221,2,4.0,0.0,,,,
222,2,4.0,0.0,,,,
223,2,4.0,0.0,,,,
