,0,1,2,3,4,5,6,7
1,Write-In cells: 100,,,,,,,
2,Overvote cells: 4,,,,,,,
3,Yussuf Haji: 0,,,,,,,
4,Mickey Moore: 1,,,,,,,
5,Jason Chavez: 2,,,,,,,
6,Carmen Means: 3,,,,,,,
7,Ross Tenneson: 4,,,,,,,
8,"Alfred ""AJ"" Flowers Jr.: 5",,,,,,,
9,Brenda Short: 6,,,,,,,
10,Jon Randall Denison: 7,,,,,,,
11,0,,,,,,,
12,0,,,,,,,
13,0,,,,,,,
14,0,,,,,,,
15,0,,,,,,,
16,0,,,,,,,
17,0,,,,,,,
18,0,,,,,,,
19,0,,,,,,,
20,0,,,,,,,
21,0,,,,,,,
22,0,,,,,,,
23,0,,,,,,,
24,0,,,,,,,
25,0,,,,,,,
26,0,,,,,,,
27,0,,,,,,,
28,0,,,,,,,
29,0,,,,,,,
30,0,,,,,,,
31,0,,,,,,,
32,0,,,,,,,
33,0,,,,,,,
34,0,,,,,,,
35,0,,,,,,,
36,0,,,,,,,
37,0,,,,,,,
38,0,,,,,,,
39,0,,,,,,,
40,1,,,,,,,
41,1,,,,,,,
42,1,,,,,,,
43,1,,,,,,,
44,1,,,,,,,
45,1,,,,,,,
46,1,,,,,,,
47,1,,,,,,,
48,1,,,,,,,
49,1,,,,,,,
50,1,,,,,,,
51,1,,,,,,,
52,1,,,,,,,
53,1,,,,,,,
54,1,,,,,,,
55,1,,,,,,,
56,1,,,,,,,
57,1,,,,,,,
58,1,,,,,,,
59,2,3.0,,,,,,
60,2,3.0,,,,,,
61,2,3.0,,,,,,
62,2,3.0,,,,,,
63,2,3.0,,,,,,
64,2,3.0,,,,,,
65,2,3.0,,,,,,
66,2,3.0,,,,,,
67,2,3.0,,,,,,
68,2,3.0,,,,,,
69,2,3.0,,,,,,
70,1,4.0,,,,,,
71,1,4.0,,,,,,
72,1,4.0,,,,,,
73,1,4.0,,,,,,
74,1,4.0,,,,,,
75,1,4.0,,,,,,
76,1,4.0,,,,,,
77,1,4.0,,,,,,
78,1,4.0,,,,,,
79,3,2.0,,,,,,
80,3,2.0,,,,,,
81,3,2.0,,,,,,
82,3,2.0,,,,,,
83,2,,,,,,,
84,2,,,,,,,
85,2,,,,,,,
86,2,,,,,,,
87,2,,,,,,,
88,2,,,,,,,
89,2,,,,,,,
90,2,,,,,,,
91,2,,,,,,,
92,2,,,,,,,
93,2,,,,,,,
94,2,,,,,,,
95,2,,,,,,,
96,2,,,,,,,
97,2,,,,,,,
98,2,,,,,,,
99,2,,,,,,,
100,2,,,,,,,
101,2,,,,,,,
102,2,,,,,,,
103,2,,,,,,,
104,2,,,,,,,
105,2,,,,,,,
106,2,,,,,,,
107,2,,,,,,,
108,2,,,,,,,
109,2,,,,,,,
110,2,,,,,,,
111,2,,,,,,,
112,2,,,,,,,
113,2,,,,,,,
114,2,,,,,,,
115,2,,,,,,,
116,2,,,,,,,
117,2,,,,,,,
118,2,,,,,,,
119,2,,,,,,,
120,2,,,,,,,
121,2,,,,,,,
122,2,,,,,,,
123,2,,,,,,,
124,2,,,,,,,
125,2,,,,,,,
126,2,,,,,,,
127,2,,,,,,,
128,2,,,,,,,
129,2,,,,,,,
130,2,,,,,,,
131,2,,,,,,,
132,2,,,,,,,
133,2,,,,,,,
134,2,,,,,,,
135,2,,,,,,,
136,2,,,,,,,
137,2,,,,,,,
138,2,,,,,,,
139,2,,,,,,,
140,2,,,,,,,
141,2,,,,,,,
142,2,,,,,,,
143,2,,,,,,,
144,2,,,,,,,
145,2,,,,,,,
146,2,,,,,,,
147,2,,,,,,,
148,2,,,,,,,
149,2,,,,,,,
150,2,,,,,,,
151,2,,,,,,,
152,2,,,,,,,
153,2,,,,,,,
154,2,,,,,,,
155,2,,,,,,,
156,2,,,,,,,
157,2,,,,,,,
158,2,,,,,,,
159,2,,,,,,,
160,2,,,,,,,
161,2,,,,,,,
162,2,,,,,,,
163,2,,,,,,,
164,2,,,,,,,
165,2,,,,,,,
166,2,,,,,,,
167,2,,,,,,,
168,2,,,,,,,
169,2,,,,,,,
170,2,,,,,,,
171,2,,,,,,,
172,2,,,,,,,
173,2,,,,,,,
174,2,,,,,,,
175,2,,,,,,,
176,2,,,,,,,
177,2,,,,,,,
178,2,,,,,,,
179,2,,,,,,,
180,2,,,,,,,
181,2,,,,,,,
182,2,,,,,,,
183,2,,,,,,,
184,2,,,,,,,
185,2,,,,,,,
186,2,,,,,,,
187,2,,,,,,,
188,2,,,,,,,
189,2,,,,,,,
190,2,,,,,,,
191,2,,,,,,,
192,2,,,,,,,
193,2,,,,,,,
194,2,,,,,,,
195,2,,,,,,,
196,2,,,,,,,
197,2,,,,,,,
198,2,0.0,5.0,,,,,
199,2,0.0,5.0,,,,,
200,2,0.0,5.0,,,,,
201,2,0.0,5.0,,,,,
202,2,0.0,5.0,,,,,
203,2,0.0,5.0,,,,,
204,5,,,,,,,
205,5,,,,,,,
206,5,,,,,,,
207,5,,,,,,,
208,5,,,,,,,
209,5,,,,,,,
210,5,,,,,,,
211,5,,,,,,,
212,5,,,,,,,
213,5,,,,,,,
214,5,,,,,,,
215,1,3.0,6.0,,,,,
216,1,2.0,,,,,,
217,1,2.0,,,,,,
218,1,2.0,,,,,,
219,1,2.0,,,,,,
220,1,2.0,,,,,,
221,1,2.0,,,,,,
222,1,2.0,,,,,,
223,1,2.0,,,,,,
248,2,0.0,1.0,,,,,
249,2,0.0,1.0,,,,,
250,2,0.0,1.0,,,,,
251,2,0.0,1.0,,,,,
252,5,2.0,0.0,,,,,
253,5,2.0,0.0,,,,,
254,5,2.0,0.0,,,,,
255,2,5.0,0.0,,,,,
256,2,5.0,0.0,,,,,
257,2,5.0,0.0,,,,,
258,2,5.0,0.0,,,,,
259,2,5.0,0.0,,,,,
260,2,5.0,7.0,,,,,
261,2,5.0,7.0,,,,,
262,0,2.0,,,,,,
263,0,2.0,,,,,,
264,0,2.0,,,,,,
265,0,2.0,,,,,,
266,0,2.0,,,,,,
267,0,2.0,,,,,,
268,1,5.0,,,,,,
269,1,5.0,,,,,,
270,1,5.0,,,,,,
271,1,5.0,,,,,,
272,1,5.0,,,,,,
273,1,5.0,,,,,,
274,1,5.0,,,,,,
275,5,3.0,6.0,,,,,
276,5,3.0,6.0,,,,,
277,5,3.0,6.0,,,,,
278,0,6.0,2.0,,,,,
279,1,2.0,6.0,,,,,
280,1,2.0,6.0,,,,,
281,2,1.0,5.0,,,,,
282,2,1.0,5.0,,,,,
283,2,1.0,5.0,,,,,
284,2,1.0,5.0,,,,,
285,2,1.0,5.0,,,,,
286,2,1.0,5.0,,,,,
287,2,5.0,,,,,,
288,2,5.0,,,,,,
289,2,5.0,,,,,,
290,2,5.0,,,,,,
291,2,5.0,,,,,,
292,2,5.0,,,,,,
293,2,5.0,,,,,,
294,2,5.0,,,,,,
295,2,5.0,,,,,,
296,2,5.0,,,,,,
297,2,5.0,,,,,,
298,2,5.0,,,,,,
299,2,5.0,,,,,,
300,3,,,,,,,
301,3,,,,,,,
302,3,,,,,,,
303,3,,,,,,,
304,3,2.0,0.0,,,,,
305,3,2.0,0.0,,,,,
306,3,2.0,0.0,,,,,
307,2,0.0,,,,,,
308,2,0.0,,,,,,
309,2,0.0,,,,,,
310,2,0.0,,,,,,
311,2,0.0,,,,,,
312,2,0.0,,,,,,
313,2,0.0,,,,,,
314,2,0.0,,,,,,
315,2,0.0,,,,,,
316,2,0.0,,,,,,
317,2,0.0,,,,,,
318,2,0.0,,,,,,
319,2,0.0,,,,,,
320,2,0.0,,,,,,
321,2,0.0,,,,,,
322,2,0.0,,,,,,
323,2,0.0,,,,,,
324,2,0.0,,,,,,
325,2,0.0,,,,,,
326,2,0.0,,,,,,
327,2,,,,,,,
328,2,,,,,,,
329,2,,,,,,,
330,2,,,,,,,
331,2,,,,,,,
332,2,,,,,,,
333,2,,,,,,,
334,2,,,,,,,
335,2,,,,,,,
336,2,,,,,,,
337,2,,,,,,,
338,2,,,,,,,
339,2,,,,,,,
340,2,,,,,,,
341,2,,,,,,,
342,2,,,,,,,
343,2,,,,,,,
344,2,,,,,,,
345,2,,,,,,,
346,2,,,,,,,
347,2,,,,,,,
348,2,,,,,,,
349,2,,,,,,,
350,2,,,,,,,
351,2,,,,,,,
352,2,,,,,,,
353,2,,,,,,,
354,2,,,,,,,
355,2,,,,,,,
356,2,,,,,,,
357,2,,,,,,,
358,2,,,,,,,
359,2,,,,,,,
360,2,,,,,,,
361,2,,,,,,,
362,2,,,,,,,
363,2,,,,,,,
364,2,,,,,,,
365,2,,,,,,,
366,2,,,,,,,
367,2,,,,,,,
368,2,,,,,,,
369,2,,,,,,,
370,2,,,,,,,
371,2,,,,,,,
372,2,,,,,,,
373,2,,,,,,,
374,2,,,,,,,
375,2,,,,,,,
376,2,,,,,,,
377,2,,,,,,,
378,2,,,,,,,
379,2,,,,,,,
380,2,,,,,,,
381,2,,,,,,,
382,2,,,,,,,
383,2,,,,,,,
384,2,,,,,,,
385,2,,,,,,,
386,2,,,,,,,
387,2,,,,,,,
388,2,,,,,,,
389,2,,,,,,,
390,2,,,,,,,
391,2,,,,,,,
392,2,,,,,,,
393,2,,,,,,,
394,2,,,,,,,
395,2,,,,,,,
396,2,,,,,,,
397,2,,,,,,,
398,2,,,,,,,
399,2,,,,,,,
400,2,,,,,,,
401,2,,,,,,,
402,2,,,,,,,
403,2,,,,,,,
404,2,,,,,,,
405,2,,,,,,,
406,2,,,,,,,
407,2,,,,,,,
408,2,,,,,,,
409,2,,,,,,,
410,2,,,,,,,
411,2,,,,,,,
412,2,,,,,,,
413,2,,,,,,,
414,2,,,,,,,
415,2,,,,,,,
416,2,,,,,,,
417,2,,,,,,,
418,2,,,,,,,
419,2,,,,,,,
420,2,,,,,,,
421,2,,,,,,,
422,2,,,,,,,
423,2,,,,,,,
424,2,,,,,,,
425,2,,,,,,,
426,2,,,,,,,
427,2,,,,,,,
428,2,,,,,,,
429,2,,,,,,,
430,2,,,,,,,
431,2,,,,,,,
432,2,,,,,,,
433,2,,,,,,,
434,2,,,,,,,
435,2,,,,,,,
436,2,,,,,,,
437,2,,,,,,,
438,2,,,,,,,
439,2,,,,,,,
440,2,,,,,,,
441,2,,,,,,,
442,2,,,,,,,
443,2,,,,,,,
444,2,,,,,,,
445,2,,,,,,,
446,2,,,,,,,
447,2,,,,,,,
448,2,,,,,,,
449,2,,,,,,,
450,2,,,,,,,
451,2,,,,,,,
452,2,,,,,,,
453,2,,,,,,,
454,2,,,,,,,
455,2,,,,,,,
456,2,,,,,,,
457,2,,,,,,,
458,2,,,,,,,
459,2,,,,,,,
460,2,,,,,,,
461,2,,,,,,,
462,2,,,,,,,
463,2,,,,,,,
464,2,,,,,,,
465,2,,,,,,,
466,2,,,,,,,
467,2,,,,,,,
468,2,,,,,,,
469,2,,,,,,,
470,2,,,,,,,
471,2,,,,,,,
472,2,,,,,,,
473,2,,,,,,,
474,2,,,,,,,
475,2,,,,,,,
