,0,1,2,3,4,5
1,Write-In cells: 129,,,,,
2,Overvote cells: 6,,,,,
3,TY MOORE: 0,,,,,
4,ALONDRA CANO: 1,,,,,
5,CHARLES CURTIS: 2,,,,,
6,ABDI ABDULLE: 3,,,,,
7,PAT FLEETHAM: 4,,,,,
8,GREGORY MCDONALD: 5,,,,,
9,0,,,,,
10,1,,,,,
11,2,,,,,
12,1,0.0,,,,
13,0,,,,,
14,0,1.0,3.0,,,
15,1,,,,,
16,1,0.0,,,,
17,3,,,,,
18,1,0.0,3.0,,,
19,1,0.0,4.0,,,
20,0,2.0,1.0,,,
21,0,1.0,,,,
22,2,0.0,3.0,,,
23,0,1.0,,,,
25,1,2.0,0.0,,,
26,0,,,,,
27,0,1.0,,,,
28,1,,,,,
29,1,0.0,,,,
30,1,0.0,,,,
31,1,,,,,
32,1,0.0,,,,
33,2,,,,,
34,1,5.0,4.0,,,
35,1,0.0,,,,
36,1,0.0,2.0,,,
37,1,3.0,0.0,,,
38,1,0.0,3.0,,,
39,0,1.0,4.0,,,
40,1,0.0,3.0,,,
41,0,1.0,3.0,,,
42,0,4.0,1.0,,,
43,3,0.0,,,,
44,1,,,,,
45,1,0.0,4.0,,,
46,1,0.0,2.0,,,
47,1,4.0,5.0,,,
48,1,3.0,,,,
49,1,,,,,
50,1,0.0,2.0,,,
51,0,4.0,5.0,,,
52,3,2.0,,,,
53,1,3.0,2.0,,,
54,0,1.0,3.0,,,
55,1,2.0,3.0,,,
56,1,4.0,0.0,,,
57,2,4.0,5.0,,,
58,2,1.0,0.0,,,
59,3,0.0,,,,
60,0,4.0,1.0,,,
61,0,1.0,,,,
62,1,,,,,
63,0,2.0,,,,
64,0,4.0,1.0,,,
65,1,2.0,5.0,,,
66,1,,,,,
67,1,4.0,0.0,,,
68,1,0.0,4.0,,,
69,1,5.0,4.0,,,
70,0,1.0,,,,
71,1,,,,,
72,1,,,,,
73,1,0.0,4.0,,,
74,2,0.0,1.0,,,
75,1,0.0,2.0,,,
76,3,,,,,
77,0,2.0,5.0,,,
78,2,,,,,
79,1,3.0,0.0,,,
80,2,,,,,
81,1,0.0,4.0,,,
82,5,,,,,
83,1,2.0,4.0,,,
84,0,1.0,3.0,,,
85,1,3.0,,,,
86,0,1.0,,,,
87,1,0.0,,,,
88,0,1.0,2.0,,,
89,0,1.0,4.0,,,
90,2,,,,,
91,4,,,,,
92,1,4.0,3.0,,,
93,1,3.0,,,,
94,1,0.0,3.0,,,
95,0,1.0,,,,
96,0,4.0,5.0,,,
97,0,1.0,,,,
98,1,4.0,5.0,,,
99,1,,,,,
100,1,4.0,5.0,,,
101,0,,,,,
102,2,3.0,0.0,,,
103,4,0.0,1.0,,,
104,0,1.0,4.0,,,
105,1,0.0,3.0,,,
106,0,1.0,3.0,,,
107,1,0.0,,,,
108,1,5.0,4.0,,,
109,0,1.0,3.0,,,
110,0,1.0,3.0,,,
112,1,0.0,3.0,,,
113,1,,,,,
114,1,4.0,2.0,,,
115,1,0.0,3.0,,,
116,1,0.0,2.0,,,
117,0,,,,,
118,4,5.0,1.0,,,
119,1,5.0,4.0,,,
120,1,0.0,4.0,,,
121,3,,,,,
122,0,1.0,,,,
123,0,1.0,,,,
124,0,1.0,2.0,,,
125,0,1.0,2.0,,,
127,1,0.0,4.0,,,
128,1,,,,,
129,0,1.0,,,,
130,1,0.0,,,,
131,0,,,,,
132,3,1.0,5.0,,,
133,1,0.0,,,,
134,2,,,,,
135,1,5.0,0.0,,,
136,0,4.0,1.0,,,
137,1,0.0,2.0,,,
139,4,5.0,1.0,,,
140,0,1.0,2.0,,,
141,0,,,,,
142,1,,,,,
143,0,1.0,3.0,,,
144,0,,,,,
145,1,3.0,4.0,,,
146,1,0.0,2.0,,,
147,0,,,,,
148,2,,,,,
149,0,3.0,1.0,,,
150,1,3.0,2.0,,,
151,0,1.0,,,,
152,1,5.0,4.0,,,
153,1,,,,,
154,0,1.0,4.0,,,
155,0,2.0,5.0,,,
156,0,5.0,,,,
157,1,,,,,
158,1,0.0,2.0,,,
159,0,4.0,1.0,,,
160,0,1.0,,,,
161,1,5.0,4.0,,,
162,0,,,,,
163,0,1.0,4.0,,,
164,1,3.0,2.0,,,
165,0,3.0,,,,
166,1,2.0,4.0,,,
167,0,,,,,
169,0,1.0,3.0,,,
170,0,3.0,1.0,,,
171,5,3.0,1.0,,,
172,1,4.0,2.0,,,
173,0,,,,,
174,1,0.0,,,,
175,0,1.0,,,,
176,1,0.0,2.0,,,
177,1,,,,,
178,1,,,,,
179,0,4.0,2.0,,,
180,4,5.0,1.0,,,
181,3,,,,,
182,0,1.0,,,,
183,1,,,,,
184,4,0.0,1.0,,,
185,0,3.0,1.0,,,
186,1,0.0,2.0,,,
187,0,1.0,2.0,,,
188,1,0.0,,,,
189,5,3.0,4.0,,,
190,1,4.0,3.0,,,
191,1,2.0,4.0,,,
192,0,1.0,5.0,,,
193,0,1.0,3.0,,,
194,1,0.0,4.0,,,
195,0,,,,,
196,0,1.0,,,,
197,2,,,,,
198,0,1.0,5.0,,,
199,1,,,,,
200,3,,,,,
201,0,1.0,2.0,,,
202,1,2.0,4.0,,,
203,0,,,,,
205,0,1.0,,,,
207,0,1.0,,,,
208,0,3.0,1.0,,,
209,1,2.0,3.0,,,
210,0,2.0,1.0,,,
211,2,1.0,5.0,,,
212,3,,,,,
213,0,1.0,,,,
214,0,1.0,,,,
215,0,2.0,,,,
216,0,1.0,3.0,,,
217,1,0.0,2.0,,,
218,1,0.0,,,,
219,0,1.0,2.0,,,
220,3,,,,,
221,1,,,,,
222,0,5.0,1.0,,,
223,2,,,,,
224,0,1.0,2.0,,,
225,4,,,,,
226,0,,,,,
227,1,5.0,0.0,,,
228,1,,,,,
229,1,0.0,,,,
231,0,1.0,,,,
232,0,5.0,,,,
233,4,0.0,,,,
234,1,,,,,
235,3,,,,,
236,1,0.0,4.0,,,
237,1,0.0,3.0,,,
238,0,,,,,
239,0,1.0,2.0,,,
240,0,2.0,1.0,,,
241,1,,,,,
242,1,2.0,0.0,,,
243,1,0.0,4.0,,,
244,3,5.0,1.0,,,
245,4,5.0,2.0,,,
246,0,1.0,2.0,,,
247,0,3.0,4.0,,,
248,3,,,,,
249,3,1.0,4.0,,,
250,1,3.0,5.0,,,
251,1,4.0,5.0,,,
252,3,2.0,4.0,,,
253,0,1.0,2.0,,,
254,2,4.0,3.0,,,
255,1,,,,,
256,0,1.0,5.0,,,
257,1,0.0,,,,
258,0,1.0,,,,
259,0,2.0,1.0,,,
260,1,3.0,0.0,,,
261,1,0.0,,,,
262,1,0.0,2.0,,,
263,1,,,,,
264,0,3.0,1.0,,,
265,1,0.0,,,,
266,1,0.0,4.0,,,
267,1,0.0,2.0,,,
268,0,1.0,3.0,,,
269,1,0.0,,,,
270,1,,,,,
271,0,1.0,,,,
272,1,0.0,2.0,,,
273,2,,,,,
274,0,3.0,1.0,,,
275,3,,,,,
276,1,4.0,5.0,,,
277,1,0.0,4.0,,,
278,1,,,,,
279,0,1.0,3.0,,,
281,1,0.0,,,,
282,1,3.0,4.0,,,
283,1,,,,,
284,0,1.0,,,,
286,0,1.0,,,,
287,5,4.0,1.0,,,
288,1,0.0,4.0,,,
289,1,,,,,
290,1,3.0,2.0,,,
291,0,,,,,
292,1,0.0,2.0,,,
