,0,1,2,3
1,Write-In cells: 135,,,
2,Overvote cells: 9,,,
3,Stephanie Gasca: 0,,,
4,Dana Hansen: 1,,,
5,Phillipe M. Cunningham: 2,,,
6,"Barbara A. ""Barb"" Johnson: 3",,,
7,0,,,
8,1,2.0,0.0,
9,3,0.0,2.0,
10,0,2.0,3.0,
11,3,2.0,0.0,
12,0,2.0,3.0,
13,2,0.0,3.0,
14,2,0.0,,
15,2,0.0,1.0,
16,2,0.0,3.0,
17,3,2.0,,
18,2,0.0,,
19,2,,,
20,2,0.0,,
21,0,2.0,3.0,
22,2,0.0,,
23,2,0.0,,
24,3,0.0,,
25,2,0.0,3.0,
26,2,0.0,,
27,2,0.0,3.0,
28,3,2.0,0.0,
29,2,3.0,0.0,
30,2,0.0,3.0,
31,2,0.0,,
32,3,2.0,1.0,
33,2,0.0,3.0,
34,3,,,
35,2,3.0,0.0,
36,2,0.0,1.0,
37,3,,,
38,2,0.0,,
39,3,0.0,2.0,
40,2,0.0,,
41,2,0.0,,
42,2,3.0,0.0,
43,3,2.0,0.0,
44,3,,,
45,2,0.0,,
46,2,0.0,3.0,
47,2,0.0,,
48,2,0.0,3.0,
49,3,,,
50,3,,,
51,2,0.0,,
52,0,3.0,,
53,3,,,
54,3,0.0,2.0,
55,3,,,
56,3,,,
57,3,0.0,2.0,
58,3,0.0,2.0,
59,3,0.0,2.0,
60,2,0.0,3.0,
61,0,2.0,1.0,
62,0,2.0,,
63,3,2.0,0.0,
64,3,2.0,0.0,
65,2,0.0,1.0,
66,2,0.0,1.0,
67,3,1.0,,
68,3,,,
69,3,2.0,0.0,
70,1,,,
71,3,2.0,,
72,3,,,
73,3,0.0,2.0,
74,2,0.0,,
75,0,2.0,,
76,3,,,
77,2,3.0,0.0,
78,3,,,
79,2,3.0,,
80,2,0.0,,
81,2,0.0,1.0,
82,2,0.0,,
83,2,0.0,,
84,2,0.0,3.0,
85,2,0.0,1.0,
86,3,2.0,,
87,2,,,
88,2,0.0,3.0,
89,2,0.0,1.0,
90,2,0.0,,
91,0,2.0,1.0,
92,0,2.0,,
93,0,2.0,3.0,
94,2,,,
95,3,2.0,0.0,
96,0,2.0,1.0,
97,3,,,
98,2,0.0,,
99,3,0.0,1.0,
100,2,,,
101,2,0.0,,
102,2,0.0,3.0,
103,3,,,
104,3,,,
105,3,2.0,0.0,
106,0,,,
107,2,0.0,,
108,2,3.0,0.0,
109,3,,,
110,0,2.0,,
111,0,2.0,,
112,0,2.0,,
113,3,,,
114,3,,,
115,3,,,
116,3,0.0,2.0,
117,2,3.0,,
118,2,0.0,1.0,
119,3,0.0,2.0,
120,3,1.0,,
121,3,,,
122,3,2.0,,
123,3,0.0,1.0,
124,0,2.0,,
125,3,,,
126,1,,,
127,3,,,
128,3,,,
129,0,3.0,1.0,
130,3,1.0,2.0,
131,3,,,
132,1,0.0,2.0,
133,3,,,
134,3,,,
135,3,,,
136,3,,,
137,3,2.0,0.0,
139,3,,,
140,2,,,
141,3,2.0,1.0,
142,3,,,
143,3,,,
144,3,,,
145,3,,,
146,3,,,
147,3,,,
149,3,,,
150,3,,,
151,3,0.0,2.0,
152,2,3.0,,
153,3,0.0,1.0,
154,2,0.0,1.0,
155,3,0.0,1.0,
156,3,,,
157,3,,,
158,3,0.0,2.0,
159,3,,,
160,3,,,
161,3,,,
162,3,0.0,2.0,
163,3,1.0,,
164,3,,,
165,3,,,
166,3,,,
167,0,3.0,2.0,
168,2,0.0,,
169,3,,,
170,3,2.0,0.0,
171,0,3.0,2.0,
172,3,0.0,1.0,
173,2,3.0,0.0,
174,3,,,
175,3,0.0,2.0,
176,3,,,
177,2,0.0,1.0,
178,2,3.0,,
179,3,,,
180,3,0.0,2.0,
181,0,2.0,,
182,0,,,
183,3,0.0,2.0,
184,1,,,
185,0,2.0,3.0,
186,3,,,
187,2,0.0,3.0,
188,3,0.0,1.0,
189,3,2.0,0.0,
190,3,0.0,2.0,
192,2,,,
193,2,0.0,3.0,
194,3,,,
195,3,,,
196,2,0.0,,
197,2,0.0,,
198,2,0.0,1.0,
199,1,0.0,2.0,
200,3,2.0,1.0,
201,2,0.0,,
202,2,,,
203,3,,,
204,2,,,
205,3,,,
206,3,,,
207,3,0.0,,
208,2,0.0,,
209,3,,,
210,3,,,
211,2,0.0,,
212,2,,,
213,3,,,
214,3,,,
216,3,,,
217,3,,,
218,0,2.0,3.0,
219,3,2.0,0.0,
220,2,0.0,,
221,3,2.0,,
222,3,2.0,0.0,
223,3,,,
224,3,0.0,2.0,
225,3,,,
226,3,2.0,,
227,2,0.0,3.0,
228,3,,,
229,3,2.0,1.0,
230,3,,,
231,3,0.0,2.0,
232,2,3.0,,
233,2,3.0,0.0,
234,3,,,
235,3,,,
236,3,2.0,0.0,
237,3,2.0,0.0,
238,3,,,
239,3,0.0,2.0,
240,3,0.0,2.0,
241,3,,,
242,2,0.0,,
243,3,2.0,0.0,
244,0,3.0,2.0,
245,0,3.0,2.0,
246,0,2.0,,
247,1,0.0,3.0,
248,0,2.0,3.0,
249,3,,,
250,2,0.0,3.0,
251,3,,,
252,2,3.0,0.0,
253,3,2.0,1.0,
254,2,0.0,3.0,
255,3,0.0,2.0,
256,3,,,
257,3,,,
258,3,,,
259,3,2.0,0.0,
260,2,0.0,3.0,
261,3,0.0,,
262,2,0.0,3.0,
263,3,,,
264,0,,,
265,3,,,
266,3,0.0,2.0,
267,3,,,
268,2,1.0,0.0,
269,1,,,
270,0,2.0,3.0,
271,2,3.0,0.0,
272,2,3.0,,
273,2,0.0,1.0,
274,3,,,
275,2,0.0,1.0,
276,1,0.0,2.0,
277,0,2.0,3.0,
278,0,,,
279,3,0.0,2.0,
280,3,0.0,1.0,
281,3,0.0,2.0,
282,3,,,
283,2,0.0,1.0,
284,1,,,
285,0,2.0,,
286,2,1.0,0.0,
288,3,0.0,,
289,2,0.0,,
290,2,3.0,,
291,2,,,
292,3,2.0,1.0,
293,3,0.0,,
294,3,,,
295,0,,,
296,2,0.0,3.0,
297,3,2.0,0.0,
298,3,,,
299,3,,,
300,3,,,
301,2,0.0,1.0,
302,3,1.0,,
303,2,3.0,0.0,
304,2,0.0,3.0,
305,0,2.0,3.0,
306,1,2.0,0.0,
307,2,0.0,,
308,0,2.0,3.0,
309,3,0.0,1.0,
310,3,0.0,,
311,3,2.0,,
312,3,1.0,0.0,
313,2,3.0,,
314,1,2.0,0.0,
315,2,0.0,3.0,
316,3,,,
317,3,1.0,0.0,
318,3,2.0,0.0,
319,0,2.0,1.0,
320,3,0.0,2.0,
321,2,,,
322,3,,,
323,0,,,
324,1,2.0,3.0,
325,2,3.0,,
326,3,,,
327,1,,,
328,3,0.0,,
329,2,,,
330,2,3.0,0.0,
331,0,2.0,3.0,
332,3,2.0,0.0,
333,2,0.0,,
334,3,,,
335,3,0.0,2.0,
336,0,2.0,,
337,2,0.0,,
338,2,,,
339,2,0.0,1.0,
340,2,,,
341,2,0.0,1.0,
342,3,2.0,,
343,3,0.0,,
344,3,0.0,2.0,
345,3,1.0,2.0,
346,2,0.0,3.0,
347,3,0.0,2.0,
348,3,,,
349,3,0.0,1.0,
350,2,0.0,1.0,
351,3,,,
352,2,0.0,1.0,
353,2,0.0,1.0,
354,3,,,
355,3,0.0,1.0,
356,0,,,
357,3,,,
358,2,0.0,3.0,
359,0,2.0,3.0,
360,3,2.0,0.0,
361,2,0.0,3.0,
362,0,2.0,,
363,2,,,
364,2,3.0,1.0,
365,3,,,
366,3,,,
367,3,,,
368,3,,,
369,3,2.0,,
370,2,1.0,0.0,
371,3,2.0,0.0,
372,3,,,
373,3,,,
374,2,0.0,3.0,
375,3,2.0,,
376,3,2.0,1.0,
377,0,2.0,3.0,
378,2,,,
379,2,1.0,0.0,
380,3,2.0,0.0,
381,2,3.0,0.0,
382,3,2.0,0.0,
383,2,0.0,,
384,0,3.0,,
385,2,0.0,,
386,3,,,
387,2,,,
388,3,,,
389,3,,,
390,2,,,
391,3,,,
392,3,2.0,0.0,
393,2,0.0,,
394,3,2.0,,
395,3,1.0,2.0,
396,2,0.0,3.0,
397,0,,,
398,2,,,
399,3,,,
400,2,1.0,3.0,
401,2,0.0,,
402,3,2.0,0.0,
403,3,,,
404,3,0.0,2.0,
405,0,,,
406,2,,,
407,3,0.0,1.0,
408,0,1.0,2.0,
409,2,0.0,3.0,
410,3,2.0,1.0,
411,2,0.0,3.0,
412,2,0.0,,
413,2,3.0,0.0,
414,2,3.0,0.0,
415,2,3.0,0.0,
416,2,0.0,,
417,3,0.0,2.0,
418,2,0.0,,
419,2,0.0,1.0,
420,0,,,
421,2,0.0,,
422,3,0.0,2.0,
423,3,,,
424,2,0.0,3.0,
425,3,2.0,0.0,
426,2,3.0,0.0,
427,2,0.0,1.0,
429,0,2.0,3.0,
430,2,,,
431,2,3.0,,
432,2,0.0,3.0,
433,3,0.0,2.0,
434,3,,,
435,3,2.0,0.0,
436,3,0.0,,
437,3,0.0,2.0,
438,3,,,
439,3,,,
440,0,,,
441,3,1.0,,
442,3,,,
443,0,3.0,2.0,
444,2,0.0,1.0,
445,3,2.0,0.0,
446,2,0.0,,
447,2,0.0,,
448,3,0.0,1.0,
449,2,3.0,0.0,
450,3,,,
451,0,2.0,3.0,
452,0,2.0,1.0,
453,2,0.0,,
454,0,2.0,,
455,2,0.0,3.0,
456,0,2.0,1.0,
457,3,0.0,2.0,
458,2,3.0,,
459,0,2.0,,
460,2,0.0,,
461,2,3.0,1.0,
462,3,,,
463,0,2.0,1.0,
464,2,3.0,0.0,
465,2,3.0,0.0,
467,2,0.0,,
468,2,3.0,0.0,
469,2,3.0,0.0,
470,3,2.0,,
471,3,1.0,0.0,
472,2,3.0,0.0,
474,2,0.0,3.0,
475,3,,,
476,2,0.0,,
477,3,0.0,1.0,
478,0,,,
479,2,3.0,0.0,
480,0,2.0,3.0,
481,3,2.0,0.0,
482,3,,,
483,3,,,
484,2,0.0,,
485,3,,,
486,3,0.0,,
487,2,3.0,,
488,3,,,
489,3,2.0,,
490,3,,,
491,3,2.0,,
492,3,,,
493,2,,,
494,2,,,
495,3,2.0,0.0,
496,3,0.0,2.0,
497,0,,,
498,3,,,
499,0,,,
500,3,,,
501,0,,,
502,2,0.0,3.0,
503,3,,,
504,2,3.0,,
