Precinct,rank1,rank2,rank3
MINNEAPOLIS W-3 P-10,Steve Fletcher,skipped,skipped
MINNEAPOLIS W-3 P-10,Steve Fletcher,skipped,skipped
MINNEAPOLIS W-3 P-10,Steve Fletcher,skipped,skipped
MINNEAPOLIS W-3 P-10,Steve Fletcher,skipped,skipped
MINNEAPOLIS W-3 P-10,Steve Fletcher,skipped,skipped
MINNEAPOLIS W-3 P-10,Steve Fletcher,skipped,skipped
MINNEAPOLIS W-3 P-10,Steve Fletcher,skipped,skipped
MINNEAPOLIS W-3 P-10,Steve Fletcher,skipped,skipped
MINNEAPOLIS W-3 P-10,Steve Fletcher,skipped,skipped
MINNEAPOLIS W-3 P-10,Steve Fletcher,skipped,skipped
MINNEAPOLIS W-3 P-10,Steve Fletcher,skipped,skipped
MINNEAPOLIS W-3 P-10,Steve Fletcher,skipped,skipped
MINNEAPOLIS W-3 P-10,Steve Fletcher,skipped,skipped
MINNEAPOLIS W-3 P-10,Steve Fletcher,skipped,skipped
MINNEAPOLIS W-3 P-10,Steve Fletcher,skipped,skipped
MINNEAPOLIS W-3 P-10,Steve Fletcher,skipped,skipped
MINNEAPOLIS W-3 P-10,Steve Fletcher,skipped,skipped
MINNEAPOLIS W-3 P-10,Steve Fletcher,skipped,skipped
MINNEAPOLIS W-3 P-10,Steve Fletcher,skipped,skipped
MINNEAPOLIS W-3 P-10,Steve Fletcher,skipped,skipped
MINNEAPOLIS W-3 P-10,Steve Fletcher,skipped,skipped
MINNEAPOLIS W-3 P-10,Steve Fletcher,skipped,skipped
MINNEAPOLIS W-3 P-10,Steve Fletcher,skipped,skipped
MINNEAPOLIS W-3 P-10,Steve Fletcher,skipped,skipped
MINNEAPOLIS W-3 P-10,Steve Fletcher,skipped,skipped
MINNEAPOLIS W-3 P-10,Steve Fletcher,skipped,skipped
MINNEAPOLIS W-3 P-10,Steve Fletcher,skipped,skipped
MINNEAPOLIS W-3 P-10,Steve Fletcher,skipped,skipped
MINNEAPOLIS W-3 P-10,Steve Fletcher,skipped,skipped
MINNEAPOLIS W-3 P-10,Steve Fletcher,skipped,skipped
MINNEAPOLIS W-3 P-10,Steve Fletcher,skipped,skipped
MINNEAPOLIS W-3 P-10,Steve Fletcher,skipped,skipped
MINNEAPOLIS W-3 P-10,Steve Fletcher,skipped,skipped
MINNEAPOLIS W-3 P-10,Steve Fletcher,skipped,skipped
MINNEAPOLIS W-3 P-10,Steve Fletcher,skipped,skipped
