precinct,rank1,rank2,rank3
2001-06-08,writein,Robert Lilligren,skipped
2001-06-03,M. Cali,Andy Exley,Laura Jean
2001-06-04,M. Cali,Andy Exley,Laura Jean
2001-06-05,M. Cali,Andy Exley,Laura Jean
2001-06-08,M. Cali,Andy Exley,Laura Jean
2001-06-02,M. Cali,Andy Exley,Robert Lilligren
2001-06-02,M. Cali,Andy Exley,Bruce Lundeen
2001-06-02,M. Cali,Andy Exley,Bruce Lundeen
2001-06-03,M. Cali,Andy Exley,Bruce Lundeen
2001-06-03,M. Cali,Andy Exley,Bruce Lundeen
2001-06-03,M. Cali,Andy Exley,Bruce Lundeen
2001-06-02,M. Cali,Andy Exley,Michael Tupper
2001-06-06,M. Cali,Andy Exley,Michael Tupper
2001-06-06,M. Cali,Andy Exley,Michael Tupper
2001-06-06,M. Cali,Andy Exley,Michael Tupper
2001-06-06,M. Cali,Andy Exley,Michael Tupper
2001-06-06,M. Cali,Andy Exley,Michael Tupper
2001-06-06,M. Cali,Andy Exley,Michael Tupper
2001-06-06,M. Cali,Andy Exley,Michael Tupper
2001-06-06,M. Cali,Andy Exley,Michael Tupper
2001-06-04,M. Cali,Andy Exley,skipped
2001-06-05,M. Cali,Andy Exley,skipped
2001-06-01,M. Cali,Laura Jean,Andy Exley
2001-06-03,M. Cali,Laura Jean,Andy Exley
2001-06-07,M. Cali,Laura Jean,Andy Exley
2001-06-08,M. Cali,Laura Jean,Andy Exley
2001-06-08,M. Cali,Laura Jean,Andy Exley
2001-06-03,M. Cali,Laura Jean,Robert Lilligren
2001-06-07,M. Cali,Laura Jean,Robert Lilligren
2001-06-08,M. Cali,Laura Jean,Robert Lilligren
2001-06-06,M. Cali,Laura Jean,skipped
2001-06-01,M. Cali,Robert Lilligren,Andy Exley
2001-06-02,M. Cali,Robert Lilligren,Andy Exley
2001-06-02,M. Cali,Robert Lilligren,Andy Exley
2001-06-03,M. Cali,Robert Lilligren,Laura Jean
2001-06-03,M. Cali,Robert Lilligren,Laura Jean
2001-06-05,M. Cali,Robert Lilligren,Laura Jean
2001-06-08,M. Cali,Robert Lilligren,Michael Tupper
2001-06-01,M. Cali,Robert Lilligren,skipped
2001-06-02,M. Cali,Robert Lilligren,skipped
2001-06-02,M. Cali,Robert Lilligren,skipped
2001-06-03,M. Cali,Robert Lilligren,skipped
2001-06-03,M. Cali,Robert Lilligren,skipped
2001-06-03,M. Cali,Robert Lilligren,skipped
2001-06-06,M. Cali,Robert Lilligren,skipped
2001-06-07,M. Cali,Robert Lilligren,skipped
2001-06-07,M. Cali,Robert Lilligren,skipped
2001-06-07,M. Cali,Robert Lilligren,skipped
2001-06-07,M. Cali,Robert Lilligren,skipped
2001-06-08,M. Cali,Robert Lilligren,skipped
2001-06-08,M. Cali,Robert Lilligren,skipped
2001-06-08,M. Cali,Robert Lilligren,skipped
2001-06-04,M. Cali,Bruce Lundeen,Andy Exley
2001-06-04,M. Cali,Bruce Lundeen,Andy Exley
2001-06-05,M. Cali,Bruce Lundeen,Andy Exley
2001-06-08,M. Cali,Bruce Lundeen,Andy Exley
2001-06-08,M. Cali,Bruce Lundeen,Andy Exley
2001-06-03,M. Cali,Bruce Lundeen,Laura Jean
2001-06-05,M. Cali,Bruce Lundeen,skipped
2001-06-05,M. Cali,Bruce Lundeen,skipped
2001-06-07,M. Cali,Bruce Lundeen,skipped
2001-06-07,M. Cali,Bruce Lundeen,skipped
2001-06-01,M. Cali,Michael Tupper,Andy Exley
2001-06-03,M. Cali,Michael Tupper,Andy Exley
2001-06-06,M. Cali,Michael Tupper,Andy Exley
2001-06-06,M. Cali,Michael Tupper,Andy Exley
2001-06-06,M. Cali,Michael Tupper,Andy Exley
2001-06-07,M. Cali,Michael Tupper,Andy Exley
2001-06-07,M. Cali,Michael Tupper,Andy Exley
2001-06-07,M. Cali,Michael Tupper,Andy Exley
2001-06-08,M. Cali,Michael Tupper,Andy Exley
2001-06-01,M. Cali,Michael Tupper,Laura Jean
2001-06-01,M. Cali,Michael Tupper,Laura Jean
2001-06-03,M. Cali,Michael Tupper,Laura Jean
2001-06-05,M. Cali,Michael Tupper,Laura Jean
2001-06-06,M. Cali,Michael Tupper,Robert Lilligren
2001-06-07,M. Cali,Michael Tupper,Robert Lilligren
2001-06-04,M. Cali,Michael Tupper,Bruce Lundeen
2001-06-04,M. Cali,Michael Tupper,skipped
2001-06-05,M. Cali,Michael Tupper,skipped
2001-06-06,M. Cali,Michael Tupper,skipped
2001-06-07,M. Cali,Michael Tupper,skipped
2001-06-01,M. Cali,skipped,skipped
2001-06-01,M. Cali,skipped,skipped
2001-06-01,M. Cali,skipped,skipped
2001-06-01,M. Cali,skipped,skipped
2001-06-01,M. Cali,skipped,skipped
2001-06-01,M. Cali,skipped,skipped
2001-06-02,M. Cali,skipped,skipped
2001-06-02,M. Cali,skipped,skipped
2001-06-02,M. Cali,skipped,skipped
2001-06-02,M. Cali,skipped,skipped
2001-06-02,M. Cali,skipped,skipped
2001-06-02,M. Cali,skipped,skipped
2001-06-02,M. Cali,skipped,skipped
2001-06-02,M. Cali,skipped,skipped
2001-06-02,M. Cali,skipped,skipped
2001-06-02,M. Cali,skipped,skipped
2001-06-02,M. Cali,skipped,skipped
2001-06-02,M. Cali,skipped,skipped
2001-06-02,M. Cali,skipped,skipped
2001-06-02,M. Cali,skipped,skipped
2001-06-02,M. Cali,skipped,skipped
2001-06-03,M. Cali,skipped,skipped
2001-06-03,M. Cali,skipped,skipped
2001-06-03,M. Cali,skipped,skipped
2001-06-03,M. Cali,skipped,skipped
2001-06-03,M. Cali,skipped,skipped
2001-06-03,M. Cali,skipped,skipped
2001-06-03,M. Cali,skipped,skipped
2001-06-04,M. Cali,skipped,skipped
2001-06-04,M. Cali,skipped,skipped
