,0,1
1,Write-In cells: 919,
2,Overvote cells: 18,
3,Elizabeth Shaffer: 0,
4,Jono Cowgill: 1,
5,0,
6,0,
7,0,
8,0,
9,0,
10,0,
11,0,
12,0,
13,0,
14,0,
15,0,
16,0,
17,0,
18,0,
19,0,
20,0,
21,0,
22,0,
23,0,
24,0,
25,0,
26,0,
27,0,
28,0,
29,0,
30,0,
31,0,
32,0,
33,0,
34,0,
35,0,
36,0,
37,0,
38,0,
39,0,
40,0,
41,0,
42,0,
43,0,
44,0,
45,0,
46,0,
47,0,
48,0,
49,0,
50,0,
51,0,
52,0,
53,0,
54,0,
55,0,
56,0,
57,0,
58,0,
59,0,
60,0,
61,0,
62,0,
63,0,
64,0,
65,0,
66,0,
67,0,
68,0,
69,0,
70,0,
71,0,
72,0,
73,0,
74,0,
75,0,
76,0,
77,0,
78,0,
79,0,
80,0,
81,0,
82,0,
83,0,
84,0,
85,0,
86,0,
87,0,
88,0,
89,0,
90,0,
91,0,
92,0,
93,0,
94,0,
95,0,
96,0,
97,0,
98,0,
99,0,
100,0,
101,0,
102,0,
103,0,
104,0,
105,0,
106,0,
107,0,
108,0,
109,0,
110,0,
111,0,
112,0,
113,0,
114,0,
115,0,
116,0,
117,0,
118,0,
119,0,
120,0,
121,0,
122,0,
123,0,
124,0,
125,0,
348,1,
349,1,
350,1,
351,1,
352,1,
353,1,
354,1,
355,1,
356,1,
357,1,
358,1,
359,1,
360,1,
361,1,
362,1,
363,1,
364,1,
365,1,
366,1,
367,1,
368,1,
369,1,
370,1,
371,1,
372,1,
373,1,
374,1,
375,1,
376,1,
377,1,
378,1,
379,1,
380,1,
381,1,
382,1,
383,1,
384,1,
385,1,
386,1,
387,1,
388,1,
389,1,
390,1,
391,1,
392,1,
393,1,
394,1,
395,1,
396,1,
397,1,
398,1,
399,1,
400,1,
401,1,
402,1,
403,1,
404,1,
405,1,
406,1,
407,1,
408,1,
409,1,
410,1,
411,1,
412,1,
413,1,
414,1,
415,1,
416,1,
417,1,
418,1,
419,1,
420,1,
421,1,
422,1,
423,1,
424,1,
425,1,
426,1,
427,1,
428,1,
429,1,
430,1,
431,1,
432,1,
433,1,
434,1,
435,1,
436,1,
437,1,
438,1,
439,1,
440,1,
441,1,
442,1,
443,1,
444,1,
445,1,
446,1,
447,1,
448,1,
449,1,
450,1,
451,1,
452,1,
453,1,
454,1,
455,1,
456,1,
457,1,
458,1,
459,1,
460,1,
461,1,
462,1,
463,1,
464,1,
465,1,
466,1,
467,1,
468,1,
469,1,
470,1,
471,1,
472,1,
473,1,
474,1,
475,1,
476,1,
477,1,
478,1,
479,1,
480,1,
481,1,
482,1,
483,1,
484,1,
485,1,
486,1,
487,1,
488,1,
489,1,
490,1,
491,1,
492,1,
493,1,
494,1,
495,1,
496,1,
497,1,
498,1,
499,1,
500,1,
501,1,
502,1,
503,1,
504,1,
505,1,
506,1,
507,1,
508,1,
509,1,
510,1,
511,1,
512,1,
513,1,
514,1,
515,1,
516,1,
517,1,
518,1,
519,1,
520,1,
521,1,
522,1,
523,1,
524,1,
525,1,
526,1,
527,1,
528,1,
529,1,
530,1,
531,1,
532,1,
533,1,
534,1,
535,1,
536,1,
537,1,
538,1,
539,1,
540,1,
541,1,
542,1,
543,1,
544,1,
545,1,
546,1,
547,1,
548,1,
549,1,
550,1,
551,1,
552,1,
553,1,
554,1,
555,1,
556,1,
557,1,
558,1,
559,1,
560,1,
561,1,
562,1,
563,1,
564,1,
565,1,
566,1,
567,1,
568,1,
569,1,
570,1,
571,1,
572,1,
573,1,
574,1,
575,1,
576,1,
577,1,
578,1,
579,1,
580,1,
581,1,
582,1,
583,1,
584,1,
585,1,
586,1,
587,1,
588,1,
589,1,
590,1,
591,1,
592,1,
593,1,
594,1,
595,1,
596,1,0.0
597,1,0.0
598,1,0.0
599,1,0.0
600,1,0.0
601,1,0.0
602,1,0.0
603,1,0.0
604,1,0.0
605,1,0.0
606,1,0.0
607,1,0.0
608,1,0.0
609,1,0.0
610,1,0.0
611,1,0.0
612,1,0.0
613,1,0.0
614,1,0.0
615,1,0.0
616,1,0.0
617,1,0.0
618,1,0.0
619,1,0.0
620,1,0.0
621,1,0.0
622,1,0.0
623,1,0.0
624,1,0.0
625,1,0.0
626,1,0.0
627,1,0.0
628,1,0.0
629,1,0.0
630,1,0.0
631,1,0.0
632,1,0.0
633,1,0.0
634,1,0.0
635,1,0.0
636,1,0.0
637,1,0.0
638,1,0.0
639,1,0.0
640,1,0.0
641,1,0.0
642,1,0.0
643,1,0.0
644,1,0.0
645,1,0.0
646,1,0.0
647,1,0.0
648,1,0.0
649,1,0.0
650,1,0.0
651,1,0.0
652,1,0.0
653,1,0.0
654,1,0.0
655,1,0.0
656,1,0.0
657,1,0.0
658,1,0.0
659,1,0.0
660,1,0.0
661,1,0.0
662,1,0.0
663,1,0.0
664,1,0.0
665,1,0.0
666,1,0.0
667,1,0.0
668,1,0.0
669,1,0.0
670,1,0.0
671,1,0.0
672,1,0.0
673,1,0.0
674,1,0.0
675,1,0.0
676,1,0.0
677,1,0.0
678,1,0.0
679,1,0.0
680,1,0.0
681,1,0.0
682,1,0.0
683,1,0.0
684,1,0.0
685,0,1.0
686,0,1.0
687,0,1.0
688,0,1.0
689,0,1.0
690,0,1.0
691,0,1.0
692,0,1.0
693,0,1.0
694,0,1.0
695,0,1.0
696,0,1.0
697,0,1.0
698,0,1.0
699,0,1.0
700,0,1.0
701,0,1.0
702,0,1.0
703,0,1.0
704,0,1.0
705,0,1.0
706,0,1.0
707,0,1.0
708,0,1.0
709,0,1.0
710,0,1.0
711,0,1.0
712,0,1.0
713,0,1.0
714,0,1.0
715,0,1.0
716,0,1.0
717,0,1.0
718,0,1.0
719,0,1.0
720,0,1.0
721,0,1.0
722,0,1.0
723,0,1.0
724,0,1.0
725,0,1.0
726,0,1.0
727,0,1.0
728,0,1.0
729,0,1.0
730,0,1.0
731,0,1.0
732,0,1.0
733,0,1.0
734,0,1.0
735,0,1.0
736,0,1.0
737,0,1.0
738,0,1.0
739,0,1.0
740,0,1.0
741,0,1.0
742,0,1.0
743,0,1.0
744,0,1.0
745,0,1.0
746,0,1.0
747,0,1.0
748,0,1.0
749,0,1.0
750,0,1.0
751,0,1.0
752,0,1.0
753,0,1.0
754,0,1.0
755,0,1.0
756,0,1.0
757,0,1.0
758,0,1.0
759,0,1.0
760,0,1.0
761,0,1.0
762,0,1.0
763,0,1.0
764,0,1.0
765,0,1.0
766,0,1.0
767,0,1.0
768,0,1.0
769,0,1.0
770,0,1.0
771,0,1.0
772,0,1.0
773,0,1.0
774,0,1.0
775,0,1.0
776,0,1.0
777,0,1.0
778,0,1.0
779,0,1.0
780,0,1.0
781,0,1.0
782,0,1.0
783,0,1.0
784,0,1.0
785,0,1.0
786,0,1.0
787,0,1.0
788,0,1.0
789,0,1.0
790,0,1.0
791,0,1.0
792,0,1.0
793,0,1.0
794,0,1.0
795,0,1.0
796,0,1.0
797,0,1.0
798,0,1.0
799,0,1.0
800,0,1.0
801,0,
802,0,
803,0,
804,0,
805,0,
806,0,
807,0,
808,0,
809,0,1.0
810,1,
811,1,
812,1,
813,1,
814,1,
815,1,
816,1,
817,1,
818,1,
819,1,
820,1,
821,1,
822,1,
823,1,
824,1,
825,1,
826,1,
827,1,
828,1,
829,1,
830,1,
831,1,
832,1,
833,1,
834,1,
835,1,
836,1,
837,1,
838,1,
839,1,
840,1,
841,1,
842,1,
843,1,
844,1,
845,1,
846,1,
847,1,
