,0,1
1,Write-In cells: 351,
2,Overvote cells: 1,
3,JON OLSON: 0,
4,DAVID LUCE: 1,
5,0,1.0
6,1,0.0
7,0,
8,0,
9,0,
11,0,1.0
12,0,1.0
13,0,1.0
14,0,1.0
17,1,
18,0,
20,0,
22,0,1.0
23,0,1.0
24,0,
26,0,
27,0,
29,1,0.0
30,1,0.0
31,0,1.0
32,0,1.0
33,0,
36,0,
38,0,1.0
39,1,0.0
40,0,
41,0,1.0
42,1,
43,1,0.0
48,1,
49,0,
51,1,0.0
54,0,
56,1,0.0
57,0,
58,0,1.0
63,0,
64,0,1.0
66,1,0.0
67,0,
68,1,0.0
69,1,0.0
70,0,1.0
71,1,0.0
72,0,
73,0,
74,1,
75,0,
76,0,1.0
77,1,
78,0,1.0
79,1,0.0
80,0,
81,1,0.0
84,1,
85,0,
86,1,
87,1,0.0
88,1,
90,0,1.0
93,0,
94,1,0.0
95,0,1.0
96,0,
97,0,
99,1,
101,0,
102,1,0.0
103,0,1.0
104,0,1.0
105,0,
106,1,0.0
107,1,0.0
108,1,0.0
109,0,1.0
110,1,0.0
112,1,
115,0,
116,0,
119,1,0.0
120,1,0.0
122,0,
123,0,1.0
127,0,1.0
128,0,
130,0,
131,0,
132,1,
133,1,
135,0,
136,1,0.0
137,0,
138,1,0.0
140,0,1.0
142,0,1.0
143,1,
145,0,
146,1,
147,0,
148,0,
149,0,
150,0,1.0
152,1,0.0
153,1,0.0
154,0,
155,0,
156,0,1.0
158,1,
159,0,1.0
160,0,
161,0,
162,1,0.0
163,1,
165,1,
166,0,1.0
168,0,
169,1,
170,0,
172,0,1.0
174,0,
175,0,1.0
176,1,
179,1,
180,1,0.0
181,0,1.0
183,0,
185,1,
187,1,
188,1,0.0
189,1,
191,0,
192,1,0.0
193,0,
194,0,1.0
195,1,0.0
196,0,1.0
197,1,
198,1,
199,1,
201,0,1.0
202,0,1.0
204,0,
205,0,
206,0,1.0
207,0,
209,0,
211,0,1.0
212,0,
213,0,
214,0,
216,1,0.0
217,0,1.0
219,1,0.0
220,0,
221,0,
223,0,1.0
224,1,0.0
226,0,1.0
227,0,1.0
228,1,
229,0,
230,0,
231,1,
232,1,0.0
235,0,
236,0,
239,0,1.0
240,0,1.0
241,1,0.0
242,0,
243,0,1.0
244,1,
245,1,0.0
246,0,1.0
247,0,
249,0,1.0
251,1,0.0
252,0,
253,0,
254,1,
255,0,1.0
256,0,
257,1,0.0
259,1,0.0
260,1,0.0
262,0,1.0
263,0,
265,0,1.0
267,0,1.0
268,0,
269,1,0.0
271,0,1.0
273,1,
274,0,1.0
275,0,
276,1,
277,1,
279,0,1.0
280,0,
281,0,1.0
282,0,1.0
283,1,0.0
284,0,
285,0,1.0
286,0,
287,1,0.0
288,0,
289,0,1.0
291,0,
295,1,0.0
296,0,
297,0,
298,1,
303,1,0.0
304,0,
305,0,
306,0,1.0
308,1,
309,0,1.0
311,0,
312,1,
313,1,
316,1,0.0
317,0,
318,1,
320,0,
321,0,
322,0,
323,0,
324,0,1.0
325,0,1.0
326,0,
327,0,
329,1,0.0
330,1,0.0
331,0,
332,0,1.0
334,1,0.0
335,0,
336,1,
337,1,0.0
338,0,
339,0,
341,1,0.0
342,0,
343,1,
344,0,
347,0,
349,1,
353,0,
354,1,
355,1,0.0
356,1,0.0
357,1,0.0
359,0,
360,1,0.0
361,1,
364,0,1.0
365,0,
368,1,0.0
369,0,
370,1,
371,0,
372,0,
373,0,
375,0,1.0
376,0,1.0
