,0,1,2
1,Write-In cells: 349,,
2,Overvote cells: 24,,
3,Chris Meyer: 0,,
4,Mohamed Issa Barre: 1,,
5,Billy Menz: 2,,
6,0,,
7,1,0.0,2.0
8,2,,
9,2,0.0,
10,2,0.0,1.0
11,0,,
13,2,,
14,2,0.0,1.0
15,0,2.0,1.0
16,0,2.0,
17,2,,
18,1,,
19,0,,
20,0,2.0,1.0
21,0,2.0,
22,2,0.0,1.0
24,0,2.0,1.0
25,0,,
26,0,,
27,0,1.0,2.0
29,2,,
31,0,,
32,2,0.0,1.0
33,0,2.0,1.0
34,1,,
35,0,2.0,
36,2,,
38,1,2.0,
39,0,2.0,1.0
40,2,,
41,2,0.0,
42,1,,
43,1,2.0,
44,0,2.0,1.0
45,0,,
46,1,,
47,0,2.0,1.0
48,0,,
51,0,2.0,
53,1,2.0,
54,1,0.0,2.0
55,1,,
58,2,1.0,
59,2,,
60,0,2.0,
61,0,,
62,2,0.0,
63,0,2.0,
64,1,,
65,0,2.0,1.0
66,0,,
67,0,2.0,
68,0,,
69,0,2.0,
70,0,1.0,2.0
71,2,0.0,1.0
73,2,0.0,1.0
74,0,2.0,
75,0,2.0,
76,2,0.0,1.0
77,0,1.0,2.0
78,1,2.0,0.0
79,0,2.0,
80,0,,
82,1,0.0,2.0
83,1,2.0,
84,0,2.0,1.0
85,2,0.0,1.0
86,2,1.0,0.0
87,1,2.0,0.0
88,0,2.0,
89,2,0.0,1.0
90,2,,
92,2,,
93,0,,
94,0,,
95,0,,
97,2,0.0,1.0
99,1,0.0,2.0
100,0,2.0,1.0
101,0,2.0,
102,0,1.0,2.0
103,1,,
104,0,2.0,
105,2,1.0,0.0
106,2,,
107,2,,
109,0,2.0,1.0
111,0,,
112,0,,
113,1,0.0,2.0
114,0,1.0,2.0
115,2,,
116,2,,
117,2,0.0,1.0
118,2,1.0,
120,0,,
121,0,2.0,1.0
123,0,1.0,2.0
124,0,,
125,0,,
126,0,2.0,1.0
127,2,0.0,1.0
129,1,2.0,0.0
130,2,0.0,
131,2,0.0,
132,1,0.0,2.0
133,2,0.0,
134,2,,
135,2,,
137,1,,
138,2,,
139,2,1.0,
140,0,,
141,0,,
143,0,,
144,2,0.0,
145,2,,
146,1,,
149,0,2.0,
150,2,1.0,
151,0,1.0,2.0
153,2,0.0,1.0
154,0,2.0,
156,0,2.0,1.0
157,2,,
158,1,0.0,2.0
160,0,,
161,2,0.0,
162,0,2.0,
164,0,1.0,2.0
165,1,2.0,0.0
166,0,2.0,1.0
168,2,0.0,
169,2,0.0,
170,0,,
171,0,1.0,
172,2,,
176,1,0.0,2.0
177,2,,
178,0,,
179,2,1.0,0.0
180,2,1.0,
181,0,,
182,1,2.0,0.0
183,2,0.0,
184,0,1.0,2.0
185,0,2.0,1.0
186,0,,
187,0,,
189,0,,
191,2,1.0,0.0
193,0,2.0,
194,2,,
195,0,,
196,1,2.0,0.0
197,2,0.0,1.0
199,0,2.0,
200,0,2.0,1.0
201,0,,
202,2,,
204,1,,
205,1,2.0,
206,0,1.0,2.0
207,0,,
208,0,1.0,2.0
209,2,1.0,0.0
210,2,0.0,
211,1,,
212,1,2.0,0.0
213,2,0.0,1.0
214,2,1.0,0.0
215,0,,
216,0,1.0,2.0
217,2,0.0,1.0
218,0,,
219,2,0.0,1.0
220,2,,
221,0,2.0,
222,0,,
223,2,1.0,0.0
224,1,0.0,
225,0,2.0,1.0
226,0,,
227,0,,
228,1,,
229,0,1.0,
230,0,,
232,2,1.0,
233,2,0.0,
234,0,1.0,2.0
235,0,2.0,1.0
236,2,1.0,0.0
238,0,,
239,2,,
240,2,1.0,0.0
241,2,1.0,
242,0,,
244,0,2.0,1.0
245,2,1.0,0.0
246,0,2.0,
247,2,,
248,1,0.0,2.0
249,0,2.0,
251,0,2.0,
252,0,2.0,1.0
253,0,1.0,2.0
254,0,1.0,
255,0,,
256,0,,
257,1,,
258,2,,
259,2,0.0,
260,1,,
261,1,0.0,2.0
262,2,,
263,0,2.0,1.0
264,0,2.0,
265,2,1.0,
266,0,1.0,2.0
267,2,,
268,0,2.0,1.0
270,2,0.0,1.0
