,0,1,2,3
1,Write-In cells: 409,,,
2,Overvote cells: 10,,,
3,Bob Fine: 0,,,
4,Jennifer Zielinski: 1,,,
5,"Robert M Schlosser ""Bob"": 2",,,
6,Brad Bourn: 3,,,
7,0,1.0,2.0,
9,3,,,
11,3,,,
12,3,0.0,,
13,3,,,
14,3,,,
15,0,1.0,3.0,
16,3,0.0,1.0,
18,3,0.0,2.0,
19,0,,,
20,1,0.0,2.0,
21,1,0.0,,
23,0,2.0,1.0,
24,3,,,
25,0,,,
26,0,,,
27,1,,,
28,0,3.0,1.0,
29,3,,,
30,3,,,
32,0,3.0,,
33,3,1.0,,
34,0,3.0,1.0,
35,3,,,
36,0,,,
37,2,0.0,3.0,
38,2,3.0,1.0,
39,3,,,
40,0,,,
41,1,0.0,3.0,
42,0,3.0,1.0,
43,3,0.0,,
44,3,1.0,2.0,
45,0,2.0,,
46,0,,,
47,0,1.0,,
48,3,1.0,0.0,
49,0,,,
50,0,3.0,1.0,
51,3,,,
52,3,0.0,,
53,0,,,
54,0,3.0,,
55,3,,,
56,3,,,
57,3,0.0,1.0,
58,3,0.0,,
59,0,3.0,,
60,3,0.0,2.0,
61,3,,,
63,3,,,
64,3,1.0,0.0,
65,0,,,
66,3,,,
67,3,0.0,1.0,
68,3,1.0,2.0,
69,0,3.0,,
70,3,,,
71,0,,,
72,3,0.0,,
73,0,3.0,,
74,3,0.0,,
75,0,3.0,,
76,0,,,
77,3,,,
78,3,2.0,1.0,
79,3,,,
80,3,,,
81,1,0.0,3.0,
82,0,,,
83,3,,,
84,0,,,
85,1,,,
86,3,,,
87,0,1.0,3.0,
88,1,0.0,2.0,
89,3,,,
90,0,3.0,,
93,3,0.0,,
94,3,,,
95,3,0.0,1.0,
96,3,,,
97,3,0.0,,
98,3,0.0,,
99,0,3.0,,
100,3,0.0,,
101,0,3.0,2.0,
102,3,0.0,,
103,3,0.0,,
104,0,,,
105,3,0.0,2.0,
106,2,1.0,0.0,
107,3,,,
108,3,0.0,,
109,3,,,
111,0,,,
112,0,1.0,,
113,0,3.0,,
114,2,1.0,3.0,
115,3,2.0,,
116,3,2.0,1.0,
118,0,,,
119,3,0.0,,
120,3,,,
121,0,1.0,2.0,
122,1,3.0,2.0,
123,3,1.0,2.0,
124,3,,,
125,0,,,
126,3,,,
128,3,0.0,2.0,
130,3,,,
132,3,,,
133,3,,,
134,1,0.0,,
135,0,3.0,,
136,0,,,
137,1,0.0,3.0,
138,3,2.0,,
139,3,,,
141,3,0.0,,
142,0,,,
143,3,0.0,1.0,
144,3,,,
145,3,,,
146,3,0.0,2.0,
147,3,2.0,1.0,
148,0,,,
149,3,0.0,,
150,1,3.0,0.0,
151,3,1.0,0.0,
152,0,3.0,,
153,0,3.0,,
154,3,2.0,1.0,
155,3,0.0,,
156,0,,,
158,3,0.0,,
159,0,,,
160,3,0.0,1.0,
161,0,,,
162,3,1.0,2.0,
163,3,,,
164,0,3.0,,
165,1,,,
166,0,,,
167,0,3.0,,
169,0,,,
170,0,3.0,,
171,3,,,
172,3,,,
173,2,3.0,1.0,
175,2,,,
176,0,1.0,,
177,3,0.0,,
178,3,,,
179,0,3.0,,
182,3,,,
183,0,3.0,1.0,
184,0,1.0,2.0,
185,0,,,
186,0,,,
187,1,,,
188,3,0.0,,
189,3,0.0,1.0,
190,3,0.0,1.0,
191,3,,,
192,0,,,
193,0,,,
194,0,2.0,,
195,3,,,
196,1,0.0,3.0,
197,3,0.0,,
199,0,,,
200,3,,,
201,0,,,
202,0,2.0,1.0,
203,0,3.0,,
204,3,,,
205,3,,,
206,3,0.0,,
208,3,,,
209,3,0.0,,
210,0,1.0,,
211,1,2.0,,
212,3,,,
213,0,3.0,,
214,3,,,
215,0,3.0,1.0,
216,3,0.0,,
217,3,0.0,,
218,0,1.0,,
219,3,0.0,,
221,3,,,
222,0,1.0,2.0,
223,0,3.0,2.0,
225,1,,,
227,3,0.0,,
228,3,,,
229,0,3.0,,
231,3,,,
232,3,,,
233,3,0.0,,
234,0,3.0,1.0,
235,0,,,
236,3,0.0,,
237,1,2.0,3.0,
238,2,,,
239,3,0.0,,
240,0,3.0,2.0,
241,0,,,
242,3,,,
243,3,0.0,1.0,
246,3,,,
247,0,3.0,,
248,0,,,
249,3,,,
250,0,3.0,,
251,3,,,
252,3,0.0,,
253,3,2.0,1.0,
254,3,1.0,,
255,1,2.0,3.0,
256,0,,,
257,0,,,
258,3,,,
259,3,0.0,1.0,
260,0,,,
261,3,2.0,0.0,
262,0,,,
263,0,1.0,2.0,
264,3,0.0,,
265,3,1.0,2.0,
266,0,,,
267,3,1.0,,
268,1,2.0,,
269,3,,,
270,0,3.0,2.0,
271,0,3.0,1.0,
272,0,1.0,,
274,3,0.0,,
275,0,3.0,1.0,
276,3,0.0,,
277,3,1.0,2.0,
278,0,3.0,,
280,3,0.0,,
281,3,1.0,,
283,3,,,
286,0,,,
287,3,0.0,,
288,3,,,
290,1,2.0,0.0,
291,3,,,
292,3,0.0,,
293,0,3.0,,
294,0,,,
296,0,,,
298,3,,,
299,3,,,
300,3,,,
301,3,,,
302,3,,,
303,3,0.0,,
304,3,2.0,0.0,
305,0,3.0,,
306,0,3.0,,
308,3,1.0,2.0,
309,3,,,
310,3,,,
311,3,,,
312,0,1.0,3.0,
313,3,0.0,,
314,3,0.0,1.0,
315,0,,,
316,1,,,
318,3,,,
319,0,,,
320,3,,,
321,3,,,
322,3,,,
323,3,0.0,2.0,
324,3,1.0,,
325,0,3.0,,
326,3,,,
327,3,,,
328,0,,,
329,3,1.0,,
330,0,3.0,,
331,1,0.0,2.0,
332,3,,,
333,3,,,
335,3,,,
336,3,,,
338,3,1.0,0.0,
339,3,,,
340,3,0.0,,
341,1,,,
342,0,1.0,3.0,
344,3,,,
345,0,,,
