precinct,rank1,rank2,rank3
MINNEAPOLIS W-3 P-02,Chris Meyer,skipped,skipped
MINNEAPOLIS W-3 P-05,Mohamed Issa Barre,Chris Meyer,Billy Menz
MINNEAPOLIS W-2 P-05,Billy Menz,skipped,skipped
MINNEAPOLIS W-1 P-04,Billy Menz,Chris Meyer,skipped
MINNEAPOLIS W-1 P-02,Billy Menz,Chris Meyer,Mohamed Issa Barre
MINNEAPOLIS W-1 P-03,Chris Meyer,skipped,skipped
MINNEAPOLIS W-3 P-06,skipped,skipped,skipped
MINNEAPOLIS W-1 P-03,Billy Menz,skipped,skipped
MINNEAPOLIS W-3 P-05,Billy Menz,Chris Meyer,Mohamed Issa Barre
MINNEAPOLIS W-1 P-07,Chris Meyer,Billy Menz,Mohamed Issa Barre
MINNEAPOLIS W-1 P-03,Chris Meyer,Billy Menz,skipped
MINNEAPOLIS W-3 P-02,Billy Menz,skipped,skipped
MINNEAPOLIS W-3 P-05,Mohamed Issa Barre,skipped,skipped
MINNEAPOLIS W-3 P-06,Chris Meyer,skipped,skipped
MINNEAPOLIS W-3 P-03,Chris Meyer,Billy Menz,Mohamed Issa Barre
MINNEAPOLIS W-1 P-04,Chris Meyer,Billy Menz,writein
MINNEAPOLIS W-1 P-04,Billy Menz,Chris Meyer,Mohamed Issa Barre
MINNEAPOLIS W-3 P-05,skipped,skipped,skipped
MINNEAPOLIS W-1 P-02,Chris Meyer,Billy Menz,Mohamed Issa Barre
MINNEAPOLIS W-1 P-07,Chris Meyer,skipped,skipped
MINNEAPOLIS W-1 P-04,Chris Meyer,skipped,skipped
MINNEAPOLIS W-1 P-08,Chris Meyer,Mohamed Issa Barre,Billy Menz
MINNEAPOLIS W-3 P-01,skipped,skipped,skipped
MINNEAPOLIS W-1 P-05,Billy Menz,skipped,skipped
MINNEAPOLIS W-3 P-03,skipped,skipped,skipped
MINNEAPOLIS W-1 P-09,Chris Meyer,skipped,skipped
MINNEAPOLIS W-1 P-02,Billy Menz,Chris Meyer,Mohamed Issa Barre
MINNEAPOLIS W-1 P-09,Chris Meyer,Billy Menz,Mohamed Issa Barre
MINNEAPOLIS W-1 P-03,Mohamed Issa Barre,skipped,skipped
MINNEAPOLIS W-1 P-01,Chris Meyer,Billy Menz,skipped
MINNEAPOLIS W-1 P-04,Billy Menz,skipped,skipped
MINNEAPOLIS W-3 P-02,skipped,skipped,skipped
MINNEAPOLIS W-3 P-02,Mohamed Issa Barre,Billy Menz,skipped
MINNEAPOLIS W-1 P-05,Chris Meyer,Billy Menz,Mohamed Issa Barre
MINNEAPOLIS W-1 P-09,Billy Menz,skipped,skipped
MINNEAPOLIS W-3 P-03,Billy Menz,Chris Meyer,skipped
