,0,1
1,Write-In cells: 480,
2,Overvote cells: 7,
3,BRAD BOURN: 0,
4,JOSH NEIMAN: 1,
5,0,1.0
6,0,
7,0,1.0
8,0,
9,0,1.0
10,0,1.0
11,1,
12,0,
13,0,
14,0,1.0
15,0,
16,0,1.0
17,0,
18,0,1.0
20,0,
21,1,
23,0,1.0
24,0,1.0
25,0,
27,1,0.0
29,0,
30,0,1.0
31,0,1.0
33,0,
34,0,
35,0,
37,0,1.0
38,0,
39,0,
40,0,
41,0,
42,0,
43,1,
47,0,1.0
50,0,1.0
53,1,
55,1,
60,1,
62,0,1.0
63,0,
65,1,0.0
67,0,1.0
68,0,1.0
70,0,1.0
71,1,0.0
73,1,0.0
76,0,
77,0,1.0
78,0,
79,0,
83,0,
84,1,
86,0,
89,0,
90,0,
91,1,
92,0,1.0
93,0,
94,1,
95,0,1.0
97,1,0.0
98,0,1.0
99,1,
102,0,1.0
104,0,
105,1,0.0
108,0,1.0
109,0,
110,0,1.0
112,0,
114,0,
115,0,1.0
116,1,0.0
117,0,
118,1,
119,0,
120,0,1.0
124,0,
125,1,0.0
126,0,
127,0,1.0
128,0,
130,0,
132,0,1.0
133,0,1.0
134,1,
135,1,
136,1,0.0
137,1,0.0
138,0,
139,0,
141,0,
142,1,
143,0,1.0
144,0,
148,0,1.0
149,1,0.0
150,0,1.0
152,0,1.0
153,1,0.0
156,1,
157,0,1.0
158,1,
159,0,
160,1,0.0
161,1,
162,1,0.0
163,0,
164,0,1.0
165,1,
166,1,
167,0,1.0
168,1,
169,0,1.0
170,1,
172,0,
174,0,
175,0,
176,1,0.0
177,0,
178,1,
179,0,
180,0,
181,0,1.0
182,0,
184,1,
185,0,
186,1,0.0
187,0,
188,0,
189,1,0.0
190,0,
192,1,0.0
194,1,
195,1,0.0
196,0,
199,0,
200,1,
202,1,0.0
203,0,1.0
204,0,
205,0,1.0
206,0,1.0
207,1,
208,1,0.0
213,0,
214,1,
215,0,1.0
216,0,
217,0,
218,1,
219,1,
220,0,
221,1,
223,1,0.0
224,0,
225,0,1.0
226,1,0.0
229,0,1.0
231,0,1.0
232,0,
233,0,1.0
234,0,
235,1,0.0
237,1,0.0
238,0,
239,0,1.0
241,0,
243,1,0.0
246,0,
247,1,
248,1,0.0
249,1,
250,1,0.0
252,0,1.0
253,0,1.0
254,0,
255,0,1.0
257,0,1.0
258,1,
259,0,1.0
260,0,1.0
262,1,0.0
264,1,0.0
265,0,
267,0,1.0
268,1,0.0
269,1,0.0
270,1,0.0
271,0,
272,1,0.0
273,1,
274,0,1.0
277,1,
278,0,
279,1,0.0
280,0,
282,0,1.0
283,1,0.0
284,1,0.0
286,1,
287,1,
288,0,
290,0,
291,0,1.0
293,1,0.0
294,0,
296,1,0.0
297,0,1.0
300,1,0.0
302,0,
303,0,1.0
304,0,1.0
305,1,
306,1,0.0
307,1,
310,0,1.0
311,1,
313,0,
314,1,0.0
315,0,
316,0,
317,0,
318,0,1.0
320,0,
321,0,
322,1,0.0
323,1,
324,1,
325,0,1.0
326,0,1.0
327,1,0.0
328,1,0.0
329,1,0.0
330,1,0.0
331,0,
333,0,1.0
335,0,
338,1,0.0
341,0,1.0
342,0,
344,1,
345,1,
348,0,1.0
349,1,
350,0,
351,1,
353,1,
354,0,
355,0,
356,0,
362,0,
363,1,
365,0,
367,0,1.0
369,0,
370,1,
371,1,
374,0,
375,1,0.0
376,0,
377,0,1.0
378,0,1.0
379,1,0.0
380,0,1.0
382,0,
383,0,1.0
384,0,
386,0,
387,1,
388,0,
389,1,0.0
390,0,
392,1,0.0
394,0,
395,0,1.0
396,0,
397,0,
398,0,
399,0,1.0
401,1,
402,1,
403,0,
404,0,
405,1,
406,1,0.0
407,1,
410,1,0.0
412,0,
414,1,
415,0,1.0
417,1,
418,0,1.0
419,0,
420,0,
422,1,0.0
423,0,1.0
424,1,
426,0,
427,0,1.0
428,0,
429,0,1.0
431,1,
432,0,
433,1,0.0
434,0,
436,0,1.0
437,1,
439,0,
441,0,1.0
442,1,0.0
444,0,
445,1,
448,0,
449,1,0.0
451,0,1.0
454,0,
455,0,1.0
456,1,
457,1,
458,0,
460,0,
462,0,
463,0,1.0
464,1,0.0
465,0,
466,0,
467,0,
468,1,0.0
470,0,1.0
471,0,
472,0,1.0
473,0,
475,0,
476,0,
477,0,
478,0,
479,1,
481,0,
483,1,0.0
485,0,1.0
486,0,
487,1,
488,0,
489,0,1.0
491,0,
494,0,1.0
495,0,1.0
496,0,1.0
498,0,
499,0,
500,0,1.0
501,0,1.0
503,1,
504,1,0.0
505,0,
506,1,0.0
508,0,1.0
512,0,1.0
513,0,
514,0,1.0
515,1,0.0
516,0,1.0
517,0,1.0
518,0,
520,0,1.0
521,0,1.0
523,1,0.0
524,0,
525,0,
528,0,1.0
529,0,
530,0,1.0
532,1,
534,1,0.0
536,1,0.0
537,1,
538,0,
539,0,1.0
540,0,
541,0,
542,0,
543,0,
544,0,1.0
545,0,
547,0,
549,1,
550,0,1.0
551,1,
552,1,
553,0,
554,0,
557,0,1.0
558,0,
559,0,
560,0,
561,0,
562,0,1.0
563,0,1.0
564,1,0.0
565,0,
566,0,
568,0,1.0
573,1,0.0
574,0,1.0
575,1,
577,0,1.0
578,0,
580,0,
584,0,
585,0,
587,0,1.0
588,0,1.0
589,1,0.0
593,0,1.0
594,1,0.0
595,0,1.0
596,1,
597,0,1.0
598,1,
600,0,
601,0,
603,0,
604,0,1.0
605,0,
606,1,
607,0,1.0
608,0,
609,0,
610,1,0.0
613,0,
614,0,1.0
615,0,1.0
616,0,
617,0,1.0
618,0,
619,0,
620,0,
621,0,1.0
622,0,1.0
623,1,
625,0,
626,0,1.0
628,0,1.0
629,0,1.0
630,0,
632,0,1.0
633,1,0.0
634,1,0.0
635,1,
636,0,1.0
637,0,
638,1,0.0
640,0,
642,1,
643,1,
644,0,
645,0,1.0
646,0,
647,0,1.0
648,0,
649,0,1.0
650,1,0.0
651,1,0.0
652,1,0.0
654,0,1.0
655,0,
656,0,
657,1,0.0
658,0,
659,0,
660,1,
661,0,
662,0,1.0
665,0,1.0
666,0,
667,1,
668,0,
669,0,
670,1,
671,1,0.0
672,0,
673,0,1.0
675,0,
676,0,
677,0,1.0
678,1,
680,0,
682,0,
684,0,1.0
685,0,
686,0,1.0
687,0,
689,0,
690,0,
691,0,1.0
692,1,
693,0,1.0
695,1,
696,1,
697,1,0.0
698,0,1.0
699,1,
700,1,0.0
701,1,0.0
702,0,
704,0,
705,0,
706,1,0.0
708,1,
709,0,1.0
710,0,1.0
711,0,
713,0,
714,0,
715,0,
716,0,1.0
717,0,1.0
718,1,
719,0,1.0
720,0,1.0
721,0,
722,0,
723,0,
724,1,
726,0,
730,1,
731,1,0.0
732,1,0.0
733,0,
735,1,0.0
736,0,
739,1,0.0
740,0,
741,0,1.0
742,0,1.0
743,0,1.0
744,0,
745,1,
746,0,1.0
747,0,
748,0,
749,0,1.0
750,0,
751,0,
752,1,0.0
753,1,0.0
754,0,1.0
755,0,
756,1,
757,0,1.0
760,0,1.0
761,0,1.0
762,0,1.0
764,1,
765,0,
767,1,
768,0,
769,1,
770,0,1.0
773,0,1.0
774,0,1.0
777,0,
778,1,0.0
779,0,
780,0,1.0
781,0,
783,1,0.0
784,0,
786,0,1.0
787,0,1.0
789,0,
790,1,0.0
791,0,
792,0,
794,0,
795,1,
796,0,
797,0,1.0
798,0,1.0
800,0,
801,0,1.0
802,1,0.0
804,0,1.0
805,0,1.0
808,1,0.0
809,1,
810,0,
811,1,
812,0,
813,0,
815,1,
816,0,1.0
817,0,1.0
818,0,1.0
819,1,0.0
820,0,
822,0,
823,0,
824,1,
826,0,1.0
827,0,
828,0,1.0
829,0,1.0
830,0,1.0
831,0,1.0
832,0,
833,0,
836,0,1.0
838,0,
839,1,
840,0,
841,0,
842,0,1.0
845,0,
846,1,0.0
847,0,
849,0,1.0
850,0,1.0
851,1,
852,1,0.0
853,0,1.0
855,1,0.0
857,1,
859,1,0.0
861,1,
862,1,0.0
864,0,
866,0,
867,0,
868,0,
869,0,
871,1,
873,0,
875,0,
876,0,
877,0,1.0
878,1,0.0
879,1,
880,0,
881,0,1.0
882,1,
883,0,1.0
884,1,
885,1,0.0
887,0,
888,1,
889,0,1.0
890,0,
891,0,
892,1,
893,0,
895,0,
900,1,
901,1,0.0
902,0,
903,0,
904,0,
905,0,
906,0,1.0
907,1,0.0
909,0,1.0
911,0,
912,0,
914,0,
916,0,
918,0,
920,1,0.0
921,0,1.0
922,0,1.0
923,1,
924,1,0.0
925,1,
926,1,0.0
927,0,
928,0,1.0
929,0,1.0
930,0,
931,1,0.0
933,0,
934,0,
935,0,1.0
936,1,
939,1,0.0
940,0,
941,0,1.0
943,0,
944,0,1.0
945,1,
947,0,
948,1,
950,1,
951,1,0.0
952,0,1.0
953,0,1.0
954,0,1.0
956,1,0.0
957,1,
959,0,1.0
960,1,
961,1,0.0
962,0,1.0
963,1,
964,0,
967,0,1.0
968,0,1.0
970,1,0.0
972,0,1.0
973,1,
974,0,
975,0,
977,0,1.0
978,0,
980,0,1.0
981,0,
982,1,0.0
983,1,0.0
988,0,1.0
989,1,0.0
991,1,0.0
994,0,
995,1,0.0
996,0,1.0
997,0,
998,0,
999,0,
1000,0,1.0
1001,1,
1002,1,
1003,0,1.0
1006,1,
1007,0,1.0
1008,0,
1009,0,
1010,0,
1011,1,
1012,1,
1013,0,
1014,0,1.0
1016,1,0.0
1018,0,
1019,1,0.0
1020,1,
1021,0,
1022,1,
1023,0,1.0
1024,0,1.0
1025,0,1.0
1027,1,0.0
