precinct,rank1,rank2,rank3
2001-01-04,writein,skipped,skipped
2001-02-05,writein,skipped,skipped
2001-01-07,writein,skipped,skipped
2001-03-04,writein,skipped,skipped
2001-02-04,writein,skipped,skipped
2001-01-05,writein,skipped,skipped
2001-01-06,writein,Bernie Kunza,Liz Wielinski
2001-03-01,writein,writein,writein
2001-01-06,writein,Liz Wielinski,skipped
2001-02-04,writein,skipped,skipped
2001-03-06,writein,skipped,skipped
2001-01-09,writein,writein,writein
2001-03-06,writein,skipped,skipped
2001-01-02,Bernie Kunza,writein,skipped
2001-01-05,Bernie Kunza,John Malone,writein
2001-01-04,Bernie Kunza,John Malone,writein
2001-01-01,Bernie Kunza,John Malone,writein
2001-01-04,Bernie Kunza,John Malone,writein
2001-01-03,Bernie Kunza,John Malone,writein
2001-03-03,Bernie Kunza,John Malone,writein
2001-01-03,Bernie Kunza,John Malone,writein
2001-03-05,Bernie Kunza,John Malone,writein
2001-01-03,Bernie Kunza,John Malone,writein
2001-01-08,Bernie Kunza,John Malone,writein
2001-01-01,Bernie Kunza,John Malone,Liz Wielinski
2001-01-01,Bernie Kunza,John Malone,Liz Wielinski
2001-01-01,Bernie Kunza,John Malone,Liz Wielinski
2001-01-01,Bernie Kunza,John Malone,Liz Wielinski
2001-01-01,Bernie Kunza,John Malone,Liz Wielinski
2001-01-01,Bernie Kunza,John Malone,Liz Wielinski
2001-01-01,Bernie Kunza,John Malone,Liz Wielinski
2001-01-02,Bernie Kunza,John Malone,Liz Wielinski
2001-01-02,Bernie Kunza,John Malone,Liz Wielinski
2001-01-02,Bernie Kunza,John Malone,Liz Wielinski
2001-01-02,Bernie Kunza,John Malone,Liz Wielinski
2001-01-02,Bernie Kunza,John Malone,Liz Wielinski
2001-01-02,Bernie Kunza,John Malone,Liz Wielinski
2001-01-02,Bernie Kunza,John Malone,Liz Wielinski
2001-01-02,Bernie Kunza,John Malone,Liz Wielinski
2001-01-02,Bernie Kunza,John Malone,Liz Wielinski
2001-01-03,Bernie Kunza,John Malone,Liz Wielinski
2001-01-03,Bernie Kunza,John Malone,Liz Wielinski
2001-01-03,Bernie Kunza,John Malone,Liz Wielinski
2001-01-03,Bernie Kunza,John Malone,Liz Wielinski
2001-01-03,Bernie Kunza,John Malone,Liz Wielinski
2001-01-03,Bernie Kunza,John Malone,Liz Wielinski
2001-01-03,Bernie Kunza,John Malone,Liz Wielinski
2001-01-03,Bernie Kunza,John Malone,Liz Wielinski
2001-01-03,Bernie Kunza,John Malone,Liz Wielinski
2001-01-03,Bernie Kunza,John Malone,Liz Wielinski
2001-01-03,Bernie Kunza,John Malone,Liz Wielinski
2001-01-03,Bernie Kunza,John Malone,Liz Wielinski
2001-01-03,Bernie Kunza,John Malone,Liz Wielinski
2001-01-04,Bernie Kunza,John Malone,Liz Wielinski
2001-01-04,Bernie Kunza,John Malone,Liz Wielinski
2001-01-04,Bernie Kunza,John Malone,Liz Wielinski
2001-01-04,Bernie Kunza,John Malone,Liz Wielinski
2001-01-04,Bernie Kunza,John Malone,Liz Wielinski
2001-01-04,Bernie Kunza,John Malone,Liz Wielinski
2001-01-04,Bernie Kunza,John Malone,Liz Wielinski
2001-01-05,Bernie Kunza,John Malone,Liz Wielinski
2001-01-05,Bernie Kunza,John Malone,Liz Wielinski
2001-01-05,Bernie Kunza,John Malone,Liz Wielinski
2001-01-05,Bernie Kunza,John Malone,Liz Wielinski
2001-01-05,Bernie Kunza,John Malone,Liz Wielinski
2001-01-06,Bernie Kunza,John Malone,Liz Wielinski
2001-01-06,Bernie Kunza,John Malone,Liz Wielinski
2001-01-06,Bernie Kunza,John Malone,Liz Wielinski
2001-01-06,Bernie Kunza,John Malone,Liz Wielinski
2001-01-06,Bernie Kunza,John Malone,Liz Wielinski
2001-01-06,Bernie Kunza,John Malone,Liz Wielinski
2001-01-06,Bernie Kunza,John Malone,Liz Wielinski
2001-01-06,Bernie Kunza,John Malone,Liz Wielinski
2001-01-06,Bernie Kunza,John Malone,Liz Wielinski
2001-01-06,Bernie Kunza,John Malone,Liz Wielinski
2001-01-06,Bernie Kunza,John Malone,Liz Wielinski
2001-01-07,Bernie Kunza,John Malone,Liz Wielinski
2001-01-07,Bernie Kunza,John Malone,Liz Wielinski
2001-01-07,Bernie Kunza,John Malone,Liz Wielinski
2001-01-07,Bernie Kunza,John Malone,Liz Wielinski
2001-01-07,Bernie Kunza,John Malone,Liz Wielinski
2001-01-08,Bernie Kunza,John Malone,Liz Wielinski
2001-01-08,Bernie Kunza,John Malone,Liz Wielinski
2001-01-08,Bernie Kunza,John Malone,Liz Wielinski
2001-01-08,Bernie Kunza,John Malone,Liz Wielinski
2001-01-08,Bernie Kunza,John Malone,Liz Wielinski
2001-01-08,Bernie Kunza,John Malone,Liz Wielinski
2001-01-08,Bernie Kunza,John Malone,Liz Wielinski
2001-01-08,Bernie Kunza,John Malone,Liz Wielinski
