,0,1,2,3,4,5
1,Write-In cells: 203,,,,,
2,Overvote cells: 365,,,,,
3,Pierina Ana Sanchez: 0,,,,,
4,Yudelka Tapia: 1,,,,,
5,Haile Rivera: 2,,,,,
6,Fernando A. Aquino: 3,,,,,
7,Adolfo Abreu: 4,,,,,
8,Socrates S. Solano: 5,,,,,
274,0,1.0,2.0,3.0,4.0,
275,4,0.0,,,,
278,1,0.0,3.0,5.0,2.0,
279,4,5.0,2.0,0.0,3.0,
282,1,0.0,3.0,2.0,4.0,
284,4,0.0,,,,
286,1,2.0,0.0,3.0,4.0,
409,1,4.0,5.0,3.0,,
412,0,,,,,
414,0,4.0,,,,
416,1,4.0,3.0,,,
532,4,1.0,0.0,2.0,3.0,
534,0,,,,,
536,1,,,,,
537,0,,,,,
540,4,1.0,0.0,3.0,,
544,2,1.0,4.0,0.0,3.0,
546,1,2.0,3.0,4.0,0.0,
644,3,0.0,2.0,1.0,5.0,
646,1,4.0,0.0,3.0,5.0,
647,1,,,,,
670,3,5.0,,,,
672,0,3.0,1.0,4.0,5.0,
674,4,3.0,0.0,2.0,5.0,
676,3,0.0,4.0,,,
677,1,5.0,3.0,0.0,4.0,
679,1,4.0,,,,
682,4,,,,,
683,0,1.0,2.0,3.0,5.0,
686,0,4.0,1.0,2.0,,
687,0,,,,,
690,3,,,,,
691,0,4.0,3.0,,,
694,0,2.0,,,,
695,2,0.0,,,,
697,4,1.0,0.0,,,
699,2,1.0,,,,
701,3,5.0,4.0,0.0,2.0,
703,5,2.0,0.0,,,
857,1,,,,,
860,1,,,,,
861,2,5.0,1.0,0.0,3.0,
863,0,2.0,1.0,3.0,5.0,
866,0,1.0,5.0,4.0,3.0,
867,3,,,,,
868,4,3.0,2.0,1.0,0.0,
871,0,4.0,3.0,,,
873,0,2.0,1.0,3.0,5.0,
877,0,2.0,1.0,5.0,3.0,
879,0,,,,,
882,0,4.0,2.0,,,
884,4,3.0,5.0,2.0,,
970,0,,,,,
972,2,0.0,,,,
974,0,,,,,
976,1,,,,,
978,0,3.0,4.0,2.0,1.0,
980,1,4.0,5.0,3.0,2.0,
982,1,,,,,
984,1,4.0,3.0,,,
986,0,,,,,
988,0,4.0,1.0,,,
990,0,,,,,
991,4,,,,,
994,3,2.0,5.0,4.0,1.0,
996,3,,,,,
1115,3,,,,,
1117,0,4.0,1.0,3.0,5.0,
1119,0,2.0,1.0,3.0,4.0,
1168,0,1.0,,,,
1171,0,1.0,3.0,,,
1173,0,,,,,
1175,2,0.0,5.0,,,
1179,0,1.0,4.0,,,
1180,0,1.0,,,,
1183,3,2.0,0.0,4.0,,
1184,0,1.0,2.0,4.0,3.0,
1186,4,,,,,
1188,0,1.0,3.0,2.0,4.0,
1191,2,3.0,4.0,0.0,,
1193,0,1.0,2.0,4.0,3.0,
1196,0,,,,,
1198,5,4.0,3.0,2.0,0.0,
1200,0,1.0,4.0,5.0,3.0,
1203,1,4.0,3.0,,,
1205,4,,,,,
1207,3,4.0,0.0,2.0,,
1210,4,2.0,0.0,5.0,3.0,
1214,4,2.0,1.0,3.0,0.0,
1215,4,,,,,
1218,1,0.0,3.0,5.0,4.0,
1220,1,5.0,0.0,3.0,4.0,
1221,3,1.0,,,,
1224,1,,,,,
1226,1,3.0,2.0,4.0,0.0,
1227,3,0.0,4.0,1.0,5.0,
1401,4,1.0,2.0,0.0,3.0,
1402,4,1.0,2.0,0.0,3.0,
1405,2,1.0,4.0,0.0,5.0,
1407,2,4.0,1.0,5.0,3.0,
1409,4,,,,,
2180,2,,,,,
2183,2,,,,,
2279,0,3.0,,,,
2281,4,0.0,3.0,,,
2283,0,5.0,4.0,2.0,1.0,
2285,1,,,,,
2287,1,,,,,
2289,1,,,,,
2291,4,0.0,1.0,3.0,2.0,
2293,2,1.0,4.0,0.0,5.0,
2295,1,4.0,,,,
2297,4,,,,,
2378,4,,,,,
2380,1,4.0,0.0,,,
2383,2,1.0,0.0,,,
2386,0,2.0,,,,
2388,5,2.0,3.0,4.0,0.0,
2389,0,5.0,3.0,4.0,1.0,
2392,5,3.0,0.0,4.0,2.0,
2393,4,,,,,
2396,0,1.0,2.0,,,
2398,0,1.0,4.0,3.0,2.0,
2400,3,2.0,1.0,4.0,,
2401,0,1.0,3.0,4.0,2.0,
2414,4,0.0,,,,
2416,4,0.0,,,,
2418,4,0.0,,,,
2419,2,1.0,0.0,5.0,3.0,
2422,1,0.0,5.0,3.0,4.0,
2426,2,5.0,4.0,1.0,3.0,
2427,2,0.0,1.0,5.0,3.0,
2430,1,0.0,3.0,2.0,,
2431,0,1.0,2.0,,,
2435,0,1.0,3.0,5.0,,
2480,0,4.0,3.0,,,
2482,3,0.0,,,,
2484,1,4.0,,,,
2486,0,3.0,2.0,4.0,5.0,
2488,4,,,,,
2490,1,2.0,0.0,5.0,3.0,
2492,4,3.0,0.0,2.0,5.0,
2494,1,,,,,
2496,2,5.0,3.0,0.0,4.0,
2498,2,0.0,1.0,5.0,4.0,
2891,1,0.0,3.0,4.0,2.0,
2892,2,,,,,
2895,1,2.0,0.0,3.0,4.0,
2897,1,0.0,3.0,5.0,2.0,
2899,0,,,,,
2901,0,,,,,
2903,1,0.0,5.0,3.0,2.0,
2905,0,,,,,
2907,0,,,,,
2908,0,3.0,1.0,2.0,,
2911,1,0.0,3.0,2.0,5.0,
2922,3,,,,,
2924,4,,,,,
2926,2,,,,,
2928,0,3.0,,,,
3342,4,0.0,1.0,2.0,3.0,
3345,0,1.0,4.0,2.0,3.0,
3346,0,,,,,
3349,1,,,,,
3350,0,4.0,1.0,,,
3353,4,2.0,1.0,5.0,0.0,
3355,2,,,,,
3357,1,,,,,
3527,1,3.0,0.0,,,
3529,4,2.0,1.0,,,
3530,1,2.0,5.0,3.0,,
3532,0,2.0,1.0,3.0,4.0,
3636,3,,,,,
3637,1,,,,,
3640,0,3.0,2.0,5.0,,
3641,1,,,,,
3644,5,,,,,
3645,0,1.0,3.0,4.0,5.0,
3677,4,0.0,1.0,,,
3680,4,2.0,5.0,0.0,3.0,
3684,1,3.0,4.0,5.0,2.0,
3686,1,5.0,4.0,2.0,3.0,
3688,3,2.0,1.0,0.0,4.0,
3690,0,,,,,
3692,4,,,,,
3694,4,1.0,0.0,5.0,2.0,
3698,2,1.0,4.0,0.0,5.0,
3700,5,,,,,
3704,3,,,,,
3706,0,1.0,5.0,3.0,,
3708,2,0.0,4.0,,,
3710,2,4.0,5.0,3.0,0.0,
3712,5,3.0,4.0,,,
