,0,1,2,3,4,5,6,7,8
1,Write-In cells: 197,,,,,,,,
2,Overvote cells: 97,,,,,,,,
3,Christopher Marte: 0,,,,,,,,
4,Jenny L. Low: 1,,,,,,,,
5,Sean C. Hayes: 2,,,,,,,,
6,Maud Maron: 3,,,,,,,,
7,Denny R. Salas: 4,,,,,,,,
8,Susan Damplo: 5,,,,,,,,
9,Susan Lee: 6,,,,,,,,
10,Tiffany Johnson-Winbush: 7,,,,,,,,
11,Gigi Li: 8,,,,,,,,
168,0,1.0,2.0,3.0,4.0,,,,
169,5,0.0,,,,,,,
170,0,,,,,,,,
171,6,,,,,,,,
173,0,1.0,7.0,,,,,,
174,8,0.0,,,,,,,
175,8,,,,,,,,
176,1,8.0,0.0,6.0,3.0,,,,
177,0,8.0,1.0,,,,,,
178,1,8.0,0.0,6.0,3.0,,,,
180,8,7.0,6.0,5.0,1.0,,,,
181,2,4.0,,,,,,,
182,6,7.0,0.0,5.0,2.0,,,,
183,8,1.0,0.0,2.0,,,,,
184,0,7.0,6.0,1.0,4.0,,,,
185,3,5.0,7.0,6.0,8.0,,,,
186,0,,,,,,,,
187,3,5.0,7.0,,,,,,
188,6,1.0,,,,,,,
189,0,7.0,4.0,5.0,8.0,,,,
190,0,3.0,6.0,,,,,,
191,0,3.0,,,,,,,
192,6,,,,,,,,
193,0,,,,,,,,
194,0,3.0,6.0,,,,,,
195,2,3.0,,,,,,,
199,3,0.0,7.0,,,,,,
200,0,,,,,,,,
201,3,2.0,0.0,1.0,8.0,,,,
202,7,0.0,,,,,,,
203,0,1.0,,,,,,,
204,5,7.0,0.0,,,,,,
205,0,,,,,,,,
207,8,0.0,6.0,1.0,4.0,,,,
208,0,,,,,,,,
209,3,2.0,0.0,1.0,8.0,,,,
210,7,0.0,,,,,,,
211,8,2.0,0.0,1.0,7.0,,,,
212,8,2.0,0.0,1.0,6.0,,,,
213,6,3.0,8.0,4.0,5.0,,,,
214,3,6.0,,,,,,,
215,0,2.0,3.0,4.0,6.0,,,,
216,0,8.0,2.0,,,,,,
217,3,5.0,7.0,,,,,,
218,0,7.0,,,,,,,
219,1,0.0,,,,,,,
220,0,4.0,5.0,,,,,,
221,0,4.0,5.0,,,,,,
222,0,,,,,,,,
223,6,0.0,3.0,,,,,,
224,3,1.0,6.0,7.0,8.0,,,,
226,1,0.0,,,,,,,
227,0,8.0,7.0,,,,,,
228,3,6.0,4.0,8.0,,,,,
231,0,8.0,3.0,1.0,6.0,,,,
232,2,,,,,,,,
300,8,,,,,,,,
301,7,1.0,8.0,6.0,3.0,,,,
302,1,0.0,6.0,8.0,2.0,,,,
303,8,,,,,,,,
304,6,8.0,3.0,5.0,,,,,
305,0,3.0,6.0,8.0,,,,,
306,2,3.0,,,,,,,
307,2,3.0,5.0,7.0,,,,,
308,2,7.0,3.0,5.0,,,,,
309,0,8.0,,,,,,,
310,1,8.0,0.0,2.0,3.0,,,,
312,6,0.0,8.0,2.0,7.0,,,,
313,0,1.0,4.0,,,,,,
314,8,7.0,0.0,1.0,6.0,,,,
315,0,6.0,1.0,3.0,8.0,,,,
406,3,6.0,2.0,,,,,,
407,8,,,,,,,,
408,2,1.0,0.0,7.0,,,,,
409,0,8.0,,,,,,,
411,2,6.0,3.0,8.0,1.0,,,,
412,8,6.0,0.0,3.0,1.0,,,,
413,8,3.0,0.0,7.0,5.0,,,,
414,3,8.0,1.0,0.0,7.0,,,,
415,1,,,,,,,,
416,3,2.0,5.0,,,,,,
417,1,,,,,,,,
418,8,6.0,,,,,,,
