,0,1,2,3,4,5,6,7
1,Write-In cells: 94,,,,,,,
2,Overvote cells: 104,,,,,,,
3,Sandra Ung: 0,,,,,,,
4,Ellen Young: 1,,,,,,,
5,Hailing Chen: 2,,,,,,,
6,Dao Yin: 3,,,,,,,
7,Neng Wang: 4,,,,,,,
8,Ming-Kang Low: 5,,,,,,,
9,Anthony Miranda: 6,,,,,,,
10,John Choe: 7,,,,,,,
137,0,1.0,2.0,3.0,4.0,,,
140,1,4.0,3.0,2.0,5.0,,,
142,2,,,,,,,
144,3,4.0,,,,,,
147,2,4.0,1.0,,,,,
148,6,1.0,4.0,2.0,3.0,,,
151,6,1.0,0.0,5.0,2.0,,,
153,6,1.0,7.0,,,,,
157,1,4.0,7.0,0.0,3.0,,,
159,1,4.0,7.0,0.0,3.0,,,
160,4,6.0,7.0,0.0,2.0,,,
161,6,0.0,1.0,2.0,4.0,,,
165,0,,,,,,,
166,0,4.0,,,,,,
168,3,4.0,1.0,,,,,
171,0,1.0,6.0,,,,,
172,1,6.0,7.0,4.0,0.0,,,
174,0,,,,,,,
175,2,0.0,,,,,,
179,2,3.0,,,,,,
181,2,3.0,4.0,0.0,,,,
182,2,,,,,,,
184,2,0.0,3.0,,,,,
186,2,4.0,,,,,,
187,6,1.0,7.0,0.0,2.0,,,
189,1,4.0,2.0,3.0,7.0,,,
191,0,7.0,,,,,,
193,2,1.0,6.0,3.0,5.0,,,
196,2,4.0,1.0,6.0,5.0,,,
198,0,7.0,2.0,1.0,6.0,,,
200,2,,,,,,,
202,2,,,,,,,
204,2,,,,,,,
205,2,,,,,,,
207,2,0.0,,,,,,
210,2,,,,,,,
211,3,2.0,,,,,,
213,3,2.0,,,,,,
214,2,0.0,3.0,,,,,
217,3,4.0,,,,,,
218,0,3.0,1.0,2.0,7.0,,,
220,1,7.0,,,,,,
222,3,0.0,1.0,,,,,
227,1,0.0,7.0,,,,,
229,1,4.0,2.0,3.0,5.0,,,
231,2,0.0,6.0,,,,,
232,3,4.0,,,,,,
234,3,4.0,,,,,,
236,7,4.0,1.0,0.0,2.0,,,
238,0,1.0,,,,,,
954,0,6.0,1.0,7.0,3.0,,,
956,0,6.0,1.0,7.0,3.0,,,
958,7,6.0,0.0,1.0,2.0,,,
960,7,6.0,0.0,1.0,2.0,,,
967,1,2.0,3.0,4.0,,,,
971,2,,,,,,,
973,2,,,,,,,
974,2,4.0,3.0,0.0,,,,
975,3,2.0,,,,,,
977,0,6.0,3.0,4.0,2.0,,,
978,2,0.0,,,,,,
979,2,,,,,,,
980,2,,,,,,,
982,2,,,,,,,
986,2,0.0,,,,,,
987,2,,,,,,,
989,1,0.0,5.0,4.0,2.0,,,
991,1,,,,,,,
993,2,6.0,1.0,0.0,7.0,,,
994,2,,,,,,,
996,2,,,,,,,
998,1,2.0,7.0,4.0,6.0,,,
999,2,0.0,,,,,,
1000,7,0.0,,,,,,
1001,3,2.0,,,,,,
1002,7,0.0,,,,,,
1004,2,3.0,,,,,,
1005,0,7.0,3.0,1.0,4.0,,,
1006,2,,,,,,,
1007,2,,,,,,,
1008,1,0.0,,,,,,
1010,5,2.0,,,,,,
1011,1,,,,,,,
1015,3,4.0,2.0,1.0,,,,
1017,2,0.0,,,,,,
1018,2,0.0,6.0,,,,,
1019,4,1.0,,,,,,
1023,7,1.0,,,,,,
1024,7,3.0,0.0,4.0,1.0,,,
1025,0,3.0,1.0,2.0,5.0,,,
1026,1,6.0,,,,,,
1030,7,,,,,,,
1036,2,,,,,,,
1039,7,1.0,0.0,4.0,2.0,,,
1041,3,2.0,,,,,,
1048,3,2.0,,,,,,
1050,2,,,,,,,
1052,2,,,,,,,
1055,2,0.0,,,,,,
1056,7,,,,,,,
1058,7,,,,,,,
1062,7,0.0,1.0,4.0,2.0,,,
1063,2,1.0,4.0,3.0,0.0,,,
