,0,1,2,3,4,5,6
1,Write-In cells: 251,,,,,,
2,Overvote cells: 188,,,,,,
3,Linda Lee: 0,,,,,,
4,Steve Behar: 1,,,,,,
5,Debra Markell: 2,,,,,,
6,Sanjeev Kumar Jindal: 3,,,,,,
7,Harpreet S. Toor: 4,,,,,,
8,Jaslin Kaur: 5,,,,,,
9,Koshy O. Thomas: 6,,,,,,
25,0,1.0,2.0,3.0,4.0,,
26,0,2.0,4.0,,,,
28,5,4.0,1.0,0.0,,,
30,0,2.0,5.0,,,,
33,0,,,,,,
35,0,1.0,2.0,,,,
38,0,1.0,2.0,,,,
42,1,,,,,,
46,0,,,,,,
49,0,2.0,4.0,5.0,1.0,,
50,2,,,,,,
51,4,2.0,1.0,6.0,5.0,,
55,0,,,,,,
57,0,1.0,2.0,,,,
59,1,,,,,,
61,2,,,,,,
63,0,6.0,1.0,,,,
65,0,2.0,1.0,,,,
67,0,6.0,1.0,,,,
69,0,6.0,1.0,,,,
71,0,,,,,,
74,5,4.0,1.0,0.0,6.0,,
75,0,,,,,,
77,0,2.0,1.0,,,,
80,0,,,,,,
82,2,1.0,,,,,
84,0,2.0,5.0,6.0,1.0,,
85,2,1.0,,,,,
87,2,0.0,1.0,,,,
89,0,5.0,2.0,,,,
92,0,,,,,,
93,0,,,,,,
97,0,2.0,1.0,,,,
99,0,5.0,4.0,1.0,,,
101,0,,,,,,
104,1,,,,,,
106,0,,,,,,
107,0,,,,,,
113,0,,,,,,
115,0,5.0,2.0,,,,
117,0,2.0,5.0,4.0,1.0,,
119,1,3.0,2.0,0.0,,,
121,0,2.0,1.0,,,,
123,2,0.0,3.0,4.0,6.0,,
125,0,3.0,5.0,,,,
127,0,2.0,3.0,4.0,1.0,,
129,0,2.0,3.0,5.0,6.0,,
131,0,4.0,,,,,
133,0,,,,,,
135,1,,,,,,
397,5,0.0,,,,,
623,1,5.0,0.0,2.0,3.0,,
624,0,,,,,,
625,0,2.0,1.0,,,,
626,0,2.0,1.0,,,,
627,0,2.0,,,,,
628,0,2.0,1.0,,,,
629,0,1.0,,,,,
630,0,1.0,,,,,
631,0,1.0,,,,,
633,2,5.0,6.0,0.0,3.0,,
634,0,3.0,2.0,5.0,6.0,,
635,1,,,,,,
636,0,1.0,,,,,
637,0,,,,,,
638,1,,,,,,
639,1,0.0,,,,,
640,1,,,,,,
641,1,0.0,5.0,2.0,,,
642,0,1.0,,,,,
643,1,0.0,5.0,2.0,3.0,,
644,0,5.0,3.0,4.0,2.0,,
847,5,,,,,,
848,3,4.0,5.0,2.0,1.0,,
851,2,0.0,,,,,
852,3,,,,,,
853,3,,,,,,
855,1,0.0,,,,,
857,2,0.0,3.0,5.0,1.0,,
859,0,5.0,2.0,,,,
863,1,0.0,2.0,6.0,5.0,,
867,0,3.0,2.0,5.0,6.0,,
869,5,,,,,,
872,0,4.0,1.0,,,,
874,3,1.0,,,,,
875,3,,,,,,
878,1,2.0,,,,,
882,2,,,,,,
884,4,0.0,6.0,3.0,1.0,,
886,5,,,,,,
888,0,5.0,2.0,1.0,,,
890,5,2.0,0.0,1.0,6.0,,
892,3,5.0,4.0,1.0,6.0,,
894,1,0.0,2.0,,,,
897,5,0.0,2.0,,,,
961,0,,,,,,
963,1,5.0,,,,,
3629,1,2.0,,,,,
3630,1,2.0,,,,,
3632,0,,,,,,
3635,0,,,,,,
3637,2,0.0,,,,,
3639,1,0.0,5.0,,,,
3640,1,2.0,0.0,,,,
3643,0,2.0,4.0,5.0,,,
3644,5,0.0,2.0,1.0,,,
3646,1,,,,,,
3649,1,5.0,,,,,
3650,1,2.0,0.0,,,,
3651,0,2.0,1.0,5.0,,,
3653,0,1.0,6.0,2.0,4.0,,
3654,5,0.0,,,,,
3657,5,0.0,,,,,
3661,6,4.0,1.0,2.0,0.0,,
3663,1,,,,,,
3664,0,2.0,,,,,
3667,0,2.0,5.0,6.0,4.0,,
3669,2,0.0,1.0,3.0,5.0,,
3671,2,,,,,,
3672,1,0.0,5.0,4.0,,,
3674,2,0.0,1.0,3.0,5.0,,
3676,2,1.0,0.0,,,,
3679,0,2.0,3.0,5.0,6.0,,
3681,5,,,,,,
3682,2,0.0,4.0,,,,
3684,1,5.0,2.0,0.0,6.0,,
3686,5,0.0,2.0,6.0,4.0,,
3688,0,2.0,,,,,
3690,1,0.0,5.0,,,,
3692,2,0.0,,,,,
3694,1,6.0,2.0,0.0,5.0,,
3696,5,0.0,1.0,6.0,4.0,,
3698,0,1.0,5.0,,,,
3700,2,1.0,0.0,,,,
3702,0,1.0,5.0,,,,
3704,2,,,,,,
3707,2,,,,,,
3709,1,,,,,,
3711,1,,,,,,
3713,0,,,,,,
3715,0,,,,,,
3716,2,,,,,,
3719,3,6.0,5.0,4.0,0.0,,
3721,1,2.0,0.0,6.0,5.0,,
4988,1,,,,,,
4993,6,3.0,2.0,4.0,5.0,,
4997,2,4.0,0.0,5.0,,,
4999,3,,,,,,
5000,3,,,,,,
5002,4,5.0,0.0,1.0,6.0,,
5004,3,,,,,,
5006,3,,,,,,
5008,3,,,,,,
5009,2,0.0,5.0,3.0,1.0,,
5011,3,,,,,,
5013,0,2.0,5.0,6.0,1.0,,
5014,6,,,,,,
5016,2,0.0,1.0,5.0,,,
5019,5,3.0,6.0,1.0,0.0,,
5021,3,,,,,,
5023,5,,,,,,
5026,0,5.0,,,,,
5027,5,6.0,4.0,1.0,0.0,,
5029,5,6.0,1.0,3.0,2.0,,
5031,6,5.0,3.0,4.0,0.0,,
5035,0,2.0,1.0,,,,
5037,3,,,,,,
5039,0,,,,,,
5041,0,2.0,1.0,5.0,,,
5043,0,6.0,,,,,
5045,6,3.0,5.0,0.0,4.0,,
5047,6,3.0,5.0,4.0,2.0,,
5049,3,5.0,,,,,
5052,3,5.0,,,,,
5053,5,4.0,3.0,6.0,2.0,,
5055,5,4.0,3.0,6.0,2.0,,
5058,5,4.0,3.0,6.0,0.0,,
5060,5,4.0,3.0,6.0,2.0,,
5062,6,,,,,,
5063,1,0.0,2.0,5.0,6.0,,
5066,3,,,,,,
5068,3,,,,,,
5070,3,,,,,,
5072,3,,,,,,
5074,3,,,,,,
5077,3,0.0,2.0,4.0,,,
5079,5,4.0,3.0,1.0,0.0,,
5083,0,2.0,1.0,6.0,5.0,,
5084,3,5.0,4.0,,,,
5086,6,5.0,,,,,
5090,1,0.0,5.0,2.0,3.0,,
5091,4,1.0,3.0,6.0,,,
5092,5,4.0,3.0,2.0,1.0,,
5093,3,4.0,5.0,,,,
5094,2,1.0,0.0,,,,
5095,2,1.0,0.0,,,,
5098,0,4.0,5.0,2.0,,,
5100,6,,,,,,
5102,5,4.0,3.0,1.0,2.0,,
5104,6,5.0,3.0,4.0,0.0,,
5106,3,,,,,,
5108,3,,,,,,
5110,2,,,,,,
5112,3,,,,,,
5114,3,5.0,4.0,,,,
5116,3,,,,,,
5118,3,,,,,,
5120,5,3.0,,,,,
5122,5,3.0,6.0,4.0,,,
5123,2,0.0,1.0,,,,
5124,3,,,,,,
5128,1,5.0,,,,,
5129,2,1.0,0.0,,,,
5131,3,,,,,,
5133,5,3.0,4.0,6.0,,,
5136,0,2.0,6.0,3.0,4.0,,
5138,5,6.0,3.0,0.0,1.0,,
5140,5,6.0,3.0,0.0,4.0,,
5143,3,,,,,,
5145,5,3.0,,,,,
5148,5,3.0,4.0,6.0,1.0,,
5150,3,,,,,,
5152,3,,,,,,
5154,6,5.0,3.0,4.0,0.0,,
5156,5,4.0,3.0,2.0,0.0,,
5158,3,,,,,,
5161,3,1.0,6.0,4.0,5.0,,
5163,3,,,,,,
5164,5,3.0,,,,,
5167,3,0.0,6.0,5.0,,,
5169,3,,,,,,
5171,3,4.0,1.0,6.0,,,
5172,5,3.0,,,,,
5175,5,1.0,0.0,2.0,3.0,,
5177,0,5.0,1.0,3.0,6.0,,
5178,0,2.0,3.0,5.0,6.0,,
5180,6,,,,,,
5182,1,5.0,0.0,2.0,6.0,,
5184,6,,,,,,
5186,6,3.0,5.0,4.0,0.0,,
5188,5,2.0,0.0,4.0,,,
5190,0,,,,,,
6460,0,,,,,,
6461,0,,,,,,
6463,1,,,,,,
6464,0,2.0,5.0,3.0,,,
6465,0,5.0,6.0,2.0,4.0,,
6466,1,2.0,,,,,
6467,2,0.0,5.0,1.0,3.0,,
6468,5,0.0,2.0,,,,
6469,0,5.0,,,,,
6471,0,6.0,4.0,1.0,,,
6472,0,4.0,1.0,5.0,,,
6473,0,,,,,,
6474,0,5.0,6.0,2.0,4.0,,
6475,0,2.0,,,,,
6476,5,,,,,,
6477,0,2.0,1.0,,,,
6479,0,,,,,,
6480,3,,,,,,
6481,4,5.0,,,,,
6483,0,5.0,,,,,
6485,3,,,,,,
6486,0,,,,,,
6487,0,2.0,,,,,
6488,2,1.0,0.0,,,,
6489,0,5.0,,,,,
6490,0,,,,,,
6491,0,,,,,,
6492,5,2.0,0.0,3.0,6.0,,
6493,0,5.0,1.0,2.0,,,
6500,3,5.0,1.0,4.0,,,
6506,0,2.0,1.0,,,,
6509,1,,,,,,
6510,1,,,,,,
6511,1,,,,,,
6519,0,,,,,,
6523,0,5.0,,,,,
6525,5,0.0,4.0,,,,
7560,0,,,,,,
7562,0,5.0,,,,,
7564,6,3.0,1.0,,,,
7566,0,,,,,,
7568,0,,,,,,
7570,5,3.0,6.0,0.0,2.0,,
7572,0,5.0,1.0,,,,
7574,5,2.0,0.0,4.0,3.0,,
7576,0,2.0,,,,,
7578,0,,,,,,
7581,1,0.0,,,,,
7583,2,0.0,1.0,,,,
7585,0,,,,,,
7586,0,,,,,,
7588,0,,,,,,
7590,0,,,,,,
7592,0,,,,,,
7594,0,5.0,2.0,,,,
7597,5,1.0,,,,,
7599,1,5.0,,,,,
7601,2,0.0,5.0,3.0,6.0,,
7602,2,0.0,5.0,3.0,6.0,,
7603,5,,,,,,
7606,5,2.0,1.0,,,,
7608,0,1.0,3.0,,,,
7610,0,,,,,,
7614,0,2.0,5.0,,,,
7616,0,,,,,,
7619,0,2.0,5.0,,,,
7620,5,,,,,,
7622,0,5.0,,,,,
7624,0,,,,,,
7626,0,4.0,2.0,6.0,5.0,,
7628,0,,,,,,
7630,1,,,,,,
7632,5,2.0,0.0,6.0,,,
7634,1,,,,,,
7635,0,,,,,,
7636,0,2.0,,,,,
7639,0,,,,,,
7640,5,2.0,1.0,,,,
7644,2,4.0,0.0,,,,
7646,1,0.0,,,,,
7649,0,1.0,5.0,2.0,3.0,,
7650,2,0.0,,,,,
7652,2,6.0,,,,,
7654,0,,,,,,
7657,2,1.0,5.0,0.0,6.0,,
7658,1,,,,,,
7659,2,6.0,4.0,1.0,,,
7663,0,1.0,5.0,2.0,3.0,,
7664,0,1.0,5.0,2.0,3.0,,
7666,5,0.0,1.0,,,,
7668,4,5.0,0.0,2.0,,,
7670,2,1.0,6.0,3.0,,,
7672,0,2.0,6.0,5.0,3.0,,
7675,5,0.0,,,,,
7676,0,,,,,,
7677,5,0.0,4.0,,,,
7680,0,2.0,6.0,1.0,5.0,,
7682,5,3.0,4.0,2.0,1.0,,
7683,0,,,,,,
7685,0,,,,,,
7687,1,2.0,0.0,6.0,5.0,,
7689,2,,,,,,
7692,5,,,,,,
7693,1,0.0,2.0,6.0,5.0,,
7695,0,5.0,1.0,,,,
7697,0,5.0,1.0,4.0,,,
7699,0,1.0,,,,,
7701,0,1.0,2.0,6.0,,,
7703,4,5.0,1.0,,,,
7705,0,1.0,5.0,3.0,2.0,,
7710,0,,,,,,
7712,0,5.0,2.0,1.0,,,
7714,1,6.0,2.0,0.0,3.0,,
7715,0,2.0,3.0,5.0,1.0,,
7717,0,,,,,,
7718,0,3.0,5.0,,,,
7721,5,0.0,,,,,
7722,2,3.0,6.0,1.0,5.0,,
7728,0,5.0,,,,,
8347,6,3.0,5.0,2.0,,,
8349,2,0.0,4.0,1.0,6.0,,
8351,5,3.0,4.0,1.0,2.0,,
8353,1,5.0,3.0,2.0,6.0,,
