,0,1,2,3,4,5,6,7,8
1,Write-In cells: 155,,,,,,,,
2,Overvote cells: 145,,,,,,,,
3,Douglas J. Shapiro: 0,,,,,,,,
4,Lynn C. Schulman: 1,,,,,,,,
5,Sheryl Ann Fetik: 2,,,,,,,,
6,Eliseo Dorion Labayen: 3,,,,,,,,
7,Edwin K. Wong: 4,,,,,,,,
8,Avi Cyperstein: 5,,,,,,,,
9,David Aronov: 6,,,,,,,,
10,Aleda F. Gagarin: 7,,,,,,,,
11,Donghui Zang: 8,,,,,,,,
16,0,1.0,2.0,3.0,4.0,,,,
242,5,,,,,,,,
244,1,6.0,0.0,5.0,2.0,,,,
247,7,5.0,0.0,,,,,,
248,5,,,,,,,,
250,6,,,,,,,,
253,8,4.0,,,,,,,
254,7,2.0,5.0,1.0,6.0,,,,
256,6,,,,,,,,
258,6,,,,,,,,
260,7,1.0,3.0,4.0,,,,,
262,7,1.0,3.0,4.0,,,,,
265,5,,,,,,,,
266,6,1.0,5.0,,,,,,
268,1,,,,,,,,
270,1,6.0,7.0,,,,,,
271,6,,,,,,,,
273,7,,,,,,,,
276,1,2.0,8.0,4.0,,,,,
278,1,,,,,,,,
279,1,2.0,8.0,4.0,,,,,
281,1,,,,,,,,
283,1,4.0,8.0,,,,,,
284,6,,,,,,,,
286,2,7.0,0.0,5.0,1.0,,,,
288,6,,,,,,,,
290,6,,,,,,,,
294,5,,,,,,,,
295,8,4.0,3.0,7.0,6.0,,,,
296,1,5.0,4.0,,,,,,
298,6,4.0,3.0,,,,,,
300,5,,,,,,,,
303,6,,,,,,,,
304,1,,,,,,,,
307,3,7.0,1.0,2.0,6.0,,,,
308,5,0.0,7.0,1.0,4.0,,,,
311,6,5.0,,,,,,,
313,7,,,,,,,,
315,1,6.0,8.0,,,,,,
317,1,8.0,0.0,,,,,,
318,1,,,,,,,,
321,7,5.0,0.0,,,,,,
323,1,,,,,,,,
324,1,5.0,6.0,0.0,,,,,
328,0,5.0,4.0,1.0,6.0,,,,
330,7,1.0,4.0,5.0,0.0,,,,
332,5,6.0,7.0,,,,,,
334,5,1.0,0.0,6.0,2.0,,,,
337,6,,,,,,,,
338,6,2.0,8.0,1.0,,,,,
341,1,7.0,3.0,,,,,,
342,5,,,,,,,,
344,7,2.0,3.0,5.0,1.0,,,,
347,0,1.0,2.0,,,,,,
349,2,1.0,7.0,4.0,3.0,,,,
351,7,,,,,,,,
352,1,0.0,7.0,,,,,,
353,2,5.0,1.0,8.0,3.0,,,,
357,1,0.0,3.0,8.0,6.0,,,,
358,6,1.0,0.0,5.0,,,,,
361,3,7.0,8.0,0.0,5.0,,,,
362,5,6.0,,,,,,,
364,1,5.0,3.0,,,,,,
367,1,6.0,,,,,,,
368,1,,,,,,,,
371,5,,,,,,,,
373,8,5.0,2.0,3.0,7.0,,,,
374,8,0.0,,,,,,,
377,7,1.0,3.0,,,,,,
378,0,5.0,2.0,4.0,6.0,,,,
382,1,0.0,,,,,,,
384,1,7.0,2.0,3.0,0.0,,,,
386,1,0.0,7.0,8.0,,,,,
388,4,8.0,6.0,,,,,,
390,5,6.0,,,,,,,
392,5,,,,,,,,
395,1,5.0,0.0,,,,,,
746,6,1.0,4.0,7.0,0.0,,,,
747,6,1.0,4.0,7.0,0.0,,,,
748,6,5.0,0.0,1.0,7.0,,,,
749,1,6.0,4.0,3.0,5.0,,,,
750,6,5.0,0.0,1.0,7.0,,,,
751,1,5.0,8.0,6.0,4.0,,,,
752,1,,,,,,,,
753,7,,,,,,,,
754,1,6.0,,,,,,,
755,7,,,,,,,,
756,1,7.0,,,,,,,
757,7,,,,,,,,
758,6,1.0,4.0,5.0,3.0,,,,
759,1,0.0,4.0,3.0,2.0,,,,
760,7,5.0,1.0,,,,,,
761,4,8.0,3.0,5.0,7.0,,,,
762,1,,,,,,,,
763,5,6.0,4.0,8.0,,,,,
764,1,6.0,,,,,,,
900,7,,,,,,,,
903,6,0.0,,,,,,,
905,6,,,,,,,,
907,5,1.0,,,,,,,
911,7,,,,,,,,
913,1,4.0,7.0,8.0,6.0,,,,
915,6,2.0,8.0,4.0,5.0,,,,
916,6,1.0,5.0,,,,,,
918,4,6.0,8.0,3.0,5.0,,,,
920,6,5.0,4.0,8.0,2.0,,,,
922,5,1.0,8.0,0.0,7.0,,,,
924,7,1.0,6.0,,,,,,
926,7,1.0,6.0,5.0,8.0,,,,
927,1,6.0,5.0,0.0,,,,,
931,6,7.0,,,,,,,
933,5,6.0,1.0,0.0,,,,,
935,7,6.0,1.0,4.0,0.0,,,,
936,6,5.0,8.0,4.0,2.0,,,,
938,5,,,,,,,,
940,1,4.0,8.0,3.0,7.0,,,,
942,0,,,,,,,,
945,5,,,,,,,,
946,7,1.0,,,,,,,
948,4,8.0,,,,,,,
951,0,7.0,4.0,3.0,5.0,,,,
952,4,8.0,0.0,,,,,,
1395,7,,,,,,,,
1397,7,1.0,2.0,,,,,,
1399,1,2.0,3.0,8.0,,,,,
1401,7,6.0,,,,,,,
1403,0,1.0,5.0,2.0,4.0,,,,
1405,7,0.0,3.0,1.0,4.0,,,,
1407,7,,,,,,,,
1409,1,7.0,,,,,,,
1411,1,,,,,,,,
1413,7,1.0,3.0,0.0,,,,,
1415,7,1.0,0.0,,,,,,
1417,1,4.0,8.0,3.0,0.0,,,,
1419,1,7.0,,,,,,,
1421,1,2.0,7.0,,,,,,
1423,1,5.0,6.0,0.0,8.0,,,,
1425,6,1.0,5.0,,,,,,
1427,5,6.0,3.0,2.0,,,,,
1429,5,6.0,,,,,,,
1431,1,,,,,,,,
1433,7,1.0,2.0,,,,,,
1435,6,1.0,8.0,4.0,7.0,,,,
1437,1,0.0,5.0,,,,,,
1439,5,,,,,,,,
1441,7,0.0,3.0,4.0,2.0,,,,
1443,5,4.0,7.0,3.0,6.0,,,,
1445,1,2.0,7.0,,,,,,
1447,1,5.0,0.0,3.0,4.0,,,,
1449,7,1.0,3.0,0.0,,,,,
1451,8,4.0,5.0,,,,,,
1453,1,5.0,7.0,6.0,0.0,,,,
1455,1,5.0,0.0,2.0,6.0,,,,
1457,1,,,,,,,,
1459,1,2.0,7.0,4.0,5.0,,,,
1461,1,8.0,4.0,6.0,7.0,,,,
1463,1,,,,,,,,
1465,1,,,,,,,,
1467,1,5.0,,,,,,,
1469,3,7.0,,,,,,,
1471,6,1.0,4.0,8.0,3.0,,,,
1473,5,0.0,1.0,6.0,,,,,
1475,6,1.0,5.0,4.0,8.0,,,,
1477,5,8.0,2.0,,,,,,
1479,1,6.0,5.0,7.0,,,,,
1483,5,1.0,6.0,,,,,,
1487,3,1.0,4.0,,,,,,
1489,1,,,,,,,,
1491,0,1.0,2.0,8.0,4.0,,,,
1494,2,5.0,6.0,1.0,0.0,,,,
1496,1,0.0,5.0,2.0,4.0,,,,
1500,6,5.0,7.0,8.0,4.0,,,,
1502,6,5.0,1.0,,,,,,
1504,3,6.0,,,,,,,
1506,0,7.0,,,,,,,
1508,1,,,,,,,,
1510,1,6.0,,,,,,,
1512,4,8.0,3.0,,,,,,
1514,8,4.0,,,,,,,
1516,3,1.0,6.0,8.0,0.0,,,,
1518,0,5.0,6.0,1.0,,,,,
1520,1,,,,,,,,
1522,1,2.0,,,,,,,
1524,3,1.0,7.0,,,,,,
1526,4,1.0,,,,,,,
1527,1,5.0,0.0,6.0,8.0,,,,
1529,8,5.0,1.0,7.0,2.0,,,,
1531,8,1.0,4.0,,,,,,
1533,7,1.0,8.0,6.0,0.0,,,,
1535,6,,,,,,,,
1537,7,8.0,1.0,5.0,6.0,,,,
1539,1,,,,,,,,
1541,7,5.0,8.0,,,,,,
1545,3,4.0,8.0,2.0,5.0,,,,
1547,8,4.0,1.0,6.0,,,,,
1549,5,6.0,1.0,2.0,0.0,,,,
1551,7,1.0,6.0,,,,,,
1553,3,6.0,0.0,7.0,4.0,,,,
1559,5,3.0,,,,,,,
1561,3,7.0,4.0,6.0,8.0,,,,
1563,1,0.0,,,,,,,
1565,1,6.0,0.0,5.0,,,,,
1567,4,8.0,0.0,7.0,2.0,,,,
1569,5,1.0,3.0,2.0,0.0,,,,
1571,1,6.0,2.0,0.0,,,,,
1573,7,0.0,,,,,,,
1575,6,8.0,0.0,2.0,1.0,,,,
1577,7,5.0,8.0,,,,,,
1578,5,,,,,,,,
1581,7,,,,,,,,
1583,6,,,,,,,,
1584,1,5.0,2.0,,,,,,
1586,5,,,,,,,,
1588,7,5.0,4.0,6.0,8.0,,,,
1590,5,6.0,1.0,2.0,0.0,,,,
1592,7,1.0,6.0,,,,,,
1594,4,8.0,6.0,2.0,1.0,,,,
1596,3,0.0,6.0,1.0,2.0,,,,
1598,1,,,,,,,,
1600,6,1.0,0.0,2.0,5.0,,,,
1602,3,7.0,4.0,6.0,8.0,,,,
1606,2,1.0,4.0,,,,,,
1608,1,0.0,8.0,4.0,5.0,,,,
1610,8,,,,,,,,
1613,1,5.0,6.0,,,,,,
1615,6,,,,,,,,
1617,6,5.0,7.0,,,,,,
1619,1,3.0,4.0,2.0,0.0,,,,
1621,1,2.0,8.0,4.0,0.0,,,,
1623,7,3.0,5.0,1.0,4.0,,,,
1625,6,,,,,,,,
1627,8,4.0,0.0,1.0,3.0,,,,
1629,1,4.0,,,,,,,
1631,1,0.0,4.0,8.0,7.0,,,,
1633,4,8.0,5.0,,,,,,
1635,6,5.0,7.0,,,,,,
1639,1,4.0,8.0,,,,,,
1643,8,4.0,1.0,7.0,,,,,
1645,5,,,,,,,,
1647,1,,,,,,,,
1649,3,8.0,4.0,,,,,,
1651,1,6.0,,,,,,,
1655,1,,,,,,,,
1657,4,8.0,,,,,,,
1659,1,2.0,8.0,4.0,0.0,,,,
1661,5,6.0,,,,,,,
1663,6,,,,,,,,
1665,8,4.0,0.0,1.0,3.0,,,,
1667,7,2.0,8.0,5.0,,,,,
1669,2,1.0,,,,,,,
1671,1,6.0,,,,,,,
1673,1,4.0,8.0,0.0,,,,,
1675,1,6.0,,,,,,,
1677,4,8.0,1.0,3.0,,,,,
1679,1,2.0,0.0,,,,,,
1681,0,1.0,6.0,5.0,,,,,
1683,4,8.0,6.0,5.0,1.0,,,,
1687,1,4.0,,,,,,,
1689,5,,,,,,,,
1691,7,1.0,,,,,,,
1694,5,,,,,,,,
1696,5,,,,,,,,
1698,6,,,,,,,,
1700,7,,,,,,,,
1702,7,1.0,0.0,,,,,,
1704,7,4.0,1.0,6.0,,,,,
1706,7,2.0,4.0,5.0,3.0,,,,
1708,0,6.0,5.0,2.0,7.0,,,,
1710,8,4.0,,,,,,,
1711,1,4.0,8.0,2.0,,,,,
1712,6,,,,,,,,
1715,7,2.0,1.0,4.0,,,,,
1719,1,,,,,,,,
1721,5,2.0,0.0,1.0,6.0,,,,
1723,8,4.0,7.0,1.0,,,,,
1725,5,6.0,8.0,,,,,,
1727,2,1.0,6.0,0.0,3.0,,,,
1729,1,8.0,4.0,0.0,6.0,,,,
1731,6,1.0,,,,,,,
1733,1,7.0,,,,,,,
1735,7,6.0,2.0,1.0,3.0,,,,
1737,5,,,,,,,,
1739,1,5.0,,,,,,,
1742,5,,,,,,,,
1744,1,6.0,0.0,,,,,,
1746,6,,,,,,,,
1748,4,,,,,,,,
1750,5,6.0,,,,,,,
1752,1,,,,,,,,
1754,6,7.0,2.0,,,,,,
1756,1,,,,,,,,
1758,0,4.0,5.0,,,,,,
1760,6,5.0,2.0,,,,,,
1764,1,6.0,,,,,,,
1766,5,,,,,,,,
1768,8,5.0,3.0,6.0,,,,,
1770,6,4.0,1.0,5.0,0.0,,,,
1772,7,4.0,1.0,6.0,0.0,,,,
1775,1,,,,,,,,
2195,1,4.0,8.0,3.0,,,,,
2197,6,,,,,,,,
2198,5,0.0,6.0,1.0,,,,,
