,0,1
1,Write-In cells: 512,
2,Overvote cells: 33,
3,Erin Hussein: 0,
4,Carlina Rivera: 1,
5,0,
6,0,1.0
7,0,
8,1,
9,1,
10,1,0.0
11,1,
12,0,
13,1,
15,1,
16,0,
17,1,0.0
18,0,1.0
19,1,0.0
20,0,1.0
23,0,
24,1,0.0
25,0,1.0
26,1,
27,1,
28,0,1.0
29,1,
30,0,1.0
31,1,0.0
32,1,0.0
34,0,1.0
35,1,
36,1,0.0
37,1,
38,1,0.0
39,0,
40,1,0.0
41,1,0.0
42,1,
43,1,
44,0,1.0
45,1,0.0
46,0,
47,0,
49,0,
50,1,
51,1,0.0
53,1,0.0
54,1,0.0
55,1,
56,1,0.0
57,1,
58,1,
59,1,
60,1,0.0
61,1,
62,1,
63,0,
64,0,
66,0,
67,1,
68,1,
69,1,
70,1,
71,0,1.0
72,1,0.0
73,1,0.0
75,1,0.0
78,1,0.0
79,1,0.0
80,1,
81,0,
82,1,0.0
83,0,
85,0,1.0
86,1,
172,0,1.0
227,1,
228,1,0.0
229,1,0.0
230,1,
231,1,
232,1,0.0
309,0,1.0
310,1,
311,0,1.0
312,1,0.0
313,1,
314,1,
315,0,
316,1,
317,1,
318,0,1.0
319,0,
320,1,
321,1,
322,1,0.0
323,1,0.0
324,0,
325,0,
326,1,
327,1,0.0
328,1,0.0
329,0,
330,0,1.0
331,1,
545,0,1.0
546,1,
547,1,0.0
548,1,0.0
549,1,
550,0,1.0
587,1,
588,1,0.0
589,0,
590,1,0.0
591,1,0.0
592,1,
593,0,1.0
594,1,
595,1,
596,0,
597,1,0.0
598,1,0.0
599,1,0.0
600,1,
601,0,
602,1,0.0
603,1,0.0
604,0,
605,0,
606,1,0.0
607,0,
706,1,
707,1,0.0
708,1,
709,1,
710,1,0.0
711,1,0.0
712,1,0.0
713,1,
714,1,
715,1,
716,1,
718,1,
719,1,0.0
720,1,
721,1,0.0
722,1,0.0
723,1,0.0
923,1,0.0
924,0,
925,1,0.0
927,1,0.0
928,1,
929,1,
930,1,
933,1,0.0
934,1,
935,1,0.0
936,1,
937,1,
939,1,0.0
940,1,
941,1,
942,1,
943,0,1.0
944,1,0.0
945,1,
946,1,0.0
947,1,
948,1,0.0
949,1,
950,1,0.0
952,0,
953,1,
954,1,
955,1,0.0
956,0,
957,1,
958,1,
959,1,0.0
960,1,
961,1,
962,1,0.0
963,1,
964,0,1.0
965,1,
966,1,
967,0,
968,0,1.0
969,0,
970,0,
971,0,1.0
972,1,
973,0,
1039,1,0.0
1040,0,
1041,0,1.0
1042,1,
1044,0,
1045,0,
1046,0,
1047,0,
1048,0,
1050,1,
1051,0,
1052,0,
1053,1,
1054,0,
1055,0,
1056,1,
1057,0,
1058,0,
1059,0,
1060,1,
1062,1,
1063,1,
1064,1,0.0
1065,1,
1066,1,
1067,1,
1068,0,
1069,1,0.0
1070,0,
1071,1,0.0
1073,1,
1074,1,0.0
1075,0,1.0
1078,1,0.0
