,0,1
1,Write-In cells: 245,
2,Overvote cells: 8,
3,Robert F. Holden: 0,
4,Juan D. Ardila: 1,
3178,0,
3180,0,1.0
3186,0,1.0
3188,1,
3190,0,
3192,1,0.0
3194,1,
3196,1,0.0
3198,0,1.0
3202,0,1.0
3204,0,
3208,1,0.0
3210,0,
3212,0,
3214,0,
3216,0,1.0
3217,1,0.0
3219,0,1.0
3945,1,
3947,0,1.0
3950,0,
3954,0,
3956,0,
3958,0,
3962,0,
3964,0,
3967,1,
3969,0,
3971,0,1.0
3973,0,
3974,0,
3978,0,
3980,0,
3983,0,
3984,0,
3986,0,1.0
3990,1,
3993,0,
3995,0,1.0
3996,0,1.0
3999,0,
4001,0,
4002,0,
4004,0,1.0
4006,0,
4008,1,
4009,0,
4011,0,
4014,1,
4015,0,
4017,0,
4020,0,
4021,0,
4023,0,
4026,0,
4028,0,1.0
4029,0,
4032,0,1.0
4034,0,
4036,0,
4038,0,
4039,0,
4042,0,1.0
4043,0,
4047,0,
4050,0,1.0
4051,0,
4055,0,1.0
4056,0,1.0
4059,0,1.0
4060,0,1.0
4063,0,1.0
4064,0,1.0
4067,0,
4069,0,
4071,0,
4072,0,
4075,1,
4076,0,
4077,1,0.0
4079,1,
4081,1,
4083,0,
4085,0,
4089,0,
4091,0,
4093,0,
4095,1,0.0
4096,1,0.0
4098,1,0.0
4100,0,1.0
4103,1,0.0
4105,1,0.0
5652,0,
5653,0,
5654,1,
5656,0,
5658,0,
9022,1,
9024,1,0.0
9026,1,
9028,1,
9030,0,
9032,0,1.0
9034,1,0.0
9036,1,
9037,1,
9039,1,0.0
9041,0,
9043,1,0.0
9045,1,
9047,0,1.0
9049,0,1.0
9051,0,
9053,0,
9055,0,
9058,0,
9060,0,1.0
9062,0,
9064,0,1.0
9066,0,1.0
9068,1,0.0
9070,0,
9072,0,
9074,0,1.0
9076,0,1.0
9078,1,0.0
9080,0,
9082,0,
9084,0,
9086,1,0.0
9088,0,
9090,0,
9092,0,1.0
9094,0,
9096,0,
9098,1,0.0
9100,0,
9102,0,
9104,0,1.0
9106,1,0.0
9108,0,
9110,0,
9111,0,
9114,0,1.0
9118,1,0.0
9120,0,
9122,0,
9124,0,
9126,0,
9128,1,
9130,0,
10905,0,1.0
11342,1,
11344,0,
11346,0,
11349,1,
11351,0,
12625,1,
12627,1,
12629,0,1.0
12631,0,
12633,0,
12635,0,1.0
12637,1,
12639,1,
12641,1,0.0
12643,0,
12645,1,
12647,1,0.0
12649,0,
12651,1,
12653,1,
12655,1,
12657,1,
12659,1,
12661,1,
12663,1,
12665,0,1.0
12667,0,
12669,1,
12671,1,
12673,1,
17699,0,
21708,0,1.0
22926,0,1.0
22928,0,
22930,0,
22932,1,
22934,0,1.0
22936,1,0.0
22938,1,0.0
22940,0,
22942,0,1.0
22944,0,1.0
22946,0,
22948,1,0.0
22950,1,
22952,0,1.0
22954,0,
22956,0,
22958,0,
22960,0,
22962,0,
22964,1,
22966,0,
22968,0,
22970,0,
22974,1,0.0
22976,0,
22978,0,1.0
22980,1,
22982,0,
22984,0,1.0
22986,0,
22988,0,
22990,0,
22992,0,
25840,1,
25842,0,
25845,0,
25846,0,
25848,1,
25851,0,1.0
25854,0,
25856,0,
25857,0,
25858,1,0.0
25860,0,
25861,1,
25864,1,
25867,0,1.0
25869,0,1.0
25871,0,1.0
25873,0,1.0
25874,0,
25876,0,1.0
25878,0,
25880,0,
25882,0,1.0
25885,0,
25887,1,0.0
25889,0,1.0
25891,0,
25893,0,1.0
25896,1,
25897,0,
25900,0,
25901,0,
25903,0,1.0
25904,0,
25908,1,0.0
25909,1,
25912,0,1.0
25914,0,
25915,1,0.0
25918,0,1.0
25920,0,
25924,0,
25926,0,
25928,0,
25930,0,
25931,0,1.0
25934,1,0.0
25936,0,
25938,0,1.0
25939,0,
25942,0,
25944,0,
25945,0,1.0
25947,1,0.0
25949,0,
25952,0,1.0
25954,0,
25956,0,
25957,0,
25960,0,
28037,1,0.0
28039,1,
28041,1,0.0
28043,1,
28045,1,0.0
28047,1,0.0
28049,0,
28051,1,
28053,1,0.0
28344,0,
28346,0,
28348,1,0.0
28350,1,
28352,1,
28354,1,
28356,1,
28358,1,
28360,1,
28361,0,1.0
28363,1,
28937,1,0.0
28939,1,
28941,0,1.0
28944,0,
28946,0,
28948,0,1.0
28950,0,
28952,1,
28953,0,
28955,1,0.0
28957,1,
28961,1,
28963,0,
28965,0,
28967,1,
28969,1,
28971,1,
28973,1,
28976,1,
29177,0,1.0
29180,0,
29181,0,
29183,0,
29185,1,
29187,0,
29189,0,
29190,0,
29193,0,
29194,1,
29197,0,
29198,0,
29201,0,
29202,0,
29204,0,
29206,0,
29210,1,0.0
29211,0,
29212,0,1.0
29734,0,1.0
29736,0,1.0
29737,0,1.0
29739,0,1.0
29740,1,0.0
29742,1,0.0
29745,1,0.0
29747,0,1.0
29749,1,0.0
29751,0,1.0
29753,0,1.0
29755,1,0.0
29757,1,
29760,1,
29762,1,0.0
29764,1,
29766,1,
29767,0,
30245,1,
30246,1,0.0
30247,0,1.0
30248,0,
30249,0,
30250,1,
30251,0,1.0
30252,1,
30253,0,1.0
30254,0,
30255,0,1.0
30256,0,
30257,0,1.0
30258,0,
30259,0,1.0
30260,0,
30261,0,
30262,0,
30263,1,0.0
30264,0,
30265,0,
30266,0,1.0
30267,0,1.0
30268,0,1.0
30269,0,
30270,0,
30271,0,
30272,0,
30853,1,0.0
30855,0,
30857,0,1.0
30859,0,
30861,0,
30864,1,
30866,0,
30869,0,1.0
30872,1,0.0
30873,0,1.0
30875,0,
30877,1,0.0
30879,0,
30882,0,
30887,0,
30888,0,1.0
30890,0,
30892,0,1.0
30941,1,0.0
30942,1,0.0
30943,1,0.0
30944,0,1.0
30945,1,0.0
30946,0,
30947,0,1.0
31016,1,0.0
31019,1,0.0
31020,0,
31023,0,1.0
31025,1,
31026,0,
31027,1,0.0
31029,0,
31032,1,0.0
31601,0,
31603,1,
31605,1,
31607,1,0.0
31609,1,0.0
31611,1,
31615,1,
31616,1,
31855,1,
31856,0,
31857,1,
31858,0,1.0
31859,1,0.0
32179,0,1.0
32181,0,
32183,0,
32185,0,
32187,0,
32189,1,
32191,0,
32194,0,1.0
32199,0,
32201,0,
32203,0,1.0
32205,0,
32207,0,1.0
32209,0,
32213,0,
32215,0,
32221,0,1.0
32223,1,
32225,1,0.0
32227,0,
32229,0,
32424,0,1.0
32425,0,1.0
32428,1,0.0
32429,0,
32431,0,
32433,0,1.0
32907,0,1.0
32909,0,
32911,1,0.0
32914,0,
32919,0,
32921,0,
32923,0,
32925,0,
32926,0,
32929,1,
32930,0,
32932,1,0.0
32935,0,
32936,0,
32937,1,0.0
32939,0,
32941,0,
32943,1,
32944,0,1.0
32946,0,
34106,0,1.0
34108,0,1.0
34110,0,1.0
34111,0,
34113,0,
34115,1,
34395,0,
34396,0,
34420,1,
34422,0,
34423,0,1.0
34424,0,
34425,0,
34426,0,
34427,1,0.0
34428,0,1.0
34429,0,
34430,1,
34431,1,
34432,1,
34433,1,
34434,0,
34435,0,
34436,0,
34437,1,
34438,0,
34439,0,
34440,0,
34441,0,
34442,0,
34443,1,
34444,0,
34866,1,
34867,1,0.0
34870,0,1.0
34871,0,
34874,0,
34876,0,1.0
34878,0,1.0
34880,0,1.0
34881,1,
34883,0,1.0
34886,1,
34888,0,
34891,1,
34892,0,1.0
34896,1,0.0
34898,1,
34900,0,1.0
34902,0,1.0
35044,0,1.0
35046,0,1.0
35048,1,0.0
35051,1,0.0
35053,1,0.0
35055,1,0.0
35057,0,1.0
35059,1,0.0
35061,1,0.0
35063,1,0.0
35065,1,
35067,1,0.0
35068,0,1.0
35070,0,
35072,1,0.0
35947,0,1.0
35948,0,
35950,0,
35952,0,1.0
35954,0,1.0
35956,0,1.0
35958,0,
35961,0,1.0
35962,0,
35964,0,
35968,0,
35969,1,0.0
35970,0,
36001,1,0.0
36006,1,0.0
36008,0,1.0
36009,0,1.0
36010,1,0.0
36014,0,
36015,0,1.0
36017,1,0.0
36018,0,
36019,0,
36020,1,0.0
36545,1,0.0
36548,0,
36552,0,
36555,0,1.0
36556,0,1.0
36557,1,0.0
36558,1,0.0
36560,0,
36561,0,
36564,0,1.0
36567,0,1.0
36568,0,
36572,0,
36574,1,
36575,0,
36576,0,
37786,1,
37788,1,0.0
37887,1,0.0
37888,1,0.0
37892,1,
37897,1,0.0
37898,0,1.0
37900,0,1.0
37901,0,1.0
