,0,1,2,3,4,5
1,Write-In cells: 344,,,,,
2,Overvote cells: 142,,,,,
3,Felicia Singh: 0,,,,,
4,Michael G. Scala: 1,,,,,
5,Kaled A. Alamarie: 2,,,,,
6,Bella A. Matias: 3,,,,,
7,Helal A. Sheikh: 4,,,,,
8,Shaeleigh Severino: 5,,,,,
6368,0,,,,,
12739,0,1.0,2.0,3.0,4.0,
12741,0,1.0,3.0,,,
12743,2,,,,,
12745,0,1.0,3.0,5.0,4.0,
12747,0,4.0,2.0,1.0,3.0,
12749,0,1.0,4.0,2.0,3.0,
12751,1,3.0,5.0,4.0,0.0,
12753,0,4.0,3.0,5.0,1.0,
12755,1,,,,,
12757,0,4.0,3.0,2.0,1.0,
12759,2,,,,,
12761,4,1.0,,,,
12763,5,1.0,3.0,0.0,2.0,
12765,0,,,,,
12767,3,0.0,,,,
12769,1,0.0,3.0,2.0,5.0,
12771,1,,,,,
12773,2,,,,,
17699,1,3.0,,,,
27740,1,,,,,
27742,4,0.0,3.0,5.0,2.0,
27744,5,3.0,0.0,,,
27746,1,,,,,
27748,2,0.0,4.0,5.0,1.0,
27750,0,,,,,
27752,3,2.0,,,,
27754,2,0.0,4.0,5.0,1.0,
27756,0,,,,,
27758,2,0.0,1.0,,,
27760,1,0.0,3.0,5.0,4.0,
27762,1,0.0,2.0,3.0,,
27764,3,5.0,0.0,1.0,2.0,
27766,3,1.0,5.0,2.0,0.0,
27768,3,1.0,2.0,0.0,4.0,
27770,0,4.0,3.0,1.0,2.0,
27772,1,,,,,
27776,0,4.0,,,,
27778,0,3.0,5.0,1.0,2.0,
27782,0,,,,,
27786,3,0.0,,,,
27787,0,2.0,1.0,4.0,3.0,
27789,5,0.0,3.0,,,
27793,3,0.0,,,,
27795,1,,,,,
27797,2,1.0,,,,
27799,1,,,,,
27801,0,4.0,3.0,1.0,2.0,
27804,0,4.0,5.0,3.0,1.0,
27806,1,0.0,,,,
27808,0,1.0,5.0,3.0,4.0,
27811,0,4.0,3.0,5.0,1.0,
28005,0,,,,,
28006,0,3.0,5.0,2.0,1.0,
28007,1,,,,,
28008,3,5.0,1.0,,,
28080,1,,,,,
28082,1,,,,,
28083,1,,,,,
28084,0,3.0,,,,
28086,1,,,,,
28088,3,1.0,5.0,2.0,0.0,
28090,3,1.0,2.0,0.0,5.0,
28091,1,,,,,
28219,0,1.0,4.0,,,
28221,0,3.0,1.0,5.0,4.0,
28223,3,0.0,5.0,2.0,,
28225,1,0.0,2.0,5.0,3.0,
