,0,1,2,3,4,5,6,7
1,Write-In cells: 324,,,,,,,
2,Overvote cells: 119,,,,,,,
3,Elizabeth E. Adams: 0,,,,,,,
4,Victoria E. Cambranes: 1,,,,,,,
5,Toba Potosky: 2,,,,,,,
6,April Somboun: 3,,,,,,,
7,Sabrina N. Gates: 4,,,,,,,
8,Ben Solotaire: 5,,,,,,,
9,Lincoln Restler: 6,,,,,,,
10,Stu Sherman: 7,,,,,,,
82,0,1.0,2.0,3.0,4.0,,,
83,0,2.0,5.0,6.0,3.0,,,
86,1,6.0,7.0,,,,,
88,1,0.0,3.0,5.0,6.0,,,
90,0,,,,,,,
91,6,0.0,1.0,7.0,,,,
92,4,3.0,6.0,,,,,
93,0,6.0,1.0,5.0,7.0,,,
94,0,1.0,5.0,6.0,,,,
97,6,3.0,,,,,,
98,0,3.0,6.0,5.0,4.0,,,
99,7,,,,,,,
100,0,3.0,5.0,4.0,,,,
101,6,7.0,1.0,4.0,5.0,,,
102,6,,,,,,,
103,0,4.0,6.0,,,,,
104,7,4.0,3.0,0.0,1.0,,,
209,0,3.0,1.0,4.0,6.0,,,
210,3,4.0,0.0,1.0,6.0,,,
212,2,6.0,,,,,,
213,2,0.0,6.0,,,,,
214,2,7.0,3.0,0.0,1.0,,,
215,2,1.0,0.0,,,,,
216,1,6.0,0.0,3.0,4.0,,,
217,6,0.0,1.0,5.0,3.0,,,
218,1,3.0,0.0,4.0,7.0,,,
219,2,,,,,,,
220,6,2.0,,,,,,
221,2,7.0,6.0,4.0,1.0,,,
222,2,6.0,0.0,4.0,5.0,,,
223,2,6.0,0.0,,,,,
224,2,0.0,6.0,3.0,1.0,,,
225,2,,,,,,,
226,2,6.0,3.0,1.0,,,,
227,2,4.0,6.0,,,,,
228,1,7.0,0.0,3.0,,,,
229,2,7.0,3.0,,,,,
230,6,0.0,,,,,,
231,2,,,,,,,
232,2,6.0,,,,,,
233,2,,,,,,,
234,6,0.0,1.0,5.0,3.0,,,
235,6,0.0,7.0,2.0,4.0,,,
236,2,,,,,,,
237,2,,,,,,,
238,2,6.0,1.0,3.0,4.0,,,
239,6,,,,,,,
240,6,0.0,3.0,1.0,,,,
241,2,,,,,,,
242,2,,,,,,,
243,6,0.0,3.0,,,,,
244,6,,,,,,,
245,2,,,,,,,
246,2,7.0,3.0,,,,,
406,6,5.0,2.0,,,,,
407,1,3.0,0.0,7.0,6.0,,,
408,3,0.0,6.0,1.0,2.0,,,
409,6,,,,,,,
412,6,0.0,,,,,,
413,6,0.0,,,,,,
415,6,4.0,3.0,1.0,0.0,,,
417,6,,,,,,,
418,4,3.0,0.0,,,,,
419,1,,,,,,,
