,0,1,2,3
1,Write-In cells: 464,,,
2,Overvote cells: 95,,,
3,Jennifer Gutierrez: 0,,,
4,Andy J. Marte: 1,,,
5,Scott Murphy: 2,,,
6,Lutchi Gayot: 3,,,
243,0,,,
244,0,1.0,2.0,
245,0,,,
246,0,2.0,3.0,1.0
247,0,,,
248,0,,,
250,0,,,
251,0,3.0,,
252,0,2.0,1.0,3.0
253,0,,,
254,0,3.0,1.0,2.0
255,0,,,
257,0,,,
337,0,3.0,1.0,2.0
338,0,2.0,,
339,0,2.0,,
340,0,3.0,2.0,1.0
341,0,3.0,2.0,
842,0,,,
843,0,,,
844,0,,,
845,0,,,
846,0,3.0,2.0,1.0
847,0,1.0,2.0,3.0
942,0,,,
943,0,,,
944,0,2.0,1.0,3.0
947,0,,,
948,0,1.0,3.0,2.0
1048,2,3.0,,
1049,1,,,
1050,0,1.0,3.0,2.0
1051,2,0.0,,
1098,0,3.0,2.0,1.0
1099,0,3.0,1.0,2.0
1100,0,3.0,2.0,1.0
1101,0,3.0,1.0,
1102,0,3.0,,
1237,0,1.0,,
1238,0,,,
1239,0,1.0,,
1240,0,1.0,3.0,
1241,3,2.0,0.0,
1242,0,2.0,,
1243,2,3.0,0.0,1.0
1244,0,2.0,,
1245,0,1.0,2.0,3.0
1246,0,,,
1272,0,1.0,2.0,3.0
1273,0,1.0,2.0,3.0
1275,0,1.0,2.0,3.0
1277,0,1.0,3.0,2.0
1278,0,,,
1279,0,2.0,3.0,1.0
1838,2,0.0,1.0,3.0
1839,0,2.0,,
1840,0,3.0,1.0,
1841,2,1.0,3.0,
1842,0,,,
1843,0,,,
1844,0,,,
1862,0,2.0,3.0,
1863,0,2.0,3.0,1.0
1864,0,2.0,1.0,
1865,0,,,
1866,0,2.0,3.0,1.0
1867,0,,,
1868,0,,,
1869,0,,,
1870,0,,,
1901,0,,,
1902,0,1.0,3.0,2.0
1903,0,,,
1904,0,,,
1905,0,,,
1906,2,0.0,,
2005,1,0.0,2.0,3.0
2098,2,1.0,0.0,3.0
2099,3,0.0,,
2100,0,,,
2101,0,1.0,3.0,2.0
2102,0,1.0,3.0,2.0
2103,0,3.0,1.0,2.0
2104,0,2.0,,
2105,0,,,
2106,0,3.0,1.0,2.0
2108,2,3.0,0.0,
2109,1,3.0,0.0,2.0
2110,0,,,
2111,1,,,
2112,0,3.0,2.0,1.0
2113,0,,,
2114,2,0.0,1.0,3.0
2116,0,1.0,3.0,2.0
2118,1,3.0,0.0,2.0
2119,1,0.0,2.0,3.0
2120,1,,,
2121,1,,,
2122,2,0.0,1.0,
2123,2,,,
2124,1,,,
2125,1,0.0,,
2126,0,2.0,1.0,3.0
2127,2,0.0,1.0,3.0
2128,1,0.0,3.0,2.0
2129,0,1.0,,
2130,1,,,
2131,3,0.0,2.0,1.0
2132,1,3.0,0.0,2.0
2134,1,,,
2135,1,0.0,3.0,2.0
2136,0,,,
2601,0,1.0,,
2602,0,,,
2603,0,,,
2604,0,1.0,3.0,
2606,0,2.0,1.0,3.0
2607,0,2.0,1.0,3.0
2609,0,2.0,1.0,3.0
2634,0,1.0,,
2635,0,2.0,,
2636,0,,,
2637,0,2.0,1.0,3.0
2638,0,,,
2639,2,,,
2640,0,,,
2641,0,,,
2642,0,2.0,1.0,3.0
2643,0,2.0,3.0,1.0
2644,0,2.0,,
2645,0,,,
2646,0,,,
2647,0,,,
2885,1,0.0,3.0,2.0
2886,2,0.0,1.0,3.0
2887,1,0.0,2.0,3.0
3288,0,2.0,1.0,
3289,0,2.0,3.0,
3291,0,1.0,2.0,
3292,0,1.0,,
3293,0,,,
3294,0,,,
3332,0,,,
3333,0,,,
3335,0,2.0,,
3336,0,1.0,2.0,
3337,0,2.0,,
3730,2,,,
3731,0,2.0,3.0,1.0
3732,0,2.0,3.0,1.0
3748,0,2.0,,
3750,1,,,
3751,1,,,
3752,1,,,
3753,0,,,
3754,2,3.0,1.0,0.0
3755,0,,,
3757,0,2.0,3.0,
3758,0,,,
3759,0,,,
3760,1,,,
3762,1,,,
3763,0,2.0,3.0,1.0
3765,0,2.0,,
3766,1,,,
3767,1,,,
3768,0,,,
3769,1,,,
3770,3,0.0,2.0,1.0
3959,0,1.0,3.0,2.0
3960,0,,,
3961,1,,,
3962,0,,,
3963,2,0.0,3.0,1.0
3964,0,,,
3965,0,,,
3966,2,1.0,0.0,
3967,0,,,
3968,2,0.0,3.0,
3969,0,,,
3970,2,0.0,,
3971,2,1.0,0.0,3.0
3972,0,2.0,1.0,3.0
4390,0,,,
4391,0,2.0,,
4392,0,,,
4393,0,1.0,2.0,3.0
4394,0,1.0,2.0,
4395,0,1.0,2.0,3.0
4396,2,0.0,1.0,
4397,0,2.0,,
4398,0,,,
4399,0,1.0,,
4400,0,2.0,,
4401,0,2.0,,
4402,0,,,
4403,0,2.0,1.0,3.0
4404,1,2.0,3.0,0.0
5047,0,,,
5048,0,2.0,,
5049,0,2.0,,
5050,0,,,
5051,0,,,
5052,1,2.0,,
5053,0,,,
5054,0,,,
5144,0,,,
5145,0,,,
5146,1,3.0,,
5147,0,1.0,2.0,3.0
