,0,1,2,3,4,5
1,Write-In cells: 317,,,,,
2,Overvote cells: 133,,,,,
3,Leslie Boghosian Murphy: 0,,,,,
4,Aleta A. LaFargue: 1,,,,,
5,Erik D. Bottcher: 2,,,,,
6,Phelan D. Fitzpatrick: 3,,,,,
7,Marni Halasa: 4,,,,,
8,Arthur Z. Schwartz: 5,,,,,
848,0,1.0,,,,
849,0,1.0,,,,
850,2,,,,,
851,3,1.0,,,,
852,4,,,,,
853,1,5.0,4.0,,,
854,2,,,,,
855,4,,,,,
856,5,,,,,
857,2,,,,,
858,0,3.0,1.0,4.0,2.0,
859,2,1.0,0.0,3.0,5.0,
860,2,0.0,1.0,4.0,3.0,
862,2,3.0,4.0,,,
863,2,0.0,,,,
864,2,3.0,1.0,,,
865,1,0.0,4.0,,,
866,1,,,,,
867,2,1.0,0.0,,,
869,5,0.0,1.0,3.0,4.0,
870,2,,,,,
871,2,3.0,,,,
872,2,3.0,1.0,0.0,,
873,2,5.0,3.0,0.0,1.0,
874,5,2.0,,,,
875,2,5.0,3.0,0.0,1.0,
876,2,0.0,5.0,,,
877,1,,,,,
878,3,2.0,,,,
879,2,1.0,3.0,0.0,,
880,1,,,,,
881,4,2.0,0.0,3.0,1.0,
882,2,,,,,
883,1,0.0,,,,
884,2,,,,,
885,5,2.0,,,,
1148,2,,,,,
1150,2,,,,,
1151,2,,,,,
1152,3,2.0,5.0,4.0,,
1153,5,,,,,
1155,5,,,,,
1156,5,,,,,
1157,2,,,,,
1159,0,2.0,5.0,,,
1160,0,2.0,4.0,1.0,5.0,
1161,2,,,,,
1162,0,2.0,,,,
1163,2,,,,,
1164,2,,,,,
1165,5,2.0,0.0,1.0,,
1166,2,1.0,0.0,4.0,,
1167,5,2.0,0.0,,,
1169,5,2.0,0.0,1.0,4.0,
1170,2,,,,,
1173,3,2.0,,,,
1174,1,5.0,3.0,4.0,0.0,
1175,2,5.0,4.0,1.0,,
1176,0,,,,,
1177,5,3.0,1.0,0.0,4.0,
1178,5,3.0,1.0,0.0,4.0,
1179,2,,,,,
1180,2,,,,,
1181,2,5.0,3.0,1.0,,
1182,4,,,,,
1183,5,,,,,
1185,5,,,,,
1186,5,,,,,
1187,2,4.0,5.0,,,
1188,0,2.0,,,,
1189,2,,,,,
1191,1,3.0,2.0,5.0,0.0,
1192,2,,,,,
1193,2,,,,,
1194,0,,,,,
1195,2,5.0,,,,
1196,5,0.0,4.0,3.0,2.0,
1198,2,5.0,,,,
1199,2,5.0,0.0,1.0,,
1200,5,0.0,4.0,1.0,,
1201,2,,,,,
1202,0,5.0,4.0,1.0,3.0,
1204,2,,,,,
1206,2,5.0,1.0,4.0,3.0,
1207,5,2.0,,,,
1208,2,5.0,4.0,0.0,1.0,
1210,5,,,,,
1211,2,,,,,
1212,5,2.0,0.0,,,
1213,5,2.0,,,,
1214,5,,,,,
1215,2,,,,,
1216,5,0.0,1.0,3.0,,
1217,2,5.0,,,,
1218,2,,,,,
1219,2,,,,,
1220,2,4.0,,,,
1312,2,0.0,5.0,,,
1313,0,2.0,,,,
1314,0,,,,,
1315,5,0.0,2.0,4.0,,
1316,0,2.0,,,,
1317,2,0.0,4.0,5.0,3.0,
1318,5,3.0,1.0,,,
1319,2,0.0,,,,
1320,2,,,,,
1321,1,2.0,,,,
1322,4,5.0,1.0,2.0,0.0,
1323,0,1.0,,,,
1324,2,0.0,,,,
